brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Separation,ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,MAG_R,e_MAG_R,RE_R,e_RE_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,MAG_J0378,e_MAG_J0378,RE_J0378,e_RE_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,MAG_J0395,e_MAG_J0395,RE_J0395,e_RE_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,MAG_J0410,e_MAG_J0410,RE_J0410,e_RE_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,MAG_J0430,e_MAG_J0430,RE_J0430,e_RE_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,MAG_J0515,e_MAG_J0515,RE_J0515,e_RE_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,MAG_J0660,e_MAG_J0660,RE_J0660,e_RE_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,MAG_J0861,e_MAG_J0861,RE_J0861,e_RE_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,MAG_G,e_MAG_G,RE_G,e_RE_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,MAG_I,e_MAG_I,RE_I,e_RE_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,MAG_Z,e_MAG_Z,RE_Z,e_RE_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,MAG_U,e_MAG_U,RE_U,e_RE_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto
21507,0234m692,6556,SER,23.38287520992754,-69.31228126334031,0.02279285,94.98003,138.08308,157.04253,171.20233,17.694866,18.491804,19.555277,,0.40627098,0.1396923,0.23342323,0.09373093,23.3835833,-69.3123056,32,1,01 33 32.06,-69 18 44.3,0.0,,19.2767,18.9956,0.9047914183927032,iDR4_3_MC0050_0037845,1.21635684263513,175.2274,0.0132,166.8918,0.0078,16.4829,0.0086,9.7380,0.0970,1.8632,0.0190,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,17.8162,0.0598,10.3878,0.2319,1.6695,0.0472,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,17.3908,0.0579,10.3434,0.2197,1.6828,0.0446,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,17.3713,0.0481,10.3032,0.2089,1.6948,0.0423,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,17.1213,0.0362,10.2515,0.1952,1.7102,0.0394,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,16.7848,0.0233,10.0318,0.1412,1.7756,0.0279,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,16.4637,0.0104,9.6451,0.0967,1.8909,0.0193,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,16.1956,0.0226,9.1235,0.1953,2.0463,0.0421,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,16.9257,0.014,10.1316,0.1646,1.7459,0.0328,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,16.2523,0.0119,9.3641,0.1368,1.9746,0.0292,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,16.154,0.0219,9.0661,0.2106,2.0634,0.0454,0.4623,0.0023,59.9071,0.2423,175.2274,0.0132,166.8918,0.0078,17.9451,0.0454,10.4489,0.2488,1.6513,0.0508,0.4623,0.0023,59.9071,0.2423,18.374853134155277,0.1199188530445098,18.1377067565918,0.1679037064313888,17.83627700805664,0.1908354014158249,17.574790954589844,0.1242395639419555,17.793006896972656,0.1366690397262573,17.63172721862793,0.0258290693163871,17.22072410583496,0.0698096230626106,17.27535629272461,0.0211441796272993,17.17917823791504,0.0304944589734077,17.066247940063477,0.026104899123311,17.020401000976562,0.0841810256242752,17.07888412475586,0.0791006535291671
21507,0234m692,7374,PSF,23.4191639383167,-69.30994700675836,0.023159832,1.4474126,3.2901022,5.0009823,7.6523757,20.017498,20.61484,17.561365,,0.89154243,0.45461464,0.91646576,0.46185112,23.419,-69.31,32,2,01 33 40.56,-69 18 36.0,0.0,,18.9275,18.6567,0.2826210807228296,iDR4_3_MC0050_0037312,1.21635684263513,352.8291,0.0297,308.1104,0.0377,17.3073,0.0141,7.8376,0.0987,0.9845,0.0160,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,18.4026,0.0961,7.6689,0.2002,0.8023,0.0373,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,18.5257,0.1522,7.6805,0.1893,0.8147,0.0352,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.9337,0.0769,7.6909,0.1796,0.8260,0.0332,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.8862,0.0673,7.7043,0.1674,0.8405,0.0308,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.4805,0.0408,7.7614,0.1223,0.9021,0.0215,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.2553,0.0185,7.8618,0.1050,1.0106,0.0172,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.0487,0.0449,7.9972,0.2102,1.1569,0.0381,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.7091,0.0207,7.7354,0.1412,0.8741,0.0255,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.1229,0.0208,7.9347,0.1529,1.0894,0.0268,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,17.2085,0.0468,8.0121,0.2248,1.1730,0.0409,0.7475,0.0065,-18.869,1.2562,352.8291,0.0297,308.1104,0.0377,19.0303,0.1065,7.6531,0.2155,0.7851,0.0403,0.7475,0.0065,-18.869,1.2562,17.770994186401367,0.1022317036986351,18.099197387695312,0.2386749535799026,17.563318252563477,0.2188633233308792,17.43804168701172,0.1605403423309326,17.41798210144043,0.1416658014059066,17.209312438964844,0.0254916902631521,16.901691436767578,0.0759291425347328,16.899703979492188,0.0217732694000005,16.79115867614746,0.0310141369700431,16.556283950805664,0.0238040294498205,16.375259399414062,0.0679044127464294,16.50469398498535,0.0681448951363563
82197,0550m487,8476,SER,55.13265426951509,-48.62954589610883,0.011502105,28.383574,33.2056,35.847336,37.533463,19.090052,19.351248,18.000803,14.357141,0.17036057,0.083114624,0.1330185,0.04990387,55.1325,-48.6295,59,2,03 40 31.80,-48 37 46.2,0.0,,19.8076,19.7691,0.4025312096802061,iDR4_3_SPLUS-s37s29_0002144,1.14583911342514,249.4311,0.0196,249.0833,0.0192,18.9189,0.0238,1.8185,0.0326,0.3499,0.0821,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,19.5673,0.1105,1.7399,0.0698,0.5911,0.2177,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,20.5546,0.5062,1.7453,0.0664,0.5746,0.2062,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,18.9021,0.1013,1.7502,0.0634,0.5597,0.1959,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,19.4125,0.1466,1.7564,0.0596,0.5405,0.1828,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,19.0155,0.0708,1.7830,0.0449,0.4589,0.1303,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,19.0176,0.0285,1.8298,0.0320,0.3153,0.0794,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,18.9577,0.0632,1.8928,0.0564,0.1217,0.1698,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,19.0435,0.0315,1.7709,0.0512,0.4960,0.1533,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,18.7461,0.0283,1.8637,0.0411,0.2110,0.1148,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,18.7659,0.1265,1.8998,0.0605,0.1004,0.1841,0.5819,0.0173,-45.7395,2.011,249.4311,0.0196,249.0833,0.0192,19.7353,0.0723,1.7325,0.0745,0.6138,0.2336,0.5819,0.0173,-45.7395,2.011,19.977954864501957,0.2241345942020416,20.025047302246094,0.4598474502563476,20.108402252197266,0.8947093486785889,18.488365173339844,0.188099205493927,19.453533172607425,0.4432517290115356,18.87943458557129,0.0664909482002258,19.12279319763184,0.2401874512434005,18.72368049621582,0.0516160912811756,19.132801055908203,0.0902542173862457,18.538393020629883,0.0655973181128501,18.68811416625977,0.170421227812767,18.596946716308597,0.130256175994873
82197,0550m487,8588,REX,55.13591683083962,-48.62590921258528,0.011558753,63.13262,86.06388,97.52333,104.68456,17.818495,18.271765,16.325787,16.01971,0.33641624,0.1357193,0.21265602,0.07693672,55.1357083,-48.6258889,59,3,03 40 32.57,-48 37 33.2,0.0,,19.8994,19.4277,0.5015588381010342,iDR4_3_SPLUS-s38s28_0032565,1.20763530774593,253.0488,0.0171,280.247,0.0172,17.7013,0.0196,2.7152,0.0401,1.6195,0.0672,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,18.7720,0.0757,1.8410,0.0604,1.0973,0.1637,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,18.6896,0.1169,1.9007,0.0568,1.1330,0.1548,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,18.4875,0.0909,1.9548,0.0537,1.1653,0.1469,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,18.3058,0.0745,2.0244,0.0498,1.2069,0.1369,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,17.8666,0.0414,2.3199,0.0378,1.3834,0.0978,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,17.6772,0.0218,2.8402,0.0452,1.6943,0.0682,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,17.2167,0.041,3.5419,0.0886,2.1134,0.1442,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,18.096,0.0259,2.1856,0.0422,1.3032,0.1147,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,17.319,0.0258,3.2183,0.0668,1.9201,0.1005,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,17.3173,0.0445,3.6192,0.0940,2.1596,0.1555,0.9842,0.0146,32.8737,41.4128,253.0488,0.0171,280.247,0.0172,19.1769,0.0622,1.7587,0.0656,1.0482,0.1760,0.9842,0.0146,32.8737,41.4128,19.14933967590332,0.139818325638771,18.80178451538086,0.1840919107198715,19.237504959106445,0.4835542440414428,18.536771774291992,0.2366316318511963,18.78871726989746,0.2878107726573944,18.05281639099121,0.0376342684030532,17.739152908325195,0.0805423706769943,17.625913619995117,0.0296748522669076,17.619739532470703,0.0287131872028112,17.342548370361328,0.0292153991758823,17.23413848876953,0.0637138336896896,17.642820358276367,0.0916835218667984
83150,0550m485,7533,REX,55.15103067821671,-48.62424917136797,0.011718989,269.88083,417.2757,512.4296,596.34595,15.906247,16.312056,13.958205,13.123792,0.47312737,0.22302818,0.38768768,0.1646595,55.151,-48.6245,59,4,03 40 36.24,-48 37 28.2,0.0,,18.0358,17.7545,0.9059291316776528,iDR4_3_SPLUS-s38s28_0031957,1.20763530774593,187.3518,0.0174,290.6594,0.0153,15.8909,0.0079,8.4677,0.0518,1.0754,0.0095,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,17.1998,0.0405,7.5554,0.0851,0.4600,0.0164,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,17.0587,0.0617,7.6177,0.0800,0.5021,0.0155,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.9082,0.0488,7.6742,0.0756,0.5402,0.0146,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.6245,0.0372,7.7468,0.0701,0.5891,0.0136,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.1489,0.0193,8.0551,0.0519,0.7972,0.0101,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.8639,0.0088,8.5982,0.0581,1.1635,0.0105,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.4947,0.0175,9.3305,0.1165,1.6574,0.0208,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,16.3631,0.0108,7.9151,0.0589,0.7027,0.0115,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.5579,0.0104,8.9928,0.0868,1.4296,0.0155,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,15.4659,0.0176,9.4112,0.1238,1.7118,0.0221,0.8581,0.0029,-54.6874,1.2365,187.3518,0.0174,290.6594,0.0153,17.4866,0.0303,7.4696,0.0923,0.4022,0.0177,0.8581,0.0029,-54.6874,1.2365,17.468536376953125,0.0724589452147483,17.078155517578125,0.0925372615456581,17.283510208129883,0.1977006644010543,16.993669509887695,0.1400895118713379,16.43703269958496,0.0813681855797767,16.308128356933594,0.0183923430740833,16.127235412597656,0.0444826707243919,15.918842315673828,0.0121796876192092,15.866507530212402,0.0139172011986374,15.526888847351074,0.0134073263034224,15.347267150878906,0.027472723275423,15.350592613220217,0.0273139122873544
155430,0201m320,8846,SER,20.24462727220963,-32.06282642816967,0.026235,34.57576,41.69236,44.38133,46.322803,19.040924,18.468042,,10.877768,0.20321083,0.06785965,0.11434746,0.04648781,20.2445,-32.0626111,28,1,01 20 58.68,-32 03 45.4,0.0724,,19.6806,19.5659,0.8669933007270216,iDR4_3_SPLUS-s25s14_0023259,1.16271519890744,114.9862,0.0174,331.4561,0.0243,16.7267,0.0099,7.8671,0.0761,1.2857,0.0167,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,17.9730,0.0413,8.2377,0.1525,1.0728,0.0366,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,17.7531,0.0528,8.2124,0.1447,1.0873,0.0346,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,17.5343,0.0401,8.1894,0.1378,1.1005,0.0328,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,17.4208,0.0344,8.1599,0.1291,1.1175,0.0305,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,16.9786,0.0199,8.0347,0.0964,1.1894,0.0218,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,16.7208,0.011,7.8141,0.0788,1.3162,0.0176,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,16.481,0.0249,7.5167,0.1483,1.4871,0.0369,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,17.195,0.0143,8.0916,0.1101,1.1567,0.0255,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,16.559,0.014,7.6539,0.1089,1.4083,0.0264,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,16.4356,0.0223,7.4839,0.1586,1.5059,0.0396,0.6203,0.0035,14.3941,0.5564,114.9862,0.0174,331.4561,0.0243,18.2824,0.0335,8.2725,0.1635,1.0528,0.0395,0.6203,0.0035,14.3941,0.5564,19.732934951782227,0.1415324807167053,19.66021156311035,0.2416573315858841,20.30128288269043,0.7187835574150085,18.50988006591797,0.1245912909507751,19.002422332763672,0.1842444837093353,18.684572219848636,0.0472078956663608,18.308229446411133,0.0794686526060104,18.427978515625,0.0432813726365566,18.418851852416992,0.0509053841233253,18.215255737304688,0.0575263164937496,18.281417846679688,0.1540214121341705,18.16851043701172,0.1125001981854438
155430,0201m320,9141,SER,20.2526136443005,-32.05851136884929,0.026182787,148.43083,272.79367,368.0071,444.52142,16.026674,16.470709,14.870979,13.69465,0.66077614,0.32505417,0.53014565,0.20509148,20.2524167,-32.0586111,28,2,01 21 00.58,-32 03 31.0,0.0726,,19.1253,18.6568,0.6999731848277215,iDR4_3_SPLUS-s25s14_0023466,1.16271519890744,372.015,0.027,185.0397,0.0436,18.5189,0.0249,4.1206,0.0686,1.0607,0.0556,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,19.6141,0.0950,4.0489,0.1113,0.5504,0.1001,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,19.2110,0.1074,4.0538,0.1044,0.5853,0.0935,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.8729,0.0725,4.0582,0.0984,0.6169,0.0876,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.9189,0.0695,4.0639,0.0910,0.6575,0.0803,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.5596,0.0423,4.0882,0.0668,0.8299,0.0553,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.5168,0.029,4.1309,0.0778,1.1337,0.0648,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.3409,0.0719,4.1885,0.1583,1.5432,0.1417,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.7006,0.0254,4.0772,0.0760,0.7516,0.0651,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.2906,0.0353,4.1619,0.1178,1.3543,0.1035,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,18.2061,0.0565,4.1948,0.1683,1.5884,0.1512,0.3941,0.0104,18.802,0.981,372.015,0.027,185.0397,0.0436,19.5561,0.0568,4.0421,0.1211,0.5024,0.1095,0.3941,0.0104,18.802,0.981,18.36183357238769,0.0558371990919113,18.031784057617188,0.0752438977360725,17.930997848510742,0.1131219938397407,17.511865615844727,0.0691567584872245,17.41523551940918,0.060067806392908,17.08760643005371,0.0155365578830242,16.875045776367188,0.0301211271435022,16.5203800201416,0.0108148418366909,16.44911003112793,0.0120338164269924,16.188255310058594,0.0126586891710758,16.01656150817871,0.0271791573613882,16.01120948791504,0.0216485112905502
155430,0201m320,9981,SER,20.27815691689498,-32.0500743178396,0.02635827,24.378428,26.56906,24.89392,24.253307,,,,,0.09342575,-0.07070732,-0.099012375,-0.028305054,20.2784167,-32.0501111,28,3,01 21 06.82,-32 03 00.4,0.0722,,20.1093,19.6308,0.8036611022192544,iDR4_3_SPLUS-s25s14_0023490,1.16271519890744,328.0535,0.0206,213.3613,0.0131,16.4378,0.0078,10.4163,0.0749,1.2132,0.0126,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,18.0337,0.0435,10.8668,0.1460,0.6661,0.0250,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,17.8764,0.0596,10.8360,0.1386,0.7035,0.0237,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,17.6472,0.0443,10.8081,0.1319,0.7374,0.0224,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,17.365,0.033,10.7723,0.1236,0.7809,0.0209,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,16.8103,0.0174,10.6200,0.0927,0.9658,0.0152,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,16.3803,0.0085,10.3519,0.0780,1.2915,0.0135,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,15.9577,0.017,9.9903,0.1462,1.7307,0.0272,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,17.0741,0.0122,10.6892,0.1056,0.8818,0.0176,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,16.0923,0.0101,10.1570,0.1080,1.5281,0.0198,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,15.8924,0.0152,9.9505,0.1561,1.7790,0.0291,0.3859,0.0017,57.6239,0.1999,328.0535,0.0206,213.3613,0.0131,18.4102,0.036,10.9092,0.1566,0.6147,0.0270,0.3859,0.0017,57.6239,0.1999,19.436094284057617,0.0873180776834487,19.26105308532715,0.1334936469793319,19.00772857666016,0.1750795692205429,18.94489479064941,0.1472899615764618,18.738683700561523,0.1156348586082458,18.469043731689453,0.031284362077713,18.315357208251957,0.063683733344078,18.178550720214844,0.027637867256999,18.208898544311523,0.0335745513439178,17.880081176757812,0.0336554795503616,17.80145835876465,0.0783266201615333,17.883766174316406,0.0684698671102523
155430,0201m320,10387,SER,20.29108124601455,-32.04061563232854,0.026457714,147.64113,227.36023,279.70554,302.693,16.879856,17.385614,15.93232,16.234596,0.46876907,0.22496605,0.31071854,0.08575249,20.2909167,-32.0405,28,4,01 21 09.82,-32 02 25.8,0.0352,,19.0883,18.6107,0.652244438313122,iDR4_3_SPLUS-s25s14_0029551,1.16271519890744,183.7245,0.0428,269.1097,0.022,18.1994,0.017,4.8238,0.0585,0.5862,0.0370,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,19.3849,0.0789,4.6435,0.1098,0.4591,0.0772,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,19.0097,0.0916,4.6558,0.1040,0.4678,0.0731,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,18.7707,0.0667,4.6670,0.0989,0.4757,0.0695,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,18.744,0.0601,4.6813,0.0926,0.4858,0.0649,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,18.3612,0.0356,4.7423,0.0696,0.5287,0.0477,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,18.2383,0.0202,4.8496,0.0619,0.6044,0.0385,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,18.0094,0.0513,4.9943,0.1170,0.7064,0.0753,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,18.5012,0.0205,4.7146,0.0791,0.5092,0.0550,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,17.9423,0.0224,4.9276,0.0868,0.6593,0.0546,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,17.854,0.0383,5.0103,0.1247,0.7176,0.0806,0.3248,0.0059,78.0948,0.5484,183.7245,0.0428,269.1097,0.022,19.558,0.0549,4.6265,0.1178,0.4471,0.0829,0.3248,0.0059,78.0948,0.5484,18.20245933532715,0.0475165359675884,17.872896194458008,0.0635090097784996,17.648544311523438,0.0844930633902549,17.501022338867188,0.0654947310686111,17.33175277709961,0.053202748298645,17.207992553710938,0.0164601001888513,17.0241641998291,0.0327175855636596,16.75259017944336,0.0125986579805612,16.740175247192383,0.0147567270323634,16.576595306396484,0.0170988570898771,16.46815299987793,0.038471158593893,16.451358795166016,0.0306530650705099
146988,0295m337,10434,SER,29.6593525435057,-33.77359425372538,0.01881649,50.859344,111.07315,154.46835,192.9597,16.942366,17.176037,15.381022,13.768613,0.84809685,0.3580761,0.5996437,0.24156761,29.6595,-33.7735,39,1,01 58 38.28,-33 46 24.6,0.157394,,20.2724,20.2398,0.5566354327227331,iDR4_3_SPLUS-s26s19_0013732,2.04626937661984,266.091,0.0308,262.0404,0.0292,17.6107,0.0133,7.2374,0.0643,0.6952,0.0181,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,18.6582,0.0578,7.1239,0.1127,0.5178,0.0365,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,18.1448,0.0574,7.1316,0.1065,0.5299,0.0344,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,18.0781,0.0498,7.1387,0.1010,0.5409,0.0325,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.9408,0.0429,7.1477,0.0942,0.5550,0.0302,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.7573,0.0273,7.1861,0.0706,0.6150,0.0216,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.6142,0.0148,7.2536,0.0700,0.7206,0.0198,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.4234,0.0356,7.3447,0.1360,0.8631,0.0414,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.8534,0.0151,7.1686,0.0800,0.5878,0.0252,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.4406,0.0186,7.3027,0.1014,0.7974,0.0300,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,17.4066,0.0311,7.3547,0.1447,0.8787,0.0442,0.2426,0.0021,-46.6017,0.2189,266.091,0.0308,262.0404,0.0292,18.6967,0.0395,7.1132,0.1215,0.5011,0.0395,0.2426,0.0021,-46.6017,0.2189,19.789608001708984,0.1751879453659057,19.53986358642578,0.2316616028547287,19.47780418395996,0.3551959097385406,19.185659408569336,0.2455141097307205,18.61994743347168,0.140150561928749,18.295928955078125,0.0326419100165367,18.1393985748291,0.0707909241318702,17.632654190063477,0.0217905919998884,17.47153091430664,0.0211374219506979,17.176013946533203,0.0219673234969377,17.033832550048828,0.0441443584859371,16.97989845275879,0.0352747961878776
