Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,e_mag_g,e_mag_r,e_mag_i,e_mag_z,FUV_corrected,NUV_corrected
11,2,0.0931,7.797374162347395,-25.49057113235629,1.2617131253110898,1.184213702520303,12.2519,1.2662,13.3168,2.8539,14.3329,4.3688,15.4328,6.0087,0.008,0.0016,0.0122,0.0026,0.0234,0.005,0.0365,0.0078,16.244465332924257,15.678733547580801,15.277822068276402,15.117699615820818,0.016199168,4.499375863540714E-4,3.5840388501546703E-4,4.91483000163039E-4,6.377083728010966E-4,18.470191248950815,18.116214544334657
11,4,0.0931,7.835637111264248,-25.4978180009287,0.7265419777832207,0.7097635257313932,10.6028,1.2817,10.5058,1.5102,10.4133,1.7282,10.313,1.9641,0.0285,0.0051,0.0224,0.004,0.0402,0.0074,0.0662,0.0122,18.52190115412773,18.230837939440985,17.887477419833377,17.925569219406974,0.015955556,0.0015012445585323398,0.0014459073135071028,0.0023810432493026564,0.004052978474152503,19.6563166909231,19.454142413154322
11,1,0.0931,7.791397378063242,-25.49810943981049,0.5165852953072516,0.44188618618752074,8.7669,0.592,8.7202,0.6367,8.6756,0.6793,8.6273,0.7255,0.0095,0.0029,0.0062,0.0015,0.0098,0.0025,0.0166,0.0046,18.58751050752874,18.277392705342727,17.911091500923497,17.931335965840812,0.016303431,0.0012173609766337687,0.0011267653167791026,0.0016878072811963663,0.002760432639548668,20.326010039782783,19.979034119344245
13,2,0.041095,9.27354954962033,-63.44431133176228,,0.41926731462567446,20.8522,0.8748,20.7105,1.3764,20.5753,1.855,20.4289,2.3731,0.0118,0.001,0.0092,8.0E-4,0.0151,0.0014,0.0245,0.0023,,,,,0.02145948,Infinity,Infinity,Infinity,Infinity,18.606753737698142,
13,1,0.041095,9.238683763702836,-63.44049451525331,1.4295784117550152,1.482558415429958,13.7446,1.2138,13.5688,1.4004,13.401,1.5784,13.2195,1.771,0.0054,0.001,0.0034,6.0E-4,0.0039,7.0E-4,0.0066,0.0012,16.327586305388497,15.482353051795572,15.118212995770604,14.840901595455493,0.021494443,4.040217692545418E-4,3.1045016006750074E-4,2.2605064382566923E-4,3.5599116054809955E-4,19.823791005652343,19.374908974349225
13,3,0.041095,9.295400900782896,-63.43775771911234,0.7423931583396133,0.7951693294974458,,,0.6821,,0.9165,,1.1703,,,,0.012,,0.0148,,0.0259,,19.95793560748737,19.377372199513804,19.090546902484153,18.746502228635773,0.021344265,0.0027080397399477456,0.0023004324416985894,0.0018746695114981702,0.0028647452058084086,19.92691729971736,19.898532411804144
13,4,0.041095,9.324959678182235,-63.44024534613383,-0.10097323957767479,-0.091294942967318,4.5703,1.4058,4.7439,1.4402,4.9094,1.473,5.0886,1.5085,0.0055,0.0039,0.0033,0.0025,0.0045,0.0027,0.0077,0.0044,18.07858222006012,17.526262850711714,17.287927793237,17.130076314951445,0.021237023,9.586925365895614E-4,8.435290862026661E-4,7.554598008067906E-4,0.0012655661064501023,20.0728435353433,19.84266521637999
14,1,0.077266,9.413276734868823,-9.046817280354563,0.7321272236746541,0.7799073847382729,13.1037,0.9641,12.789,1.0311,12.4888,1.095,12.1637,1.1643,0.0141,0.0018,0.0096,0.0012,0.0111,0.0015,0.0176,0.0024,17.342374434038053,16.661640370039557,16.310863108298193,16.145948156814118,0.035117216,0.0012243611608200357,0.001058726301391601,0.0015230767186874758,0.0011554129362432775,18.791137943870485,18.892568459992052
14,2,0.07588,9.421045190534482,-9.05643554421165,0.5999781423828399,0.586693429690655,19.4436,1.1279,18.2469,1.4605,17.1052,1.7777,15.8692,2.1212,0.0301,0.0034,0.0195,0.0023,0.0251,0.0036,0.0415,0.0061,17.872091876522127,17.058203270699384,16.667749356304768,16.429924223662987,0.034914233,0.0015101329108553668,0.0014604318712217487,0.0016890023928590391,0.0013820895900895549,20.057619785805464,19.51750620656786
14,4,0.077266,9.435477271748589,-9.059062043858258,0.7191043660029628,0.6018892050063513,16.4307,1.3092,16.5869,1.5169,16.7359,1.7151,16.8971,1.9296,0.0523,0.0055,0.0468,0.0048,0.0753,0.0082,0.1177,0.013,17.7320967216371,17.316401823016296,17.01252383833073,16.98117799809369,0.034796927,0.001974721305873061,0.002287920050651682,0.00344725656886883,0.003273939009713961,19.521196236546494,19.067930186415758
14,3,0.076528,9.43272662799252,-9.065429631438676,0.7892342120176394,0.5382275330255695,13.4102,1.0977,13.106,1.197,12.8158,1.2918,12.5017,1.3944,0.0273,0.0034,0.0211,0.0026,0.0316,0.0042,0.0502,0.0068,17.65070293779937,17.20086446583503,16.89758803584397,16.869597187974346,0.034714714,0.0016143032975728055,0.001986717951842651,0.002942065939200718,0.002530895984247719,19.659510085420386,18.871765240301023
15,3,0.063567,9.490176731544569,-25.07375695424441,0.46864373540893567,0.4184001236327468,43.4472,3.975,41.8101,4.0048,40.248,4.0332,38.557,4.064,0.0592,0.0035,0.0356,0.0021,0.0332,0.002,0.0557,0.0033,14.984255418913428,14.006366087180615,13.572005600091817,13.27348468454522,0.015804822,2.681538427998026E-4,1.7488407739689346E-4,1.7179704824587624E-4,2.167227574927902E-4,19.55613536971546,19.270298192635792
