Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,type_2,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
28,2,9141,20.2526136443005,-32.05851136884929,SER,0.617147559289692,849.7222,0.0033,610.7536,0.0021,21.0406,0.0133,16.9935,6.0E-4,0.8906,0.0011,0.416,1.0E-4,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,20.6192,0.0080,16.3403,4.0E-4,1.1242,0.0006,0.416,1.0E-4,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,20.2171,0.0114,16.0329,6.0E-4,1.3470,0.0010,0.416,1.0E-4,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,19.7818,0.0198,15.8518,8.0E-4,1.5883,0.0017,0.416,1.0E-4,57.5414,0.0156,155430,0201m320,9141,SER,0.026182787,148.43083,272.79367,368.0071,444.52142,1.3678213,1.1870127,1.1909599,1.4143497,1.1008254,868519.5,5.104048,411549.56,-0.19427054,1.4601179E7,0.3673773,2.2643144E7,17.07119,16.410414,16.08536,15.880268,16.026674,16.470709,14.870979,13.69465,0.66077614,0.32505417,0.53014565,0.20509148,20.2524167,-32.0586111,01 21 00.58,-32 03 31.0,0.0726,,19.1253,18.6568,Simbad,0.0
28,1,8846,20.24462727220963,-32.06282642816967,SER,0.617147559289692,942.5316,0.0025,551.4504,0.0057,7.8737,0.0101,18.6756,0.0011,0.6432,0.0036,0.3225,4.0E-4,16.733,0.0384,942.5316,0.0025,551.4504,0.0057,8.0469,0.0083,18.4354,0.001,0.7986,0.0021,0.3225,4.0E-4,16.733,0.0384,942.5316,0.0025,551.4504,0.0057,8.2121,0.0145,18.3355,0.0017,0.9469,0.0042,0.3225,4.0E-4,16.733,0.0384,942.5316,0.0025,551.4504,0.0057,8.3910,0.0234,18.3314,0.0024,1.1074,0.0074,0.3225,4.0E-4,16.733,0.0384,155430,0201m320,8846,SER,0.026235,34.57576,41.69236,44.38133,46.322803,1.3678213,1.1870127,1.1909599,1.4143497,0.76497054,75722.5,2.0771072,260929.28,0.4307311,1798294.1,0.28649727,1553671.5,18.65307,18.44986,18.382,18.335512,19.040924,18.468042,,10.877768,0.20321083,0.06785965,0.11434746,0.04648781,20.2445,-32.0626111,01 20 58.68,-32 03 45.4,0.0724,,19.6806,19.5659,Simbad,0.0
32,4,8288,23.45944951864787,-69.33398403722262,SER,0.624711404673561,532.8176,0.0088,513.7808,0.0051,20.0133,0.0719,16.8629,0.0029,1.5500,0.0075,0.4361,5.0E-4,59.8123,0.0604,532.8176,0.0088,513.7808,0.0051,19.6959,0.0365,16.3654,0.0015,1.7384,0.0038,0.4361,5.0E-4,59.8123,0.0604,532.8176,0.0088,513.7808,0.0051,19.3931,0.0621,16.1849,0.0026,1.9181,0.0068,0.4361,5.0E-4,59.8123,0.0604,532.8176,0.0088,513.7808,0.0051,19.0653,0.1158,16.045,0.0045,2.1127,0.0126,0.4361,5.0E-4,59.8123,0.0604,21507,0234m692,8288,SER,0.022333538,173.73677,276.95413,333.55606,387.9602,1.2797232,1.2534566,1.4364719,1.6131548,1.7550057,257001.19,5.1623344,203610.0,-0.18051742,7883114.5,0.34509215,1.1798124E7,16.90027,16.39398,16.192078,16.028032,16.307718,16.737568,14.807714,14.363768,0.50629044,0.20190239,0.36594772,0.16404533,23.4589167,-69.3338889,01 33 50.14,-69 20 02.0,0.0,,18.8685,18.3972,Simbad,0.0
32,2,7374,23.4191639383167,-69.30994700675836,PSF,0.624711404673561,727.4753,0.0235,844.1869,0.0267,28.0793,0.1988,17.09,0.0062,1.3552,0.0111,0.8591,0.0021,-2.0218,0.6679,727.4753,0.0235,844.1869,0.0267,27.6092,0.0987,16.6148,0.0031,1.4884,0.0054,0.8591,0.0021,-2.0218,0.6679,727.4753,0.0235,844.1869,0.0267,27.1607,0.1833,16.4521,0.0061,1.6155,0.0106,0.8591,0.0021,-2.0218,0.6679,727.4753,0.0235,844.1869,0.0267,26.6753,0.3420,16.3695,0.0112,1.7531,0.0199,0.8591,0.0021,-2.0218,0.6679,21507,0234m692,7374,PSF,0.023159832,1.4474126,3.2901022,5.0009823,7.6523757,1.2438936,1.2554036,1.4364719,1.8664048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.098518,21.206976,20.752361,20.29051,20.017498,20.61484,17.561365,,0.89154243,0.45461464,0.91646576,0.46185112,23.419,-69.31,01 33 40.56,-69 18 36.0,0.0,,18.9275,18.6567,Simbad,0.0
32,1,6556,23.38287520992754,-69.31228126334031,SER,0.624711404673561,903.4767,0.0167,813.0307,0.0214,16.4178,0.0781,17.5442,0.0044,0.9633,0.0068,0.7593,0.0017,-18.3234,0.3447,903.4767,0.0167,813.0307,0.0214,16.6225,0.0454,17.1218,0.0025,1.0551,0.0038,0.7593,0.0017,-18.3234,0.3447,903.4767,0.0167,813.0307,0.0214,16.8178,0.0848,16.9771,0.0052,1.1427,0.0074,0.7593,0.0017,-18.3234,0.3447,903.4767,0.0167,813.0307,0.0214,17.0292,0.1505,16.8912,0.0089,1.2375,0.0134,0.7593,0.0017,-18.3234,0.3447,21507,0234m692,6556,SER,0.02279285,94.98003,138.08308,157.04253,171.20233,1.2569959,1.2606013,1.4364719,1.8664048,1.0262741,244821.67,4.3007584,135655.88,0.11043674,3212105.5,-0.08710121,2531933.2,17.55592,17.149649,17.009956,16.916225,17.694866,18.491804,19.555277,,0.40627098,0.1396923,0.23342323,0.09373093,23.3835833,-69.3123056,01 33 32.06,-69 18 44.3,0.0,,19.2767,18.9956,Simbad,0.0
32,3,8067,23.44873690246612,-69.32935004777504,EXP,0.624711404673561,585.2215,0.0209,580.2456,0.0299,12.8365,0.0644,18.3204,0.0046,0.8078,0.0095,0.6745,0.0019,-6.0144,0.3269,585.2215,0.0209,580.2456,0.0299,12.4027,0.0427,17.9151,0.0028,0.6676,0.0053,0.6745,0.0019,-6.0144,0.3269,585.2215,0.0209,580.2456,0.0299,11.9889,0.0470,17.7324,0.0047,0.5338,0.0063,0.6745,0.0019,-6.0144,0.3269,585.2215,0.0209,580.2456,0.0299,11.5409,0.0741,17.6476,0.0073,0.3889,0.0116,0.6745,0.0019,-6.0144,0.3269,21507,0234m692,8067,EXP,0.022504775,45.145473,60.83609,64.89798,68.20066,1.2675489,1.2447916,1.4364719,1.6131548,1.0,0.0,3.1061664,86406.195,0.05778279,920751.0,0.06251147,984413.4,18.363464,18.039597,17.969421,17.91553,18.372047,18.511602,16.19956,,0.3238678,0.07017517,0.12406731,0.053892136,23.4485833,-69.3293889,01 33 47.66,-69 19 45.8,0.0,,20.0152,19.5624,Simbad,0.0
36,1,682,26.88918569427224,-30.2617488125907,REX,0.65056318019576,824.3058,0.0013,639.5767,0.0012,12.7935,0.0067,16.0208,4.0E-4,1.6745,0.0012,0.9222,2.0E-4,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,12.2872,0.0038,15.6788,3.0E-4,1.7504,0.0007,0.9222,2.0E-4,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,11.8041,0.0060,15.6437,4.0E-4,1.8229,0.0010,0.9222,2.0E-4,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,11.2811,0.0106,15.5605,7.0E-4,1.9013,0.0018,0.9222,2.0E-4,76.3119,0.1208,164091,0270m302,682,REX,0.01652258,319.4851,439.38245,467.07123,533.17664,1.4873296,1.268657,1.2035733,1.0305072,1.0,0.0,2.5174994,3585981.8,0.0,0.0,0.0,0.0,16.238873,15.892893,15.826542,15.682822,16.327017,16.744072,14.403498,,0.3459797,0.06635094,0.21007061,0.14371967,26.8894167,-30.2618889,01 47 33.46,-30 15 42.8,0.0428,,17.3607,17.2249,Simbad,0.0
36,4,1575,26.91354851874674,-30.24911880652262,SER,0.65056318019576,534.4253,0.0024,812.6782,0.0022,3.9111,0.0232,18.6966,0.003,3.6666,0.0286,0.6099,0.0017,50.0805,0.1714,534.4253,0.0024,812.6782,0.0022,4.5501,0.0180,18.3956,0.0022,3.4877,0.0178,0.6099,0.0017,50.0805,0.1714,534.4253,0.0024,812.6782,0.0022,5.1599,0.0319,18.3529,0.0034,3.3170,0.0208,0.6099,0.0017,50.0805,0.1714,534.4253,0.0024,812.6782,0.0022,5.8199,0.0525,18.2158,0.0054,3.1321,0.0347,0.6099,0.0017,50.0805,0.1714,164091,0270m302,1575,SER,0.016972756,33.459236,38.817207,37.649544,39.328484,1.5371915,1.2979974,1.204003,1.0283935,2.9017587,3506.0486,1.0179105,330069.66,-0.027999522,329776.44,0.21844283,545847.8,18.68871,18.52744,18.5606,18.513231,19.210167,19.5645,,14.275536,0.16127014,-0.033161163,0.01420784,0.047369003,26.9132917,-30.2491944,01 47 39.19,-30 14 57.1,0.0428,,19.8025,19.4564,Simbad,0.0
36,3,1259,26.90490354802899,-30.25425529877529,SER,0.65056318019576,637.0379,0.0018,741.574,0.0011,9.6617,0.0048,16.8548,4.0E-4,1.1510,0.0013,0.55,1.0E-4,-78.1637,0.0203,637.0379,0.0018,741.574,0.0011,9.6903,0.0029,16.3701,3.0E-4,1.1760,0.0008,0.55,1.0E-4,-78.1637,0.0203,637.0379,0.0018,741.574,0.0011,9.7175,0.0040,16.1937,4.0E-4,1.2000,0.0010,0.55,1.0E-4,-78.1637,0.0203,637.0379,0.0018,741.574,0.0011,9.7470,0.0071,16.0471,6.0E-4,1.2259,0.0018,0.55,1.0E-4,-78.1637,0.0203,164091,0270m302,1259,SER,0.016820092,179.91002,273.8398,321.8695,368.18576,1.4861591,1.2979974,1.204003,1.0283935,1.1466697,835755.25,2.5014238,2160465.0,-0.25693518,2.2517992E7,-0.11687366,1.5771299E7,16.862362,16.406258,16.2308,16.084833,16.63387,17.129385,16.11406,,0.45610428,0.175457,0.32142448,0.14596748,26.9049167,-30.2543056,01 47 37.18,-30 15 15.5,0.0,,19.4921,18.6985,Simbad,0.0
36,2,896,26.8952270149351,-30.26768591844592,SER,0.65056318019576,751.9881,0.0022,559.5413,0.0074,11.3676,0.0119,18.4654,0.001,0.5438,0.0030,0.1853,3.0E-4,-4.6428,0.0199,751.9881,0.0022,559.5413,0.0074,10.9358,0.0069,18.2479,9.0E-4,0.5376,0.0015,0.1853,3.0E-4,-4.6428,0.0199,751.9881,0.0022,559.5413,0.0074,10.5239,0.0109,18.2675,0.0013,0.5316,0.0025,0.1853,3.0E-4,-4.6428,0.0199,751.9881,0.0022,559.5413,0.0074,10.0779,0.0193,18.2238,0.0022,0.5251,0.0047,0.1853,3.0E-4,-4.6428,0.0199,164091,0270m302,896,SER,0.016626108,40.9404,52.02528,54.656178,59.497013,1.4873296,1.268657,1.2035733,1.0305072,1.3799441,36644.793,3.725747,55726.93,0.71823764,2685244.0,-0.1381688,2020215.0,18.46962,18.209463,18.155901,18.063763,18.70128,19.499096,,14.158124,0.26015663,0.053562164,0.14570045,0.09213829,26.895,-30.2676111,01 47 34.80,-30 16 03.4,0.0425,,19.2358,18.9576,Simbad,0.0
