Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
16,2,0.086353,12.00123945421535,-63.16669403271604,0.7227344411674785,5.2128,nan,12.9146,nan,20.2632,nan,28.218,nan,0.0397,nan,0.1027,nan,0.1804,nan,0.2667,nan,17.873234,17.168736,16.881025,16.712507,0.019543245
16,4,0.215976,12.04557225387533,-63.15872257113716,1.3905505681372041,20.2828,0.8311,19.9864,0.9599,19.7036,1.0828,19.3975,1.2159,0.0324,0.0024,0.0212,0.0014,0.031,0.0023,0.052,0.004,16.989578,16.438686,16.185827,16.046375,0.019557705
18,1,0.159397,12.27927560073106,-18.2866320671963,1.5445398677030049,5.4089,1.1446,5.1873,1.3634,4.976,1.5722,4.7472,1.7983,0.0048,0.0033,0.0028,0.0019,0.0036,0.0028,0.0063,0.0049,16.288818,15.659925,15.406343,15.203782,0.023887008
18,2,0.159397,12.29286562494236,-18.30786280759166,0.9364198677030018,10.233,0.614,10.2672,0.6808,10.2998,0.7445,10.3352,0.8135,0.0019,0.0004,0.0013,0.0003,0.0016,0.0003,0.0025,0.0006,18.288698,17.951256,17.835266,17.75709,0.02386131
18,4,0.159397,12.31221568686366,-18.31617999953638,1.0340198677030017,14.3749,0.7635,14.4356,0.8168,14.4936,0.8676,14.5564,0.9227,0.0177,0.0026,0.0124,0.0014,0.0194,0.0024,0.032,0.0043,18.2826,17.709484,17.2076,17.045269,0.023851948
18,3,0.159397,12.2954947848856,-18.27013099982027,1.2994998677029983,13.428,2.6474,12.9863,3.0101,12.5648,3.3561,12.1085,3.7308,0.0199,0.0042,0.0122,0.0024,0.0152,0.0033,0.0259,0.0058,16.91518,16.181774,15.838381,15.595117,0.024565043
20,1,0.041238,13.04012577583562,-1.119177251059751,0.22021476966767395,34.2949,0.7657,32.8672,0.9628,31.505,1.1508,30.0303,1.3544,0.0154,0.0009,0.0116,0.0006,0.0134,0.0007,0.0195,0.0013,16.592842,15.869571,15.490888,15.243752,0.051570516
20,4,0.0413,13.05099114252429,-1.111288683922806,-0.05324031560492948,13.8501,1.2425,12.7863,1.3475,11.7714,1.4478,10.6727,1.5562,0.0278,0.0039,0.0145,0.002,0.017,0.0029,0.0325,0.0053,17.467215,16.829493,16.518545,16.326435,0.05183192
20,3,0.104819,13.04660065707238,-1.128448197229796,0.9139796052946476,2.8661,1.0814,3.0283,1.1854,3.1832,1.2846,3.3508,1.392,0.0112,0.0223,0.0066,0.0108,0.0103,0.0159,0.018,0.0308,21.158838,21.205263,21.184563,21.387417,0.051507268
20,2,0.041238,13.04231588811046,-1.109083549669928,-0.3965052303323233,15.2334,0.953,14.5706,1.0009,13.9382,1.0466,13.2537,1.0961,0.013,0.0019,0.0083,0.0011,0.0088,0.0013,0.0143,0.0022,23.970991,23.48852,23.277914,24.560593,0.051510766
22,3,0.1259,14.40623730680628,-35.76529492217725,0.6904710412979895,15.6982,1.1487,15.6693,1.5471,15.6418,1.9272,15.6119,2.3387,0.019,0.002,0.0115,0.0012,0.0135,0.0015,0.0231,0.0025,17.664541,16.76363,16.368637,16.110023,0.015905386
22,4,0.1259,14.42210331313963,-35.76380560490426,0.5756310412979921,6.8046,0.9459,6.5688,1.0209,6.3438,1.0924,6.1003,1.1698,0.025,0.0105,0.015,0.0058,0.0168,0.0068,0.0288,0.0124,19.66278,19.237196,19.036373,18.957876,0.015783668
22,1,0.1259,14.39405519174368,-35.7386845437449,0.60215104129799,11.325,2.3946,10.5999,2.7568,9.9081,3.1024,9.1591,3.4765,0.0266,0.0065,0.013,0.0031,0.011,0.003,0.0242,0.0065,18.86841,18.480759,18.35287,18.252855,0.015916472
23,1,0.067744,15.55490269161658,-17.22199811019127,0.6276012537609024,8.4301,1.0867,8.7909,1.147,9.1352,1.2046,9.508,1.267,0.0096,0.0029,0.0053,0.0018,0.0081,0.0023,0.0146,0.0038,16.415499,15.722004,15.397576,15.193043,0.022165973
23,4,0.067744,15.59404648858646,-17.18606974187302,0.3955212537609025,19.3508,2.0499,20.0865,2.5051,20.7884,2.9395,21.5483,3.4096,0.02,0.0023,0.0101,0.0011,0.0165,0.0017,0.0309,0.0033,17.589321,17.081858,16.874413,16.727966,0.023858592
24,1,0.025441,16.06999899516408,-51.03289212005716,0.026047937011943745,57.7516,2.6943,61.052,3.3431,64.2011,3.9621,67.61,4.6322,0.0263,0.0011,0.0183,0.0008,0.0276,0.001,0.0455,0.0017,14.092329,13.254384,12.872968,12.623947,0.017685674
24,2,0.025441,16.07865415737977,-51.01993933260395,-0.5476720629880543,19.4103,2.042,18.0488,2.291,16.7497,2.5287,15.3434,2.7859,0.0535,0.0063,0.0321,0.0034,0.0411,0.0051,0.071,0.0093,18.168242,17.730085,17.477276,17.387869,0.017435594
26,1,0.0643,16.80270840320432,-32.83567747715625,0.36548152693071145,13.6116,1.2265,12.2773,1.3947,11.0043,1.5551,9.6262,1.7287,0.0037,0.0009,0.0024,0.0006,0.0021,0.0006,0.0033,0.001,17.834425,17.320929,17.108545,16.967478,0.029552748
26,2,0.0638,16.81804207117206,-32.8427817921172,0.12822093852459204,19.4817,0.5078,19.1042,0.6747,18.744,0.8339,18.354,1.0063,0.0051,0.0006,0.0032,0.0004,0.0043,0.0005,0.0073,0.0009,18.98711,18.692116,18.586771,18.505516,0.029327404
26,4,0.035811,16.84741713183292,-32.8290673708472,0.045452478253693585,16.8836,0.9028,16.5453,0.9463,16.2226,0.9877,15.8732,1.0326,0.0594,0.0049,0.047,0.0036,0.0774,0.0065,0.1251,0.0108,15.957093,15.089968,14.717459,14.474657,0.028982436
28,1,0.0724,20.24462727220963,-32.06282642816967,0.347416713476564,17.4979,1.2767,17.054,1.3601,16.6306,1.4396,16.1721,1.5256,0.0183,0.0019,0.011,0.0011,0.0151,0.0016,0.0262,0.0028,18.65307,18.44986,18.382,18.335512,0.026235
28,2,0.0726,20.2526136443005,-32.05851136884929,0.7134528224824574,10.0835,0.543,10.3687,0.6275,10.6408,0.7082,10.9353,0.7955,0.0103,0.0024,0.0077,0.0013,0.0122,0.0023,0.0198,0.0042,17.07119,16.410414,16.08536,15.880268,0.026182787
28,3,0.0722,20.27815691689498,-32.0500743178396,0.3190539762215465,21.0406,0.8906,20.6192,1.1242,20.2171,1.347,19.7818,1.5883,0.0133,0.0011,0.008,0.0006,0.0114,0.001,0.0198,0.0017,19.032486,18.93906,19.009768,19.038073,0.02635827
28,4,0.0352,20.29108124601455,-32.04061563232854,0.10310490803852979,7.8737,0.6432,8.0469,0.7986,8.2121,0.9469,8.391,1.1074,0.0101,0.0036,0.0083,0.0021,0.0145,0.0042,0.0234,0.0074,17.076982,16.608213,16.383247,16.297495,0.026457714
29,2,0.115156,20.41330839888735,-38.10274483052454,0.4351527231557295,7.7444,1.0634,7.2578,1.2644,6.7935,1.4563,6.2909,1.664,0.0201,0.0059,0.0121,0.0032,0.0154,0.0048,0.0265,0.0087,19.235685,18.426811,18.05438,17.867664,0.017717453
29,3,0.115156,20.41619222635546,-38.07807236029036,0.782952723155729,15.476,0.7412,13.9924,0.9088,12.5769,1.0687,11.0445,1.2418,0.0139,0.0019,0.0086,0.001,0.0113,0.0017,0.0192,0.0032,17.994944,17.422543,17.108526,16.953445,0.017943224
29,1,0.115156,20.38887533531592,-38.07229220822765,0.7577927231557293,12.2932,0.6984,12.0622,0.7269,11.8419,0.7542,11.6034,0.7836,0.014,0.0022,0.0091,0.0011,0.014,0.0019,0.0237,0.0035,18.179314,17.781414,17.642902,17.53131,0.017932164
29,4,0.114883,20.43451926412359,-38.06105280715363,0.9156111170937944,7.9402,1.1555,7.409,1.3579,6.9022,1.5511,6.3535,1.7602,0.0076,0.0025,0.0045,0.0014,0.0062,0.0023,0.011,0.0041,17.935352,17.389713,17.089848,16.90862,0.017960101
34,3,0.068968,24.6358900324604,-40.02196211047985,0.41423484525218335,77.428,2.644,74.4018,2.7369,71.5145,2.8255,68.3889,2.9215,0.0516,0.0015,0.0305,0.0009,0.029,0.0008,0.0497,0.0014,17.869692,17.538733,17.43539,17.347921,0.013948152
34,2,0.068968,24.61344207589009,-40.00632048453307,0.5483948452521847,13.5553,1.2462,13.6329,1.527,13.707,1.7949,13.7871,2.0849,0.0203,0.003,0.0113,0.0017,0.0164,0.0024,0.0296,0.0043,16.547413,15.773586,15.443053,15.198019,0.014003525
