Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,Group_2,Gal_2,zmemb
20,1,1471,13.04012577583562,-1.119177251059751,SER,0.550881294713299,756.9186,0.002,659.4763,0.0047,34.2949,0.0154,16.5489,5.0E-4,0.7657,0.0009,0.2277,0.0001,-23.0521,0.0058,756.9186,0.002,659.4763,0.0047,32.8672,0.0116,15.8441,3.0E-4,0.9628,0.0006,0.2277,0.0001,-23.0521,0.0058,756.9186,0.002,659.4763,0.0047,31.5050,0.0134,15.5299,3.0E-4,1.1508,0.0007,0.2277,0.0001,-23.0521,0.0058,756.9186,0.002,659.4763,0.0047,30.0303,0.0195,15.2787,5.0E-4,1.3544,0.0013,0.2277,0.0001,-23.0521,0.0058,324660,0131m010,1471,0.051570516,16.592842,15.869571,15.490888,15.243752,15.001912,15.345359,13.093337,12.205332,20,1,0.041238
20,3,1935,13.04660065707238,-1.128448197229796,EXP,0.550881294713299,676.7578,0.0047,519.8303,0.0034,13.8501,0.0278,17.9135,0.0018,1.2425,0.0039,0.6732,0.0005,-64.1641,0.0925,676.7578,0.0047,519.8303,0.0034,12.7863,0.0145,17.4785,0.001,1.3475,0.0020,0.6732,0.0005,-64.1641,0.0925,676.7578,0.0047,519.8303,0.0034,11.7714,0.0170,17.2249,0.0012,1.4478,0.0029,0.6732,0.0005,-64.1641,0.0925,676.7578,0.0047,519.8303,0.0034,10.6727,0.0325,17.1916,0.0025,1.5562,0.0053,0.6732,0.0005,-64.1641,0.0925,323220,0131m012,1935,0.051507268,21.158838,21.205263,21.184563,21.387417,,,,,20,3,0.104819
20,2,1536,13.04231588811046,-1.109083549669928,REX,0.550881294713299,723.3525,0.0038,783.534,0.0051,2.8661,0.0112,19.7399,0.0022,1.0814,0.0223,0.5483,0.0021,12.1869,0.2279,723.3525,0.0038,783.534,0.0051,3.0283,0.0066,19.4675,0.0018,1.1854,0.0108,0.5483,0.0021,12.1869,0.2279,723.3525,0.0038,783.534,0.0051,3.1832,0.0103,19.3441,0.0025,1.2846,0.0159,0.5483,0.0021,12.1869,0.2279,723.3525,0.0038,783.534,0.0051,3.3508,0.0180,19.2356,0.004,1.3920,0.0308,0.5483,0.0021,12.1869,0.2279,324660,0131m010,1536,0.051510766,23.970991,23.48852,23.277914,24.560593,,,17.390049,,20,2,0.0
20,4,1904,13.05099114252429,-1.111288683922806,SER,0.550881294713299,607.4764,0.0036,767.6451,0.0014,15.2334,0.0130,17.4378,8.0E-4,0.9530,0.0019,0.2954,0.0001,78.0638,0.0124,607.4764,0.0036,767.6451,0.0014,14.5706,0.0083,16.8177,5.0E-4,1.0009,0.0011,0.2954,0.0001,78.0638,0.0124,607.4764,0.0036,767.6451,0.0014,13.9382,0.0088,16.5724,5.0E-4,1.0466,0.0013,0.2954,0.0001,78.0638,0.0124,607.4764,0.0036,767.6451,0.0014,13.2537,0.0143,16.3689,9.0E-4,1.0961,0.0022,0.2954,0.0001,78.0638,0.0124,324660,0131m010,1904,0.05183192,17.467215,16.829493,16.518545,16.326435,16.46787,16.92776,14.921985,13.97155,20,4,0.0413
26,4,7828,16.84741713183292,-32.8290673708472,SER,0.793480348577686,430.8808,4.0E-4,765.8698,8.0E-4,13.6116,0.0037,15.9679,2.0E-4,1.2265,0.0009,0.3725,0.0001,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,12.2773,0.0024,15.0434,1.0E-4,1.3947,0.0006,0.3725,0.0001,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,11.0043,0.0021,14.7278,1.0E-4,1.5551,0.0006,0.3725,0.0001,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,9.6262,0.0033,14.4175,2.0E-4,1.7287,0.0010,0.3725,0.0001,16.5187,0.0053,151766,0167m327,7828,0.028982436,15.957093,15.089968,14.717459,14.474657,14.970778,15.49166,15.527465,,26,4,0.035811
26,3,9564,16.83293887916162,-32.8317691155815,DUP,0.793480348577686,597.545,0.0023,728.8288,0.002,19.4818,0.0051,16.4851,3.0E-4,0.5078,0.0006,0.2544,0.0001,49.8399,0.0051,597.545,0.0023,728.8288,0.002,19.1045,0.0032,15.7765,2.0E-4,0.6747,0.0004,0.2544,0.0001,49.8399,0.0051,597.545,0.0023,728.8288,0.002,18.7444,0.0043,15.4747,3.0E-4,0.8340,0.0005,0.2544,0.0001,49.8399,0.0051,597.545,0.0023,728.8288,0.002,18.3547,0.0073,15.1926,4.0E-4,1.0064,0.0009,0.2544,0.0001,49.8399,0.0051,151766,0167m327,9564,0.029134303,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,26,3,0.035194
26,1,6445,16.80270840320432,-32.83567747715625,REX,0.793480348577686,946.9052,0.0086,674.7876,0.0092,16.5049,0.0287,17.7552,0.0016,0.9076,0.0025,0.9179,0.0007,6.0506,0.496,946.9052,0.0086,674.7876,0.0092,16.3141,0.0209,17.2521,0.0013,1.0749,0.0018,0.9179,0.0007,6.0506,0.496,946.9052,0.0086,674.7876,0.0092,16.1321,0.0340,17.0555,0.002,1.2345,0.0030,0.9179,0.0007,6.0506,0.496,946.9052,0.0086,674.7876,0.0092,15.9351,0.0559,16.9425,0.0032,1.4073,0.0051,0.9179,0.0007,6.0506,0.496,151766,0167m327,6445,0.029552748,17.834425,17.320929,17.108545,16.967478,17.419529,18.017485,18.834425,,26,1,0.0643
26,2,6928,16.81804207117206,-32.8427817921172,EXP,0.793480348577686,771.6877,0.0227,576.8618,0.0145,16.8836,0.0594,18.7241,0.0031,0.9029,0.0049,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,16.5454,0.0470,18.4686,0.003,0.9463,0.0036,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,16.2226,0.0774,18.3982,0.0052,0.9877,0.0065,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,15.8732,0.1251,18.3596,0.0083,1.0326,0.0108,0.6097,0.0012,75.451,0.1868,151766,0167m327,6928,0.029327404,18.98711,18.692116,18.586771,18.505516,20.840569,19.185719,,11.086848,26,2,0.0638
28,4,10387,20.29108124601455,-32.04061563232854,SER,0.617147559253985,401.5528,0.0027,856.7382,0.004,17.4979,0.0183,17.048,9.0E-4,1.2767,0.0019,0.6056,0.0003,13.1909,0.0406,401.5528,0.0027,856.7382,0.004,17.0540,0.0110,16.5993,6.0E-4,1.3601,0.0011,0.6056,0.0003,13.1909,0.0406,401.5528,0.0027,856.7382,0.004,16.6306,0.0151,16.4486,8.0E-4,1.4396,0.0016,0.6056,0.0003,13.1909,0.0406,401.5528,0.0027,856.7382,0.004,16.1721,0.0262,16.3509,0.0013,1.5256,0.0028,0.6056,0.0003,13.1909,0.0406,155430,0201m320,10387,0.026457714,17.076982,16.608213,16.383247,16.297495,16.879856,17.385614,15.93232,16.234596,28,4,0.0352
28,3,9981,20.27815691689498,-32.0500743178396,SER,0.617147559253985,546.6294,0.0067,726.468,0.0029,10.0835,0.0103,18.3549,9.0E-4,0.5430,0.0024,0.3559,0.0003,77.5412,0.0319,546.6294,0.0067,726.468,0.0029,10.3687,0.0077,18.0226,8.0E-4,0.6275,0.0013,0.3559,0.0003,77.5412,0.0319,546.6294,0.0067,726.468,0.0029,10.6408,0.0122,17.8654,0.0014,0.7082,0.0023,0.3559,0.0003,77.5412,0.0319,546.6294,0.0067,726.468,0.0029,10.9353,0.0198,17.8132,0.0017,0.7955,0.0042,0.3559,0.0003,77.5412,0.0319,155430,0201m320,9981,0.02635827,19.032486,18.93906,19.009768,19.038073,,,,,28,3,0.0722
28,2,9141,20.2526136443005,-32.05851136884929,SER,0.617147559253985,849.7222,0.0033,610.7536,0.0021,21.0406,0.0133,16.9935,6.0E-4,0.8906,0.0011,0.4160,0.0001,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,20.6192,0.0080,16.3403,4.0E-4,1.1242,0.0006,0.4160,0.0001,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,20.2171,0.0114,16.0329,6.0E-4,1.3470,0.0010,0.4160,0.0001,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,19.7818,0.0198,15.8518,8.0E-4,1.5883,0.0017,0.4160,0.0001,57.5414,0.0156,155430,0201m320,9141,0.026182787,17.07119,16.410414,16.08536,15.880268,16.026674,16.470709,14.870979,13.69465,28,2,0.0726
28,1,8846,20.24462727220963,-32.06282642816967,SER,0.617147559253985,942.5316,0.0025,551.4504,0.0057,7.8737,0.0101,18.6756,0.0011,0.6432,0.0036,0.3225,0.0004,16.733,0.0384,942.5316,0.0025,551.4504,0.0057,8.0469,0.0083,18.4354,0.001,0.7986,0.0021,0.3225,0.0004,16.733,0.0384,942.5316,0.0025,551.4504,0.0057,8.2121,0.0145,18.3355,0.0017,0.9469,0.0042,0.3225,0.0004,16.733,0.0384,942.5316,0.0025,551.4504,0.0057,8.3910,0.0234,18.3314,0.0024,1.1074,0.0074,0.3225,0.0004,16.733,0.0384,155430,0201m320,8846,0.026235,18.65307,18.44986,18.382,18.335512,19.040924,18.468042,,10.877768,28,1,0.0724
