galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
256874,708044,-1,57.442297329,0.158848662,0.159293,16.1807003,17.7798996,0.9587,-22.3322811,11.3475676,0.9753036
9578,54038,-1,199.874396455,-1.145472177,0.139056,16.1210003,17.7224998,0.8105,-22.0844593,11.3453712,1.0648022
256892,708097,-1,58.016658979,0.036783138,0.082309,16.8082008,17.7798996,0.9587,-20.181736,10.4478168,0.9307709
8497,50583,-1,239.886103793,-0.423757457,0.120525,17.2922001,17.6602993,0.9085,-20.5645924,10.4464808,0.7648182
8483,50559,-1,239.463443797,-0.454637415,0.158091,17.5501003,17.6602993,0.9085,-20.9482555,10.7768526,0.9380989
8612,50806,-1,245.930964165,-0.437502672,0.141438,17.4715004,17.6604004,0.7826,-20.7643299,10.7491112,1.0109043
20294,81980,-1,189.455792038,-0.157705823,0.138616,16.9138012,17.7064991,0.9438,-21.2751541,10.8862219,0.9173203
9010,51792,-1,247.541103902,0.380767888,0.114128,16.6148014,17.6767006,0.8462,-21.1260147,10.8860512,0.9891319
26270,97451,-1,15.697791444,13.934962291,0.144362,15.8799,17.6798992,0.8585,-22.4147091,11.5357399,0.7978287
80243,234037,-1,326.261876863,-7.479998196,0.164323,16.7384014,17.8568993,0.8485,-21.9019527,11.5253553,1.1082153
8682,51036,-1,238.931876736,-0.15255137,0.085452,17.6729012,17.6658001,0.8083,-19.3974075,10.1405611,0.8786907
9050,51990,-1,237.876890901,0.701509517,0.093483,17.4511013,17.6716003,0.8824,-19.8321438,10.1117601,0.6675606
26270,97451,-1,15.697791444,13.934962291,0.144362,15.8799,17.6798992,0.8585,-22.4147091,11.5357399,0.7978287
80243,234037,-1,326.261876863,-7.479998196,0.164323,16.7384014,17.8568993,0.8485,-21.9019527,11.5253553,1.1082153
256919,708464,-1,56.781394626,1.00033171,0.039818,15.0824995,17.7880001,0.9587,-20.2707615,10.5440025,0.9718227
8594,50766,-1,244.511923087,-0.434544587,0.107769,17.2226009,17.6604004,0.7818,-20.3831577,10.5379038,0.9472618
8863,51488,-1,237.865911303,0.235595301,0.087763,17.3055,17.6767006,0.8824,-19.8455524,9.9333715,0.4926624
22089,86529,-1,195.875906256,0.390655256,0.07949,17.4204998,17.7007999,0.8791,-19.5009441,9.9452896,0.6594887
8238,45656,-1,44.288792331,0.893492592,0.072499,17.4025002,17.6499004,0.9565,-19.3186893,9.7907448,0.5966492
8861,51486,-1,237.79941025,0.297329851,0.03354,16.0007,17.6767006,0.8824,-18.9890404,9.7634363,0.6868896
8450,46747,-1,55.593666547,1.000068871,0.072278,17.2405014,17.6917,0.9826,-19.4933548,9.5765018,0.2907562
22094,86538,-1,196.340080997,0.28896557,0.083559,17.7469997,17.7007999,0.8493,-19.3006096,9.5420847,0.3400955
11957,60428,-1,216.850326279,-0.248649586,0.162655,16.4897003,17.7131004,0.9386,-22.0834255,11.2872658,1.0156155
12397,61322,-1,244.954305366,-0.287545503,0.153377,16.5652008,17.7133007,0.7818,-21.8835258,11.2937555,1.0699177
20294,81980,-1,189.455792038,-0.157705823,0.138616,16.9138012,17.7064991,0.9438,-21.2751541,10.8862219,0.9173203
9010,51792,-1,247.541103902,0.380767888,0.114128,16.6148014,17.6767006,0.8462,-21.1260147,10.8860512,0.9891319
22098,86547,-1,196.60842627,0.276750096,0.090277,17.2224998,17.7007999,0.8493,-19.985836,10.0255032,0.5478172
8458,46796,-1,56.150921716,0.979238841,0.104442,17.1953011,17.6917,0.9826,-20.3334637,10.0154715,0.4295654
10751,57116,-1,213.454656017,-0.775200119,0.119527,15.8808994,17.7157001,0.947,-21.9719639,11.2435379,1.0256023
10643,56931,-1,206.470156743,-0.768753044,0.148742,16.453001,17.7155991,0.9401,-21.9143581,11.2334585,1.0144711
8973,51722,-1,244.683654235,0.355313692,0.031416,17.2933998,17.6767006,0.7818,-17.6111412,8.8494663,0.2776947
11342,59274,-1,183.001801457,-0.372117111,0.035376,17.7123013,17.7129002,0.8494,-17.4481049,8.8588657,0.3939571
256948,708546,-1,57.556332816,0.925412814,0.118098,17.027401,17.7880001,0.9587,-20.7921963,10.7980518,0.9858036
256961,708624,-1,58.387106523,1.042564641,0.076243,15.4377995,17.7880001,0.9587,-21.3863945,10.7922049,0.7743225
256962,708625,-1,58.42783044,0.932006712,0.036937,16.3185005,17.7880001,0.9587,-18.8838501,9.8794613,0.8778133
8665,51004,-1,237.595975671,-0.006639839,0.083041,17.5606003,17.6658001,0.8824,-19.4594135,9.8907766,0.5966778
9325,53593,-1,186.477705338,-1.133398368,0.048664,17.7848015,17.7224007,0.8451,-18.1022072,8.9740982,0.2733383
9338,53610,-1,187.174648081,-1.143758367,0.042711,17.7173004,17.7224007,0.8451,-17.8592339,8.9985924,0.348238
256937,708518,-1,57.248395099,0.925972653,0.035766,14.7732992,17.7880001,0.9587,-20.3596973,10.3511639,0.7414207
8790,51245,-1,244.330854681,-0.082003581,0.108137,16.9910011,17.6658001,0.7818,-20.6185284,10.3713903,0.6335182
