group_id,index,brickid,brickname,objid,type,ra,dec,ebv,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,Group,Gal,ID,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,z,log_M_stellar,e_log_M_stellar,log_SFR,e_log_SFR
103583,209,413063,3521p142,3904,SER,352.2558584629047,14.20124014338995,0.04088342,1.5698457,1.2510891,0.0,1.8906914,5.2697053,3463.5989,17.867144,16.906683,Infinity,16.233223,16.487022,17.034134,,14.320093,0.96046066,Infinity,0.67346,Infinity,209,209,3904,0.466716732080256,343.8866,0.0024,344.0691,0.0021,7.7441,0.0527,17.6908,0.0032,5.8468,0.0395,0.6712,0.0012,80.3786,0.1334,343.8866,0.0024,344.0691,0.0021,7.2884,0.0325,16.7503,0.0022,5.6964,0.0255,0.6712,0.0012,80.3786,0.1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.8866,0.0024,344.0691,0.0021,6.3829,0.0365,16.1376,0.0027,5.3976,0.0346,0.6712,0.0012,80.3786,0.1334,0.0872,10.64,0.02,-1.722,0.814
60293,210,335428,1851p007,3222,SER,185.0741943006634,0.771712715093679,0.019321417,1.4865388,1.4273704,1.2918094,1.414983,3.4112203,53779.082,17.798025,16.787668,16.35341,16.065279,16.146889,16.616346,16.836004,,1.0103569,0.4342575,0.7223892,0.2881317,210,210,3222,0.736707745043393,344.1635,0.0025,343.6510,0.0022,14.9219,0.0778,17.6213,0.0031,3.5636,0.0161,0.7458,0.0008,-84.1912,0.1193,344.1635,0.0025,343.6510,0.0022,13.9471,0.0469,16.6557,0.0019,3.6129,0.0096,0.7458,0.0008,-84.1912,0.1193,344.1635,0.0025,343.6510,0.0022,13.017,0.0416,16.2716,0.0019,3.6600,0.0096,0.7458,0.0008,-84.1912,0.1193,344.1635,0.0025,343.6510,0.0022,12.0101,0.0689,16.0361,0.0033,3.7110,0.0162,0.7458,0.0008,-84.1912,0.1193,0.111,11.002,0.034,-0.48,0.704
292385,211,385723,2115p095,4115,SER,211.5654840229072,9.596062283534032,0.030108185,1.7179955,1.4983358,1.4300132,1.3091689,5.283126,7900.024,18.006899,16.95403,16.54767,16.250698,16.304178,16.75354,18.656403,,1.0528698,0.40635872,0.703331,0.29697227,211,211,4115,0.297787909458263,345.0047,0.0017,343.8894,0.0015,8.9430,0.0606,17.9044,0.0035,4.5727,0.0312,0.7001,0.0009,75.7652,0.1055,345.0047,0.0017,343.8894,0.0015,8.9966,0.0354,16.8295,0.0020,5.2102,0.0180,0.7001,0.0009,75.7652,0.1055,345.0047,0.0017,343.8894,0.0015,9.0477,0.0402,16.4130,0.0021,5.8184,0.0208,0.7001,0.0009,75.7652,0.1055,345.0047,0.0017,343.8894,0.0015,9.1031,0.0704,16.1153,0.0035,6.4768,0.0368,0.7001,0.0009,75.7652,0.1055,0.1362,11.07,0.032,-0.757,0.812
406910,212,469301,1488p247,1528,SER,148.7509332809739,24.86087426584597,0.034885578,1.4788294,1.3924495,1.1803778,1.3211166,4.218968,16625.059,18.186731,17.083302,16.582275,16.228182,16.036549,16.40846,15.989125,,1.1034298,0.50102615,0.8551197,0.35409355,212,212,1528,0.422948938507707,343.3608,0.0016,344.7539,0.0031,15.2955,0.0794,18.1831,0.0032,2.8034,0.0155,0.2594,0.0003,-27.6694,0.0298,343.3608,0.0016,344.7539,0.0031,15.2003,0.0518,17.0891,0.0020,3.1246,0.0101,0.2594,0.0003,-27.6694,0.0298,343.3608,0.0016,344.7539,0.0031,15.1095,0.05,16.6055,0.0020,3.4310,0.0098,0.2594,0.0003,-27.6694,0.0298,343.3608,0.0016,344.7539,0.0031,15.0112,0.0766,16.2661,0.0028,3.7627,0.0151,0.2594,0.0003,-27.6694,0.0298,0.1282,11.289,0.059,0.308,0.384
296576,213,378671,2285p082,200,SER,228.4767092242167,8.150450426943438,0.027462993,1.5617656,1.4678323,1.8775145,1.6202891,6.0,24708.838,17.218143,16.240479,15.822904,15.545332,15.913474,16.4815,17.482038,,0.97766495,0.41757488,0.69514656,0.27757168,213,213,200,0.598923451373846,344.2278,0.0040,343.9004,0.0047,39.4910,0.5154,17.2582,0.0068,5.5323,0.0372,0.6908,0.0012,2.1475,0.1597,344.2278,0.0040,343.9004,0.0047,36.0538,0.3081,16.3341,0.0046,5.3740,0.0230,0.6908,0.0012,2.1475,0.1597,344.2278,0.0040,343.9004,0.0047,32.7743,0.2176,15.9933,0.0039,5.2229,0.0195,0.6908,0.0012,2.1475,0.1597,344.2278,0.0040,343.9004,0.0047,29.2242,0.3503,15.7910,0.0061,5.0594,0.0309,0.6908,0.0012,2.1475,0.1597,0.1191,10.967,0.048,-1.343,0.862
289943,214,378593,2089p082,1007,SER,208.8274926625878,8.19560437805791,0.026053442,1.2908691,1.4012765,1.6161361,1.3231525,0.8332766,83297.8,17.710987,17.343336,17.072931,17.015448,17.477104,17.762993,15.738089,,0.367651,0.27040482,0.3278885,0.057483673,214,214,1007,0.437579370865056,344.4057,0.0024,344.6800,0.0043,8.0315,0.0065,17.6679,0.0008,0.5591,0.0022,0.4745,0.0003,14.3611,0.0406,344.4057,0.0024,344.6800,0.0043,7.9269,0.0044,17.3194,0.0007,0.6435,0.0012,0.4745,0.0003,14.3611,0.0406,344.4057,0.0024,344.6800,0.0043,7.8271,0.006,17.0687,0.0008,0.7240,0.0019,0.4745,0.0003,14.3611,0.0406,344.4057,0.0024,344.6800,0.0043,7.7191,0.0099,17.0090,0.0012,0.8111,0.0035,0.4745,0.0003,14.3611,0.0406,0.107,10.179,0.069,0.823,0.051
110743,215,414532,0109p147,1433,SER,10.95747343238453,14.73900580374664,0.10296296,1.5795319,1.4064766,0.0,1.5005989,0.95877755,132313.62,17.563015,16.738054,Infinity,16.08566,16.148176,16.567476,14.895791,14.059233,0.8249607,Infinity,0.65239334,Infinity,215,215,1433,0.808106433757645,343.4196,0.0106,343.4873,0.0066,18.9385,0.0254,17.5502,0.0014,0.6926,0.0024,0.3619,0.0004,-57.7737,0.0379,343.4196,0.0106,343.4873,0.0066,18.3614,0.0192,16.7415,0.0011,0.8470,0.0015,0.3619,0.0004,-57.7737,0.0379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.4196,0.0106,343.4873,0.0066,17.2146,0.0407,16.1319,0.0019,1.1539,0.0043,0.3619,0.0004,-57.7737,0.0379,0.0793,10.65,0.058,0.389,0.119
232674,216,409623,1865p137,2839,DEV,186.5107124435001,13.74565884821554,0.039234057,1.4672618,1.2787888,1.2673799,1.31858,4.0,0.0,17.940983,17.011795,16.602388,16.316906,16.360487,16.77148,18.65808,,0.9291878,0.40940666,0.69488907,0.2854824,216,216,2839,0.566919390629567,343.1304,0.0016,344.7241,0.0010,12.3783,0.0289,17.8797,0.0014,2.8986,0.0089,0.3061,0.0003,-63.2609,0.0207,343.1304,0.0016,344.7241,0.0010,11.4688,0.0172,16.9921,0.0008,3.4639,0.0052,0.3061,0.0003,-63.2609,0.0207,343.1304,0.0016,344.7241,0.0010,10.601,0.0219,16.6077,0.0011,4.0033,0.0079,0.3061,0.0003,-63.2609,0.0207,343.1304,0.0016,344.7241,0.0010,9.6615,0.0380,16.3931,0.0020,4.5871,0.0140,0.3061,0.0003,-63.2609,0.0207,0.1064,10.904,0.024,0.056,0.143
270695,217,405460,1980p130,195,SER,197.957098783282,12.93323613520508,0.022322958,1.2151976,0.96815234,1.1872216,1.501809,0.6884731,61513.69,18.431202,17.578201,17.167522,16.932125,16.94682,17.374918,15.832454,,0.85300064,0.41067886,0.6460762,0.23539734,217,217,195,0.404119271666392,343.5250,0.0047,343.6946,0.0076,10.7857,0.0155,18.4125,0.0014,0.5659,0.0034,0.3341,0.0004,32.0817,0.0404,343.5250,0.0047,343.6946,0.0076,10.5692,0.0109,17.5558,0.0013,0.6419,0.0023,0.3341,0.0004,32.0817,0.0404,343.5250,0.0047,343.6946,0.0076,10.3626,0.0122,17.1639,0.0016,0.7144,0.0029,0.3341,0.0004,32.0817,0.0404,343.5250,0.0047,343.6946,0.0076,10.1390,0.0186,16.9469,0.0016,0.7929,0.0047,0.3341,0.0004,32.0817,0.0404,0.1208,10.695,0.046,0.35,0.155
119712,218,346786,1446p027,1779,SER,144.5625333651743,2.817305837309026,0.033627395,1.2990894,1.3343307,1.4697646,1.1386453,5.24236,100130.55,16.731674,15.813789,15.415071,15.148743,15.3273,15.795232,15.175179,,0.9178848,0.39871883,0.6650467,0.26632786,218,218,1779,0.546282486843462,344.0110,0.0018,343.4825,0.0020,22.8763,0.0869,16.7994,0.0023,3.5521,0.0099,0.8802,0.0006,8.9067,0.1822,344.0110,0.0018,343.4825,0.0020,21.2606,0.0549,15.9576,0.0015,3.7000,0.0063,0.8802,0.0006,8.9067,0.1822,344.0110,0.0018,343.4825,0.0020,19.719,0.0509,15.6106,0.0015,3.8411,0.0067,0.8802,0.0006,8.9067,0.1822,344.0110,0.0018,343.4825,0.0020,18.0502,0.0802,15.4167,0.0026,3.9938,0.0107,0.8802,0.0006,8.9067,0.1822,0.1008,11.158,0.023,0.234,0.15
