Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV
48,4,6718,45.04940344608852,-36.35633565552046,PSF,0.52791442785483,637.018,7.0E-4,763.9362,6.0E-4,*0.2381*,*0.0060*,15.4754,2.0E-4,1.6248,0.0812,0.9876,0.0056,-67.2214,14.3048,637.018,7.0E-4,763.9362,6.0E-4,*0.1718*,*0.0046*,15.7387,3.0E-4,2.5636,0.0855,0.9876,0.0056,-67.2214,14.3048,637.018,7.0E-4,763.9362,6.0E-4,*0.1085*,*0.0034*,15.9481,0.0012,3.4594,0.0932,0.9876,0.0056,-67.2214,14.3048,637.018,7.0E-4,763.9362,6.0E-4,*0.0401*,*0.0024*,15.9591,0.0053,4.4291,0.1043,0.9876,0.0056,-67.2214,14.3048,135229,0450m362,6718,0.017795887,677.0701,532.7865,430.70428,396.81952,1.3526269,1.2127869,1.2751063,1.165638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.423416,15.683617,15.914552,16.003517,18.247425,18.941566,,21.833364,-0.2602005,-0.2309351,-0.3199005,-0.088965416,45.0492917,-36.3561944,03 00 11.83,-36 21 22.3,0.0917,,17.6607,17.1745
49,4,10355,46.57625185602237,-42.67441466667247,DUP,0.57079260192457,835.643,0.0021,869.8579,0.0027,7.4188,0.0075,17.665,8.0E-4,1.1028,0.0024,0.6595,0.0004,-15.0686,0.0645,835.643,0.0021,869.8579,0.0027,7.5613,0.0048,17.1976,6.0E-4,1.1662,0.0016,0.6595,0.0004,-15.0686,0.0645,835.643,0.0021,869.8579,0.0027,7.6973,0.0074,17.0499,9.0E-4,1.2266,0.0023,0.6595,0.0004,-15.0686,0.0645,835.643,0.0021,869.8579,0.0027,7.8445,0.0126,16.9331,0.0014,1.2920,0.0037,0.6595,0.0004,-15.0686,0.0645,106319,0466m427,10355,0.01473168,0.0,0.0,0.0,0.0,1.4525733,1.4320859,1.4057796,1.1668751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,46.5760833,-42.6745,03 06 18.26,-42 40 28.2,0.0,,18.1036,17.7971
49,3,1343,46.56819829550949,-42.67527868870915,SER,0.57079260192457,824.7223,0.003,693.6626,0.003,4.1707,0.0227,18.7822,0.0034,3.1255,0.0300,0.9526,0.0021,17.9436,1.5293,824.7223,0.003,693.6626,0.003,4.3039,0.0128,18.1768,0.0019,3.2221,0.0176,0.9526,0.0021,17.9436,1.5293,824.7223,0.003,693.6626,0.003,4.4310,0.0180,17.6876,0.0026,3.3142,0.0205,0.9526,0.0021,17.9436,1.5293,824.7223,0.003,693.6626,0.003,4.5686,0.0323,17.6451,0.0043,3.4140,0.0359,0.9526,0.0021,17.9436,1.5293,106319,0466m427,1343,0.014753376,132.79683,186.98103,191.76407,216.84299,1.4525733,1.4320859,1.4057796,1.1668751,1.7351873,246327.48,5.6657896,107251.76,0.23098508,5282059.0,-0.36293897,6695646.0,17.19203,16.820507,16.793081,16.659637,17.86248,18.347273,15.464687,13.500633,0.3715229,0.027425766,0.1608696,0.13344383,46.5680833,-42.6753889,03 06 16.34,-42 40 31.4,0.0,,18.832,18.5192
49,1,564,46.54313341685411,-42.65459394134274,SER,0.57079260192457,500.8825,0.0017,597.2893,0.0014,15.3097,0.0080,16.4197,4.0E-4,1.1348,0.0010,0.4915,0.0001,50.1572,0.0146,500.8825,0.0017,597.2893,0.0014,14.7696,0.0047,16.0123,3.0E-4,1.1677,0.0007,0.4915,0.0001,50.1572,0.0146,500.8825,0.0017,597.2893,0.0014,14.2542,0.0060,15.8696,3.0E-4,1.1992,0.0008,0.4915,0.0001,50.1572,0.0146,500.8825,0.0017,597.2893,0.0014,13.6964,0.0105,15.7391,0.0006,1.2332,0.0014,0.4915,0.0001,50.1572,0.0146,106319,0466m427,564,0.014966016,86.77793,129.45726,147.31738,165.59967,1.4557092,1.2960336,1.3284073,1.2509413,1.1344634,180715.23,1.9999893,780818.5,0.17328978,4989089.5,-0.09555056,3542000.2,17.653976,17.219685,17.079365,16.95235,17.133535,17.558462,14.906157,,0.43429184,0.14031982,0.26733398,0.12701416,46.5429167,-42.6543889,03 06 10.30,-42 39 15.8,0.0,,20.125,19.3895
49,2,592,46.54421525881629,-42.6674229060875,DEV,0.57079260192457,580.225,0.0025,581.3285,0.0044,16.5864,0.0179,17.2883,9.0E-4,1.2151,0.0020,0.4243,0.0002,-29.5384,0.0246,580.225,0.0025,581.3285,0.0044,17.1037,0.0103,16.91,6.0E-4,1.2023,0.0012,0.4243,0.0002,-29.5384,0.0246,580.225,0.0025,581.3285,0.0044,17.5972,0.0163,16.8306,9.0E-4,1.1900,0.0016,0.4243,0.0002,-29.5384,0.0246,580.225,0.0025,581.3285,0.0044,18.1314,0.0289,16.6713,0.0015,1.1767,0.0028,0.4243,0.0002,-29.5384,0.0246,106319,0466m427,592,0.014914598,32.891605,56.09686,84.188835,87.73652,1.4784489,1.3838791,1.3284073,1.2149585,4.0,0.0,1.3431453,234662.73,0.024795039,651188.2,0.018066179,547796.0,18.707287,18.127653,17.686863,17.64205,17.256567,17.097946,15.551178,14.797076,0.5796337,0.44079018,0.48560333,0.044813156,46.5440833,-42.6673056,03 06 10.58,-42 40 02.3,0.0,,20.172,19.7835
50,4,11773,47.16454868410786,-47.27208819224404,DUP,0.546568494038492,766.9503,0.0013,883.9762,0.0015,3.9886,0.0038,18.0552,8.0E-4,1.7461,0.0064,0.7670,0.0006,-11.1232,0.1155,766.9503,0.0013,883.9762,0.0015,3.8286,0.0025,17.4761,6.0E-4,1.6745,0.0040,0.7670,0.0006,-11.1232,0.1155,766.9503,0.0013,883.9762,0.0015,3.6759,0.0021,17.277,8.0E-4,1.6062,0.0032,0.7670,0.0006,-11.1232,0.1155,766.9503,0.0013,883.9762,0.0015,3.5106,0.0031,17.0647,0.0007,1.5322,0.0050,0.7670,0.0006,-11.1232,0.1155,87966,0472m472,11773,0.01881189,0.0,0.0,0.0,0.0,1.3878285,1.2775484,1.3123149,1.2008834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,47.1644167,-47.2723889,03 08 39.46,-47 16 20.6,0.0,,19.695,19.435
50,1,3786,47.1417624748954,-47.26010837179578,REX,0.546568494038492,555.0827,0.0024,719.259,0.0034,21.1657,0.0249,17.4447,0.0011,1.0955,0.0021,0.6307,0.0003,-27.6854,0.0451,555.0827,0.0024,719.259,0.0034,21.0540,0.0147,16.7361,6.0E-4,1.4781,0.0012,0.6307,0.0003,-27.6854,0.0451,555.0827,0.0024,719.259,0.0034,20.9474,0.0212,16.3924,8.0E-4,1.8433,0.0019,0.6307,0.0003,-27.6854,0.0451,555.0827,0.0024,719.259,0.0034,20.8321,0.0372,16.2139,0.0012,2.2385,0.0033,0.6307,0.0003,-27.6854,0.0451,87966,0472m472,3786,0.018756617,52.765415,92.46685,122.8155,141.27104,1.4319739,1.3316021,1.6191057,1.1824349,1.0,0.0,0.7878564,4191388.2,0.0,0.0,0.0,0.0,18.194126,17.585035,17.276867,17.124866,17.07861,17.418613,14.949607,14.06181,0.6090908,0.3081684,0.46016884,0.15200043,47.1419167,-47.2601111,03 08 34.06,-47 15 36.4,0.0,,20.0883,19.7824
50,3,4025,47.14859663206745,-47.28549164359606,SER,0.546568494038492,723.9383,0.064,636.8097,0.0846,374.8464,423.0395,20.4238,0.4134,*14.9041*,*3.6509*,0.3754,0.0173,3.1147,1.4295,723.9383,0.064,636.8097,0.0846,340.2615,278.0466,20.0529,0.3264,*12.6683*,*2.3951*,0.3754,0.0173,3.1147,1.4295,723.9383,0.064,636.8097,0.0846,307.2627,166.3321,19.43,0.2396,*10.5350*,*1.4253*,0.3754,0.0173,3.1147,1.4295,723.9383,0.064,636.8097,0.0846,271.5416,161.3769,18.9552,0.2819,8.2258,1.3849,0.3754,0.0173,3.1147,1.4295,87966,0472m472,4025,0.018528124,64.93576,111.89999,145.34435,168.85925,1.3971938,1.2950661,1.3038648,1.192248,0.8881256,354475.03,2.203988,3189110.8,0.22250569,1.1537482E7,0.08994227,7941288.5,17.96879,17.377924,17.094006,16.931189,17.14424,17.589167,15.694182,16.664337,0.5908661,0.28391838,0.44673538,0.162817,47.1482917,-47.2853889,03 08 35.59,-47 17 07.4,0.0,,20.2912,19.9233
50,2,3960,47.14701411182362,-47.27898817856401,REX,0.546568494038492,704.0067,0.002,535.16,0.0029,8.8638,0.0071,17.9462,8.0E-4,0.7544,0.0019,0.6138,0.0003,11.1475,0.0431,704.0067,0.002,535.16,0.0029,8.6037,0.0050,17.369,6.0E-4,0.8248,0.0013,0.6138,0.0003,11.1475,0.0431,704.0067,0.002,535.16,0.0029,8.3556,0.0053,17.1013,6.0E-4,0.8919,0.0014,0.6138,0.0003,11.1475,0.0431,704.0067,0.002,535.16,0.0029,8.0870,0.0079,16.9593,0.0008,0.9645,0.0022,0.6138,0.0003,11.1475,0.0431,87966,0472m472,3960,0.018620849,0.41016623,0.53699553,0.61945367,0.22551768,1.3971938,1.2950661,1.3038648,1.2007664,1.0,0.0,1.8197708,121.95162,0.0,0.0,0.0,0.0,23.4676,23.175074,23.019978,24.117048,22.597973,,,13.945675,0.29252625,0.15509605,-0.94197464,-1.0970707,47.1469167,-47.2798056,03 08 35.26,-47 16 47.3,0.0,,20.2204,19.529
51,1,673,47.52743081502302,-35.00661751239641,SER,0.539473610727695,564.8054,0.003,490.7216,0.0034,10.3129,0.0116,17.8373,0.0011,0.8383,0.0020,0.8336,0.0004,-14.327,0.1408,564.8054,0.003,490.7216,0.0034,10.1070,0.0065,17.2492,6.0E-4,1.0347,0.0011,0.8336,0.0004,-14.327,0.1408,564.8054,0.003,490.7216,0.0034,9.9104,0.0096,16.9524,8.0E-4,1.2221,0.0018,0.8336,0.0004,-14.327,0.1408,564.8054,0.003,490.7216,0.0034,9.6977,0.0172,16.8143,0.0016,1.4249,0.0031,0.8336,0.0004,-14.327,0.1408,141098,0476m350,673,0.020973045,12.632396,14.337361,16.789158,16.210323,1.3806306,1.2466152,1.3056732,1.0715256,2.25,1622.4323,1.0065607,124777.22,-0.1662464,187974.69,-0.042741355,98543.16,19.746286,19.608828,19.437428,19.475521,19.875286,20.08366,19.929283,,0.1374588,0.17140007,0.1333065,-0.038093567,47.527,-35.007,03 10 06.48,-35 00 25.2,0.0,,20.2593,20.1742
51,3,1777,47.55903036149267,-35.03027873839472,SER,0.539473610727695,744.7097,0.0017,791.2707,0.0016,16.6344,0.0103,16.5328,6.0E-4,1.0685,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5831,0.0061,15.9053,3.0E-4,1.4907,0.0007,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5342,0.0100,15.6439,5.0E-4,1.8935,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.4813,0.0177,15.4584,0.0008,2.3295,0.0020,0.9310,0.0002,64.4449,0.1594,141098,0476m350,1777,0.02127651,91.135704,160.58833,215.626,254.61438,1.346538,1.2212694,1.2805095,1.0753556,1.467802,273950.53,3.4108777,1931445.4,0.086733855,9529767.0,-0.028381862,5056653.0,17.600779,16.985716,16.665747,16.485292,16.98383,17.380991,15.510228,14.796675,0.6150627,0.31996918,0.50042343,0.18045425,47.5594167,-35.0298889,03 10 14.26,-35 01 47.6,0.0,,20.2179,19.1848
51,2,1216,47.54303848651573,-35.00839954500856,REX,0.539473610727695,920.3764,0.0058,815.7897,0.005,3.7358,0.0271,19.7087,0.0044,2.5242,0.0388,0.6912,0.0030,-84.1167,0.405,920.3764,0.0058,815.7897,0.005,4.0957,0.0204,19.5214,0.0032,2.6317,0.0237,0.6912,0.0030,-84.1167,0.405,920.3764,0.0058,815.7897,0.005,4.4391,0.0367,19.3108,0.005,2.7343,0.0365,0.6912,0.0030,-84.1167,0.405,920.3764,0.0058,815.7897,0.005,4.8108,0.0610,19.2808,0.0085,2.8454,0.0633,0.6912,0.0030,-84.1167,0.405,141098,0476m350,1216,0.02121576,212.17978,373.31647,478.41037,586.56323,1.3806306,1.2466152,1.3056732,1.0715256,1.0,0.0,3.6051912,1465450.5,0.0,0.0,0.0,0.0,16.68324,16.069807,15.800499,15.579213,15.828189,16.277498,14.354404,13.789,0.61343384,0.2693081,0.4905939,0.22128582,47.5429167,-35.0083056,03 10 10.30,-35 00 29.9,0.0,,19.0606,18.3702
51,4,1927,47.56346908968972,-35.01856114450278,SER,0.539473610727695,514.8458,0.0039,651.5823,0.0057,9.9494,0.0113,18.4005,0.0011,0.5473,0.0023,0.6308,0.0004,-12.7634,0.073,514.8458,0.0039,651.5823,0.0057,9.8403,0.0068,17.8257,7.0E-4,0.6847,0.0013,0.6308,0.0004,-12.7634,0.073,514.8458,0.0039,651.5823,0.0057,9.7361,0.0095,17.5506,9.0E-4,0.8159,0.0020,0.6308,0.0004,-12.7634,0.073,514.8458,0.0039,651.5823,0.0057,9.6234,0.0165,17.4103,0.0016,0.9579,0.0035,0.6308,0.0004,-12.7634,0.073,141098,0476m350,1927,0.021541655,43.769463,73.8212,95.72727,109.34872,1.3559848,1.2133199,1.2878165,1.0827817,0.7357635,213797.56,2.5688224,379861.28,0.20132676,3443323.0,-0.09929212,2029551.5,18.397072,17.829548,17.547411,17.402966,17.726961,18.21407,16.182932,14.658928,0.56752396,0.28213692,0.42658234,0.14444542,47.5634167,-35.0186111,03 10 15.22,-35 01 07.0,0.0,,20.3004,20.3873
52,4,4863,50.12638129450011,-40.20079277915492,REX,0.658575574621795,695.3307,0.001,479.0964,8.0E-4,19.3314,0.0791,16.7956,0.0017,5.6537,0.0143,0.5440,0.0004,54.4176,0.0307,695.3307,0.001,479.0964,8.0E-4,24.2285,0.0705,15.9977,0.0012,7.2599,0.0110,0.5440,0.0004,54.4176,0.0307,695.3307,0.001,479.0964,8.0E-4,28.9010,0.1251,15.5916,0.0016,8.7925,0.0164,0.5440,0.0004,54.4176,0.0307,695.3307,0.001,479.0964,8.0E-4,33.9590,0.2008,15.3726,0.0020,*10.4516*,*0.0260*,0.5440,0.0004,54.4176,0.0307,117131,0501m402,4863,0.017005531,16.727568,23.626026,27.53874,30.146667,1.5147089,1.4213742,1.4452757,1.2099249,1.0,0.0,3.0389385,21211.412,0.0,0.0,0.0,0.0,19.441418,19.066523,18.90014,18.8019,19.457865,20.064249,16.753166,,0.3748951,0.16638184,0.26462173,0.0982399,50.1264167,-40.2006111,03 20 30.34,-40 12 02.2,0.0,,20.1828,20.3188
52,2,3891,50.09687788879909,-40.2083288182827,SER,0.658575574621795,976.8179,0.003,894.7165,0.0034,0.9185,0.0097,20.1046,0.0016,0.8998,0.0732,0.5567,0.0039,88.495,0.3678,976.8179,0.003,894.7165,0.0034,0.7485,0.0055,19.0807,0.0016,7.2226,0.1516,0.5567,0.0039,88.495,0.3678,976.8179,0.003,894.7165,0.0034,0.5863,0.0035,18.1138,0.0013,*13.2555*,*0.2804*,0.5567,0.0039,88.495,0.3678,976.8179,0.003,894.7165,0.0034,*0.4107*,*0.0062*,17.6167,0.0027,*19.7860*,*0.4261*,0.5567,0.0039,88.495,0.3678,117131,0501m402,3891,0.016478062,177.09895,338.5065,458.05795,559.5872,1.4823705,1.3308853,1.2877734,1.17765,6.0,79767.73,5.454205,1301912.8,-0.10079294,9408739.0,0.2853046,1.2899658E7,16.87946,16.176083,15.847699,15.63033,15.732464,15.949157,13.568861,12.109694,0.70337677,0.32838345,0.5457525,0.21736908,50.0964167,-40.2083889,03 20 23.14,-40 12 30.2,0.0,,20.044,19.421
52,3,10419,50.09750815067493,-40.18539789203456,DUP,0.658575574621795,689.1659,0.0021,793.1704,0.0035,14.4075,0.0133,17.5449,8.0E-4,0.9574,0.0017,0.4885,0.0002,-28.6083,0.0291,689.1659,0.0021,793.1704,0.0035,14.4459,0.0093,17.0193,6.0E-4,1.2006,0.0011,0.4885,0.0002,-28.6083,0.0291,689.1659,0.0021,793.1704,0.0035,14.4827,0.0153,16.7522,9.0E-4,1.4327,0.0019,0.4885,0.0002,-28.6083,0.0291,689.1659,0.0021,793.1704,0.0035,14.5224,0.0255,16.6247,0.0014,1.6839,0.0032,0.4885,0.0002,-28.6083,0.0291,117131,0501m402,10419,0.016877355,0.0,0.0,0.0,0.0,1.4379804,1.3030901,1.287302,1.1470869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,50.0977083,-40.1853889,03 20 23.45,-40 11 07.4,0.0,,20.001,19.3614
52,1,3032,50.07005825693662,-40.17808928771583,PSF,0.658575574621795,385.6446,0.0234,584.0292,0.0228,12.5860,0.0668,19.2305,0.0046,0.8373,0.0073,0.9557,0.0026,-89.7191,2.8741,385.6446,0.0234,584.0292,0.0228,12.9124,0.0534,18.875,0.004,1.0031,0.0055,0.9557,0.0026,-89.7191,2.8741,385.6446,0.0234,584.0292,0.0228,13.2238,0.0885,18.6762,0.0059,1.1614,0.0097,0.9557,0.0026,-89.7191,2.8741,385.6446,0.0234,584.0292,0.0228,13.5608,0.1429,18.5755,0.0103,1.3327,0.0160,0.9557,0.0026,-89.7191,2.8741,117131,0501m402,3032,0.016462434,9.2275,21.781734,48.523724,72.60756,1.4379804,1.3030901,1.3836958,1.1470869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08729,19.154768,18.285114,17.847546,18.440779,19.052416,,,0.9325218,0.8696537,1.3072224,0.43756866,50.0702083,-40.1783056,03 20 16.85,-40 10 41.9,0.0,,20.3204,20.3335
53,1,327,51.63076414582412,-42.85196728276879,DEV,0.593297688434342,732.3401,0.0171,384.9374,0.0175,0.6849,0.0662,19.176,0.0383,*10.8777*,*1.6432*,0.8851,0.0253,-12.2844,7.1273,732.3401,0.0171,384.9374,0.0175,3.0953,0.3652,18.5947,0.0486,*11.5798*,*1.3334*,0.8851,0.0253,-12.2844,7.1273,732.3401,0.0171,384.9374,0.0175,5.3952,0.7351,18.2544,0.0501,*12.2496*,*1.2353*,0.8851,0.0253,-12.2844,7.1273,732.3401,0.0171,384.9374,0.0175,7.8849,1.1374,17.7522,0.0501,*12.9747*,*1.3943*,0.8851,0.0253,-12.2844,7.1273,106334,0517m427,327,0.010612837,19.466095,23.48805,26.685265,38.24983,1.414352,1.1457258,1.2314615,1.1483183,4.0,0.0,0.3887151,751997.4,0.058089,212954.66,-0.008659996,116667.82,19.276802,19.072882,18.93432,18.543427,17.251553,17.133686,16.319923,15.479003,0.20392036,0.13856125,0.5294552,0.39089394,51.631,-42.8516111,03 26 31.44,-42 51 05.8,0.0,,19.9958,19.5678
53,3,490,51.63619237463487,-42.83055865015868,SER,0.593297688434342,697.5717,0.0225,770.6168,0.0299,*0.3951*,*0.0604*,19.2101,0.0075,5.8606,1.3500,0.5527,0.0445,-84.1497,4.0636,697.5717,0.0225,770.6168,0.0299,*0.4699*,*0.0454*,19.5287,0.0116,4.6398,0.9036,0.5527,0.0445,-84.1497,4.0636,697.5717,0.0225,770.6168,0.0299,0.5414,0.0723,19.0541,0.0118,3.4749,0.9788,0.5527,0.0445,-84.1497,4.0636,697.5717,0.0225,770.6168,0.0299,0.6187,0.1176,19.5385,0.0255,2.2139,1.5243,0.5527,0.0445,-84.1497,4.0636,106334,0517m427,490,0.010744063,22.176239,28.00072,34.496487,34.909443,1.414352,1.1457258,1.2314615,1.1483183,1.7282916,12594.854,1.5079098,1401775.8,0.36633712,2011929.0,0.24165913,1886008.0,19.13528,18.882076,18.655563,18.642643,18.835917,19.194693,17.623207,16.572922,0.25320435,0.22651291,0.23943329,0.01292038,51.6362083,-42.8303889,03 26 32.69,-42 49 49.4,0.0,,20.2997,19.7664
53,2,435,51.6342400468482,-42.82389969970134,REX,0.593297688434342,677.717,0.0166,679.0979,0.027,5.8538,0.0869,19.1037,0.0112,1.4985,0.0583,0.3825,0.0058,16.9761,0.4509,677.717,0.0166,679.0979,0.027,5.5450,0.0593,18.8638,0.0096,1.6204,0.0414,0.3825,0.0058,16.9761,0.4509,677.717,0.0166,679.0979,0.027,5.2504,0.0965,18.6506,0.0148,1.7367,0.0720,0.3825,0.0058,16.9761,0.4509,677.717,0.0166,679.0979,0.027,4.9315,0.1619,18.7053,0.0256,1.8625,0.1205,0.3825,0.0058,16.9761,0.4509,106334,0517m427,435,0.010788525,20.034204,14.500756,21.739342,15.336562,1.38586,1.1457258,1.2314615,1.1483183,1.0,0.0,0.22150905,919312.56,0.0,0.0,0.0,0.0,19.24557,19.596523,19.156883,19.53568,19.815912,19.94506,16.798603,14.089194,-0.35095406,0.43964005,0.060842514,-0.37879753,51.6342083,-42.8236944,03 26 32.21,-42 49 25.3,0.0,,19.5788,19.4646
53,4,561,51.63889810985508,-42.81422495694121,REX,0.593297688434342,650.4881,0.0158,903.6409,0.0172,11.9928,0.0526,17.4289,0.0047,0.6800,0.0070,0.9040,0.0021,30.4005,1.1099,650.4881,0.0158,903.6409,0.0172,11.9110,0.0338,16.6723,0.003,0.9062,0.0041,0.9040,0.0021,30.4005,1.1099,650.4881,0.0158,903.6409,0.0172,11.8329,0.0495,16.2933,0.004,1.1220,0.0067,0.9040,0.0021,30.4005,1.1099,650.4881,0.0158,903.6409,0.0172,11.7485,0.0836,16.0964,0.0063,1.3556,0.0118,0.9040,0.0021,30.4005,1.1099,106334,0517m427,561,0.010885314,103.40931,206.47679,289.1408,355.88144,1.3895946,1.1306481,1.2528528,1.1191257,1.0,0.0,2.907837,849809.4,0.0,0.0,0.0,0.0,17.4636,16.712822,16.347227,16.121737,16.245472,16.688986,15.143433,,0.7507782,0.36559486,0.59108543,0.22549057,51.6395,-42.814,03 26 33.48,-42 48 50.4,0.0,,20.4018,19.2053
54,3,2618,52.95790597526705,-39.63148912885078,SER,0.426709653479103,845.899,0.0047,804.7709,0.005,7.2915,0.0128,18.335,0.0019,0.6596,0.0036,0.9488,0.0008,-24.2695,0.7976,845.899,0.0047,804.7709,0.005,7.6421,0.0075,17.8205,0.001,0.7665,0.0021,0.9488,0.0008,-24.2695,0.7976,845.899,0.0047,804.7709,0.005,7.9768,0.0103,17.513,0.0012,0.8686,0.0027,0.9488,0.0008,-24.2695,0.7976,845.899,0.0047,804.7709,0.005,8.3390,0.0182,17.3488,0.0021,0.9791,0.0047,0.9488,0.0008,-24.2695,0.7976,119349,0530m397,2618,0.016806008,28.303133,50.653828,71.92023,83.97812,1.3689295,1.1838111,1.3619685,1.1470277,1.3860269,34696.145,2.0933392,197587.06,-0.023815406,957837.75,-0.45881158,1585515.1,18.870413,18.23847,17.857872,17.689585,17.641027,17.988756,15.73403,15.466325,0.63194275,0.38059807,0.54888535,0.16828728,52.9580833,-39.6315,03 31 49.94,-39 37 53.4,0.0,,20.3219,21.4014
54,2,2328,52.94671752743711,-39.6313705245943,SER,0.426709653479103,498.2129,0.0024,808.6159,0.0026,*0.0275*,*0.0038*,18.1478,0.0233,6.8806,0.4131,0.4752,0.0031,47.5071,0.2056,498.2129,0.0024,808.6159,0.0026,1.0787,0.0081,18.2303,0.0027,*11.2724*,*0.1468*,0.4752,0.0031,47.5071,0.2056,498.2129,0.0024,808.6159,0.0026,2.0818,0.0174,18.2586,0.0059,*15.4628*,*0.2918*,0.4752,0.0031,47.5071,0.2056,498.2129,0.0024,808.6159,0.0026,3.1676,0.0277,18.2883,0.0084,*19.9989*,*0.6169*,0.4752,0.0031,47.5071,0.2056,119349,0530m397,2328,0.016637748,90.54424,164.91464,226.93112,267.82794,1.4248008,1.2250428,1.4770695,1.1522892,0.9127572,400965.5,2.9874442,525327.1,0.16628033,7301128.0,0.089978166,4856392.5,17.607847,16.956852,16.610266,16.43036,16.654697,17.042782,15.085602,15.054997,0.65099525,0.34658623,0.52649117,0.17990494,52.9467917,-39.6316111,03 31 47.23,-39 37 53.8,0.10668,,19.8661,19.5581
54,4,13073,52.97204937707694,-39.61394410918128,PSF,0.426709653479103,766.4836,0.0026,569.2549,0.0037,11.5892,0.0094,17.5965,9.0E-4,0.7093,0.0016,0.6859,0.0003,14.2494,0.053,766.4836,0.0026,569.2549,0.0037,11.4413,0.0059,16.9515,5.0E-4,0.8346,0.0010,0.6859,0.0003,14.2494,0.053,766.4836,0.0026,569.2549,0.0037,11.3003,0.0074,16.6216,6.0E-4,0.9543,0.0013,0.6859,0.0003,14.2494,0.053,766.4836,0.0026,569.2549,0.0037,11.1476,0.0125,16.4523,0.0010,1.0837,0.0022,0.6859,0.0003,14.2494,0.053,120459,0528m395,13073,0.017292853,48.287697,39.267254,31.70721,25.05218,1.2172071,1.135573,1.2701256,1.1562767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29041,18.514923,18.747105,19.002886,20.925375,,19.401402,15.40379,-0.22451401,-0.23218155,-0.48796272,-0.25578117,52.9720833,-39.6138056,03 31 53.30,-39 36 49.7,0.0,,18.6888,18.3777
54,1,11713,52.93920447662241,-39.61423111947493,REX,0.426709653479103,648.1348,0.0032,567.6277,0.003,7.8124,0.0186,18.8734,0.0019,1.2890,0.0064,0.3599,0.0004,-46.4536,0.0427,648.1348,0.0032,567.6277,0.003,7.9009,0.0114,18.2186,0.0011,1.3441,0.0038,0.3599,0.0004,-46.4536,0.0427,648.1348,0.0032,567.6277,0.003,7.9854,0.0135,17.8382,0.0013,1.3966,0.0043,0.3599,0.0004,-46.4536,0.0427,648.1348,0.0032,567.6277,0.003,8.0769,0.0230,17.6521,0.0022,1.4535,0.0073,0.3599,0.0004,-46.4536,0.0427,120459,0528m395,11713,0.016788945,48.782047,75.90883,97.9982,107.65787,1.3705053,1.229831,1.5120718,1.1810064,1.0,0.0,2.0179288,423756.06,0.0,0.0,0.0,0.0,18.27935,17.799269,17.521955,17.419886,17.739744,18.208067,16.170149,14.166007,0.48008156,0.27731323,0.3793831,0.10206985,52.9395833,-39.6141944,03 31 45.50,-39 36 51.1,0.0,,20.2266,20.073
