Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,z,log_M_stellar,e_log_M_stellar,log_SFR,e_log_SFR
1.0,1.0,5511.0,197.8368409481846,8.831841197632084,DUP,0.8630500491608,343.5442,0.0056,344.2225,0.0074,26.6616,0.0313,16.2733,0.0011,0.8746,0.0017,0.6373,4.0E-4,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,26.2368,0.0227,15.7129,9.0E-4,1.1064,0.0012,0.6373,4.0E-4,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,25.8315,0.0345,15.4953,0.0012,1.3277,0.002,0.6373,4.0E-4,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,25.3928,0.0562,15.3205,0.0019,1.5671,0.0033,0.6373,4.0E-4,37.5071,0.0617,0.0677,10.536,0.033,0.45,0.066
2.0,2.0,2191.0,155.0662963705298,30.01385025453479,SER,0.425845475914285,572.9584,0.0031,573.5051,0.0037,6.6086,0.0198,18.4426,0.0023,1.7537,0.0103,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,6.2949,0.013,17.5564,0.0013,1.8543,0.0061,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,5.9956,0.0147,17.2128,0.0019,1.9502,0.0074,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,5.6716,0.0235,16.9547,0.0028,2.0541,0.0128,0.7215,0.0012,-21.7756,0.1818,0.1568,11.046,0.039,0.589,0.145
3.0,3.0,408.0,194.753117548688,-1.428956579278553,SER,0.534182361098686,343.8942,0.0012,343.8740,0.0012,35.6296,0.2493,17.5477,0.0031,10.4972,0.0311,0.7211,7.0E-4,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,27.7442,0.1684,16.7572,0.0027,10.7686,0.0256,0.7211,7.0E-4,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,20.2204,0.1456,16.581,0.0034,11.0276,0.0357,0.7211,7.0E-4,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,12.0759,0.2027,16.452,0.0073,11.308,0.0545,0.7211,7.0E-4,88.1762,0.0834,0.0977,10.568,0.038,-1.541,0.8
4.0,4.0,4860.0,240.7754659995666,19.0082081869302,DUP,0.360950664459389,115.4910,0.0012,115.2541,0.0013,9.1451,0.0535,17.2025,0.0027,6.3654,0.0328,0.7919,9.0E-4,-45.6679,0.1442,115.4910,0.0012,115.2541,0.0013,8.5131,0.0347,16.2583,0.0019,6.1588,0.0215,0.7919,9.0E-4,-45.6679,0.1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.4910,0.0012,115.2541,0.0013,7.2571,0.0447,15.6825,0.0029,5.7482,0.0304,0.7919,9.0E-4,-45.6679,0.1442,0.1218,11.134,0.019,-1.621,0.643
5.0,5.0,9155.0,316.97527451024,0.1304683170541872,SER,0.826580221972902,344.7731,0.0018,343.2604,0.0026,20.8232,0.0443,16.8908,0.0015,2.2495,0.0051,0.5184,3.0E-4,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,21.5591,0.0248,15.9937,8.0E-4,2.7376,0.0028,0.5184,3.0E-4,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,22.2613,0.0382,15.5699,0.0011,3.2034,0.0042,0.5184,3.0E-4,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,23.0213,0.0687,15.3308,0.0017,3.7076,0.0076,0.5184,3.0E-4,10.3326,0.0318,0.0477,10.494,0.024,-0.598,0.227
6.0,6.0,4007.0,217.749990620551,13.66138061326895,SER,0.898373720351972,114.5866,0.0061,114.9385,0.005,11.3457,0.1703,18.1163,0.0088,3.5312,0.0489,0.619,0.0023,-71.9124,0.2376,114.5866,0.0061,114.9385,0.005,10.7478,0.1193,17.1923,0.0062,3.7885,0.0345,0.619,0.0023,-71.9124,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5866,0.0061,114.9385,0.005,9.5597,0.1686,16.597,0.0093,4.2998,0.0588,0.619,0.0023,-71.9124,0.2376,0.1551,11.122,0.031,0.591,0.121
7.0,7.0,3542.0,150.8693059615977,29.84382671300257,SER,0.391347174386144,344.0151,0.0,344.0959,2.0E-4,7.5702,0.0221,18.3467,5.0E-4,2.1455,0.0116,0.4977,9.0E-4,-5.5738,0.0782,344.0151,0.0,344.0959,2.0E-4,7.3593,0.0152,17.2881,6.0E-4,2.3778,0.0074,0.4977,9.0E-4,-5.5738,0.0782,344.0151,0.0,344.0959,2.0E-4,7.1582,0.0173,35.6844,0.0026,2.5995,0.0086,0.4977,9.0E-4,-5.5738,0.0782,344.0151,0.0,344.0959,2.0E-4,6.9404,0.0268,16.6012,8.0E-4,2.8394,0.014,0.4977,9.0E-4,-5.5738,0.0782,0.1661,11.243,0.046,-0.05,0.631
8.0,8.0,652.0,154.8748253901251,26.77795376356905,SER,0.390929823729479,573.3792,0.0021,573.6819,0.0023,4.9525,0.0358,18.2623,0.0041,4.8632,0.062,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.643,0.0204,17.4093,0.0025,4.8676,0.0353,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.3478,0.0174,17.0848,0.0022,4.8717,0.0297,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.0282,0.031,16.8941,0.0042,4.8762,0.0532,0.6699,0.0015,8.6076,0.1639,0.1178,10.53,0.035,-0.179,0.297
9.0,9.0,1663.0,145.7125678259787,5.232417615374378,SER,0.365637562592338,573.2209,0.0021,573.2013,0.0026,12.7006,0.0702,17.87,0.0035,3.0077,0.0178,0.6401,0.001,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,11.7263,0.044,16.9887,0.0022,3.1686,0.0111,0.6401,0.001,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,10.7967,0.0386,16.6443,0.0022,3.3221,0.0112,0.6401,0.001,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,9.7904,0.0606,16.4229,0.0035,3.4883,0.0182,0.6401,0.001,-34.3964,0.1066,0.1207,10.983,0.032,0.25,0.132
10.0,10.0,1934.0,220.1731492264396,19.90418371244418,SER,0.339175465144069,344.0496,0.0075,343.6653,0.0031,15.8366,0.0433,18.4383,0.002,1.5075,0.0063,0.2262,3.0E-4,-80.3135,0.0289,344.0496,0.0075,343.6653,0.0031,15.2895,0.0304,17.4201,0.0015,1.5954,0.0044,0.2262,3.0E-4,-80.3135,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0496,0.0075,343.6653,0.0031,14.2025,0.0405,16.6156,0.0018,1.7701,0.0069,0.2262,3.0E-4,-80.3135,0.0289,0.0972,10.805,0.067,-0.344,0.594
11.0,11.0,1483.0,170.703712971994,9.181744147271695,SER,0.44138168921571,344.2656,0.0012,344.2818,0.0011,14.8175,0.0574,16.3613,0.0016,5.6933,0.0121,0.8177,6.0E-4,78.0633,0.1021,344.2656,0.0012,344.2818,0.0011,18.7171,0.0501,15.5959,0.0012,6.1933,0.009,0.8177,6.0E-4,78.0633,0.1021,344.2656,0.0012,344.2818,0.0011,22.4379,0.0773,15.2409,0.0014,6.6703,0.01,0.8177,6.0E-4,78.0633,0.1021,344.2656,0.0012,344.2818,0.0011,26.4656,0.1198,14.8558,0.0018,7.1867,0.0144,0.8177,6.0E-4,78.0633,0.1021,0.1125,11.057,0.056,1.171,0.125
12.0,12.0,3857.0,197.0781618422557,25.52890932054453,REX,0.427052470314157,343.7162,0.0025,344.6046,0.0025,8.6405,0.0144,17.6965,0.0013,1.4505,0.0044,0.9326,9.0E-4,82.9325,0.5026,343.7162,0.0025,344.6046,0.0025,8.2734,0.0092,16.9523,9.0E-4,1.7345,0.0027,0.9326,9.0E-4,82.9325,0.5026,343.7162,0.0025,344.6046,0.0025,7.9232,0.012,16.5647,0.0013,2.0055,0.004,0.9326,9.0E-4,82.9325,0.5026,343.7162,0.0025,344.6046,0.0025,7.5441,0.0201,16.3784,0.0017,2.2988,0.007,0.9326,9.0E-4,82.9325,0.5026,0.1393,10.957,0.032,0.76,0.094
13.0,13.0,4132.0,126.1865163779526,17.93775475113703,SER,0.519084137316702,344.2685,0.002,343.7060,0.002,4.0931,0.0383,18.3316,0.0051,5.0932,0.0714,0.8972,0.0024,79.6793,0.7573,344.2685,0.002,343.7060,0.002,4.1151,0.0235,17.2683,0.0031,5.0257,0.0411,0.8972,0.0024,79.6793,0.7573,344.2685,0.002,343.7060,0.002,4.1361,0.0199,16.8255,0.0026,4.9613,0.0293,0.8972,0.0024,79.6793,0.7573,344.2685,0.002,343.7060,0.002,4.1589,0.0318,16.5758,0.004,4.8916,0.0512,0.8972,0.0024,79.6793,0.7573,0.1512,11.011,0.039,-1.118,0.847
14.0,14.0,3292.0,175.1324152262031,3.484866613012226,SER,0.994472077967551,343.9309,0.006,343.7874,0.005,13.639,0.032,17.545,0.002,1.173,0.0044,0.7949,8.0E-4,-53.7161,0.2119,343.9309,0.006,343.7874,0.005,13.8241,0.0231,17.0217,0.0015,1.4097,0.003,0.7949,8.0E-4,-53.7161,0.2119,343.9309,0.006,343.7874,0.005,14.0008,0.0376,16.7273,0.0022,1.6357,0.0048,0.7949,8.0E-4,-53.7161,0.2119,343.9309,0.006,343.7874,0.005,14.1921,0.062,16.5749,0.0033,1.8802,0.008,0.7949,8.0E-4,-53.7161,0.2119,0.0917,10.193,0.056,0.419,0.08
15.0,15.0,448.0,231.300987325122,10.43693518443214,SER,0.393938677404644,573.4284,0.0031,572.5410,0.0059,16.1566,0.0286,17.5416,0.0015,1.1967,0.0034,0.4248,3.0E-4,-12.0888,0.0354,573.4284,0.0031,572.5410,0.0059,15.5137,0.0187,16.8832,0.001,1.2741,0.0021,0.4248,3.0E-4,-12.0888,0.0354,573.4284,0.0031,572.5410,0.0059,14.9003,0.0206,16.5683,0.0011,1.3479,0.0025,0.4248,3.0E-4,-12.0888,0.0354,573.4284,0.0031,572.5410,0.0059,14.2363,0.0329,16.3742,0.0018,1.4279,0.0042,0.4248,3.0E-4,-12.0888,0.0354,0.0934,10.605,0.031,0.305,0.084
16.0,16.0,991.0,55.78836525096371,0.2660505203597386,SER,0.755085834011308,343.9756,0.0016,344.0566,0.0016,23.1569,0.3429,17.4981,0.0059,8.763,0.0661,0.7458,0.0012,-16.0609,0.1617,343.9756,0.0016,344.0566,0.0016,20.8177,0.2074,16.3349,0.0039,9.2495,0.0423,0.7458,0.0012,-16.0609,0.1617,343.9756,0.0016,344.0566,0.0016,18.5857,0.1438,15.881,0.0031,9.7136,0.0384,0.7458,0.0012,-16.0609,0.1617,343.9756,0.0016,344.0566,0.0016,16.1697,0.224,15.6319,0.005,10.216,0.059,0.7458,0.0012,-16.0609,0.1617,0.1685,11.487,0.008,-1.537,0.477
17.0,17.0,1804.0,203.4810031547932,18.15036382132875,SER,0.491812353770492,344.8076,0.0026,343.8282,0.0025,14.7669,0.208,17.8561,0.007,5.431,0.055,0.8371,0.0017,78.5027,0.3384,344.8076,0.0026,343.8282,0.0025,13.9004,0.1256,16.8157,0.0044,5.7333,0.0333,0.8371,0.0017,78.5027,0.3384,344.8076,0.0026,343.8282,0.0025,13.0736,0.1107,16.4793,0.004,6.0219,0.0319,0.8371,0.0017,78.5027,0.3384,344.8076,0.0026,343.8282,0.0025,12.1787,0.1829,16.1735,0.0071,6.3342,0.0533,0.8371,0.0017,78.5027,0.3384,0.1465,11.091,0.023,-1.296,0.805
18.0,18.0,2561.0,193.7074151326179,23.00423176542983,SER,0.459675195918021,573.4154,0.003,572.7186,0.0031,9.981,0.0589,17.5778,0.0035,3.1853,0.0196,0.9387,0.0016,8.1574,0.878,573.4154,0.003,572.7186,0.0031,10.2806,0.0358,16.6691,0.0021,3.8273,0.0116,0.9387,0.0016,8.1574,0.878,573.4154,0.003,572.7186,0.0031,10.5665,0.0533,16.2715,0.0027,4.4397,0.0167,0.9387,0.0016,8.1574,0.878,573.4154,0.003,572.7186,0.0031,10.876,0.0924,16.0038,0.0041,5.1028,0.0293,0.9387,0.0016,8.1574,0.878,0.0758,10.546,0.048,-0.359,0.56
19.0,19.0,1235.0,351.0387163968351,14.17386128941626,SER,0.281663080930209,344.1213,0.0035,344.0397,0.005,18.1825,0.2041,18.48,0.0057,4.5288,0.0369,0.2901,7.0E-4,-6.4402,0.0586,344.1213,0.0035,344.0397,0.005,16.8052,0.1317,17.3753,0.0039,4.8255,0.0252,0.2901,7.0E-4,-6.4402,0.0586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.1213,0.0035,344.0397,0.005,14.0683,0.1282,16.6196,0.0041,5.415,0.0353,0.2901,7.0E-4,-6.4402,0.0586,0.1466,11.201,0.068,0.238,0.485
20.0,20.0,4823.0,136.1407407839945,17.94671493587824,SER,0.407814045586696,115.2321,0.0018,115.2741,0.002,9.08,0.0333,18.0404,0.0025,2.1517,0.0117,0.7386,0.0011,-49.2412,0.1551,115.2321,0.0018,115.2741,0.002,9.1304,0.025,17.2018,0.0017,3.0918,0.0093,0.7386,0.0011,-49.2412,0.1551,115.2321,0.0018,115.2741,0.002,9.1785,0.0369,16.7557,0.0021,3.9888,0.015,0.7386,0.0011,-49.2412,0.1551,115.2321,0.0018,115.2741,0.002,9.2305,0.059,16.5251,0.003,4.9598,0.024,0.7386,0.0011,-49.2412,0.1551,0.0886,10.576,0.061,0.665,0.1
21.0,21.0,1562.0,184.3971293080736,22.36922171703771,SER,0.745634764328644,115.5199,0.0026,114.8498,0.002,15.8159,0.1218,17.2084,0.0041,4.5266,0.0274,0.4811,6.0E-4,83.2777,0.0533,115.5199,0.0026,114.8498,0.002,14.6643,0.0693,16.3052,0.0026,4.4884,0.016,0.4811,6.0E-4,83.2777,0.0533,115.5199,0.0026,114.8498,0.002,13.5655,0.0463,15.9461,0.0019,4.4519,0.0123,0.4811,6.0E-4,83.2777,0.0533,115.5199,0.0026,114.8498,0.002,12.376,0.0828,15.7164,0.0035,4.4123,0.0212,0.4811,6.0E-4,83.2777,0.0533,0.1007,11.055,0.021,-0.626,0.395
22.0,22.0,2445.0,142.2063897406205,8.246833191769918,SER,0.379847422108876,573.5536,0.0027,573.2718,0.0022,13.1477,0.0189,17.6197,0.0012,1.1411,0.0028,0.7655,5.0E-4,59.6584,0.0954,573.5536,0.0027,573.2718,0.0022,13.8356,0.0164,16.752,9.0E-4,1.7858,0.0024,0.7655,5.0E-4,59.6584,0.0954,573.5536,0.0027,573.2718,0.0022,14.492,0.0317,16.337,0.0016,2.401,0.0047,0.7655,5.0E-4,59.6584,0.0954,573.5536,0.0027,573.2718,0.0022,15.2026,0.052,16.1123,0.0021,3.0669,0.0077,0.7655,5.0E-4,59.6584,0.0954,0.1084,10.876,0.025,0.21,0.093
23.0,23.0,2728.0,170.5330903066074,8.82255704248549,SER,0.822556260333512,344.2157,0.0027,344.5091,0.0027,7.4284,0.104,18.0345,0.0064,6.6992,0.081,0.9505,0.0023,-16.4309,1.4915,344.2157,0.0027,344.5091,0.0027,6.8323,0.0614,17.0654,0.0042,6.3827,0.0475,0.9505,0.0023,-16.4309,1.4915,344.2157,0.0027,344.5091,0.0027,6.2636,0.0459,16.6855,0.0036,6.0808,0.0373,0.9505,0.0023,-16.4309,1.4915,344.2157,0.0027,344.5091,0.0027,5.648,0.0765,16.4618,0.0062,5.7539,0.0635,0.9505,0.0023,-16.4309,1.4915,0.1119,10.763,0.021,-1.692,0.736
24.0,24.0,2071.0,230.5986689961798,8.284252966980585,SER,0.30108171188922,573.6198,0.0012,573.1357,0.001,10.2219,0.0106,16.5738,7.0E-4,2.5701,0.0036,0.7383,4.0E-4,-79.3832,0.051,573.6198,0.0012,573.1357,0.001,9.7,0.007,15.8388,5.0E-4,2.8572,0.0021,0.7383,4.0E-4,-79.3832,0.051,573.6198,0.0012,573.1357,0.001,9.202,0.0084,15.5301,6.0E-4,3.1312,0.0029,0.7383,4.0E-4,-79.3832,0.051,573.6198,0.0012,573.1357,0.001,8.6629,0.0136,15.303,8.0E-4,3.4279,0.0052,0.7383,4.0E-4,-79.3832,0.051,0.05,10.41,0.052,0.521,0.109
25.0,25.0,5549.0,131.0541036502069,23.34699680899701,SER,0.524628769218693,343.9501,0.0015,344.5563,0.0017,11.2428,0.0941,17.7832,0.004,6.028,0.0394,0.7337,9.0E-4,24.3575,0.1203,343.9501,0.0015,344.5563,0.0017,10.527,0.0533,16.7851,0.0025,5.92,0.0225,0.7337,9.0E-4,24.3575,0.1203,343.9501,0.0015,344.5563,0.0017,9.844,0.0393,16.3864,0.0019,5.817,0.018,0.7337,9.0E-4,24.3575,0.1203,343.9501,0.0015,344.5563,0.0017,9.1046,0.071,16.152,0.0036,5.7055,0.032,0.7337,9.0E-4,24.3575,0.1203,0.1274,10.976,0.033,-1.316,0.707
26.0,26.0,3565.0,198.5969546255954,16.178754517878,SER,0.424633782498436,573.2157,9.0E-4,573.4660,9.0E-4,8.9686,0.0405,17.3906,0.0022,4.0895,0.0161,0.9161,7.0E-4,36.8389,0.2661,573.2157,9.0E-4,573.4660,9.0E-4,10.3355,0.0243,16.3745,0.0013,5.7813,0.0094,0.9161,7.0E-4,36.8389,0.2661,573.2157,9.0E-4,573.4660,9.0E-4,11.6398,0.0377,15.9562,0.0014,7.3955,0.0136,0.9161,7.0E-4,36.8389,0.2661,573.2157,9.0E-4,573.4660,9.0E-4,13.0516,0.066,15.568,0.002,9.1429,0.0239,0.9161,7.0E-4,36.8389,0.2661,0.0982,10.923,0.049,-1.24,0.715
27.0,27.0,6473.0,339.2122925944115,-8.458754026363213,SER,0.351471381639698,344.4454,0.0015,343.5959,0.0012,5.3634,0.0142,17.7008,0.0016,4.7264,0.0234,0.4812,6.0E-4,86.5299,0.0477,344.4454,0.0015,343.5959,0.0012,5.1459,0.0086,16.9092,0.001,4.321,0.0139,0.4812,6.0E-4,86.5299,0.0477,344.4454,0.0015,343.5959,0.0012,4.9384,0.0075,16.5785,0.001,3.9342,0.0101,0.4812,6.0E-4,86.5299,0.0477,344.4454,0.0015,343.5959,0.0012,4.7137,0.0124,16.3203,0.0016,3.5155,0.0167,0.4812,6.0E-4,86.5299,0.0477,0.082,10.584,0.034,0.077,0.172
28.0,28.0,384.0,219.0038142779124,-0.110443517896728,SER,0.74955351466027,344.7126,6.0E-4,344.1432,7.0E-4,20.4555,0.087,16.6596,0.0019,7.4267,0.0178,0.7845,4.0E-4,29.9095,0.0602,344.7126,6.0E-4,344.1432,7.0E-4,19.8528,0.0531,15.7453,0.0012,7.583,0.0109,0.7845,4.0E-4,29.9095,0.0602,344.7126,6.0E-4,344.1432,7.0E-4,19.2777,0.04,15.3448,0.001,7.7321,0.0085,0.7845,4.0E-4,29.9095,0.0602,344.7126,6.0E-4,344.1432,7.0E-4,18.6552,0.0627,15.0901,0.0014,7.8935,0.0133,0.7845,4.0E-4,29.9095,0.0602,0.0568,10.633,0.032,-1.378,0.876
29.0,29.0,4226.0,163.1805104586362,17.00267715236695,REX,0.63255091385593,344.9271,0.0035,344.3409,0.0036,6.9486,0.0143,18.0674,0.0018,1.2048,0.0048,0.962,0.0012,26.5806,1.2665,344.9271,0.0035,344.3409,0.0036,6.6281,0.0087,17.569,0.0012,1.4055,0.003,0.962,0.0012,26.5806,1.2665,344.9271,0.0035,344.3409,0.0036,6.3223,0.0121,17.2797,0.0015,1.597,0.0049,0.962,0.0012,26.5806,1.2665,344.9271,0.0035,344.3409,0.0036,5.9912,0.0208,17.1914,0.0027,1.8042,0.0085,0.962,0.0012,26.5806,1.2665,0.132,10.45,0.057,0.708,0.062
30.0,30.0,5065.0,189.1861638656838,19.04005844315012,SER,0.309742289131028,573.6327,0.0091,572.3173,0.0056,15.4448,0.0382,18.2671,0.0021,0.9429,0.0043,0.4909,5.0E-4,58.7231,0.0766,573.6327,0.0091,572.3173,0.0056,15.1386,0.024,17.5854,0.0016,1.1195,0.0027,0.4909,5.0E-4,58.7231,0.0766,573.6327,0.0091,572.3173,0.0056,14.8464,0.0316,17.2653,0.0015,1.288,0.0038,0.4909,5.0E-4,58.7231,0.0766,573.6327,0.0091,572.3173,0.0056,14.5302,0.0534,17.1123,0.003,1.4705,0.0064,0.4909,5.0E-4,58.7231,0.0766,0.1121,10.344,0.052,0.273,0.103
31.0,31.0,5359.0,185.9972378868171,12.78955273855986,SER,0.632083880356565,344.1300,0.0016,344.0149,0.0015,9.1684,0.0522,17.8284,0.0028,5.158,0.0285,0.7339,9.0E-4,-89.3101,0.1145,344.1300,0.0016,344.0149,0.0015,8.4913,0.0314,16.9191,0.0018,5.4813,0.0171,0.7339,9.0E-4,-89.3101,0.1145,344.1300,0.0016,344.0149,0.0015,7.8452,0.0327,16.5152,0.0019,5.7898,0.0207,0.7339,9.0E-4,-89.3101,0.1145,344.1300,0.0016,344.0149,0.0015,7.1459,0.0555,16.2569,0.0036,6.1238,0.0356,0.7339,9.0E-4,-89.3101,0.1145,0.0984,10.812,0.059,0.507,0.182
32.0,32.0,4736.0,315.6574407619064,0.1007516203052464,SER,0.836907071006147,343.8635,2.0E-4,343.9827,1.0E-4,25.1771,0.0179,16.6643,1.0E-4,0.543,0.0012,0.2944,2.0E-4,-75.5166,0.0163,343.8635,2.0E-4,343.9827,1.0E-4,24.2246,0.0138,15.9829,1.0E-4,0.7043,9.0E-4,0.2944,2.0E-4,-75.5166,0.0163,343.8635,2.0E-4,343.9827,1.0E-4,23.3158,0.021,20.0327,0.0011,0.8582,0.0016,0.2944,2.0E-4,-75.5166,0.0163,343.8635,2.0E-4,343.9827,1.0E-4,22.332,0.0335,15.445,1.0E-4,1.0248,0.0027,0.2944,2.0E-4,-75.5166,0.0163,0.0499,10.392,0.036,0.325,0.087
33.0,33.0,3225.0,131.4526512277634,31.27503709178998,EXP,0.381396656283862,573.2409,0.0043,573.9725,0.0035,12.1992,0.0088,17.2039,7.0E-4,0.7824,0.0012,0.7662,3.0E-4,-83.8036,0.0872,573.2409,0.0043,573.9725,0.0035,11.7607,0.0075,16.5984,7.0E-4,0.943,0.001,0.7662,3.0E-4,-83.8036,0.0872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.2409,0.0043,573.9725,0.0035,10.8892,0.0173,16.1045,0.0013,1.2622,0.0027,0.7662,3.0E-4,-83.8036,0.0872,0.0668,10.315,0.034,0.159,0.105
34.0,34.0,5381.0,197.0552714185657,1.548175253834744,DUP,0.647452170911256,344.5232,0.0017,343.4201,0.0026,17.2446,0.0326,16.941,0.0014,1.7726,0.0045,0.3457,2.0E-4,-32.4887,0.0187,344.5232,0.0017,343.4201,0.0026,16.7702,0.02,16.0704,8.0E-4,2.0377,0.0027,0.3457,2.0E-4,-32.4887,0.0187,344.5232,0.0017,343.4201,0.0026,16.3176,0.0214,15.6579,8.0E-4,2.2908,0.0031,0.3457,2.0E-4,-32.4887,0.0187,344.5232,0.0017,343.4201,0.0026,15.8276,0.0359,15.4274,0.0014,2.5646,0.0053,0.3457,2.0E-4,-32.4887,0.0187,0.0707,10.904,0.027,0.06,0.191
35.0,35.0,923.0,179.7819880792149,0.7429039256502062,SER,0.769564899966939,344.7278,0.0033,344.1720,0.003,9.3988,0.0531,17.9138,0.0035,2.9951,0.0175,0.7764,0.0012,-74.9972,0.1964,344.7278,0.0033,344.1720,0.003,9.3992,0.0332,16.8858,0.0022,2.9512,0.0106,0.7764,0.0012,-74.9972,0.1964,344.7278,0.0033,344.1720,0.003,9.3996,0.0281,16.4699,0.0019,2.9093,0.0083,0.7764,0.0012,-74.9972,0.1964,344.7278,0.0033,344.1720,0.003,9.4,0.0436,16.2101,0.0028,2.8639,0.0134,0.7764,0.0012,-74.9972,0.1964,0.1326,11.017,0.06,-1.119,0.923
36.0,36.0,5639.0,133.9508859967811,17.08284285552592,REX,0.45307263899726,344.6586,0.0041,344.5189,0.0046,10.1284,0.0194,17.9072,0.0017,1.1226,0.0036,0.8726,7.0E-4,17.6873,0.2866,344.6586,0.0041,344.5189,0.0046,10.1486,0.0112,17.3545,9.0E-4,1.2432,0.0021,0.8726,7.0E-4,17.6873,0.2866,344.6586,0.0041,344.5189,0.0046,10.1679,0.0161,17.0794,0.0013,1.3583,0.0029,0.8726,7.0E-4,17.6873,0.2866,344.6586,0.0041,344.5189,0.0046,10.1888,0.0286,16.963,0.0023,1.4828,0.0052,0.8726,7.0E-4,17.6873,0.2866,0.1051,10.2,0.058,0.402,0.064
37.0,37.0,4185.0,123.8166591327098,3.449408978139481,REX,0.705507865636726,344.1278,0.0048,343.4771,0.005,13.41,0.0129,16.9862,0.001,0.6563,0.0016,0.9502,6.0E-4,32.5448,0.6008,344.1278,0.0048,343.4771,0.005,13.2123,0.0098,16.3666,0.0011,0.8388,0.0011,0.9502,6.0E-4,32.5448,0.6008,344.1278,0.0048,343.4771,0.005,13.0236,0.0127,16.0714,0.001,1.0129,0.0015,0.9502,6.0E-4,32.5448,0.6008,344.1278,0.0048,343.4771,0.005,12.8193,0.0195,15.9022,0.0013,1.2013,0.0025,0.9502,6.0E-4,32.5448,0.6008,0.0882,10.638,0.043,0.576,0.07
38.0,38.0,6924.0,134.0185739021665,15.92691909276931,DEV,0.884682049791714,115.8818,0.002,114.7468,0.0022,13.2335,0.0857,17.0271,0.0038,3.7169,0.0216,0.835,9.0E-4,13.5696,0.2016,115.8818,0.002,114.7468,0.0022,12.3124,0.0509,16.131,0.0024,4.1106,0.0134,0.835,9.0E-4,13.5696,0.2016,115.8818,0.002,114.7468,0.0022,11.4335,0.0376,15.7461,0.0018,4.4863,0.012,0.835,9.0E-4,13.5696,0.2016,115.8818,0.002,114.7468,0.0022,10.4821,0.062,15.4911,0.003,4.8929,0.0191,0.835,9.0E-4,13.5696,0.2016,0.0725,10.772,0.043,-0.455,0.584
39.0,39.0,2720.0,121.548737565074,19.62909284969526,SER,0.679039144622152,344.2072,0.0071,345.1178,0.0054,40.165,0.0272,15.987,7.0E-4,0.8514,0.001,0.3883,1.0E-4,52.5671,0.0161,344.2072,0.0071,345.1178,0.0054,39.0056,0.0175,15.3237,5.0E-4,0.9995,6.0E-4,0.3883,1.0E-4,52.5671,0.0161,344.2072,0.0071,345.1178,0.0054,37.8994,0.0229,15.0312,6.0E-4,1.1407,9.0E-4,0.3883,1.0E-4,52.5671,0.0161,344.2072,0.0071,345.1178,0.0054,36.702,0.0381,14.8382,9.0E-4,1.2937,0.0015,0.3883,1.0E-4,52.5671,0.0161,0.0358,10.332,0.026,-0.196,0.093
