Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,z,log_M_stellar,e_log_M_stellar,log_SFR,e_log_SFR
513.0,513.0,8574.0,174.2415372674352,-3.113442614224901,SER,0.261475531289139,344.0741,6.0E-4,344.2584,4.0E-4,11.4088,0.0359,16.8959,0.0015,7.1951,0.0153,0.5132,2.0E-4,65.5939,0.0188,344.0741,6.0E-4,344.2584,4.0E-4,11.3792,0.0211,16.0243,8.0E-4,6.7913,0.0092,0.5132,2.0E-4,65.5939,0.0188,344.0741,6.0E-4,344.2584,4.0E-4,11.3509,0.0206,15.6753,9.0E-4,6.4059,0.0081,0.5132,2.0E-4,65.5939,0.0188,344.0741,6.0E-4,344.2584,4.0E-4,11.3204,0.0356,15.4762,0.0014,5.9887,0.0135,0.5132,2.0E-4,65.5939,0.0188,0.0851,10.798,0.017,-1.359,0.891
514.0,514.0,1895.0,212.7393014906523,9.372662643139192,SER,0.77580119704271,115.4439,0.0043,115.0335,0.0043,9.2561,0.015,17.8455,0.0016,0.6913,0.0035,0.6138,6.0E-4,-44.4099,0.0894,115.4439,0.0043,115.0335,0.0043,9.011,0.0099,17.1584,0.001,0.8248,0.0021,0.6138,6.0E-4,-44.4099,0.0894,115.4439,0.0043,115.0335,0.0043,8.7771,0.0119,16.831,0.0012,0.9522,0.0029,0.6138,6.0E-4,-44.4099,0.0894,115.4439,0.0043,115.0335,0.0043,8.5239,0.0194,16.6612,0.0019,1.0901,0.0051,0.6138,6.0E-4,-44.4099,0.0894,0.0878,10.383,0.05,0.393,0.093
515.0,515.0,2283.0,220.0619531391264,6.761970266186327,SER,0.302932542877103,343.4621,0.0034,344.1401,0.0025,11.2267,0.0278,17.7537,0.0018,1.9502,0.0067,0.5784,6.0E-4,-74.3127,0.0665,343.4621,0.0034,344.1401,0.0025,11.1082,0.0175,16.919,0.0011,2.1929,0.0039,0.5784,6.0E-4,-74.3127,0.0665,343.4621,0.0034,344.1401,0.0025,10.9951,0.0221,16.4994,0.0014,2.4244,0.0052,0.5784,6.0E-4,-74.3127,0.0665,343.4621,0.0034,344.1401,0.0025,10.8728,0.037,16.2956,0.0021,2.6751,0.0091,0.5784,6.0E-4,-74.3127,0.0665,0.1033,10.857,0.036,0.375,0.161
516.0,516.0,3251.0,219.9714186817371,18.65384001115662,REX,0.296799681100598,344.0380,0.0037,343.0107,0.0039,5.549,0.0066,18.3161,0.001,0.7168,0.0031,0.9234,9.0E-4,28.391,0.5425,344.0380,0.0037,343.0107,0.0039,5.7282,0.0055,17.7949,8.0E-4,0.7648,0.0021,0.9234,9.0E-4,28.391,0.5425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0380,0.0037,343.0107,0.0039,6.0841,0.0108,17.3563,0.0014,0.8602,0.0044,0.9234,9.0E-4,28.391,0.5425,0.0993,10.012,0.059,0.356,0.078
517.0,517.0,5842.0,150.121361789483,7.00738254489636,SER,2.05039568394091,115.3210,0.0011,115.0486,9.0E-4,29.6303,0.1467,16.6485,0.0023,6.4475,0.0135,0.7164,4.0E-4,87.3178,0.0487,115.3210,0.0011,115.0486,9.0E-4,24.077,0.0841,15.6908,0.0018,6.305,0.0086,0.7164,4.0E-4,87.3178,0.0487,115.3210,0.0011,115.0486,9.0E-4,18.7784,0.0458,15.3399,0.0011,6.1691,0.0077,0.7164,4.0E-4,87.3178,0.0487,115.3210,0.0011,115.0486,9.0E-4,13.0426,0.0799,15.239,0.0027,6.0219,0.0118,0.7164,4.0E-4,87.3178,0.0487,0.1221,11.47,0.053,-0.362,0.817
518.0,518.0,1015.0,238.8639678299745,23.41510612088174,SER,0.425085056965381,344.2546,0.0021,343.6111,0.0023,7.6081,0.0823,18.0975,0.005,6.4028,0.0713,0.8009,0.0019,50.1683,0.3171,344.2546,0.0021,343.6111,0.0023,7.2732,0.0467,17.1599,0.0028,7.4744,0.0416,0.8009,0.0019,50.1683,0.3171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.2546,0.0021,343.6111,0.0023,6.6079,0.124,16.5252,0.0074,9.6037,0.1292,0.8009,0.0019,50.1683,0.3171,0.087,10.499,0.035,-0.566,0.338
519.0,519.0,888.0,239.6626914378443,26.97694546083477,SER,0.637072902981711,344.2292,0.0022,343.9515,0.0019,18.8557,0.0134,15.7808,7.0E-4,1.4593,0.0014,0.8106,3.0E-4,68.0785,0.0595,344.2292,0.0022,343.9515,0.0019,19.3585,0.0094,15.0029,5.0E-4,1.6767,9.0E-4,0.8106,3.0E-4,68.0785,0.0595,344.2292,0.0022,343.9515,0.0019,19.8382,0.0132,14.8876,0.0038,1.8841,0.0012,0.8106,3.0E-4,68.0785,0.0595,344.2292,0.0022,343.9515,0.0019,20.3575,0.0214,14.3684,9.0E-4,2.1087,0.0019,0.8106,3.0E-4,68.0785,0.0595,0.066,10.991,0.032,0.692,0.116
520.0,520.0,4083.0,184.8674551465097,5.469953878432534,SER,0.388230887439683,343.9067,0.0011,344.0513,0.0011,19.4748,0.1547,17.4341,0.0035,7.5754,0.0355,0.7691,7.0E-4,-80.2382,0.0957,343.9067,0.0011,344.0513,0.0011,17.7769,0.0936,16.5268,0.0022,8.0577,0.0222,0.7691,7.0E-4,-80.2382,0.0957,343.9067,0.0011,344.0513,0.0011,16.1568,0.0864,16.1447,0.0022,8.5178,0.0242,0.7691,7.0E-4,-80.2382,0.0957,343.9067,0.0011,344.0513,0.0011,14.403,0.1433,15.9403,0.0041,9.0159,0.04,0.7691,7.0E-4,-80.2382,0.0957,0.0976,10.772,0.035,-0.717,0.654
521.0,521.0,3620.0,151.8754631932937,18.08461189100683,SER,0.386731160073879,344.4247,0.005,344.8817,0.0116,19.152,0.0205,17.5609,0.0011,0.5897,0.002,0.3859,3.0E-4,-9.6266,0.0335,344.4247,0.005,344.8817,0.0116,18.7501,0.0137,16.9725,0.001,0.6904,0.0012,0.3859,3.0E-4,-9.6266,0.0335,344.4247,0.005,344.8817,0.0116,18.3666,0.0185,16.6583,0.0011,0.7864,0.0018,0.3859,3.0E-4,-9.6266,0.0335,344.4247,0.005,344.8817,0.0116,17.9514,0.0303,16.4611,0.0017,0.8904,0.003,0.3859,3.0E-4,-9.6266,0.0335,0.0977,10.55,0.039,0.375,0.091
522.0,522.0,3081.0,117.9093719294387,14.75986148524684,SER,0.766190595486878,343.8198,1.0E-4,344.0626,1.0E-4,4.764,0.0273,17.8294,5.0E-4,4.6925,0.0494,0.7637,0.0019,1.7972,0.2769,343.8198,1.0E-4,344.0626,1.0E-4,4.4368,0.0182,16.9103,0.001,4.8787,0.0332,0.7637,0.0019,1.7972,0.2769,343.8198,1.0E-4,344.0626,1.0E-4,4.1246,0.019,33.4196,0.0041,5.0562,0.0359,0.7637,0.0019,1.7972,0.2769,343.8198,1.0E-4,344.0626,1.0E-4,3.7867,0.0294,16.2884,0.0016,5.2485,0.0558,0.7637,0.0019,1.7972,0.2769,0.1115,10.828,0.023,-1.562,0.757
