Group,ra,dec
20,13.04660065707238,-1.128448197229796
74,128.6624563525526,15.76384033243654
74,128.6843710942975,15.79049411645369
79,143.0164322817605,16.01371716945271
89,157.034626533431,31.20686057030345
90,160.105463817595,24.22891625645232
90,160.0979346994472,24.218117062578
97,167.5168502117463,-1.004677110111772
98,168.0198611603887,29.40156252050033
100,169.5035696181568,30.54045052288772
104,171.9601366068491,-0.4511256666447173
107,174.1685202200961,21.69989212707423
112,179.0601589568412,25.35415458397431
122,190.3524647842002,18.31344056490991
130,197.4529090712558,30.42953795617289
132,198.2811769270057,12.68375142899898
138,202.0280164716707,31.93186678820862
140,203.3246429798482,11.08851325656476
143,204.8738495829156,4.511382287086172
148,208.8599605956549,6.56629489961704
155,213.2258035175576,23.3377822835228
157,215.5025057406916,28.863960761391
160,219.6912603223076,9.04091980277455
168,228.187522824389,26.58034235816466
168,228.1551079683782,26.57635339860423
171,230.9415084439488,2.67026416322864
176,238.378110723174,20.98374316650619
176,238.3661403755266,20.96810893908589
243,146.8749693372368,30.38880616977882
243,146.8826141204588,30.39818456029343
243,146.8930822145775,30.41259558598308
248,195.033878757742,33.43766273681645
256,211.8383086842967,12.69505053047726
256,211.8743287276248,12.73514553097298
273,168.6477687319171,-0.8678292086364374
273,168.6037850872668,-0.8308699168587196
