brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
402566,1770p125,3900,SER,177.1064291120273,12.39474110668067,3.2047524,5.8056993,7.7288795,8.0985,240.12518,59.232742,28.108885,15.012208
402566,1770p125,3926,EXP,177.1075905107253,12.39484632581015,3.2317302,1.7425973,0.084765635,-1.02734,691.58203,245.8449,149.33891,62.695583
402566,1770p125,3918,SER,177.1073244033056,12.39522390744145,55.7784,68.995186,67.57617,75.23135,135.70488,43.5658,31.657066,19.741133
402566,1770p125,3933,SER,177.1079727874721,12.39589176073253,2.4870207,4.9752927,6.304215,7.8283076,271.20892,79.28348,41.44442,21.143959
267402,0113m110,4331,SER,11.39440086797655,-10.98704111748398,146.99089,212.3118,255.85915,266.96866,10.260129,5.302234,1.8680825,1.4410006
333284,0091p005,9685,REX,9.13197705380144,0.5633371083652263,1.5196866,2.4631808,2.9168205,2.902063,9515.671,3721.1794,447.67865,169.77953
333284,0091p005,9702,SER,9.132206720529156,0.5632746148986487,55.017963,87.93425,109.40359,122.94083,1322.5519,478.12234,39.411644,13.783593
323987,2048m012,4628,SER,204.880151170314,-1.279281671596658,68.90758,95.87018,115.2769,119.7589,111.4333,9.862499,24.97938,1.9356207
355694,2139p042,3118,PSF,213.9480342718369,4.159233591416567,0.096497834,0.48676872,2.1115518,4.242393,1349.38,387.89725,194.53426,53.64163
355694,2139p042,3119,SER,213.9482117825198,4.160118402254517,96.03475,130.85353,154.96988,155.86522,23.096586,6.7723002,3.871049,1.2136992
319614,1916m020,4627,SER,191.7188397876184,-1.961183846504667,158.47224,229.963,280.19333,298.3366,6.8949475,2.439579,1.2958117,0.32275355
322538,2026m015,8656,SER,202.6119091853101,-1.530939573000292,2.0109491,2.179784,2.0747063,2.1873643,3768.8838,3279.9368,64.46372,42.13817
322538,2026m015,8663,SER,202.6120233323291,-1.530091191539348,91.34195,136.0787,157.77675,175.35999,289.5717,203.25104,4.049876,2.6769314
335232,1361p007,8165,SER,136.2109621831837,0.7433697632759755,89.892944,132.23264,151.68755,167.5063,193.22365,208.10437,29.733223,14.065117
353950,1373p040,3675,SER,137.316651109047,4.113158351641226,80.67449,124.60658,147.69974,166.91885,72.91214,19.491516,24.497826,7.5379143
