Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv
14,2,0.07588,9.421045190534482,-9.05643554421165,0.5999781423828399,0.586693429690655,19.443,1.1275,18.2468,1.4602,17.1054,1.7776,15.8699,2.1212,0.0301,0.0034,0.0195,0.0023,0.0251,0.0036,0.0415,0.0061,17.872091876522127,17.058203270699384,16.667749356304768,16.429924223662987,0.034914233
14,4,0.077266,9.435477271748589,-9.059062043858258,0.7191043660029628,0.6018892050063513,16.4312,1.3086,16.587,1.5167,16.7357,1.7153,16.8966,1.9302,0.0523,0.0055,0.0468,0.0048,0.0753,0.0082,0.1177,0.013,17.7320967216371,17.316401823016296,17.01252383833073,16.98117799809369,0.034796927
14,3,0.076528,9.43272662799252,-9.065429631438676,0.7892342120176394,0.5382275330255695,13.41,1.0977,13.106,1.197,12.816,1.2918,12.502,1.3944,0.0273,0.0034,0.0211,0.0026,0.0316,0.0042,0.0502,0.0068,17.65070293779937,17.20086446583503,16.89758803584397,16.869597187974346,0.034714714
15,3,0.063567,9.490176731544569,-25.07375695424441,0.46864373540893567,0.4184001236327468,43.4482,3.9751,41.8109,4.0049,40.2487,4.0333,38.5576,4.0641,0.0592,0.0035,0.0356,0.0021,0.0332,0.002,0.0557,0.0033,14.984255418913428,14.006366087180615,13.572005600091817,13.27348468454522,0.015804822
15,4,0.059258,9.496903749885028,-25.05817536248398,0.6309089375819337,0.6311054913930274,13.8921,0.9015,13.7755,1.144,13.6642,1.3753,13.5437,1.6257,0.0113,0.0015,0.0064,0.0009,0.0096,0.0013,0.0171,0.0023,16.920960301084865,16.144681518986268,15.786250375268407,15.540036029179687,0.015810696
15,1,0.066176,9.46964856140158,-25.06268643212763,0.39364105597333143,0.3150548426031019,8.4609,0.9334,8.6712,0.9626,8.8718,0.9904,9.0889,1.0206,0.0217,0.0068,0.0164,0.0036,0.0275,0.006,0.0451,0.011,18.537942545528878,18.38671000258756,18.180305622647886,18.269629104730882,0.01586036
16,1,0.215976,11.98475234468605,-63.15271598449009,1.9322313884901448,1.9349013599866218,11.4528,0.8769,11.1095,0.9645,10.7819,1.0481,10.4273,1.1386,0.0111,0.0018,0.0074,0.0012,0.008,0.0013,0.0124,0.0021,17.509073043463346,16.723376470255392,16.332873829230813,16.226849371192586,0.01930333
16,4,0.215976,12.04557225387533,-63.15872257113716,1.5243092859298883,1.352309714209202,12.7563,0.7492,12.7991,0.905,12.84,1.0537,12.8842,1.2147,0.0133,0.0017,0.008,0.0011,0.0116,0.0015,0.0202,0.0027,17.040842123295942,16.31975171819724,15.964318444154705,15.931382370423758,0.019557705
16,2,0.086353,12.00123945421535,-63.16669403271604,0.8471430209779669,0.6268521402992882,5.2128,nan,12.9146,nan,20.2632,nan,28.218,nan,0.0397,nan,0.1027,nan,0.1804,nan,0.2667,nan,18.016901928055695,17.223796950761802,16.875930099145787,16.709072993460282,0.019543245
16,3,0.215976,12.00294737230044,-63.13376969298704,1.278338589209799,1.1832246907404844,20.2828,0.8311,19.9864,0.9599,19.7036,1.0828,19.3975,1.2159,0.0324,0.0024,0.0212,0.0014,0.031,0.0023,0.052,0.004,17.929164194645363,17.311818633271013,16.970143843862367,17.02944284506023,0.019062782
18,4,0.159397,12.31221568686366,-18.31617999953638,2.428932339743561,2.4796061677794015,5.4089,1.1446,5.1873,1.3634,4.976,1.5722,4.7472,1.7983,0.0048,0.0033,0.0028,0.0019,0.0036,0.0028,0.0063,0.0049,18.34081000468629,17.674218346310877,17.147568719093996,17.012241809764085,0.023851948
18,1,0.159397,12.27927560073106,-18.2866320671963,2.2211280847235493,2.2534510772005802,10.233,0.614,10.2672,0.6808,10.2998,0.7445,10.3352,0.8135,0.0019,0.0004,0.0013,0.0003,0.0016,0.0003,0.0025,0.0006,16.380572192026715,15.641727999143042,15.276256585516968,15.151133454392902,0.023887008
18,2,0.159397,12.29286562494236,-18.30786280759166,1.2105016200135186,1.234191169753382,14.3749,0.7635,14.4356,0.8168,14.4936,0.8676,14.5564,0.9227,0.0177,0.0026,0.0124,0.0014,0.0194,0.0024,0.032,0.0043,18.278651086791854,17.87194578740853,17.555859692597956,17.659554223169543,0.02386131
18,3,0.159397,12.2954947848856,-18.27013099982027,1.9658462414824651,1.994746420460121,13.428,2.6474,12.9863,3.0101,12.5648,3.3561,12.1085,3.7308,0.0199,0.0042,0.0122,0.0024,0.0152,0.0033,0.0259,0.0058,17.08101878791064,16.199552410119953,15.778982521142268,15.573114799691544,0.024565043
20,1,0.041238,13.04012577583562,-1.119177251059751,0.8709726557884334,0.8977357621449258,34.2949,0.7657,32.8672,0.9628,31.505,1.1508,30.0303,1.3544,0.0154,0.0009,0.0116,0.0006,0.0134,0.0007,0.0195,0.0013,16.673171409225226,15.909468115165545,15.519258581199837,15.257586085333918,0.051570516
20,3,0.104819,13.04660065707238,-1.128448197229796,0.900993960541749,0.6696930378611601,13.8501,1.2425,12.7863,1.3475,11.7714,1.4478,10.6727,1.5562,0.0278,0.0039,0.0145,0.002,0.017,0.0029,0.0325,0.0053,21.26651273028608,21.247245959393073,20.894139593924283,21.389783909920663,0.051507268
20,2,0.041238,13.04231588811046,-1.109083549669928,-0.3862627284283757,-0.09924049087905296,2.8661,1.0814,3.0283,1.1854,3.1832,1.2846,3.3508,1.392,0.0112,0.0223,0.0066,0.0108,0.0103,0.0159,0.018,0.0308,24.008129764923375,23.52262357768692,23.26443544239329,24.603386735686176,0.051510766
20,4,0.0413,13.05099114252429,-1.111288683922806,0.23954694620028327,0.2556932862123471,15.2334,0.953,14.5706,1.0009,13.9382,1.0466,13.2537,1.0961,0.013,0.0019,0.0083,0.0011,0.0088,0.0013,0.0143,0.0022,17.53553600124448,16.86771751360031,16.534315122285417,16.33546363077814,0.05183192
22,1,0.1259,14.39405519174368,-35.7386845437449,1.1243459248678054,1.1610633528435432,6.9356,0.8772,6.8764,0.9007,6.8198,0.923,6.7587,0.9472,0.0156,0.0056,0.0096,0.0031,0.0104,0.0032,0.0173,0.0058,18.867895030703817,18.454902767303313,18.150443137023274,18.18708671365764,0.015916472
22,2,0.1259,14.39986228328184,-35.76252380171717,nan,0.832061335263024,15.6982,1.1487,15.6693,1.5471,15.6418,1.9272,15.6119,2.3387,0.019,0.002,0.0115,0.0012,0.0135,0.0015,0.0231,0.0025,nan,nan,nan,nan,0.015940491
22,4,0.1259,14.42210331313963,-35.76380560490426,0.8600554487987822,0.8998360284622979,6.8046,0.9459,6.5688,1.0209,6.3438,1.0924,6.1003,1.1698,0.025,0.0105,0.015,0.0058,0.0168,0.0068,0.0288,0.0124,19.672761917898534,19.216216629951948,18.86959739587361,18.896478658291013,0.015783668
