Group,Gal,zmemb,ra,dec,logSFR_NUV,log_sSFR,log(M_stellar),RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z
20,1,0.041238,13.04012577583562,-1.119177251059751,0.22021476966767395,-10.304165335286418,10.524380104954092,34.2949,0.7657,32.8672,0.9628,31.505,1.1508,30.0303,1.3544,0.0154,0.0009,0.0116,0.0006,0.0134,0.0007,0.0195,0.0013,16.592842,15.869571,15.490888,15.243752
20,4,0.0413,13.05099114252429,-1.111288683922806,-0.05324031560492948,-10.000035135286419,9.94679481968149,13.8501,1.2425,12.7863,1.3475,11.7714,1.4478,10.6727,1.5562,0.0278,0.0039,0.0145,0.002,0.017,0.0029,0.0325,0.0053,17.467215,16.829493,16.518545,16.326435
20,3,0.104819,13.04660065707238,-1.128448197229796,0.9139796052946476,-6.858851035286419,7.772830640581066,2.8661,1.0814,3.0283,1.1854,3.1832,1.2846,3.3508,1.392,0.0112,0.0223,0.0066,0.0108,0.0103,0.0159,0.018,0.0308,21.158838,21.205263,21.184563,21.387417
20,2,0.041238,13.04231588811046,-1.109083549669928,-0.3965052303323233,-5.837064535286416,5.440559304954093,15.2334,0.953,14.5706,1.0009,13.9382,1.0466,13.2537,1.0961,0.013,0.0019,0.0083,0.0011,0.0088,0.0013,0.0143,0.0022,23.970991,23.48852,23.277914,24.560593
22,3,0.1259,14.40623730680628,-35.76529492217725,0.6904710412979895,-10.60065653528642,11.29112757658441,15.6982,1.1487,15.6693,1.5471,15.6418,1.9272,15.6119,2.3387,0.019,0.002,0.0115,0.0012,0.0135,0.0015,0.0231,0.0025,17.664541,16.76363,16.368637,16.110023
22,4,0.1259,14.42210331313963,-35.76380560490426,0.5756310412979921,-8.98162553528642,9.557256576584413,6.8046,0.9459,6.5688,1.0209,6.3438,1.0924,6.1003,1.1698,0.025,0.0105,0.015,0.0058,0.0168,0.0068,0.0288,0.0124,19.66278,19.237196,19.036373,18.957876
22,1,0.1259,14.39405519174368,-35.7386845437449,0.60215104129799,-9.17456963528642,9.77672067658441,11.325,2.3946,10.5999,2.7568,9.9081,3.1024,9.1591,3.4765,0.0266,0.0065,0.013,0.0031,0.011,0.003,0.0242,0.0065,18.86841,18.480759,18.35287,18.252855
23,1,0.067744,15.55490269161658,-17.22199811019127,0.6276012537609024,-10.25956513528642,10.887166389047323,8.4301,1.0867,8.7909,1.147,9.1352,1.2046,9.508,1.267,0.0096,0.0029,0.0053,0.0018,0.0081,0.0023,0.0146,0.0038,16.415499,15.722004,15.397576,15.193043
23,4,0.067744,15.59404648858646,-17.18606974187302,0.3955212537609025,-9.624905235286423,10.020426489047326,19.3508,2.0499,20.0865,2.5051,20.7884,2.9395,21.5483,3.4096,0.02,0.0023,0.0101,0.0011,0.0165,0.0017,0.0309,0.0033,17.589321,17.081858,16.874413,16.727966
24,1,0.025441,16.06999899516408,-51.03289212005716,0.026047937011943745,-11.210231735286417,11.23627967229836,57.7516,2.6943,61.052,3.3431,64.2011,3.9621,67.61,4.6322,0.0263,0.0011,0.0183,0.0008,0.0276,0.001,0.0455,0.0017,14.092329,13.254384,12.872968,12.623947
24,2,0.025441,16.07865415737977,-51.01993933260395,-0.5476720629880543,-9.396776635286416,8.849104572298362,19.4103,2.042,18.0488,2.291,16.7497,2.5287,15.3434,2.7859,0.0535,0.0063,0.0321,0.0034,0.0411,0.0051,0.071,0.0093,18.168242,17.730085,17.477276,17.387869
26,1,0.0643,16.80270840320432,-32.83567747715625,0.36548152693071145,-9.517734835286417,9.883216362217128,13.6116,1.2265,12.2773,1.3947,11.0043,1.5551,9.6262,1.7287,0.0037,0.0009,0.0024,0.0006,0.0021,0.0006,0.0033,0.001,17.834425,17.320929,17.108545,16.967478
26,2,0.0638,16.81804207117206,-32.8427817921172,0.12822093852459204,-8.863252535286417,8.99147347381101,19.4817,0.5078,19.1042,0.6747,18.744,0.8339,18.354,1.0063,0.0051,0.0006,0.0032,0.0004,0.0043,0.0005,0.0073,0.0009,18.98711,18.692116,18.586771,18.505516
26,4,0.035811,16.84741713183292,-32.8290673708472,0.045452478253693585,-10.757345535286417,10.80279801354011,16.8836,0.9028,16.5453,0.9463,16.2226,0.9877,15.8732,1.0326,0.0594,0.0049,0.047,0.0036,0.0774,0.0065,0.1251,0.0108,15.957093,15.089968,14.717459,14.474657
27,1,0.093823,18.16061455505786,14.39029019366459,0.7620782119693423,-9.595185435286421,10.357263647255763,10.3566,1.7547,10.2334,1.8991,0.0,0.0,9.9885,2.186,0.0082,0.0025,0.0057,0.0018,0.0,0.0,0.0102,0.003,17.562534,17.075815,,16.661865
27,2,0.093823,18.17538394148337,14.37477702837627,0.5794782119693416,-9.286517335286423,9.865995547255764,11.0671,0.7416,10.8277,0.8665,0.0,0.0,10.3521,1.1146,0.0134,0.002,0.0119,0.0017,0.0,0.0,0.027,0.0047,18.53169,18.10921,,17.725208
27,3,0.094517,18.18909008692755,14.38406382373882,0.618839438147182,-10.248809335286422,10.867648773433604,10.2031,0.8195,9.9209,0.8974,0.0,0.0,9.3601,1.0521,0.026,0.0042,0.0209,0.0032,0.0,0.0,0.0453,0.0085,17.467642,16.786146,,16.143312
28,1,0.0724,20.24462727220963,-32.06282642816967,0.347416713476564,-8.707068935286413,9.054485648762977,17.4979,1.2767,17.054,1.3601,16.6306,1.4396,16.1721,1.5256,0.0183,0.0019,0.011,0.0011,0.0151,0.0016,0.0262,0.0028,18.65307,18.44986,18.382,18.335512
28,2,0.0726,20.2526136443005,-32.05851136884929,0.7134528224824574,-9.936881335286417,10.650334157768874,10.0835,0.543,10.3687,0.6275,10.6408,0.7082,10.9353,0.7955,0.0103,0.0024,0.0077,0.0013,0.0122,0.0023,0.0198,0.0042,17.07119,16.410414,16.08536,15.880268
28,3,0.0722,20.27815691689498,-32.0500743178396,0.3190539762215465,-8.225803035286415,8.544857011507961,21.0406,0.8906,20.6192,1.1242,20.2171,1.347,19.7818,1.5883,0.0133,0.0011,0.008,0.0006,0.0114,0.001,0.0198,0.0017,19.032486,18.93906,19.009768,19.038073
28,4,0.0352,20.29108124601455,-32.04061563232854,0.10310490803852979,-9.463546035286415,9.566650943324944,7.8737,0.6432,8.0469,0.7986,8.2121,0.9469,8.391,1.1074,0.0101,0.0036,0.0083,0.0021,0.0145,0.0042,0.0234,0.0074,17.076982,16.608213,16.383247,16.297495
29,2,0.115156,20.41330839888735,-38.10274483052454,0.4351527231557295,-9.944892235286417,10.380044958442147,7.7444,1.0634,7.2578,1.2644,6.7935,1.4563,6.2909,1.664,0.0201,0.0059,0.0121,0.0032,0.0154,0.0048,0.0265,0.0087,19.235685,18.426811,18.05438,17.867664
29,3,0.115156,20.41619222635546,-38.07807236029036,0.782952723155729,-9.73421443528642,10.517167158442149,15.476,0.7412,13.9924,0.9088,12.5769,1.0687,11.0445,1.2418,0.0139,0.0019,0.0086,0.001,0.0113,0.0017,0.0192,0.0032,17.994944,17.422543,17.108526,16.953445
29,1,0.115156,20.38887533531592,-38.07229220822765,0.7577927231557293,-9.252781935286416,10.010574658442145,12.2932,0.6984,12.0622,0.7269,11.8419,0.7542,11.6034,0.7836,0.014,0.0022,0.0091,0.0011,0.014,0.0019,0.0237,0.0035,18.179314,17.781414,17.642902,17.53131
29,4,0.114883,20.43451926412359,-38.06105280715363,0.9156111170937944,-9.607087535286423,10.522698652380218,7.9402,1.1555,7.409,1.3579,6.9022,1.5511,6.3535,1.7602,0.0076,0.0025,0.0045,0.0014,0.0062,0.0023,0.011,0.0041,17.935352,17.389713,17.089848,16.90862
34,3,0.068968,24.6358900324604,-40.02196211047985,0.41423484525218335,-9.136054435286418,9.550289280538601,77.428,2.644,74.4018,2.7369,71.5145,2.8255,68.3889,2.9215,0.0516,0.0015,0.0305,0.0009,0.029,0.0008,0.0497,0.0014,17.869692,17.538733,17.43539,17.347921
34,2,0.068968,24.61344207589009,-40.00632048453307,0.5483948452521847,-10.441191335286414,10.989586180538598,13.5553,1.2462,13.6329,1.527,13.707,1.7949,13.7871,2.0849,0.0203,0.003,0.0113,0.0017,0.0164,0.0024,0.0296,0.0043,16.547413,15.773586,15.443053,15.198019
34,1,0.068968,24.59397860042316,-40.01277573056711,0.16171484525218638,-10.288701235286414,10.4504160805386,13.9062,0.7614,14.1705,0.8408,14.4228,0.9166,14.6958,0.9986,0.032,0.0048,0.0238,0.0024,0.0391,0.0044,0.0641,0.0081,17.707802,17.002125,16.668352,16.426603
36,2,0.0425,26.8952270149351,-30.26768591844592,0.12803744118288662,-8.63425783528642,8.762295276469306,12.7935,1.6745,12.2872,1.7504,11.8041,1.8229,11.2811,1.9013,0.0067,0.0012,0.0038,0.0007,0.006,0.001,0.0106,0.0018,18.46962,18.209463,18.155901,18.063763
36,1,0.0428,26.88918569427224,-30.2617488125907,0.8272271191086134,-8.998690035286415,9.825917154395029,3.9111,3.6666,4.5501,3.4877,5.1599,3.317,5.8199,3.1321,0.0232,0.0286,0.018,0.0178,0.0319,0.0208,0.0525,0.0347,16.238873,15.892893,15.826542,15.682822
36,4,0.0428,26.91354851874674,-30.24911880652262,-0.06537288089138471,-8.492726035286413,8.427353154395028,9.6617,1.151,9.6903,1.176,9.7175,1.2,9.747,1.2259,0.0048,0.0013,0.0029,0.0008,0.004,0.001,0.0071,0.0018,18.68871,18.52744,18.5606,18.513231
36,3,0.0425,26.90490354802899,-30.25425529877529,0.2316774411828888,-9.582360235286421,9.81403767646931,11.3676,0.5438,10.9358,0.5376,10.5239,0.5316,10.0779,0.5251,0.0119,0.003,0.0069,0.0015,0.0109,0.0025,0.0193,0.0047,16.862362,16.406258,16.2308,16.084833
38,3,0.04482,27.18947930893261,13.71669923697014,0.6514432854803491,-9.45417253528642,10.105615820766769,18.4208,0.7438,18.4436,0.8443,0.0,0.0,18.4889,1.044,0.0356,0.0025,0.0296,0.0019,0.0,0.0,0.0713,0.0053,16.202612,15.744907,,15.44189
38,4,0.063404,27.19234414037269,13.72650684187296,0.5876928956826184,-9.699613535286417,10.287306430969036,18.8583,2.054,19.1795,2.5647,0.0,0.0,19.8179,3.5795,0.0197,0.0026,0.0147,0.0019,0.0,0.0,0.0395,0.0052,16.859797,16.342186,,15.968825
38,1,0.044701,27.18138553326402,13.68754653128461,-0.16342594135076816,-9.840438535286419,9.67701259393565,13.2634,1.4937,13.8491,1.6196,0.0,0.0,15.013,1.8696,0.0093,0.0014,0.0079,0.0011,0.0,0.0,0.0208,0.0026,17.792992,17.234047,,16.84149
38,2,0.044567,27.18433339919904,13.69942507557517,0.5377263826943306,-10.335868735286414,10.873595117980745,12.3448,0.98,12.5584,1.0674,0.0,0.0,12.9829,1.2411,0.0096,0.0014,0.0076,0.0009,0.0,0.0,0.0177,0.0023,15.614764,14.915344,,14.365172
39,1,0.157394,29.6593525435057,-33.77359425372538,0.7523559263715889,-10.387428635286415,11.139784561658004,9.963,0.8404,9.7964,1.4029,9.6375,1.9397,9.4655,2.5207,0.0148,0.0029,0.01,0.0022,0.0167,0.004,0.0281,0.0066,18.234074,17.385977,17.0279,16.786333
39,3,0.157394,29.6653533612545,-33.7557267984171,1.335915926371591,-8.825538835286412,10.161454761658003,8.0183,0.8596,7.7929,0.9298,7.5778,0.9969,7.345,1.0694,0.0027,0.0009,0.0018,0.0006,0.0022,0.0008,0.0036,0.0013,17.722807,17.485285,17.317339,17.350372
39,2,0.157394,29.66166257692671,-33.74332914844585,1.563835926371592,-9.612665435286413,11.176501361658005,14.6342,0.5795,14.7095,0.6601,14.7814,0.737,14.8592,0.8203,0.0105,0.0017,0.008,0.001,0.0131,0.0017,0.0213,0.0031,16.615097,16.108086,15.890408,15.722696
39,4,0.062604,29.68659056847958,-33.75728046432995,0.3333837466222658,-9.29993183528642,9.633315581908686,5.3664,1.4028,5.4623,1.6308,5.5537,1.8484,5.6527,2.0839,0.0052,0.0034,0.0036,0.0023,0.0057,0.0034,0.0095,0.0056,17.857716,17.457779,17.31506,17.188375
40,4,0.0665,30.97886528617959,-31.15557516968853,0.25814287168847727,-9.464301735286416,9.722444606974893,14.8916,0.5343,14.5148,0.6172,14.1552,0.6963,13.766,0.782,0.0038,0.0005,0.0028,0.0003,0.0038,0.0005,0.0059,0.0008,18.113132,17.627563,17.402868,17.317558
40,1,0.0665,30.9478588830863,-31.16082085071439,0.3508628716884772,-9.851222735286415,10.202085606974892,12.0249,0.4039,12.0586,0.4513,12.0907,0.4966,12.1254,0.5456,0.0073,0.0014,0.0052,0.0008,0.0074,0.0012,0.0121,0.0022,17.952105,17.298689,17.001814,16.779049
40,2,0.0665,30.95856931662525,-31.14696311824521,0.6462228716884759,-8.804558235286416,9.450781106974892,10.1025,0.7328,10.2225,0.7903,10.337,0.8452,10.4609,0.9047,0.0086,0.0025,0.0052,0.0015,0.0073,0.0019,0.0127,0.0033,17.82233,17.55031,17.472832,17.379469
40,3,0.0289,30.96466705372731,-31.14377393611345,0.4698952665953655,-8.966507235286414,9.43640250188178,13.7588,3.8465,12.39,3.6282,11.0841,3.4199,9.6704,3.1945,0.043,0.0116,0.0265,0.0072,0.022,0.0067,0.0346,0.0109,16.379147,16.048225,15.939064,15.816108
43,2,0.060465,36.2089162292208,-27.28800563203144,0.38042769549973343,-9.621363135286419,10.001790830786152,11.419,0.5541,10.9518,0.6593,10.5061,0.7597,10.0236,0.8684,0.0058,0.0012,0.0036,0.0007,0.0047,0.0009,0.008,0.0017,17.493546,16.960829,16.74528,16.594202
43,1,0.060526,36.20420687265285,-27.2753540644782,0.13310352810350246,-9.25719543528642,9.390298963389922,13.5067,0.6856,13.3426,0.7178,13.1861,0.7485,13.0166,0.7818,0.0186,0.0022,0.0132,0.0013,0.0206,0.0023,0.0338,0.004,18.195684,17.82043,17.679014,17.597715
43,4,0.2141,36.23801027176443,-27.29013761456291,1.3796929156711446,-9.473872935286419,10.853565850957564,15.9934,0.492,15.8966,0.6539,15.8044,0.8084,15.7044,0.9756,0.0109,0.001,0.0085,0.0006,0.0134,0.0012,0.0214,0.0021,18.310064,17.81107,17.360723,17.33785
43,3,0.060465,36.23039555650625,-27.2663842386504,0.21606769549973137,-9.984005535286421,10.200073230786153,9.5663,3.9081,11.3772,4.5676,13.105,5.1969,14.9753,5.8781,0.0584,0.0198,0.0428,0.0128,0.0752,0.0175,0.1251,0.0294,17.4682,16.858816,16.59652,16.397816
45,4,0.01016,40.47213910499156,-20.81537556564252,-1.4429530030219322,-9.58011803528642,8.137165032264488,12.6372,2.2182,13.4792,2.095,14.2826,1.9774,15.1522,1.8502,0.0059,0.001,0.004,0.0007,0.0042,0.0005,0.0063,0.0007,17.538313,17.149338,16.949741,16.909422
45,1,0.01016,40.44927762952605,-20.79883391234892,-0.3771530030219292,-9.386656335286416,9.009503332264487,60.4371,1.0373,59.3466,1.1265,58.3062,1.2117,57.1799,1.3038,0.0535,0.0011,0.036,0.0007,0.0422,0.0008,0.0669,0.0014,15.775217,15.297591,15.075487,14.994417
45,2,0.025821,40.45548347271463,-20.81498328999302,0.6091656964529122,-9.355635935286422,9.964801631739334,38.4525,2.4608,38.0174,2.3254,37.6023,2.1961,37.1529,2.0562,0.0434,0.0025,0.0294,0.0016,0.028,0.0014,0.0411,0.002,15.171292,14.717767,14.518274,14.478156
45,3,0.01016,40.46024699097511,-20.81220742929486,-0.46227300302193264,-9.300760435286419,8.838487432264486,29.1625,1.3374,29.8608,1.3,30.5271,1.2644,31.2483,1.2259,0.0784,0.0038,0.0532,0.0024,0.0602,0.0025,0.0941,0.0041,15.932407,15.510652,15.303941,15.249916
47,2,0.069815,43.45328850894474,-41.96649072958697,0.06731706579436647,-8.936398435286414,9.00371550108078,14.7746,0.3857,14.9171,0.4442,15.0531,0.5001,15.2003,0.5605,0.0198,0.0021,0.0168,0.0014,0.0247,0.0024,0.0381,0.0042,18.99751,18.729507,18.63019,18.572147
47,3,0.069815,43.45430953410411,-41.95596963694773,0.30403706579436474,-8.951716535286417,9.255753601080782,9.2386,0.5126,9.2759,0.5939,9.3115,0.6715,9.3501,0.7556,0.0182,0.0038,0.0146,0.0023,0.0223,0.0041,0.0353,0.0072,18.54724,18.252237,18.133776,18.056486
47,4,0.069815,43.46510686074172,-41.97949312861047,0.5256770657943655,-9.824283335286419,10.349960401080784,9.7277,0.5217,9.7946,0.5695,9.8584,0.615,9.9274,0.6643,0.0077,0.0018,0.0049,0.001,0.0063,0.0013,0.0105,0.0023,17.137476,16.57885,16.33707,16.16463
47,1,0.069815,43.43166948705896,-41.97722464626543,0.1522370657943668,-9.766747235286413,9.91898430108078,12.3535,0.6736,12.7015,0.8016,13.0336,0.9237,13.3931,1.0558,0.0057,0.0009,0.0036,0.0006,0.0054,0.0008,0.0092,0.0014,18.093798,17.589176,17.292862,17.164995
48,1,0.0958,45.03859046574656,-36.38120277446424,0.6075905992393569,-9.978380835286416,10.585971434525772,22.8317,1.6369,22.2581,1.9212,21.7107,2.1925,21.1183,2.4861,0.0607,0.0049,0.0355,0.0026,0.0476,0.0038,0.0837,0.0071,17.603607,16.967686,16.672739,16.496552
48,2,0.0958,45.04357933448144,-36.35840573048463,0.8171105992393546,-10.26259253528642,11.079703134525774,nan,0.8026,nan,1.9497,nan,3.0442,nan,4.2291,nan,0.2133,nan,0.2447,nan,0.2797,nan,0.3211,16.95178,16.213886,15.861064,15.632906
54,3,0.10668,52.95790597526705,-39.63148912885078,-0.050094404882058186,-10.303928735286421,10.253834330404363,7.2915,0.6596,7.6421,0.7665,7.9768,0.8686,8.339,0.9791,0.0128,0.0036,0.0075,0.0021,0.0103,0.0027,0.0182,0.0047,18.870413,18.23847,17.857872,17.689585
54,2,0.10668,52.94671752743711,-39.6313705245943,0.6872255951179422,-10.06796003528642,10.755185630404362,nan,6.8806,1.0787,nan,2.0818,nan,3.1676,nan,nan,0.4131,0.0081,nan,0.0174,nan,0.0277,nan,17.607847,16.956852,16.610266,16.43036
54,1,0.10668,52.93920447662241,-39.61423111947493,0.48126559511794476,-9.655493535286416,10.13675913040436,7.8124,1.289,7.9009,1.3441,7.9854,1.3966,8.0769,1.4535,0.0186,0.0064,0.0114,0.0038,0.0135,0.0043,0.023,0.0073,18.27935,17.799269,17.521955,17.419886
60,1,0.004923,55.61115773427836,-41.1554598853192,-2.1264807473722227,-9.043103635286418,6.916622887914196,23.3625,0.3164,23.3892,0.4288,23.4147,0.536,23.4423,0.652,0.0222,0.0018,0.0177,0.0012,0.029,0.0022,0.0468,0.0039,18.722605,18.39752,18.28644,18.20053
