group_id,index,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,Separation
444238,102,423667,2173p162,2326,REX,217.3079305243483,16.17231283106265,0.028962355,107.06698,217.53578,306.56705,375.73517,1.5702497,1.528377,1.5520868,1.191627,1.0,0.0,3.3421054,579015.94,0.0,0.0,0.0,0.0,17.425861,16.656174,16.283686,16.062796,16.094046,16.45475,15.107002,,0.76968765,0.37248802,0.59337807,0.22089005,0.12119886355200886
294034,103,382828,1988p090,1806,EXP,198.7975186065788,8.986885649662106,0.02948531,88.80655,189.29254,269.99707,340.48193,1.5098928,1.2895801,1.2692988,1.2298485,1.0,0.0,5.028729,4282721.5,-0.26100156,5728453.0,-0.5205882,4240687.5,17.628887,16.807167,16.421602,16.169765,16.361176,16.857368,15.565065,14.528396,0.8217201,0.3855648,0.6374016,0.25183678,0.08952746385502465
294820,104,368679,2321p065,3297,REX,232.1795313817537,6.434253541548461,0.04214653,19.408072,45.20286,0.0,72.75787,1.6655151,1.6264621,0.0,1.1041408,1.0,0.0,0.4450515,5359982.0,0.0,0.0,0.0,0.0,19.280045,18.362085,Infinity,17.8453,17.891367,18.09465,17.715488,13.948293,0.9179592,Infinity,0.51678467,Infinity,0.03563226386145714
376776,105,503823,2023p315,5227,SER,202.492148641701,31.43853151582233,0.010102571,60.862293,149.6269,0.0,279.23898,1.3379204,1.2169317,0.0,1.3155295,6.0,8025.302,5.0122867,1743791.1,0.073247485,2170881.8,0.13978685,2462300.8,18.03913,17.062475,Infinity,16.38506,16.642136,17.053604,17.741777,14.489292,0.97665405,Infinity,0.67741585,Infinity,0.09795820681893203
222298,106,388422,1755p100,4708,SER,175.684742992214,10.10877961026842,0.049201515,65.79226,144.17128,226.44388,279.1639,1.2565963,1.2438716,1.2239023,1.4100748,2.0468416,31352.523,2.1226134,174594.58,0.20950276,1917733.2,-0.042649295,900818.1,17.954563,17.102802,16.612598,16.385351,15.930497,16.107458,13.474707,11.895339,0.85176086,0.49020386,0.7174511,0.22724724,0.014765920438345076
344589,107,419410,1923p155,5374,DUP,192.2096723299084,15.55389987170807,0.025557045,0.0,0.0,0.0,0.0,1.3291384,1.2439419,1.201453,1.2102149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.05120203395982851
282927,108,375846,2360p077,2787,SER,236.0966681503702,7.683925196480732,0.043438476,43.756504,104.96612,154.63019,202.14938,1.4468135,1.4459815,1.7754319,1.5323476,4.914948,2572.9543,2.3129077,49299.676,-0.20931585,344259.06,0.19653061,337937.1,18.397394,17.447376,17.026764,16.735819,16.696762,17.010916,15.615389,14.487424,0.9500179,0.42061234,0.7115574,0.29094505,0.15279816127481805
432250,109,396730,1270p115,3536,SER,127.0997222660329,11.55138717810155,0.023396865,52.293884,115.77016,164.4807,207.77144,1.5978365,1.3505733,1.7251551,1.1219518,1.5755564,47972.316,3.5528052,94268.84,-0.058235094,932752.06,0.15461457,1829247.4,18.203873,17.34101,16.959713,16.706036,16.69234,17.05063,15.683258,13.17604,0.86286354,0.38129616,0.6349735,0.25367737,0.07778118406852812
420007,110,420571,1331p157,5634,DEV,133.2413164266022,15.65135481756857,0.023129571,151.30049,365.7188,542.75653,701.40234,1.4904476,1.1757729,1.2890337,1.1212982,4.0,0.0,4.935023,3817517.5,0.012804749,7689425.0,-0.1047977,1.0790516E7,17.0504,16.092133,15.663487,15.385082,15.480923,16.009563,16.717402,16.99349,0.9582672,0.42864513,0.7070503,0.2784052,0.13695237288586654
96681,111,297132,3214m060,6350,SER,321.5277003057358,-6.079441162612746,0.067654386,43.09099,117.62308,178.89388,235.15627,1.6991658,1.6767524,1.2553577,1.6172656,4.8033595,5122.1426,2.4603293,73476.36,-0.14741118,637969.2,0.11195662,549705.44,18.414034,17.323769,16.868511,16.57161,16.713642,17.176485,,14.456118,1.0902653,0.45525742,0.7521591,0.2969017,0.152441942811487
441304,112,474636,1806p257,617,SER,180.5801953926516,25.81418932765366,0.019626725,95.69324,206.99117,286.81696,353.72354,1.4773737,1.251398,1.2389706,1.3591647,5.977639,11184.731,13.8336,5519.841,0.072177246,426302.72,0.036325615,263021.75,17.547796,16.710121,16.355988,16.12834,17.111496,17.54855,,14.530012,0.8376751,0.3541336,0.5817814,0.22764778,0.05812445905009364
236403,113,475740,1268p260,2785,SER,126.8060567423241,25.96720849167142,0.058633965,118.46795,237.81926,345.5888,441.0751,1.7374324,1.5725871,1.3342884,1.189883,1.2946951,145626.72,9.656787,22120.988,-0.6583121,8181761.5,-0.08752788,3962826.0,17.315998,16.559383,16.1536,15.888719,16.044243,16.439447,15.192915,14.37101,0.7566147,0.4057827,0.6706648,0.2648821,0.13514869699465493
253771,114,476175,2476p260,5359,SER,247.7754959022647,25.95543147974905,0.03511706,540.28125,1049.251,0.0,1789.1825,1.5608771,1.3661313,0.0,1.456188,1.5442355,652411.56,6.383488,240997.69,0.1589299,1.8639574E7,0.031591665,9542152.0,15.66845,14.947802,Infinity,14.368363,14.51324,14.964898,13.124244,12.73074,0.72064877,Infinity,0.5794382,Infinity,0.046583465861710305
156023,115,404615,3414p127,3385,DEV,341.4629177480545,12.69816836740436,0.059317894,132.53743,272.1367,0.0,466.17032,1.7747356,1.6330901,0.0,1.2447091,4.0,0.0,2.9443812,185707.23,0.015062047,2619032.5,0.01670639,2766598.2,17.194153,16.413033,Infinity,15.828638,15.963996,16.414267,14.718424,14.12774,0.7811203,Infinity,0.58439445,Infinity,0.08616401610619394
101335,116,300379,0565m052,5112,SER,56.59143959345236,-5.363350607329368,0.083336025,41.707478,82.68498,124.45944,152.61543,1.4574801,1.2570273,1.4296097,1.0810099,2.0461833,15856.735,1.2640022,1142334.0,-0.29843768,1763642.5,-0.027249644,1465682.5,18.449465,17.706434,17.26243,17.041004,16.72079,16.958237,14.640222,13.246054,0.74303055,0.44400406,0.66543007,0.22142601,0.014399024083921448
390296,117,453691,2276p217,1397,DEV,227.6472548942417,21.7016400992969,0.04343797,44.32174,101.23322,0.0,188.1507,1.758111,1.2753364,0.0,1.4368795,4.0,0.0,1.6262519,69758.734,-0.02865101,240023.92,-0.026024818,232685.08,18.383457,17.486692,Infinity,16.813736,17.204672,17.781792,20.703306,,0.89676476,Infinity,0.67295647,Infinity,0.0621564820338372
317473,118,476162,2440p260,5371,DUP,243.993903723414,26.02913859231322,0.048158742,0.0,0.0,0.0,0.0,1.8996623,1.3813224,0.0,1.3279407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.08646383330228385
304770,119,468342,2454p245,4380,SER,245.4313997651068,24.46674681196653,0.061393816,43.390343,88.52741,132.57364,165.53445,1.5609167,1.5225412,1.3118553,1.286899,0.5914899,232986.3,2.946644,282139.34,0.22650845,3101648.8,-0.44501555,4193031.8,18.406517,17.632305,17.193857,16.95278,16.792343,17.163576,15.144516,14.607976,0.7742119,0.43844795,0.6795254,0.24107742,0.1643374506767956
122279,120,353950,1373p040,1632,SER,137.2441306238439,4.073357560639989,0.04242251,39.361103,104.3394,154.48315,201.187,1.872409,1.1283125,1.2070566,1.2502997,5.1114993,4887.2993,2.0380604,95399.67,0.12155201,690183.8,-0.024584098,363852.38,18.512331,17.453878,17.027798,16.741001,16.896832,17.351315,17.20792,,1.0584526,0.4260807,0.7128773,0.28679657,0.056586706441517184
414735,121,421947,1302p160,7118,DUP,130.1417083832618,16.11191568350863,0.021661323,0.0,0.0,0.0,0.0,1.4520531,1.1090497,1.298727,1.3734168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.06837206682597793
406727,122,431601,1287p177,3805,DEV,128.83964977404,17.70952640652001,0.03813355,99.95109,230.10825,0.0,448.15463,1.3857552,1.2433465,0.0,1.0703819,4.0,0.0,13.624,1104.6875,-0.3543865,358953.2,-0.20533249,243024.31,17.50053,16.59517,Infinity,15.87143,16.84537,16.894901,14.01275,,0.9053612,Infinity,0.7237387,Infinity,0.143654479450763
383059,123,482494,2118p272,1076,SER,211.7779845182041,27.19879088580766,0.020099482,74.08198,165.2605,0.0,301.88104,1.7827682,1.4572403,0.0,1.3452663,1.9364843,52323.098,2.0904472,295327.06,0.16723089,2140156.5,-0.08925655,1454058.6,17.825718,16.954576,Infinity,16.300411,16.143925,16.381037,14.676779,12.758156,0.87114143,Infinity,0.65416527,Infinity,0.10770903890525574
297228,124,367168,2123p062,5517,DUP,212.2853980563173,6.180228137664093,0.022133596,0.0,0.0,0.0,0.0,1.523868,1.4666287,1.4498264,1.238687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.05228340273559911
54760,125,334031,1958p005,3819,SER,195.8985213475081,0.5633060101452919,0.026206786,57.826027,157.35622,232.1257,306.499,1.6046792,1.5146476,1.3096097,1.2736349,4.9971566,16542.98,3.0961637,95307.46,-0.036856297,897044.9,0.07265095,1496071.6,18.094692,17.00779,16.585691,16.283928,16.418106,16.88338,,,1.0869026,0.42209816,0.7238617,0.30176353,0.058562276559681714
