brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
466717,1601p242,1250,SER,160.0979346994472,24.218117062578,0.022866905,4.0198402,3.7895525,3.8339002,2.9054518,1.7820603,1.5897508,1.2728547,1.3225703,0.5,107.80183,0.89477986,2986.5938,0.3340434,1415.6322,-0.29591295,1275.2865,20.989477,21.05353,21.040897,21.341967,19.811495,19.358421,,15.459535,-0.06405258,0.01263237,-0.2884369,-0.30106926,160.097625,24.21825,90,1,10 40 23.43,+24 13 05.7,0.111183,,19.8978,19.2629,Simbad,1.1237899716160948
466717,1601p242,1365,SER,160.105463817595,24.22891625645232,0.022847438,79.678444,121.90751,140.67296,159.01591,1.7015617,1.4559754,1.2728547,1.2772064,4.1683416,5934.52,1.9896597,115474.63,0.05922233,539802.5,-0.10511121,707378.25,17.746649,17.284924,17.129473,16.996399,17.446783,17.937265,16.937447,14.578086,0.46172523,0.15545082,0.28852463,0.1330738,160.1055417,24.22875,90,3,10 40 25.33,+24 13 43.5,0.04348,,20.0607,19.7605,Simbad,0.6508471166768318
466717,1601p242,1268,SER,160.0996401426918,24.23677740509459,0.022828387,44.96086,66.099556,85.1877,91.28902,1.8653785,1.5814921,1.2728547,1.3057737,0.6573534,26316.191,3.0701413,31356.9,0.18436612,316390.56,0.38259485,494675.8,18.367914,17.949503,17.674057,17.598953,17.823175,18.249191,16.263609,13.745923,0.41841125,0.27544594,0.3505497,0.07510376,160.0996667,24.2369167,90,2,10 40 23.92,+24 14 12.9,0.0,,19.9081,19.713,Simbad,0.5089833117532476
466717,1601p242,1627,SER,160.1178137831449,24.23412248992252,0.022839496,484.74585,877.98456,1195.2549,1455.1956,1.7110299,1.3692263,1.1850859,1.2176554,3.3354213,185785.16,14.100687,242671.47,0.39368367,13486055.0,-0.40723294,12747239.0,15.786215,15.141283,14.806349,14.592696,14.819281,15.226512,13.352767,12.612122,0.6449318,0.33493423,0.54858685,0.21365261,160.118,24.2342778,90,4,10 40 28.32,+24 14 03.4,0.043596,,18.1698,17.7702,Simbad,0.828434099480864
346852,1611p027,1837,SER,161.0837845321902,2.805499092512202,0.037757788,163.69461,238.5676,306.96606,353.33636,1.6405295,1.2663321,1.5940684,1.1883435,6.0,5228.1323,0.8918033,1583280.4,0.0033641332,2479337.8,0.014383497,3326212.5,16.964914,16.555971,16.282274,16.12953,14.146346,13.663984,12.132102,10.447442,0.40894318,0.2736969,0.4264412,0.1527443,161.0840833,2.8059167,91,3,10 44 20.18,+02 48 21.3,0.101,,18.9757,18.346,Simbad,1.8477658632441023
346852,1611p027,1951,SER,161.0886590441903,2.793372537284227,0.037751343,512.48267,1050.6989,1549.0005,1994.16,1.6405295,1.2663321,1.5940684,1.1883435,0.9159134,3012363.8,11.263324,277985.47,-0.22520585,88946944.0,-0.6440371,146392540.0,15.725802,14.946304,14.524871,14.2506,14.079074,14.443084,12.443726,11.845937,0.7794981,0.42143345,0.69570446,0.274271,161.0893333,2.7936389,91,4,10 44 21.44,+02 47 37.1,0.021862,,18.4175,18.0141,Simbad,2.607180928896081
346852,1611p027,5456,DUP,161.074430010559,2.801448483886973,0.037762705,0.0,0.0,0.0,0.0,1.6405295,1.2663321,1.5940684,1.1883435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,161.0745417,2.8017222,91,2,10 44 17.89,+02 48 06.2,0.02192,,19.1449,18.6069,Simbad,1.064074016031924
346852,1611p027,1461,SER,161.0694624321164,2.787771575071178,0.037806675,503.0313,902.6676,1186.0015,1396.8788,1.6405295,1.261455,1.5940684,1.1883435,2.802125,432608.16,3.511116,1096679.5,-0.013046716,19589460.0,0.098543614,31935888.0,15.746013,15.11118,14.814787,14.637103,15.103173,15.645315,14.774739,14.010119,0.6348324,0.2963934,0.47407722,0.17768383,161.0696667,2.7880833,91,1,10 44 16.72,+02 47 17.1,0.022068,,18.7937,18.1974,Simbad,1.3412069784718186
318055,1618m022,6700,DUP,161.7856875878521,-2.358856722769892,0.042180613,0.0,0.0,0.0,0.0,1.7734057,1.4801767,1.2522483,1.4859812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,161.7857083,-2.3588611,93,1,10 47 08.57,-02 21 31.9,0.0364,,18.7893,18.1885,Simbad,0.0761488505492459
318055,1618m022,1294,SER,161.7988142070167,-2.311209411369505,0.043063596,172.90404,276.73944,349.1961,392.24246,1.6337612,1.3458548,1.3158338,1.4304422,0.79036945,554937.7,4.3064876,955668.25,0.076605394,5993007.5,-0.2810968,9788114.0,16.905487,16.394823,16.142326,16.016113,16.091873,16.518019,14.518985,14.357877,0.510664,0.25249672,0.3787098,0.12621307,161.7987917,-2.3111111,93,2,10 47 11.71,-02 18 40.0,0.0715,,19.5142,18.6647,Simbad,0.3630625859880039
318055,1618m022,1382,SER,161.8018864878908,-2.332915819015037,0.0427374,346.87564,534.2289,660.7521,721.14185,1.7734057,1.4761834,1.3233482,1.4859812,0.8165994,1469128.6,5.209133,494231.78,-0.22102116,22298322.0,-0.100187,13728636.0,16.149565,15.680681,15.449903,15.354948,15.709327,16.169428,14.130992,13.635376,0.4688835,0.23077774,0.32573318,0.094955444,161.8019167,-2.3326944,93,3,10 47 12.46,-02 19 57.7,0.036855,,18.0534,17.7137,Simbad,0.8044823227387718
318055,1618m022,1433,PSF,161.8033604554092,-2.343759326064696,0.042592883,15.879787,37.582188,57.842934,75.14632,1.7734057,1.4761834,1.2940936,1.4859812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.497889,18.562546,18.094374,17.81023,18.457226,18.976492,,,0.9353428,0.46817207,0.7523155,0.28414345,161.8035833,-2.3436944,93,4,10 47 12.86,-02 20 37.3,0.0,,18.7019,19.4927,Simbad,0.8349521314936839
356935,1648p045,3497,SER,164.8665143237579,4.450992052653255,0.05205103,33.216934,52.791733,64.52256,72.761116,1.5772084,1.2199574,1.3117644,1.2280642,0.8731056,27116.135,4.4607906,18978.834,-0.025398511,709770.7,-0.67808574,1227553.9,18.696602,18.193584,17.975721,17.845251,18.251276,18.834394,17.003633,13.668531,0.5030174,0.21786308,0.34833336,0.13047028,164.866375,4.4511111,95,3,10 59 27.93,+04 27 04.0,0.0,,19.9469,20.3514,Simbad,0.6585783460533245
356935,1648p045,3451,SER,164.8642379200843,4.444907233463884,0.052236687,75.46618,125.23824,160.84454,184.735,1.5772084,1.2199574,1.3204557,1.2280642,1.2878978,69075.45,5.542245,34666.207,0.38613012,2189187.8,-0.41903654,2233929.5,17.805618,17.255657,16.983984,16.833628,17.125973,17.765747,15.873202,15.138367,0.5499611,0.2716732,0.4220295,0.1503563,164.864,4.4453889,95,2,10 59 27.36,+04 26 43.4,0.062221,,19.2227,18.9417,Simbad,1.9328633941925115
356935,1648p045,3639,PSF,164.8725596054267,4.451839017705623,0.051688652,-0.07528655,0.13021326,0.22480942,0.26685485,1.5772084,1.2199574,1.3117644,1.2280642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.713362,24.120464,23.934313,22.803759,23.783587,,16.59257,,0.5928974,0.7790489,0.1861515,164.872375,4.4518333,95,4,10 59 29.37,+04 27 06.6,0.0,,19.9588,20.7048,Simbad,0.662894110090801
356935,1648p045,3340,SER,164.8595290461594,4.430497689710559,0.052647676,330.53876,615.70636,832.51587,1007.6492,1.6049362,1.2424766,1.3212484,1.2270638,1.5406212,681332.94,8.186671,116593.6,0.20275776,16581906.0,-0.04958843,7091123.5,16.201944,15.526566,15.199018,14.991727,15.234649,15.735437,14.05151,13.227457,0.6753788,0.32754707,0.5348387,0.2072916,164.8595417,4.4300833,95,1,10 59 26.29,+04 25 48.3,0.0,,18.581,18.1134,Simbad,1.4924941655683082
426231,1652p167,2964,PSF,165.2819541107593,16.76908274797869,0.019005448,8160.3047,11946.573,4433.438,15973.47,1.2059762,1.1257819,1.2362659,1.0599266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.720734,12.306891,13.383148,11.991502,13.112289,13.791311,15.471083,15.405695,0.4138422,-1.0762568,0.31538963,1.3916464,165.28175,16.7693333,96,1,11 01 07.62,+16 46 09.6,0.0,,18.3342,17.5149,Simbad,1.1439254017813345
426231,1652p167,3154,SER,165.2900877920556,16.75221064756445,0.019011,32.441902,47.086025,60.422405,63.60204,1.2303979,1.1092465,1.201158,1.013905,2.1503704,7916.6973,3.808309,8808.81,-0.11121008,193850.08,-0.034873348,88961.37,18.722235,18.31777,18.047005,17.991322,20.001488,22.112812,,,0.40446472,0.2707653,0.32644844,0.055683136,165.289875,16.7523056,96,3,11 01 09.57,+16 45 08.3,0.0,,20.2748,19.9591,Simbad,0.8092762831702394
426231,1652p167,3009,SER,165.2834657745998,16.73486998596282,0.019123863,43.908825,59.870537,68.105484,71.85445,1.2303979,1.1092465,1.201158,1.013905,1.4430825,11569.451,7.476901,2249.5745,0.28629547,206160.75,0.13197754,109567.18,18.39362,18.056967,17.917046,17.858866,19.174664,,,,0.33665276,0.13992119,0.19810104,0.058179855,165.283625,16.7343611,96,2,11 01 08.07,+16 44 03.7,0.0,,19.9801,19.6898,Simbad,1.912463137977658
426231,1652p167,3411,SER,165.3026356518377,16.72426358807883,0.019108232,857.6034,1510.4437,1979.9674,2326.4263,1.1597857,1.1015276,1.201158,1.045431,1.0566219,2114988.2,9.839665,197282.66,0.16679409,31321794.0,0.047939196,14916135.0,15.166783,14.552238,14.258355,14.083277,14.503756,15.041042,13.483192,13.050616,0.61454487,0.29388332,0.46896172,0.17507839,165.302625,16.72475,96,4,11 01 12.63,+16 43 29.1,0.028677,,17.6494,17.0791,Simbad,1.7514679759755185
325278,1676m010,391,EXP,167.5168502117463,-1.004677110111772,0.037206035,4.384323,5.5599747,5.2908816,4.533846,1.1402005,1.31659,1.0861177,1.1228145,1.0,0.0,3.681527,280.40057,-0.47609255,5756.203,0.4195744,6383.8433,20.895243,20.637318,20.69118,20.858833,21.112875,,16.409658,12.971799,0.25792503,-0.053861618,-0.22151566,-0.16765404,167.5169583,-1.00475,97,2,11 10 04.07,-01 00 17.1,0.109852,,20.0003,19.0302,Simbad,0.4692778376917035
325278,1676m010,296,SER,167.5127542218795,-1.005626684312333,0.03710507,74.08406,145.5984,212.5631,260.3252,1.1402005,1.257938,1.0861177,1.1144179,1.9398082,45557.99,1.7109817,384195.4,0.24637644,2105623.8,-0.013425871,1199183.6,17.825687,17.092108,16.68128,16.46121,16.317072,16.23265,15.098938,15.291341,0.73357964,0.41082764,0.6308975,0.22006989,167.5129583,-1.0055833,97,1,11 10 03.11,-01 00 20.1,0.1085,,19.9649,19.8238,Simbad,0.7509883875534882
325278,1676m010,584,SER,167.5261035286813,-1.021252338016023,0.036855802,42.304867,58.180225,91.84075,91.36103,1.2734921,1.2724848,1.0949001,1.1743366,1.4558613,10083.652,0.8266101,620439.3,0.046513412,408536.72,-0.2557944,605969.4,18.434025,18.088062,17.592411,17.598097,17.362411,17.328363,14.923099,13.43188,0.34596252,0.49565125,0.48996544,-0.0056858063,167.5261667,-1.0212778,97,3,11 10 06.28,-01 01 16.6,0.109589,,19.4421,19.5229,Simbad,0.2451613324115883
325278,1676m010,870,SER,167.5390798010606,-1.013468111430023,0.037153237,110.61285,204.57594,287.4332,341.88632,1.2295842,1.3180735,1.0861177,1.1246977,1.944933,100573.36,3.0066223,219602.14,0.140042,3179077.0,0.1420108,3238912.5,17.390486,16.722864,16.353657,16.165297,16.177835,16.447655,14.166323,12.188222,0.6676216,0.36920738,0.5575676,0.18836021,167.5389167,-1.0134167,97,4,11 10 09.34,-01 00 48.3,0.0,,19.7947,19.4342,Simbad,0.6155554640932953
493760,1681p295,970,SER,168.0198611603887,29.40156252050033,0.02899991,57.9756,80.79647,90.683136,97.79179,1.5336125,1.4932036,1.3147478,1.3710263,1.1272274,35181.836,3.7004058,134913.47,-0.29789293,823940.0,0.2308631,792824.3,18.091887,17.73152,17.606184,17.524244,18.422632,18.969946,16.778708,,0.36036682,0.1253357,0.20727539,0.0819397,168.02025,29.4014444,98,4,11 12 04.86,+29 24 05.2,0.033857,,19.4134,19.2809,Simbad,1.2915375647744949
493760,1681p295,382,SER,167.9824744936344,29.43309680026038,0.029222382,44.1155,57.236725,71.58686,72.5873,1.612154,1.6994119,1.2850915,1.3253243,2.155591,6554.4717,3.075638,22796.758,-0.2500267,248440.08,0.3299544,311088.06,18.388521,18.105814,17.862917,17.847849,18.398895,18.656708,16.713053,13.578206,0.2827072,0.24289703,0.2579651,0.015068054,167.9827083,29.4330556,98,1,11 11 55.85,+29 25 59.0,0.0,,20.1151,19.46,Simbad,0.7479189364708381
493760,1681p295,690,SER,168.002160282404,29.40591666699664,0.028941227,93.43198,179.14877,238.28702,286.95984,1.5336125,1.4932036,1.3147478,1.3710263,0.7456542,235752.12,3.9801207,132797.25,-0.12778318,2339769.2,-0.12185007,2287022.0,17.573761,16.866966,16.55725,16.355448,16.771997,17.387363,16.463188,,0.70679474,0.30971718,0.5115185,0.2018013,168.0025417,29.4058333,98,3,11 12 00.61,+29 24 21.0,0.048454,,20.2534,19.6501,Simbad,1.233272527974468
493760,1681p295,627,SER,167.9983969039964,29.42771908085983,0.029173618,249.80208,408.27463,520.07916,591.4006,1.612154,1.4932036,1.2850915,1.3710263,1.2595364,382412.7,5.3049545,820747.44,-0.10806939,6204276.5,-0.063210316,4508251.0,16.50601,15.972619,15.709826,15.570295,16.19414,16.736328,15.379627,,0.533391,0.2627926,0.40232372,0.13953114,167.9985,29.4277778,98,2,11 11 59.64,+29 25 40.0,0.028823,,18.7861,18.2085,Simbad,0.3862403274275791
