group_id,index,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,Separation
60247,1605,335408,1801p007,2394,SER,180.0849791135651,0.7978762939963295,0.021953352,38.077343,106.57498,166.28084,229.8479,1.6113566,1.241164,1.5540438,1.5455952,2.0915291,42088.953,2.0776327,374375.22,-0.049480893,1065776.1,0.11323468,1858470.6,18.548334,17.430862,16.947895,16.5964,16.327362,16.592749,17.071144,14.185932,1.1174717,0.48296738,0.8344631,0.35149574,0.04605038069360978
51420,1606,328471,2458m005,8396,DUP,245.8754783330621,-0.4383747962537793,0.09286009,0.0,0.0,0.0,0.0,1.580604,1.4377851,1.2817173,1.2311335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,0.06639487960342848
344230,1607,416638,1951p150,4161,SER,195.1875475661088,15.07214414286212,0.023797737,72.962105,189.4138,279.1836,366.62283,1.3875903,1.2015926,1.13905,1.0455214,4.8123612,38021.496,2.3035033,407387.12,-0.008656323,3030035.0,0.0010816013,2630426.2,17.842257,16.80647,16.385275,16.08945,16.26876,16.726875,17.458435,13.101406,1.0357857,0.42119598,0.71702003,0.29582405,0.1596058473845154
455329,1608,411172,2251p140,4749,DUP,225.2839279804444,13.90205409783448,0.029116148,0.0,0.0,0.0,0.0,1.3467194,0.99690443,0.0,1.0719334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,0.030806711057537607
349678,1609,443855,1198p200,5860,SER,119.9844884923235,19.98489385207607,0.04664758,54.58978,159.16878,236.99776,316.8205,1.4447197,1.5056169,1.2975651,1.3870833,5.536474,10822.049,3.0724711,6663814.5,-0.07985205,7238038.5,-0.030723833,7063538.5,18.15722,16.995356,16.563139,16.247967,16.312378,16.730494,19.179327,,1.1618652,0.43221664,0.74738884,0.3151722,0.014352925023287026
184335,1610,473112,1190p255,2540,SER,119.0136097479867,25.51602333037111,0.050807416,36.622486,87.42109,126.0149,161.82228,1.5071899,1.6229005,1.2660995,1.5013843,3.506506,3514.6511,1.1787124,514954.84,0.083591186,698080.9,0.20144309,928859.1,18.59063,17.64596,17.248945,16.977404,17.196266,17.776054,18.838858,,0.9446697,0.39701462,0.6685562,0.2715416,0.040996008788732725
311352,1611,487726,2478p282,3566,SER,247.9311155574354,28.25623708028081,0.043575425,44.10023,96.932686,0.0,179.88193,1.4576834,1.3840563,0.0,1.2524037,1.1260165,49255.633,2.4125843,147568.0,0.21547616,1316681.5,0.0984653,803249.7,18.388897,17.533825,inf,16.862532,16.887632,17.149796,15.616467,,0.855072,inf,0.67129326,inf,0.1361130613355405
431376,1612,428926,1490p172,4454,SER,149.122239921131,17.29948433398996,0.03586857,146.74281,240.90433,298.31274,351.0731,1.5653596,1.3813858,1.1439952,1.0965892,1.2458174,363897.56,1.9555006,1620234.1,-0.033056732,6151617.0,-0.06787421,9804039.0,17.083609,16.54539,16.31332,16.136507,16.668055,16.988672,14.688105,13.482585,0.53821945,0.23206902,0.40888214,0.17681313,0.43871655883010285
283587,1613,388621,2260p100,2395,SER,225.999146379136,9.9606307968169,0.027414097,90.88964,213.52686,303.07553,388.40848,1.5060451,1.6359495,1.5000883,1.5998801,6.0,13322.533,3.6566637,71225.15,-0.08660333,1687768.9,0.03572651,1127364.1,17.603714,16.676369,16.296124,16.02678,16.274824,16.744444,,,0.9273453,0.3802452,0.64958954,0.26934433,0.03334973960916207
283264,1614,378692,2338p082,712,SER,233.8005905763664,8.326040149457008,0.05160259,38.133953,98.632935,148.69153,198.32327,1.7815305,1.2951787,1.7015165,1.3007843,4.6366134,2796.7896,1.1940634,331602.78,-0.12260298,574364.56,-0.19673239,735088.94,18.54672,17.514946,17.069284,16.756565,16.859297,17.342546,18.127401,17.64132,1.0317745,0.44566154,0.7583809,0.31271935,0.03551459714997594
306193,1615,452444,2528p215,896,SER,252.736725487345,21.39553939601165,0.049526587,45.44739,104.90227,0.0,189.15254,1.6219677,1.6098132,0.0,1.1916239,4.9026856,927.0925,1.3729883,84112.32,-0.3476807,245633.44,0.2124672,217471.52,18.356228,17.448038,inf,16.80797,17.018988,17.546429,17.736752,18.661127,0.9081898,inf,0.64006805,inf,0.046153111145298846
340051,1616,470533,1275p250,4920,SER,127.6862193183814,24.99019598556455,0.04324457,167.50394,353.3537,492.4148,622.59674,1.6469816,1.8188094,1.6826565,1.4524441,2.0,43541.812,7.3743615,1215061.0,0.2013263,5942596.0,-0.021606563,2768316.2,16.939938,16.129477,15.769173,15.514482,15.929576,16.391264,15.81168,12.773089,0.81046104,0.36030388,0.61499405,0.25469017,0.060955371284443095
255566,1617,395507,1755p112,4067,SER,175.6341782143089,11.21686227726483,0.041642338,58.930386,131.32635,186.21754,229.69923,1.2941716,1.1230426,1.2133538,1.2319813,3.7446802,10868.99,2.5488808,98803.82,-0.21936312,1049997.8,0.0955306,738290.56,18.074152,17.20412,16.82495,16.597101,16.73832,17.217669,16.056616,,0.87003136,0.37917137,0.6070194,0.22784805,0.11191842859145144
63519,1618,291766,0529m067,1039,SER,52.83085163740703,-6.785357922538441,0.046225667,60.52789,166.71887,247.11147,333.78864,1.5733972,1.4376701,1.633703,1.1419966,5.292017,20970.375,2.4767938,255191.25,0.07731058,2006108.0,-0.13929838,2608291.0,18.04511,16.945038,16.517767,16.19132,16.276329,16.738022,18.318087,,1.1000729,0.4272709,0.7537174,0.32644653,0.13741500359998368
120504,1619,352593,1575p037,6279,SER,157.6988883360725,3.855843906405857,0.031703185,40.870754,113.23819,168.7092,224.49123,1.6838307,1.3043377,1.4646757,1.3694903,6.0,6534.6836,2.3361816,1390633.4,-0.16832833,2038439.1,-0.29196766,2394139.2,18.471468,17.365017,16.932154,16.622002,16.704067,17.15275,18.90487,,1.106451,0.43286324,0.7430153,0.31015205,0.09715609824266418
127583,1620,349981,2236p032,10282,REX,223.7738309754897,3.298691491680385,0.04240213,153.42076,274.1245,350.41116,420.24667,1.3782291,1.3268704,1.3176447,1.3850803,1.0,0.0,5.259854,326804.9,0.0,0.0,0.0,0.0,17.03529,16.40513,16.138556,15.941239,16.302395,16.787968,16.022688,,0.6301594,0.26657486,0.46389103,0.19731617,0.13576240449696547
411616,1621,479809,1798p267,3388,SER,179.887000132732,26.71199324544888,0.025885869,229.70537,473.17365,636.76025,818.2761,1.4249334,1.210636,1.3902636,1.3524435,2.6505806,129463.67,4.0562882,260891.22,-0.0739373,5200909.0,0.2969524,9064383.0,16.597073,15.812449,15.49006,15.217751,15.76522,16.062279,13.407605,,0.7846241,0.32238865,0.59469795,0.2723093,0.5958207551318496
315700,1622,381556,2372p087,4130,SER,237.3054442201607,8.835089348637268,0.039260145,49.75687,115.73209,166.01573,216.49896,1.5330224,1.4924548,1.8434871,1.197074,3.7763908,5184.2544,1.6030298,188218.42,-0.10400322,735504.44,-0.06882635,582659.0,18.257868,17.341366,16.949627,16.66136,16.902517,17.39969,16.998575,16.83068,0.916502,0.3917389,0.680006,0.28826714,0.03597404881960529
457823,1623,399968,2329p120,2849,SER,232.9877703037835,12.00421637091755,0.039862256,49.87435,97.5393,0.0,180.42023,1.3019745,1.3718483,0.0,1.2092295,1.8276864,13395.149,1.4453654,271930.78,-0.13039505,926801.5,0.0019396119,443215.38,18.255306,17.52705,inf,16.859287,15.992471,15.997145,13.539188,11.272689,0.7282562,inf,0.66776276,inf,0.1985152024483447
444939,1624,420913,2218p157,606,SER,221.7814189821007,15.76970397581799,0.026791489,55.701702,160.03598,0.0,319.57144,1.5263492,1.3316134,0.0,1.2952774,4.97798,6059.5337,2.2438304,87053.22,0.020235864,769493.75,-0.012136062,470128.25,18.135328,16.989456,inf,16.23858,16.261393,16.678698,15.091977,14.101068,1.1458721,inf,0.7508755,inf,0.07667089527055188
128077,1625,355710,2179p042,5989,DEV,218.0083559302425,4.131669550130663,0.03101738,48.9918,138.63478,214.35182,282.9895,1.4735837,1.5067947,1.3347148,1.301813,4.0,0.0,3.2462122,188806.77,0.6006434,5251064.5,0.17956929,4100523.2,18.27469,17.145319,16.672182,16.370575,16.107805,16.696222,18.332651,17.009119,1.1293716,0.4731369,0.77474403,0.30160713,0.05253780848845727
315309,1626,377283,2383p080,4189,SER,238.3864351505908,8.034656596883474,0.038883697,116.40474,185.8175,242.76785,277.76904,1.5534579,1.6061012,1.8674803,1.364576,1.820986,43805.785,2.041804,2050154.9,-0.025056867,3592034.0,0.14725946,4986815.5,17.335073,16.827284,16.537022,16.39079,16.524857,16.857443,14.543607,,0.5077896,0.29026222,0.43649292,0.1462307,0.16714736367755825
