X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
636.7649,606.4512,73.3677378,-36.2589139,73.3677594,-36.2593177,8.15,3.5,0,10.27374,0.02578646,1.283,89.54,16.8629,0.0017,1246.0,135321,0734m362,2667,SER,73.36776031033033,-36.25887232763502,0.00980965,41.518276,59.61058,70.95655,74.95156,1.4178323,1.1801187,1.1569327,1.1556872,6.0,4658.8203,3.017456,48223.035,0.28203592,783374.25,0.029684069,469367.06,18.454401,18.061691,17.872519,17.813047,19.254517,19.813044,17.845795,13.588338,0.39270973,0.18917274,0.24864388,0.05947113,73.368,-36.2591944,68,3,04 53 28.32,-36 15 33.1,0.0,,20.2777,20.2564,Simbad,1.3522085131086898
732.0325,494.4245,73.35917,-36.2673607,73.3591672,-36.2674753,4.484,3.5,0,25.39549,0.02576029,1.317,-87.15,17.3146,0.0015,1531.0,135321,0734m362,2354,SER,73.35924354458093,-36.26736970178203,0.009896941,28.704426,38.949703,41.446712,47.079605,1.4047327,1.151531,1.1288502,1.1104895,4.8547764,1266.2491,0.95950675,7598021.5,0.34847307,8467054.0,0.046930198,8137990.0,18.855127,18.523739,18.456274,18.317919,18.457367,18.73148,19.167582,,0.33138847,0.06746483,0.20582008,0.13835526,73.3592083,-36.2675,68,2,04 53 26.21,-36 16 03.0,0.0,,19.9725,19.3209,Simbad,0.4800991199611228
822.5813,640.7942,26.8891529,-30.2617076,26.8892725,-30.2616498,11.587,3.5,0,81.99297,0.02929083,1.112,61.31,14.6017,0.0004,6160.0,164091,0270m302,682,REX,26.88918569427224,-30.2617488125907,0.01652258,319.4851,439.38245,467.07123,533.17664,1.4873296,1.268657,1.2035733,1.0305072,1.0,0.0,2.5174994,3585981.8,0.0,0.0,0.0,0.0,16.238873,15.892893,15.826542,15.682822,16.327017,16.744072,14.403498,,0.3459797,0.06635094,0.21007061,0.14371967,26.8894167,-30.2618889,36,1,01 47 33.46,-30 15 42.8,0.0428,,17.3607,17.2249,Simbad,0.8776581600559852
534.1289,812.6849,26.9135826,-30.2491112,26.9135718,-30.2491342,4.597,3.5,3,25.52934,0.02920139,1.279,-43.84,17.3867,0.0019,1165.0,164091,0270m302,1575,SER,26.91354851874674,-30.24911880652262,0.016972756,33.459236,38.817207,37.649544,39.328484,1.5371915,1.2979974,1.204003,1.0283935,2.9017587,3506.0486,1.0179105,330069.66,-0.027999522,329776.44,0.21844283,545847.8,18.68871,18.52744,18.5606,18.513231,19.210167,19.5645,,14.275536,0.16127014,-0.033161163,0.01420784,0.047369003,26.9132917,-30.2491944,36,4,01 47 39.19,-30 14 57.1,0.0428,,19.8025,19.4564,Simbad,0.8437547951245034
636.7152,741.4834,26.9049068,-30.254281,26.9049308,-30.2543186,8.006,3.5,2,71.72252,0.02920139,1.665,5.87,15.1995,0.0004,5019.0,164091,0270m302,1259,SER,26.90490354802899,-30.25425529877529,0.016820092,179.91002,273.8398,321.8695,368.18576,1.4861591,1.2979974,1.204003,1.0283935,1.1466697,835755.25,2.5014238,2160465.0,-0.25693518,22517992.0,-0.11687366,15771299.0,16.862362,16.406258,16.2308,16.084833,16.63387,17.129385,16.11406,,0.45610428,0.175457,0.32142448,0.14596748,26.9049167,-30.2543056,36,3,01 47 37.18,-30 15 15.5,0.0,,19.4921,18.6985,Simbad,0.1856454571632879
751.7423,557.4575,26.8952212,-30.2676744,26.8952429,-30.2677138,8.16,3.5,0,14.89028,0.0293503,2.966,85.45,17.0433,0.0018,955.8,164091,0270m302,896,SER,26.8952270149351,-30.26768591844592,0.016626108,40.9404,52.02528,54.656178,59.497013,1.4873296,1.268657,1.2035733,1.0305072,1.3799441,36644.793,3.725747,55726.93,0.71823764,2685244.0,-0.1381688,2020215.0,18.46962,18.209463,18.155901,18.063763,18.70128,19.499096,,14.158124,0.26015663,0.053562164,0.14570045,0.09213829,26.895,-30.2676111,36,2,01 47 34.80,-30 16 03.4,0.0425,,19.2358,18.9576,Simbad,0.7554905814735158
699.9934,546.4722,53.2627314,-47.6738154,53.2627321,-47.6738538,12.195,3.5,0,18.18495,0.02634037,1.02,-35.21,15.8397,0.0009,2125.0,86033,0531m477,8260,REX,53.26270992841383,-47.67381086448842,0.014096289,85.39593,164.12111,224.23605,266.48404,1.3896109,1.2970874,1.1649393,1.1142542,1.0,0.0,3.4682767,430038.3,0.0,0.0,0.0,0.0,17.671408,16.96209,16.623236,16.435822,16.72351,17.142431,15.835383,14.122403,0.70931816,0.33885384,0.526268,0.18741417,53.2622083,-47.674,55,2,03 33 02.93,-47 40 26.4,0.0,,20.0421,19.7671,Simbad,1.3936305618680966
590.1059,822.1807,53.2746387,-47.653807,53.2746273,-47.6537939,3.356,3.5,0,17.1601,0.02625994,1.124,-62.59,18.2749,0.0029,787.2,86033,0531m477,8599,SER,53.27460303614701,-47.65381446480341,0.014271567,12.11249,16.981213,20.375582,20.442955,1.4106262,1.3319834,1.2677276,1.0727925,6.0,77.688416,0.49062312,249989.56,0.13565373,67472.49,0.1692548,76212.695,19.791916,19.425077,19.227224,19.22364,19.514679,19.632006,18.488607,16.413912,0.36683846,0.19785309,0.201437,0.003583908,53.2745833,-47.6536944,55,4,03 33 05.90,-47 39 13.3,0.0,,20.307,20.7464,Simbad,0.4348749257757263
668.2217,722.5533,53.2662037,-47.661081,53.2661798,-47.6610407,10.157,3.5,0,69.55307,0.02636712,1.864,44.86,15.0711,0.0004,5090.0,86033,0531m477,8367,SER,53.26621212288526,-47.66102872075055,0.014189268,144.94789,293.8526,407.68198,503.97122,1.3896109,1.3199816,1.2677276,1.0729812,1.1626164,1007539.5,3.4645479,7270454.0,0.11873416,26355594.0,-0.34459376,31526810.0,17.09697,16.329676,15.974196,15.743986,15.822361,16.26767,14.50028,13.746101,0.76729393,0.35547924,0.58568954,0.2302103,53.2657917,-47.6608889,55,3,03 33 03.79,-47 39 39.2,0.0,,20.1609,19.6938,Simbad,1.1368842231487457
782.2227,658.0892,53.2536629,-47.6658048,53.2538551,-47.6657257,9.678,3.5,0,8.382945,0.02631359,1.234,-66.38,17.2833,0.0025,722.7,86033,0531m477,8017,REX,53.2536851230029,-47.66581926330934,0.014104508,26.800255,38.146793,44.377495,48.383686,1.3896109,1.2970874,1.1649393,1.0697137,1.0,0.0,2.1178205,339982.25,0.0,0.0,0.0,0.0,18.929653,18.546354,18.382093,18.288252,19.067497,19.67182,,14.72372,0.38329887,0.16426086,0.25810242,0.09384155,53.2539167,-47.6656944,55,1,03 33 00.94,-47 39 56.5,0.0,,20.2183,19.923,Simbad,0.7192192184436723
