brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index,Radii
301393,3107m052,4470,SER,310.7346062797519,-5.192199834696466,0.05773994,52.64314,86.45635,104.20145,118.44012,1.4994155,1.3245078,1.1232231,1.293408,0.6078734,108594.59,4.0673575,47828.85,-0.055560727,704170.6,-0.07425312,932969.7,18.196646,17.658009,17.455315,17.316254,18.021736,19.338593,17.369303,16.478394,0.53863716,0.20269394,0.3417549,0.13906097,1238,5
388444,1811p100,2232,SER,181.0977862275065,10.01684389165713,0.021991141,118.1946,185.33342,227.6956,245.86821,1.2549286,1.1427997,1.3788704,1.1167948,1.5815246,25051.762,9.895386,4117.382,0.0012122459,226124.2,0.06909382,669536.7,17.318506,16.830116,16.606613,16.523245,17.40025,18.108826,,,0.48838997,0.22350311,0.3068714,0.0833683,1258,5
284271,3250m082,5846,EXP,325.1419464202744,-8.272948446345135,0.03894081,55.01602,82.42049,95.33014,107.51151,1.3385429,1.4413041,1.700946,1.5162599,1.0,0.0,5.2670403,13631.146,0.13613085,442925.25,-0.04479892,193834.03,18.148777,17.709911,17.551924,17.421362,18.34209,19.250946,15.753632,,0.43886566,0.1579876,0.28854942,0.13056183,1237,5
359760,1530p050,175,EXP,152.9296521333511,5.053698766019042,0.025051102,79.87558,113.27979,125.81687,138.62672,1.2846245,1.416455,1.0170579,1.386044,1.0,0.0,4.2897606,32060.547,-0.06511899,467272.6,0.16250925,920343.4,17.743965,17.364618,17.250652,17.145382,18.159948,,15.767276,,0.37934685,0.11396599,0.21923637,0.10527039,1244,5
372595,1373p072,5265,PSF,137.3968645688365,7.289479714017118,0.053980306,6.526544,5.3923526,3.5539231,3.805947,1.4507663,1.6319488,1.3046368,1.1347916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.463291,20.670555,21.12323,21.048843,,,17.23541,,-0.20726395,-0.45267487,-0.37828827,0.0743866,1257,5
332721,2283p002,11157,REX,228.4484489134001,0.3430794657603833,0.05218849,72.1242,132.78236,174.38649,210.42743,1.3273101,1.1700566,1.2007664,1.0588055,1.0,0.0,1.1734234,7282276.0,0.0,0.0,0.0,0.0,17.854797,17.192148,16.896217,16.692244,16.843878,17.272373,15.272587,13.090385,0.66264915,0.29593086,0.49990463,0.20397377,1225,5
362717,1746p055,4135,SER,174.6605218500085,5.593845355705485,0.035082757,58.214783,91.297485,108.15897,123.97942,1.2713642,1.4649881,1.1201893,1.5279591,1.2402099,36631.367,1.7032325,291451.34,0.2925521,1400391.0,-0.026635876,806415.4,18.087418,17.598852,17.414845,17.266626,17.759785,18.260221,16.04615,13.881181,0.48856544,0.18400764,0.3322258,0.14821815,1243,5
381268,1644p087,4972,SER,164.5354199581859,8.775152957749246,0.036083892,237.44908,420.69693,550.2515,645.03253,1.140781,1.1571976,1.2685009,1.3130492,1.3575516,468817.3,4.342426,5889005.5,0.37692845,2.3890748E7,0.19601606,1.7884184E7,16.561073,15.940077,15.648597,15.476046,15.655981,16.075542,13.681652,12.233758,0.6209965,0.29148006,0.46403122,0.17255116,1280,5
389841,1755p102,3737,SER,175.5650951122311,10.22287862848665,0.05536821,71.59178,107.54572,129.92651,136.21274,1.3302574,1.0775877,1.2406785,1.3122711,1.3523446,51530.707,5.382043,17447.11,-0.20569538,853424.6,-0.10672954,512354.75,17.862843,17.421017,17.215755,17.164455,17.97767,18.647615,,16.101582,0.44182587,0.20526123,0.25656128,0.05130005,1259,5
338333,1913p012,14769,SER,191.4906394055864,1.29801620055474,0.01799995,75.9332,95.59947,100.30708,108.06567,1.5489799,1.1178762,1.2990298,1.1959639,1.481954,171547.33,1.453456,2133084.2,-0.2651664,7582254.0,-0.16475381,6351636.5,17.798922,17.54886,17.496672,17.415781,18.440811,19.209372,,13.994169,0.25006104,0.052188873,0.13307953,0.080890656,1279,5
371168,1380p070,3966,SER,138.1077889422699,7.032217950517511,0.037652038,52.02624,98.30355,132.65709,161.77682,1.6992035,1.5541874,1.2742982,1.1043373,1.6078304,31921.621,2.1984222,237042.94,0.3119517,1783421.9,0.17786825,1333934.8,18.209444,17.518578,17.193174,16.977709,17.110592,17.54977,15.521675,,0.6908665,0.3254032,0.54086876,0.21546555,1256,5
310951,1851m035,4678,SER,185.1690050419126,-3.533385679279065,0.040928658,74.34783,102.63968,113.26683,121.40024,1.4965817,1.1019336,1.8539897,1.4331753,0.8832388,103790.58,2.5866742,235162.27,0.19656369,2217881.2,-0.075148,1260884.8,17.821829,17.471712,17.364742,17.289452,18.182533,18.63877,,,0.35011673,0.10696983,0.18226051,0.07529068,1231,5
283175,0483m082,5706,SER,48.45351635320691,-8.147458498064502,0.07795608,116.73145,156.24896,185.61317,187.98488,1.2502865,1.2753757,1.329784,1.1173936,1.451649,69379.25,9.408372,75097.89,0.400755,2550433.5,0.4222059,2657024.2,17.332031,17.015457,16.828478,16.814693,17.714277,18.221582,,,0.3165741,0.1869793,0.2007637,0.013784409,1229,5
335359,1678p007,1812,SER,167.7920627709154,0.625441805643678,0.044205673,346.90414,714.7867,1060.1447,1369.5419,1.5114442,1.2826809,1.1224084,1.2705518,0.788627,2593045.0,17.064684,485600.84,0.5210906,1.4317018E8,-0.56549096,1.4002218E8,16.149477,15.364559,14.936587,14.658562,14.509888,14.972264,13.592411,13.278483,0.78491783,0.42797184,0.70599747,0.27802563,1283,5
