index,ra,dec,brickid,objid,type,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z
11,125.743385329,24.864193396,469217,3209,SER,0.030500926,85.3396,93.5364,84.89223,89.02641,1.3353922,1.3477556,1.5884084,1.2457496,2.7116916,5983.596,2.1508393,65549.08,-0.1994719,435528.28,0.2200716,484509.88,17.672123,17.572548,17.67783,17.626204,18.362085,18.87445,,14.922511,0.09957504,-0.10528183,-0.053655624,0.051626205
12,176.444397616,9.776161468,387005,4715,SER,0.03590375,74.89587,105.67247,126.63718,130.67584,1.2383516,1.3180556,1.7681931,1.3447126,1.5000464,45852.44,7.419075,5583.5186,-0.28328943,326171.66,-0.10833237,176569.12,17.813856,17.440096,17.243597,17.20951,18.060047,18.548239,,,0.37376022,0.19649887,0.2305851,0.034086227
13,172.242034247,0.879054175,336816,6105,SER,0.029139988,61.951866,89.87925,100.75111,111.8772,1.5542839,1.5451998,1.114816,1.5050778,0.6506563,142890.69,3.888629,297764.4,0.14927751,1783875.2,-0.1842542,1640177.4,18.019863,17.615852,17.491875,17.378145,18.142593,18.825634,18.397207,14.506699,0.40401077,0.12397766,0.23770714,0.11372948
14,41.594881592,-1.171428892,323334,4975,SER,0.033474214,64.227585,84.476,92.21675,99.57045,1.1279308,1.0616589,0.9844063,0.920603,1.2655197,222298.66,1.5243994,1817943.4,0.18876281,7374383.0,0.086449936,4959441.5,17.980696,17.683167,17.587975,17.504673,18.262745,18.627188,,,0.29752922,0.095191956,0.1784935,0.083301544
15,177.107314397,12.395233592,402566,3918,SER,0.030762373,55.7784,68.995186,67.57617,75.23135,1.2154008,1.1185762,1.2733607,1.7334149,0.6034197,68604.516,1.4679126,1751070.1,0.18946387,3472089.5,-0.13940077,2202787.8,18.133835,17.902952,17.925516,17.809002,18.316475,18.742418,16.533237,,0.23088264,-0.022563934,0.09395027,0.11651421
16,11.39449225,-10.987162026,267402,4331,SER,0.025001885,146.99089,212.3118,255.85915,266.96866,1.4540179,1.5843183,1.14722,1.6012093,1.1592999,68043.67,12.519456,377746.3,0.22505572,2847277.2,-0.6157383,1537785.5,17.081774,16.682564,16.479998,16.43385,17.303444,17.974037,17.484455,15.84637,0.39920998,0.20256615,0.24871445,0.0461483
17,169.016313328,3.567496882,351201,1300,SER,0.049702607,11.890108,16.971924,20.058994,21.215492,1.3519965,1.2036664,0.96026725,1.0447944,0.5,9109.121,0.7361075,317813.25,-0.27999663,196484.2,0.014149233,118808.51,19.812035,19.425673,19.244226,19.183367,19.149698,19.388704,,,0.38636208,0.18144608,0.24230576,0.06085968
18,9.132135725,0.563264949,333284,9702,SER,0.023058746,55.017963,87.93425,109.40359,122.94083,1.4267554,1.4179295,1.0298929,1.1213017,2.0094178,107818.83,3.1235635,1119559.9,-0.29096407,9774053.0,0.079156816,6019208.5,18.148739,17.639605,17.402422,17.275759,17.573305,18.098625,16.265717,12.302126,0.5091343,0.23718262,0.36384583,0.12666321
19,20.763583152,15.211634817,417356,1561,SER,0.05834969,107.45688,150.77733,0.0,188.25279,1.7480124,1.6488422,0.0,1.4076203,1.0922749,67842.7,6.863401,22156.514,0.12664272,912204.94,0.20446865,1313670.9,17.421915,17.05416,Infinity,16.813147,17.750875,18.46197,,,0.3677559,Infinity,0.24101257,Infinity
20,128.730801859,3.814636903,352478,9132,DUP,0.026121877,0.0,0.0,0.0,0.0,1.4472648,1.4416382,1.2909727,1.458695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,
21,204.777262829,3.419248139,351343,6365,SER,0.022698281,78.17528,115.21365,131.18457,143.47408,1.415405,1.4202254,1.0870951,1.240776,0.729877,114511.66,4.29355,48008.156,0.068648964,1414674.9,0.0030870459,532290.0,17.767326,17.346241,17.205294,17.108067,17.863056,18.45259,16.460604,13.507883,0.42108536,0.14094734,0.23817444,0.0972271
22,205.089093651,1.542344878,339828,2351,SER,0.025609532,68.85267,95.63328,0.0,118.93419,1.5541731,1.6778347,0.0,1.4014647,1.2275293,28005.379,6.692955,9242.018,-0.10705689,260803.73,0.2923781,668028.2,17.905197,17.548477,Infinity,17.311733,18.414158,19.12799,17.329449,,0.35671997,Infinity,0.23674393,Infinity
23,204.880043124,-1.279201764,323987,4628,SER,0.024956118,68.90758,95.87018,115.2769,119.7589,1.5804048,1.4055797,1.3229591,1.2914844,1.0528567,94643.71,7.488452,105354.73,-0.17106447,1360833.9,-0.5258573,2193079.5,17.904333,17.545792,17.345644,17.30423,18.219732,18.929846,17.156504,,0.3585415,0.20014763,0.24156189,0.04141426
24,13.922138555,-0.941892873,324663,6935,SER,0.033793073,50.42893,69.65169,74.26499,82.37629,1.3675565,1.2256874,1.1625966,1.1734307,1.3619075,65746.15,2.1496687,349400.34,0.31797823,2335494.2,0.18061428,1772959.5,18.243301,17.892672,17.82304,17.710495,18.50224,19.02781,,14.042915,0.3506298,0.06963158,0.18217659,0.11254501
25,10.455617833,-1.028191132,324649,8558,SER,0.020626413,66.09888,74.08115,66.49937,73.562256,1.5129771,1.3354713,1.1384519,1.1454929,2.4416637,20535.58,2.531764,581794.94,-0.29887518,1650201.2,-0.25733772,1694801.2,17.949514,17.825731,17.942957,17.833363,19.031458,19.228865,,16.008886,0.12378311,-0.11722565,-0.007631302,0.10959435
26,213.94839062,4.1600258,355694,3119,SER,0.024922282,96.03475,130.85353,154.96988,155.86522,1.2970558,1.2443564,1.2098095,1.2743762,1.1428294,38968.973,9.405053,205768.1,-0.36181977,1067252.0,-0.586836,1303313.8,17.543928,17.208036,17.024382,17.018127,17.879517,18.362358,17.895481,15.284426,0.33589172,0.18365479,0.18990898,0.006254196
27,191.718886567,-1.961213532,319614,4627,SER,0.027325032,158.47224,229.963,280.19333,298.3366,1.5298085,1.7401444,1.5594883,1.2650421,1.8861946,78566.94,16.01656,1828.0981,0.091597356,756402.9,0.009433867,273259.53,17.000116,16.595856,16.381355,16.313234,17.42837,18.147757,15.604492,,0.40426064,0.21450043,0.28262138,0.06812096
28,185.797648898,-3.491078503,310954,1131,SER,0.0430824,223.45845,268.34912,310.93173,295.31253,1.7612064,1.2189573,1.3293873,1.5665032,0.68996197,686838.06,5.81846,150713.03,-0.09597434,4725779.0,-0.30949214,9457672.0,16.627008,16.42825,16.268337,16.324295,17.234241,17.755535,18.587248,14.201557,0.19875908,0.15991211,0.10395432,-0.055957794
29,191.490588795,1.298039939,338333,14769,SER,0.01799995,75.9332,95.59947,100.30708,108.06567,1.5489799,1.1178762,1.2990298,1.1959639,1.481954,171547.33,1.453456,2133084.2,-0.2651664,7582254.0,-0.16475381,6351636.5,17.798922,17.54886,17.496672,17.415781,18.440811,19.209372,,13.994169,0.25006104,0.052188873,0.13307953,0.080890656
