X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
673.0108,524.102,41.470325,-5.5885127,41.4704705,-5.5884325,23.294,3.5,0,37.88435,0.02524151,2.61,25.33,14.3341,0.0004,4576.0,298885,0415m055,1908,SER,41.47037574264144,-5.588449183349343,0.037206307,444.7525,656.20044,803.32275,862.31903,1.3577118,1.1526327,1.2770841,1.1891935,1.0608757,1744574.8,9.508479,1029196.0,-0.27913916,29340438.0,-0.3567868,34847084.0,15.879704,15.457409,15.237775,15.16083,15.60941,16.06309,14.3393,13.411748,0.42229557,0.21963406,0.2965784,0.07694435,41.470625,-5.5886944,46,3,02 45 52.95,-05 35 19.3,0.0,,17.5032,17.0847,Simbad,1.255730471056757
715.4031,852.2797,41.4673251,-5.5644963,41.4673687,-5.5645487,6.847,3.5,0,23.87317,0.02531881,1.333,57.03,16.7156,0.0013,1712.0,298885,0415m055,1790,SER,41.46735623610536,-5.564502301756013,0.037127886,46.918526,68.39719,87.09492,92.486565,1.3362315,1.13147,1.1871356,1.2082974,1.2083542,74628.945,1.8436246,401654.25,0.036859132,1207551.8,-0.16070536,2300233.5,18.32164,17.912405,17.650019,17.584803,17.811182,18.134802,16.245905,,0.409235,0.26238632,0.3276024,0.065216064,41.4672917,-5.5646667,46,2,02 45 52.15,-05 33 52.8,0.0,,19.9596,19.666,Simbad,0.6354028552752363
868.7563,726.045,41.4561379,-5.5737398,41.4561557,-5.5737365,7.139,3.5,0,30.17885,0.02531881,1.717,50.96,16.4235,0.0009,2178.0,298885,0415m055,1375,SER,41.45616734098509,-5.573747324903086,0.037248988,59.39156,90.09455,117.15965,128.3917,1.4031439,1.2063607,1.3022223,1.2156343,0.9517279,176733.58,2.2107072,627661.0,0.06738483,2944315.8,-0.30691966,5182041.5,18.06569,17.613255,17.328054,17.228657,17.388437,17.804642,15.655073,15.027213,0.45243454,0.28520012,0.38459778,0.09939766,41.45575,-5.5735278,46,1,02 45 49.38,-05 34 24.7,0.0,,20.0841,19.5913,Simbad,1.6913168460201713
494.1128,644.6342,41.4836329,-5.5799237,41.4835515,-5.5796592,12.078,3.76,0,4.199024,0.02529307,1.579,-67.94,17.2932,0.0031,577.2,298885,0415m055,2458,SER,41.48325906603304,-5.579090490000941,0.037124198,0.6331397,0.5559345,0.2353304,0.292002,1.4448652,1.2656353,1.3039134,1.1994917,0.5,21.527462,0.9182351,536.4405,0.55846316,134.31255,0.48786026,150.56635,22.99625,23.137442,24.070805,23.836536,22.737324,19.600903,16.418839,14.905098,-0.14119148,-0.93336296,-0.6990948,0.23426819,41.4837917,-5.5791944,46,4,02 45 56.11,-05 34 45.1,0.0,,20.1724,20.0092,Simbad,1.9447157093648675
