X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
746.4916,753.1636,67.5407214,6.9454332,67.5406854,6.9455179,34.085,4.63,3,17.63858,0.0454755,2.113,86.18,15.3387,0.0026,705.1,370888,0675p070,1023,PSF,67.54069953773738,6.945376045056332,0.20623446,11.280972,13.502204,10.752235,12.14346,1.4718764,1.2497845,1.2258871,1.0930674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.869133,19.673988,19.921253,19.789145,17.848198,18.139574,15.709138,13.526706,0.19514465,-0.24726486,-0.11515617,0.13210869,67.5405,6.9453333,65,1,04 30 09.72,+06 56 43.2,0.0,,16.4891,15.8207,Simbad,0.7294799090953343
681.3706,731.0245,67.5455601,6.9440498,67.5454596,6.943906,27.208,3.56,3,32.49404,0.04566111,2.563,88.86,14.0139,0.0006,2822.0,370888,0675p070,1094,SER,67.54549287179941,6.94415958300997,0.20575655,992.3145,1835.145,2374.0745,2859.6409,1.5651233,1.2497845,1.2258871,1.3984427,2.3463953,414410.28,27.176842,972898.4,0.4550596,16267342.0,-0.11581358,7216251.5,15.008377,14.340824,14.061264,13.859221,14.468459,15.07301,13.345406,13.274632,0.66755295,0.2795601,0.48160267,0.20204258,67.54525,6.9443056,65,3,04 30 10.86,+06 56 39.5,0.014563,,16.464,16.0429,Simbad,1.0146983584873315
702.9023,603.1639,67.5437259,6.9348072,67.5438797,6.9346008,30.808,4.81,3,9.125198,0.04538241,2.815,-36.92,15.36,0.0023,743.1,370888,0675p070,1077,PSF,67.54428313119647,6.935103218772446,0.20506515,9.45363,11.05468,7.784102,10.161786,1.5651233,1.2039564,1.2447383,1.3984427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.061003,19.891134,20.271978,19.982574,18.963697,19.475813,18.754782,14.884818,0.16986847,-0.38084412,-0.0914402,0.28940392,67.5440417,6.9351111,65,2,04 30 10.57,+06 56 06.4,0.0,,16.8966,16.4402,Simbad,0.8632595708814673
613.2231,651.9109,67.5499582,6.9385908,67.5504549,6.9381476,13.14,3.93,3,9.496538,0.04552197,1.569,65.18,15.8661,0.0019,1063.0,370888,0675p070,1159,PSF,67.55005068832183,6.938598634432999,0.2046343,12.891459,12.539426,14.068729,18.192602,1.5651233,1.2039564,1.2355913,1.3984427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.724245,19.754307,19.629362,19.350264,18.419828,18.915342,17.489733,,-0.030061722,0.12494469,0.4040432,0.2790985,67.5501667,6.9383889,65,4,04 30 12.04,+06 56 18.2,0.0,,16.6566,16.339,Simbad,0.861377254984978
