X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
793.9196,469.0595,3.317298,-41.59556,3.3173058,-41.5955557,5.958,3.5,2,67.42377,0.0288428,1.054,34.85,15.8891,0.0006,3700.0,111537,0031m415,17512,SER,3.317294205529374,-41.59553902475118,0.012782432,81.20692,136.58188,192.4852,219.77286,1.3107998,1.0837345,1.1389369,1.1581537,1.2616986,585397.3,1.4815177,12354366.0,-0.04551694,21265698.0,-0.1309676,27818300.0,17.726017,17.161518,16.789007,16.645065,16.512451,16.725801,14.533401,12.039959,0.5644989,0.3725109,0.5164528,0.14394188,3.3172917,-41.5956111,4,2,00 13 16.15,-41 35 44.2,0.0,,20.2478,19.4746,Simbad,0.2595585635497551
828.9993,804.9317,3.3138993,-41.5711062,3.3138994,-41.5711111,10.841,3.5,0,26.26277,0.02904977,1.283,68.26,15.7577,0.0008,2304.0,111537,0031m415,17326,SER,3.313891910541071,-41.5710804008087,0.01320638,99.391205,166.08197,205.78079,236.77054,1.3194718,1.1646832,1.1952046,1.1332858,0.7824636,1517699.6,3.18056,5129110.5,0.12926754,27165660.0,-0.11894484,19572278.0,17.50663,16.949194,16.716488,16.56418,17.142696,17.737432,16.380747,18.02391,0.557436,0.23270607,0.38501358,0.15230751,3.3142917,-41.5711944,4,1,00 13 15.43,-41 34 16.3,0.0,,20.2139,19.7874,Simbad,1.1523032232169297
698.9451,776.0612,3.3265454,-41.5732182,3.3265507,-41.5732137,2.777,3.5,0,605.3193,0.02904977,1.063,79.16,14.65,0.0001,24010.0,111537,0031m415,18027,PSF,3.326564792257373,-41.57320966202985,0.013558856,251.59053,768.38654,1088.7686,1645.3115,1.3302748,1.1646832,1.1940027,1.1083611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.498264,15.286051,14.907661,14.459379,15.006397,15.617526,17.224209,,1.2122135,0.37838936,0.8266716,0.44828224,3.3264583,-41.5731944,4,3,00 13 18.35,-41 34 23.5,0.0,,18.2981,18.3077,Simbad,0.29201931200718684
428.3278,704.7013,3.3529105,-41.5783839,3.3528786,-41.5784057,8.26,3.5,0,45.22628,0.02893168,2.174,-5.29,15.7707,0.0007,2945.0,111538,0034m415,1689,SER,3.352839182931342,-41.57841924348008,0.013952227,90.43875,166.25955,218.94571,270.41324,1.3221842,1.177794,1.1679661,1.1252952,1.0895388,893485.3,3.181986,13569735.0,-0.46074715,40210628.0,0.07374956,32499954.0,17.609114,16.948034,16.649158,16.41993,16.607527,17.141283,15.730213,,0.6610794,0.2988758,0.5281048,0.22922897,3.3526667,-41.5785,4,4,00 13 24.64,-41 34 42.6,0.0,,19.8293,19.2635,Simbad,0.5479713512267795
