X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
793.4932,819.3127,211.1887305,24.1928492,211.1886114,24.1927991,7.948,3.5,0,40.21198,0.03835983,2.314,-25.57,16.0103,0.0011,1834.0,466904,2113p242,113,SER,211.1886959504434,24.19283421747403,0.021618584,81.276665,139.94118,0,212.14389,1.5276473,1.222537,0,1.4083368,1.9572875,19415.096,3.2463784,706112.5,-0.29836997,1202629.4,0.4146667,3014139.0,17.725086,17.135136,inf,16.683424,16.504341,16.857998,14.509166,12.880516,0.58995056,inf,0.45171165,inf,211.1886667,24.19275,152,2,14 04 45.28,+24 11 33.9,0.061681,,19.9119,19.6588,Simbad,0.318034713976376
613.0734,658.4724,211.2030132,24.1811337,211.2030073,24.1810953,6.987,3.5,3,122.1738,0.03835983,1.179,-56.53,15.0288,0.0005,5157.0,466904,2113p242,407,PSF,211.2030494512003,24.18118515912951,0.021787671,46.873573,86.17191,0,157.94785,1.5276473,1.222537,0,1.4083368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32268,17.661585,inf,17.003716,16.351202,16.813593,15.242875,17.536377,0.66109467,inf,0.65786934,inf,211.2035,24.1819722,152,3,14 04 48.84,+24 10 55.1,0.062505,,20.1625,19.3021,Simbad,3.1964388154401635
431.3639,537.7075,211.2175326,24.1723281,211.2175036,24.1723068,10.142,4.31,0,9.909365,0.03839911,2.357,0.36,17.2459,0.0041,462.7,466904,2113p242,662,SER,211.2175401345374,24.17235869590111,0.021851908,27.776245,41.914253,0,53.453415,1.4699156,1.2021891,0,1.5416424,1.7352103,6309.649,3.893211,8477.191,-0.5960183,300546.1,-0.04153582,179440.98,18.890816,18.444096,inf,18.180061,18.83646,19.165684,17.387262,15.695196,0.44672012,inf,0.26403427,inf,211.2174167,24.1724444,152,4,14 04 52.18,+24 10 20.8,0.0,,20.2189,20.2418,Simbad,0.509454555670006
914.5713,725.3037,211.1788391,24.1859333,211.1789531,24.1859554,8.472,4.46,2,3.073741,0.03839911,1.091,-20.92,18.6908,0.0117,147.6,466903,2110p242,5125,REX,211.1789376181356,24.18595482555581,0.021670466,8.089766,10.919403,0,12.862783,1.4852078,1.211802,0,1.5615373,1.0,0.0,1.9026821,6313.9043,0.0,0.0,0.0,0.0,20.23016,19.904503,inf,19.726662,19.868317,24.112272,16.93276,12.661906,0.3256569,inf,0.17784119,inf,211.1787083,24.1857222,152,1,14 04 42.89,+24 11 08.6,0.0,,20.2866,20.8117,Simbad,1.126257282706276
