X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
824.2935,556.7111,161.0694547,2.7878006,161.0694333,2.7877796,11.084,3.5,0,199.3938,0.04384697,1.116,-54.33,13.9893,0.0004,7384.0,346852,1611p027,1461,SER,161.0694624321164,2.787771575071178,0.037806675,503.0313,902.6676,1186.0015,1396.8788,1.6405295,1.261455,1.5940684,1.1883435,2.802125,432608.16,3.511116,1096679.5,-0.013046716,19589460.0,0.098543614,31935888.0,15.746013,15.11118,14.814787,14.637103,15.103173,15.645315,14.774739,14.010119,0.6348324,0.2963934,0.47407722,0.17768383,161.0696667,2.7880833,91,1,10 44 16.72,+02 47 17.1,0.022068,,18.7937,18.1974,Simbad,1.3412069784718186
557.6122,632.3055,161.088691,2.7932583,161.088865,2.7932806,24.695,3.5,0,61.59262,0.04393673,4.0,34.41,13.6714,0.0003,4556.0,346852,1611p027,1951,SER,161.0886590441903,2.793372537284227,0.037751343,512.48267,1050.6989,1549.0005,1994.16,1.6405295,1.2663321,1.5940684,1.1883435,0.9159134,3012363.8,11.263324,277985.47,-0.22520585,88946944.0,-0.6440371,146392540.0,15.725802,14.946304,14.524871,14.2506,14.079074,14.443084,12.443726,11.845937,0.7794981,0.42143345,0.69570446,0.274271,161.0893333,2.7936389,91,4,10 44 21.44,+02 47 37.1,0.021862,,18.4175,18.0141,Simbad,2.6071809288960814
627.4019,800.11,161.0838095,2.8054852,161.0837803,2.8054932,4.866,3.5,3,168.2293,0.04407103,1.121,-17.35,15.3405,0.0006,4746.0,346852,1611p027,1837,SER,161.0837845321902,2.805499092512202,0.037757788,163.69461,238.5676,306.96606,353.33636,1.6405295,1.2663321,1.5940684,1.1883435,6.0,5228.1323,0.8918033,1583280.4,0.0033641332,2479337.8,0.014383497,3326212.5,16.964914,16.555971,16.282274,16.12953,14.146346,13.663984,12.132102,10.447442,0.40894318,0.2736969,0.4264412,0.1527443,161.0840833,2.8059167,91,3,10 44 20.18,+02 48 21.3,0.101,,18.9757,18.346,Simbad,1.8477658632441023
755.8356,744.2915,161.0744098,2.8014827,161.0744218,2.8014311,8.715,3.5,2,53.91092,0.04389187,1.413,83.24,15.5343,0.0009,2287.0,346852,1611p027,5456,DUP,161.074430010559,2.801448483886973,0.037762705,0.0,0.0,0.0,0.0,1.6405295,1.2663321,1.5940684,1.1883435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,161.0745417,2.8017222,91,2,10 44 17.89,+02 48 06.2,0.02192,,19.1449,18.6069,Simbad,1.064074016031924
