X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
679.8334,499.5342,238.3771934,20.9534892,238.3772064,20.9534553,6.285,3.5,0,118.9297,0.05226504,1.616,72.63,15.209,0.0007,3539.0,449703,2384p210,4903,DUP,238.3772186074645,20.95346383473736,0.049369056,0.0,0.0,0,0.0,1.5413404,1.1825005,0,1.4129751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,238.37725,20.9534444,176,2,15 53 30.54,+20 57 12.4,0.026964,,19.4911,18.763,Simbad,0.12662440290591145
666.5514,915.7734,238.3782958,20.9836916,238.3782529,20.9837479,18.569,3.5,2,41.56802,0.05231813,4.705,0.32,14.5883,0.0007,2156.0,449703,2384p210,1273,SER,238.378110723174,20.98374316650619,0.050191317,362.5712,488.60138,0,614.7678,1.5457312,1.168923,0,1.3851007,0.9413778,458821.78,8.256683,4249606.0,-0.68222576,16011247.0,-0.008795138,19795358.0,16.101517,15.777614,inf,15.528222,16.171059,16.66697,15.185963,14.02572,0.32390308,inf,0.24939156,inf,238.378625,20.9837778,176,3,15 53 30.87,+20 59 01.6,0.018608,,17.5006,17.2722,Simbad,1.7331061970498098
817.4253,700.2498,238.3663653,20.9681207,238.3664881,20.9680661,7.045,3.5,0,38.2929,0.05231813,1.215,-8.79,16.0217,0.0013,1512.0,449703,2384p210,1068,SER,238.3661403755266,20.96810893908589,0.049851287,95.22704,116.8429,0,121.70759,1.5457312,1.168923,0,1.3851007,3.75,5972.101,3.1441636,29661.332,-0.10992462,470737.25,0.066180594,383836.28,17.553099,17.330994,inf,17.286705,18.415125,18.40366,17.329123,17.968132,0.22210503,inf,0.044288635,inf,238.3663333,20.9676944,176,1,15 53 27.92,+20 58 03.7,0.01876,,18.4091,18.2403,Simbad,1.6271697100359628
595.0328,645.7075,238.3842895,20.9639668,238.3838194,20.9640912,21.388,3.89,2,5.504345,0.05215871,3.465,41.1,16.0699,0.0032,473.9,449703,2384p210,1374,SER,238.383926488009,20.96404373368178,0.04955087,99.98531,123.08599,0,135.8109,1.5457312,1.168923,0,1.3851007,0.7985126,64245.73,8.43308,54673.402,-0.1789083,637146.0,-0.5041103,1113567.0,17.50016,17.274479,inf,17.167664,18.404903,18.863047,,12.303001,0.2256813,inf,0.10681534,inf,238.384125,20.9637222,176,4,15 53 32.19,+20 57 49.4,0.0,,18.2901,18.2047,Simbad,1.336112158599347
