X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
736.1038,615.5314,199.7181316,33.5401842,199.7180352,33.5401501,18.691,3.63,0,19.50536,0.04304654,1.744,-86.76,15.3209,0.0013,1346.0,513549,1995p335,3581,SER,199.71809529744556,33.54017601633738,0.015391,181.05786,284.09314,-9999,354.3654,1.670774,2.174812,-9999,1.147718,1.571423,28217.455,7.216793,16211.402,0.273479,1127202.1,-0.004122,448646.8,16.855457,16.366348,-9999,16.126371,16.656376,17.269478,16.234442,17.648268,0.489109,-9999,0.239977,-9999,199.71775,33.5395556,136,2,13 18 52.26,+33 32 22.4,0.038,,18.8518,18.5336,Simbad,2.462117635498323
960.6716,490.8273,199.6984863,33.5310146,199.6984277,33.5310748,13.674,3.5,0,26.12151,0.04322224,1.25,-29.93,15.6266,0.0013,1421.0,513549,1995p335,3354,SER,199.69845439834071,33.531047083861154,0.015061,113.552414,212.65498,-9999,337.46188,1.670774,2.174812,-9999,1.274527,1.757385,22944.4,4.586982,33173.55,-0.02499,391100.62,0.074489,1036057.75,17.36201,16.68081,-9999,16.179438,16.3967,16.756325,15.567822,13.717869,0.681198,-9999,0.501373,-9999,199.6984167,33.5308889,136,1,13 18 47.62,+33 31 51.2,0.104214,,19.9382,19.4749,Simbad,0.5805903371025125
451.7241,886.816,199.743025,33.5598294,199.7428745,33.5598888,13.557,4.02,2,7.039364,0.04317838,4.153,10.6,16.9669,0.0039,402.0,513550,1998p335,135,SER,199.74309558348392,33.55986181720765,0.016017,38.0787,56.659992,-9999,71.82568,1.653914,2.154167,-9999,1.126152,1.144624,5362.874,5.962275,18543.104,-0.65099,239062.08,-0.258489,181092.17,18.548294,18.116808,-9999,17.8593,18.66855,19.25306,,,0.431486,-9999,0.257507,-9999,199.7429583,33.5600556,136,4,13 18 58.31,+33 33 36.2,0.0,,20.0335,20.0162,Simbad,0.810111929232172
600.4524,760.8224,199.7298348,33.5506626,199.7298827,33.5507224,11.479,3.53,0,15.88664,0.04322224,1.17,-83.1,16.1259,0.0017,1059.0,513549,1995p335,3707,EXP,199.72991145262432,33.55064241419952,0.015647,80.5136,112.98431,-9999,146.99269,1.670774,2.174812,-9999,1.147718,1.0,0.0,3.262994,23774.5,0.056711,349597.72,-0.066171,319924.3,17.735327,17.367455,-9999,17.08176,17.698835,18.195332,16.369196,14.839551,0.367872,-9999,0.285694,-9999,199.7297917,33.551,136,3,13 18 55.15,+33 33 03.6,0.0,,19.194,18.9237,Simbad,1.3365065529680125
