X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
771.1803,560.6324,233.2886069,12.8706687,233.2888174,12.8703509,16.924,4.51,3,8.505586,0.03617926,1.247,50.94,16.3223,0.0028,715.5,404193,2333p127,1157,SER,233.2886034600873,12.8707149103052,0.035630323,44.12309,73.375595,89.28618,99.45579,1.392771,1.3917955,1.23055,1.2175838,6.0,4127.4424,3.5948703,1040464.0,0.15558863,1633486.2,-0.044308294,1286204.5,18.388336,17.83612,17.62304,17.505924,18.754662,19.631212,17.305262,13.981039,0.5522156,0.21308136,0.33019638,0.11711502,233.2885,12.8708056,257,2,15 33 09.24,+12 52 14.9,0.0,,19.7022,18.989,Simbad,0.48829447648216245
387.9725,831.2933,233.3172755,12.8901723,233.3174269,12.8900481,11.634,3.5,0,22.69848,0.03614232,1.458,-8.67,15.8374,0.0012,1628.0,405597,2332p130,8344,SER,233.3172699971443,12.89016757945075,0.036123555,117.95029,168.0222,203.31686,213.80206,1.3972412,1.3947009,1.2576689,1.229194,1.7581629,94377.57,4.040986,182795.52,-0.2663257,4151239.5,0.08404025,2461680.8,17.320753,16.936583,16.729567,16.67497,17.1532,17.621199,15.879116,16.237406,0.38417053,0.20701599,0.26161194,0.054595947,233.3174583,12.8901667,257,5,15 33 16.19,+12 53 24.6,0.053224,,19.3514,18.7104,Simbad,0.66081468622498
679.0306,690.7011,233.2957737,12.8798388,233.2956967,12.8798171,6.075,3.5,0,51.25905,0.03614232,1.033,72.47,15.9592,0.0008,2715.0,405597,2332p130,7635,SER,233.2958093420866,12.87982927649163,0.035867654,86.993935,134.84784,154.23494,175.8753,1.3947923,1.3371758,1.2576689,1.2123331,0.94881946,149125.44,1.4465687,1466550.9,0.13399597,5010654.5,-0.054434285,3116988.0,17.651278,17.17539,17.029543,16.886988,17.095232,17.51862,14.903186,13.264515,0.4758873,0.14584732,0.28840256,0.14255524,233.2959167,12.8798889,257,3,15 33 11.02,+12 52 47.6,0.05246,,19.4412,18.9108,Simbad,0.43361693453169
621.2737,677.1641,233.300029,12.8788199,233.3000086,12.8788318,13.091,4.84,2,5.222845,0.03621616,1.543,-40.08,17.2061,0.0048,399.2,405597,2332p130,7795,EXP,233.2999885873705,12.87884082287716,0.035845887,28.288807,38.899975,42.812813,45.706924,1.3947923,1.3371758,1.2576689,1.2123331,1.0,0.0,3.1673756,26028.938,-0.045256417,183954.56,0.11150522,380553.66,18.870964,18.525127,18.421066,18.350044,20.219177,,,12.534093,0.34583664,0.10406113,0.17508316,0.07102203,233.3000417,12.8790833,257,4,15 33 12.01,+12 52 44.7,0.0,,19.8002,19.7499,Simbad,0.892596453624021
982.4255,661.6583,233.2729291,12.8777273,233.2730466,12.8777024,10.456,3.5,0,78.33232,0.03628984,2.289,3.59,14.8477,0.0005,4308.0,405597,2332p130,6858,SER,233.2729583618578,12.87769623601288,0.0357734,195.7764,384.634,521.43024,632.5518,1.3947923,1.3371758,1.2576689,1.2123331,1.7992554,223642.4,3.8848302,474523.47,-0.38531238,16165321.0,-0.027025316,9201037.0,16.7706,16.03738,15.707009,15.49726,15.351465,15.661253,13.368079,12.073956,0.73321915,0.3303709,0.5401201,0.20974922,233.2734583,12.8778333,257,1,15 33 05.63,+12 52 40.2,0.068338,,19.6416,19.0257,Simbad,1.8225737083554763
