X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
739.826,488.4585,57.7275073,-38.084619,57.7275234,-38.0845856,14.021,3.5,2,53.54276,0.03104336,1.288,-33.18,14.85,0.0005,3858.0,127222,0577m380,10483,SER,57.72755090099398,-38.08460802995427,0.013472011,221.01833,418.72916,583.7655,709.8514,1.1926609,1.0968132,1.2051644,1.1607262,1.5383704,3560109.2,5.1750073,1940620.9,-0.12782124,69149680.0,0.13389966,73986144.0,16.63893,15.945167,15.584404,15.372082,15.457781,15.811007,13.970065,13.087752,0.6937628,0.3607626,0.57308483,0.21232224,57.7267083,-38.0846111,62,1,03 50 54.41,-38 05 04.6,0.0,,19.4063,18.679,Simbad,2.3875882912311694
586.3085,370.2565,57.7417441,-38.0932102,57.7417156,-38.0931915,2.308,3.5,0,226.6077,0.03079046,1.004,36.42,15.949,0.0004,8384.0,127222,0577m380,11409,PSF,57.74170209790228,-38.09319043677665,0.013008162,132.61644,164.20807,134.08598,139.83728,1.2140466,1.0968132,1.2136701,1.1607262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.193506,16.961514,17.181541,17.135942,15.348711,14.83432,14.140944,13.39274,0.23199272,-0.22002792,-0.17442894,0.045598984,57.7415833,-38.0931111,62,4,03 50 57.98,-38 05 35.2,0.582,,17.6741,17.2139,Simbad,0.44143160711495094
712.0018,810.7864,57.7301067,-38.0612582,57.7301066,-38.0611281,8.252,3.99,3,7.114516,0.03101186,1.694,-73.85,17.6241,0.0039,502.7,127222,0577m380,10649,EXP,57.73011576466543,-38.06117170321892,0.013639145,28.157057,31.059599,31.312723,31.87046,1.1888998,1.1108987,1.2125553,1.162139,1.0,0.0,2.8435533,653799.6,0.32131058,3846718.2,0.19568779,2893173.8,18.876032,18.76951,18.760698,18.74153,19.048126,20.649397,19.212755,11.593705,0.10652161,0.008811951,0.027980804,0.019168854,57.7299167,-38.0608889,62,2,03 50 55.18,-38 03 39.2,0.0,,19.4911,19.6442,Simbad,1.163993921967585
703.0241,1074.4587,57.730947,-38.0419724,57.7309448,-38.041939,6.925,3.5,0,43.27261,0.03104336,1.633,58.45,16.0187,0.0007,2686.0,127222,0577m380,10694,SER,57.73095681634258,-38.04195678843559,0.013397953,78.04951,130.79202,162.57193,193.05673,1.1614562,1.0899554,1.2269942,1.1622659,0.62268496,2620427.8,2.213824,5165576.0,0.14985977,27432114.0,-0.30044606,39690580.0,17.769075,17.208548,16.972385,16.785788,16.92697,17.499128,15.351199,12.858568,0.5605278,0.23616219,0.42276,0.18659782,57.7312917,-38.0416944,62,3,03 50 55.51,-38 02 30.1,0.0,,19.8489,19.4295,Simbad,1.3393121998233033
