X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
496.1825,359.781,210.4669769,-3.2052471,210.4669636,-3.205263,8.311,3.5,0,33.0031,0.03265352,2.242,-18.41,16.0714,0.0009,1976.0,312490,2104m032,4205,SER,210.466954744732,-3.205265815364832,0.06122826,67.332596,121.90658,160.31387,195.31393,1.247422,1.4241333,1.1656227,1.401624,0.93949586,132653.42,3.0299537,223033.72,-0.43918532,3980171.8,0.29424837,3274729.0,17.929436,17.284933,16.987572,16.773167,16.94569,17.488066,15.634999,15.354396,0.64450264,0.29736137,0.51176643,0.21440506,210.46725,-3.2050278,149,4,14 01 52.14,-03 12 18.1,0.067788,,19.7983,19.9434,Simbad,1.3639889808094183
796.0762,787.1461,210.4450377,-3.1742431,210.445105,-3.1741597,10.843,3.7,2,10.93802,0.03252078,1.449,-29.9,16.5726,0.002,964.8,312490,2104m032,3677,SER,210.4450919949291,-3.174171328079091,0.06288157,42.938354,78.24995,104.45966,124.24377,1.3424329,1.4890939,1.1751328,1.4149048,0.7184489,83667.98,3.0326328,91570.33,-0.052549206,752555.7,0.06604818,1003216.7,18.417887,17.76629,17.45263,17.264313,17.234041,17.30835,18.941437,10.928908,0.65159607,0.31366158,0.5019779,0.18831635,210.4455833,-3.1744722,149,2,14 01 46.94,-03 10 28.1,0.0,,19.0852,19.1767,Simbad,2.0716880061588063
552.4012,566.9213,210.4626766,-3.190182,210.462866,-3.1901877,11.072,3.5,2,7.073096,0.03262039,2.814,11.77,17.0147,0.0028,610.8,312490,2104m032,4093,PSF,210.4624352454958,-3.189836695762009,0.062110923,1.7854784,1.5330453,1.0799792,0.86923516,1.3424329,1.4890939,1.1656227,1.4149048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.870613,22.036112,22.416462,22.652157,,,,14.350762,-0.16549873,-0.3803501,-0.616045,-0.23569489,210.462625,-3.19,149,3,14 01 51.03,-03 11 24.0,0.0677,,19.3307,19.1392,Simbad,0.9004574622740008
916.8911,1035.379,210.4362189,-3.1559755,210.4362998,-3.1560935,14.76,3.5,0,38.37871,0.03255402,3.358,80.22,14.9739,0.0006,3052.0,312490,2104m032,3434,SER,210.4362564194164,-3.156001730929726,0.06364775,145.1064,316.12064,481.7659,631.50574,1.4414029,1.5896453,1.1649528,1.412756,1.039555,564636.9,6.4558268,246265.8,0.54708886,19916332.0,-0.20722142,11287657.0,17.095783,16.250368,15.79291,15.499057,15.182668,15.435983,13.309545,12.406176,0.8454151,0.4574585,0.7513113,0.2938528,210.43675,-3.1563056,149,1,14 01 44.82,-03 09 22.7,0.067956,,19.6281,19.1717,Simbad,2.084333808980316
