GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
117r,355.7346021951265,-13.04849585604481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,220
118r,355.7183000638517,-13.055684938696043,5000.0,0.016666666666666666,nan,5.7142127285668085,10.526321142774911,16.794418743953138,189.13814304067694,179.34264943931686,21.070584651809344,23.006251038092113,11.34760095647402,13.14955022107475,0.4281502032489729,-1.4510758333011422,-0.8350609414398926,-0.10483083961237563,0.3317830562591553,2.341042866113568,0.26657162720137706,0.019693811970641288,0.044673539518900345,0.1612420877633434,0.16216071892456757,0.3754289978734446,0.4089327424673544,0.2012417668241532,10.99747266684811,0.496190312858565,318.8631196767468,318.5433754017598,0.2997551160058724,0.5589665177397781,1.0,0.0,0.27,0.34629548650952463,1.6567273,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1934.0,29.6,65.4,0.0,3.0,0.04063,0.004000000189989805,10.2,0.0,3.0,50.0,4.3,10.2,40.0,0.0,0.0,0.0,0.0,220
119r,355.72797748279396,-13.060122434568564,5000.0,0.016666666666666666,nan,7.041522629675897,20.119316753485215,42.06486058466322,58.968920124062876,44.403706045522895,50.349120552655826,44.76569232219211,16.90818827571199,24.454932055647586,0.5506973988144814,-1.426481873468202,-0.24549593755485288,0.019909444414256516,0.14547158777713776,3.8812643726902674,-0.029909706821432604,0.19629736722342045,0.21875,0.27688259301442675,0.22737104812472972,-0.05992697640719396,0.5832198225234448,0.10231798234229103,18.368677619971137,0.48964761433915976,318.4163234459056,319.02434109830193,0.8992768138938285,0.13470023784250423,0.0,0.0,0.27,0.34629548650952463,1.6567273,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,956.0,29.6,32.3,0.0,3.0,0.02833,0.004009999800473452,7.1,0.0,3.0,50.0,3.8,7.1,13.7,0.0,0.0,0.0,0.0,220
120r,355.71288684008056,-13.068551678072078,5000.0,0.016666666666666666,nan,4.643213489057961,8.796764252502243,16.867683505963793,90.22630358918573,91.45497939697134,20.872826289438144,36.202174793374375,9.77814825397942,17.964400678761656,0.5372337590077948,-1.5899757056214723,-0.19883972891573531,-0.016145201663667785,0.23632250726222992,2.8011839558577645,0.13408872941287617,0.010269600916269146,0.010282776349614395,0.5017577514201189,0.02970668659647985,0.20709638436937022,0.2672186402274054,0.15309874205236715,13.806209988263275,0.6354391361243334,320.044728661612,320.0672824747645,0.7287602648046496,0.8334683722282625,0.0,0.0,0.27,0.34629548650952463,1.2347949,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1296.0,16.4,78.9,0.0,3.0,0.0384,0.004029999952763319,9.5,0.0,3.0,50.0,4.3,9.5,25.4,0.0,0.0,0.0,0.0,220
