GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
448r,210.5732198792861,7.684074107738488,5000.0,0.016666666666666666,nan,11.267780735933552,43.48280334947584,86.26254255711416,5560.606000146557,5425.759769688326,107.07975108144001,137.0637596124318,45.09072466458187,69.49037016919277,0.5191942709633605,-2.6291710048908854,0.432027147658018,-0.17845244142610628,0.4030943512916565,4.419919336888137,0.11217051498875347,0.02288721463302514,0.1129798903107861,0.08383459592933623,0.017932957566377406,0.0678437566548643,0.37529354260706943,0.2526041634756857,59.709611174580594,0.891980876873119,320.7487271848531,318.69884906331833,0.589384733456545,2.3362801927686054,0.0,0.0,0.27,0.34629548650952463,1.367486,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,37606.0,20.1,1866.6,0.0,3.0,0.06088,0.004809999838471413,12.6,0.0,3.0,50.0,4.9,12.6,38.0,0.0,0.0,0.0,0.0,253
449r,210.60109454650512,7.686316925557265,5000.0,0.016666666666666666,nan,5.51778094211732,11.14799818849679,17.65812596995566,247.7921430967137,246.3730459023829,22.302419993393286,23.618616353009664,11.476287105622875,12.031711361169931,0.44240419271266135,-1.7067442033501685,-0.5873255131506596,-0.12625729348013875,0.344899982213974,2.5259007791791834,0.020582975899195294,-0.019489606978001527,0.0016750418760469012,0.0,0.0366035795876188,-0.1914509734484072,0.3352727974022838,0.23159040447037224,10.758904738598767,0.5724668759635374,319.2640361402118,319.29456922400783,0.1436197437751871,2.9815796837665354,0.0,0.0,0.27,0.34629548650952463,1.7249266,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2050.0,32.1,64.0,0.0,3.0,0.07012,0.005210000090301037,13.5,0.0,3.0,50.0,5.1,13.5,33.6,0.0,0.0,0.0,0.0,253
450r,210.55901030854233,7.693718791415944,5000.0,0.016666666666666666,nan,4.911928292251018,9.950902734621929,16.269156414922463,79.1683841753658,79.14163996222544,20.05890862113955,21.21239678505913,10.037811091414877,10.980888820063104,0.4405735574831865,-1.637269313213188,-0.6445332564014876,-0.11841261262827854,0.21998730301856995,2.6005650826149367,0.1470342815436811,-0.012307142698339909,0.02517162471395881,0.015386782801916252,0.122489437791704,0.10707851823334438,0.37518333377560525,0.09818751887675796,9.475235936227918,0.4962058579261775,319.0879306815119,320.6326643217343,0.18244104132522537,1.2301882382930827,0.0,0.0,0.27,0.34629548650952463,1.3260982,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1148.0,18.9,60.6,0.0,3.0,0.04429,0.004699999932199717,9.4,0.0,3.0,50.0,4.7,9.4,18.5,0.0,0.0,0.0,0.0,253
