GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
579r,219.2210323173854,12.139013064669422,5000.0,0.016666666666666666,nan,5.743735155214411,12.319117108641212,21.295757877603776,219.09134454436168,219.11591886792624,27.624980042532826,30.83268188503304,12.544728919657091,14.86653321693205,0.4722678235716259,-1.798946662475643,-0.37560423622483086,-0.10950844074820476,0.280368447303772,2.8454934707603883,0.1204981902205831,0.03453186730727565,0.007220216606498195,0.0,0.0328526364155438,0.15170105886903207,0.2243378757998635,0.1607624259389289,13.386939567974608,0.7136423926255364,320.24795060834526,320.0340089262731,0.35126615483454743,1.0888213336467085,0.0,0.0,0.27,0.34629548650952463,1.3430754,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2571.0,19.4,132.3,0.0,3.0,0.04474,0.004559999797493219,9.8,0.0,3.0,50.0,4.4,9.8,24.8,0.0,0.0,0.0,0.0,159
580r,219.22090642812134,12.161237475936042,5000.0,0.016666666666666666,nan,7.904091090799193,19.854224358113367,32.290650461472936,643.0487712994083,643.7581395178186,40.754555205091414,45.445088513947155,20.076130199038495,23.81149573110379,0.4320626791097958,-2.0509485071500757,-0.3999824229515081,-0.18433979017516272,0.3219725489616394,3.056124284369422,0.001094855998186276,0.0035301056561729033,0.0103359173126615,0.08244145855714512,0.020934717411557863,-0.023652149991417435,0.16967501183055198,0.16261283450049424,22.34346880439298,0.5630026366343504,320.25734520077134,319.6811318565142,0.28048906979164717,0.6099512862444805,0.0,0.0,0.27,0.34629548650952463,1.3075571,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,6470.0,18.4,351.3,0.0,3.0,0.05685,0.004660000093281269,12.2,0.0,3.0,50.0,4.4,12.2,30.7,0.0,0.0,0.0,0.0,159
581r,219.24285967929592,12.16785715587001,5000.0,0.016666666666666666,nan,6.754397065754862,15.591801760025875,29.930394085686775,653.9508611573142,653.6518653172253,39.04374062423917,51.10394186307037,15.742675689910449,25.15086215820733,0.47830572705721536,-2.0252361257783154,-0.1888980159024114,-0.13498515169654268,0.4127517640590668,3.2326292376046317,0.095899712989628,0.01472743833096432,0.023880597014925373,0.0,0.030250072072317027,0.0913722880316836,0.21916933546292164,0.3249006387213055,23.97502847308135,0.5448575734097644,319.98909899511597,319.78223215478613,0.661195119835628,1.8473186225360887,0.0,0.0,0.27,0.34629548650952463,1.3075571,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,4292.0,18.4,233.0,0.0,3.0,0.07482,0.004550000187009573,16.4,0.0,3.0,50.0,5.1,16.4,52.1,0.0,0.0,0.0,0.0,159
582r,219.26528561251348,12.176329268919591,5000.0,0.016666666666666666,nan,1.9130654194173844,4.063901722871095,8.51005022276041,66.98575509355351,66.9925820843811,10.816030792216832,10.939856286432635,4.208726801157652,4.260915054927443,0.5733351295394953,-1.8886088659874092,0.18681483534977605,-0.02191485412814964,0.33956554532051086,3.2410115082432083,0.028783947936725056,0.05582493434952965,0.0037174721189591076,0.0,0.017128102401311206,0.004119761231129011,0.15150096812538613,0.3221543424490189,3.31451006506078,1.8661238186651679,319.9988575272637,319.99972324631864,0.02284953010312033,0.2591117745523139,0.0,0.0,0.27,0.34629548650952463,1.3075571,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,678.0,18.4,36.8,0.0,3.0,0.03534,0.004650000017136335,7.6,0.0,3.0,50.0,3.6,7.6,20.6,0.0,0.0,0.0,0.0,159
