GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
363r,9.413263376295824,-9.04681076737002,5000.0,0.016666666666666666,nan,6.260235175193396,12.130003275116675,21.503638223584076,216.86731724862872,216.8924857592878,26.95039708087589,27.740607786296838,12.302222262466817,12.584999026947706,0.5013954428827132,-1.7649731713364654,-0.25496614999439915,-0.07594978236188266,0.25774526596069336,2.6796064821777605,0.04222279327943631,0.010229872325867867,0.002910360884749709,0.003494168252559988,0.017086421908942093,0.02371623477650542,0.2061179486961624,0.1470890572021568,11.655621490989782,0.7751269199097325,320.17589860097667,320.0868397905207,0.06722628675412264,2.63670890637011,0.0,0.0,0.27,0.34629548650952463,1.2939789,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,3011.0,18.0,166.9,0.0,3.0,0.03207,0.0038499999791383743,8.3,0.0,3.0,50.0,4.1,8.3,25.7,0.0,0.0,0.0,0.0,14
364r,9.421021519517863,-9.056435972010341,5000.0,0.016666666666666666,nan,4.273514741737136,10.024602778555355,20.801438560717752,137.43807179821636,135.50196840084993,26.844498438557913,36.70891504967092,10.401664400928091,17.49598901323677,0.5404324695065555,-1.9509456853243907,0.06714608398725286,-0.06315330544860037,0.28090497851371765,3.4365408199593017,0.08460453474407498,0.010181250576733787,0.021604938271604937,0.08568045716074993,0.05498352523843532,0.04765197111284883,0.34793326573310956,0.2038989035934284,15.207101732097698,0.7261790204311309,320.3116790454029,319.9942960071582,0.7549512138312929,0.41581067776469965,0.0,0.0,0.27,0.34629548650952463,1.1476396,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1560.0,14.2,109.9,0.0,3.0,0.04055,0.003869999898597598,10.5,0.0,3.0,50.0,4.7,10.5,31.9,0.0,0.0,0.0,0.0,14
365r,9.435498834430023,-9.059034699868944,5000.0,0.016666666666666666,nan,5.362042363333161,12.094248003542111,22.271912111782306,88.27136845066471,87.46831048848223,28.61707806542332,36.56354393935682,12.517432498695191,18.123273953092713,0.49123259966598504,-1.9652722169702455,-0.1664649852929938,-0.11385256448953895,0.18704870343208313,3.0921363164925997,0.21305628637311116,-0.004443538003739848,0.22838137472283815,0.18706356823230708,0.03960343010663125,0.2639316226069016,0.31991881231672215,0.06838028952682373,15.166000157955956,0.5846868417181686,319.71608370375105,320.3645865157652,0.5758956743811497,2.9459875813261998,0.0,0.0,0.27,0.34629548650952463,1.158328,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1640.0,14.5,113.5,0.0,3.0,0.03317,0.003809999907389283,8.7,0.0,3.0,50.0,4.5,8.7,17.9,0.0,0.0,0.0,0.0,14
366r,9.432743662245764,-9.06544037979492,5000.0,0.016666666666666666,nan,5.695293328864846,11.957134225462383,20.917535201070415,106.84204549882875,106.73647121641714,26.71290595527095,30.29923964987558,11.96492773554366,13.303702902731409,0.522592538817551,-1.8202720855908012,-0.1117183775386974,-0.06265120646774602,0.18912675976753235,2.824972058663641,0.20331950903990878,0.032424595757583614,0.05443234836702955,0.046652866224878915,0.030388799914146208,0.2798079055734458,0.2926855814472602,0.08660237816971045,10.500630597641402,0.7179742028311417,319.7757136159422,319.8566885781538,0.13266773946690566,1.4642826842929253,0.0,0.0,0.27,0.34629548650952463,1.158328,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2041.0,14.5,141.2,0.0,3.0,0.03093,0.003869999898597598,8.0,0.0,3.0,50.0,4.5,8.0,16.9,0.0,0.0,0.0,0.0,14
