GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
803r,80.7147202647141,-31.932539522489364,5000.0,0.016666666666666666,nan,1.5,1.5,1.5,0.0,0.0,1.0,1.0,12.87214519501833,13.437061937730128,0.7061816141905114,-1.334492335010482,0.4604021784052952,0.18662536348214925,0.0517328605055809,0.0,100.0,-99.0,0.7073170731707317,0.985851292804113,0.1471865198791418,0.3907393179004668,1.9994360953502694,0.048914898605531845,9.918148657840169,0.11566796437852611,310.2179168415034,322.9186409483434,0.051493225241350526,1.9620756401714843,1.0,0.0,0.27,0.34629548650952463,1.3423225,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,748.0,19.4,38.5,0.0,3.0,0.02072,0.0020099999383091927,10.3,0.0,3.0,50.0,4.6,10.3,21.8,0.0,0.0,0.0,0.0,239
804r,80.7093570274503,-31.942819137580514,5000.0,0.016666666666666666,nan,3.1275049592070503,6.04237965117268,10.255250650570337,32.309937150627455,32.217134472522986,12.935566694568175,16.482670621183853,6.16436243223278,8.182125181341533,0.4609628750309367,-1.5997884906067799,-0.569580344606365,-0.0930173539137151,0.23551121354103088,2.5787413624689166,0.1019727535196878,0.01091465013463681,0.0,0.0,0.07266601565809784,0.08100740024931113,0.24831811660637051,0.13445319940993053,7.341667632054687,0.6122710440127587,319.90738087570725,320.08075432829156,0.5741203961644251,1.3355152026874295,0.0,0.0,0.27,0.34629548650952463,1.3423225,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,657.0,19.4,33.8,0.0,3.0,0.02148,0.0019399999873712659,11.1,0.0,3.0,50.0,4.6,11.1,39.5,0.0,0.0,0.0,0.0,239
805r,80.71526147576186,-31.955119998985964,5000.0,0.016666666666666666,nan,4.350129820475037,8.52955182032215,15.873226354120485,64.6590392082191,64.75870900974803,19.747892606342443,22.085042455584873,8.760566988071457,10.246483129669297,0.5173100023494321,-1.6794561163325996,-0.23545239975181964,-0.04830749784429361,0.20675110816955566,2.810814958170548,0.11422043283025941,0.03646893667126581,0.010362694300518135,0.020388184060491525,0.0870542595939727,0.19820435882283358,0.28116000781160116,0.0827707024668044,9.4506778943787,0.8407443158417066,320.21561666020045,320.01846100279215,0.22167885276864982,2.9482733420989264,0.0,0.0,0.27,0.34629548650952463,1.2874112,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1648.0,17.9,92.3,0.0,3.0,0.01697,0.0018899999558925629,9.0,0.0,3.0,50.0,4.1,9.0,27.7,0.0,0.0,0.0,0.0,239
806r,80.70575739899994,-31.957335278522685,5000.0,0.016666666666666666,nan,2.9945332406470797,5.893337399853448,10.478147813308645,34.42303956885561,34.5744839432024,12.92136198333819,14.46140905494411,6.771595988719882,7.501924283884461,0.49841504906153583,-1.6755489087689468,-0.3316901133685173,-0.06647039974796315,0.21079972386360168,2.7197769117968162,0.16864678069689662,-0.008160886333020216,0.002617801047120419,0.0,0.040040966590513274,0.2875797659495142,0.5704616377241992,0.10132236044378332,5.851189241812093,1.0150826509321411,319.68163631868487,319.6928980895347,0.26400955452339586,2.555126841558531,0.0,0.0,0.27,0.34629548650952463,1.2874112,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,916.0,17.9,51.3,0.0,3.0,0.0145,0.0018899999558925629,7.7,0.0,3.0,50.0,4.0,7.7,25.2,0.0,0.0,0.0,0.0,239
807r,80.69089120626425,-31.962995678089335,5000.0,0.016666666666666666,nan,4.728296567136558,9.355766719238003,16.167942245610128,153.98131795218444,154.96909105069923,20.16782122383547,25.439739044773543,9.777376784291198,12.447797691129905,0.4764299253336153,-1.750199922739483,-0.3887833231401423,-0.09861216318050905,0.29869431257247925,2.669750203481226,0.07956688690166008,0.004572021770190055,0.005115089514066497,0.0,0.020888849990034132,0.08052769751041923,0.18707956584736318,0.17090513468568055,11.127719316699888,0.8185398765188997,319.80514506149996,319.76176638407134,0.37251179610792245,0.7894808034567418,0.0,0.0,0.27,0.34629548650952463,1.3423225,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2594.0,19.4,133.6,0.0,3.0,0.0204,0.0018700000364333391,10.9,0.0,3.0,50.0,4.6,10.9,44.7,0.0,0.0,0.0,0.0,239
