GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
665r,66.75788961076228,-49.12455839271766,5000.0,0.016666666666666666,nan,4.501799967706577,12.701608335814385,28.483233188840956,814.9394754081325,801.5297273240958,33.93703548336568,35.43074654107806,16.056936995362367,18.018169334540787,0.5826340465984242,-2.1855877200665756,0.4386508206683368,-0.053988986956814145,0.39057230949401855,4.006015458404619,0.13536148084526264,0.023632629434944114,0.10543478260869565,0.07881459847296812,0.026308089767361303,0.33264990834506064,0.41801042172369873,0.28783605758455216,13.980244017461432,2.2655551373486236,319.996756559666,319.9861526922102,0.21682808815896365,1.8393973684602711,0.0,0.0,0.27,0.34629548650952463,1.3330152,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,14742.0,19.1,770.1,0.0,3.0,0.01563,0.001979999942705035,7.9,0.0,3.0,50.0,4.4,7.9,21.6,0.0,0.0,0.0,0.0,235
666r,66.77262982968402,-49.11473712347369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,235
667r,66.71580365574727,-49.11615413740151,5000.0,0.016666666666666666,nan,5.072411752081823,10.137491726539475,18.395339161246095,204.22134920468028,205.74501836627113,22.821655407668633,29.52715733267451,10.706388766971914,12.59400060264876,0.5772110747979892,-1.7695003311204007,0.12345854971648418,-0.0015215819757264382,0.2665126323699951,2.7974664970019383,0.23235749225037564,0.02206433894434745,0.03450704225352113,0.08914945957321557,0.06472830337599433,0.3265545840811378,0.2275094881962529,0.185299407136439,10.230792162521254,0.8909747742244433,319.8460005930214,319.882118563235,0.21350838575786565,1.7742137471096942,0.0,0.0,0.27,0.34629548650952463,1.3363465,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,3258.0,19.2,169.3,0.0,3.0,0.02208,0.0020099999383091927,11.0,0.0,3.0,50.0,4.9,11.0,37.4,0.0,0.0,0.0,0.0,235
668r,66.72832887247226,-49.117625639074156,5000.0,0.016666666666666666,nan,4.684743420710417,10.534470926751691,18.26376906676387,42.45963263235143,42.66011984507985,22.586359961529492,28.607969322974487,11.304817755193568,15.068426094540948,0.4881823195162856,-1.802780145615149,-0.2941708774830878,-0.094285943919383,0.13975249230861664,2.9545229860215376,0.12425212212458257,-0.005576334434636267,0.046153846153846156,0.08678782997676032,0.06482642912437707,0.08432903767822386,0.4501351660933984,0.04214969239720738,10.46736937321222,0.6928584716537295,320.151986421,320.5238140491796,0.34334118928934937,0.412905322820081,2.0,0.0,0.27,0.34629548650952463,1.3363465,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1415.0,19.2,73.5,0.0,3.0,0.01714,0.0020000000949949026,8.5,0.0,3.0,50.0,4.7,8.5,17.8,0.0,0.0,0.0,0.0,235
669r,66.7314364832654,-49.125048276821595,5000.0,0.016666666666666666,nan,3.4759048072166245,10.302136392934829,19.373520173541795,172.94460427552679,174.3047688294523,24.43834236984597,28.66863733114127,11.071536947939226,12.972438736272197,0.6033777322277729,-1.9832306089304703,0.4010985865162917,-0.005325099735840222,0.26352304220199585,3.730703325813873,0.18140438342084322,0.07312032220646526,0.023809523809523808,0.1013415097875619,0.08449119120373798,0.30205864268390203,0.27866609432625694,0.19009731220118847,8.79677463900867,1.1156720930513866,319.7338173495754,320.1756660887495,0.14897090756046577,2.466021172382402,0.0,0.0,0.27,0.34629548650952463,1.3388722,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2763.0,19.3,143.1,0.0,3.0,0.02394,0.001990000018849969,12.1,0.0,3.0,50.0,4.9,12.1,35.2,0.0,0.0,0.0,0.0,235
