GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
812r,41.47044866086792,-5.588455348392679,5000.0,0.016666666666666666,nan,9.080511253523381,25.79370375633865,48.34042811277229,433.31021890132706,431.90029242306906,64.170297484298,80.14780799991416,26.072607965934015,41.881225650146895,0.6114731808424346,-2.179344835464432,0.5770782161469024,-0.024570483095545825,0.20565490424633026,3.6310009565459636,0.19551950665609172,0.1421322188427811,0.0898716119828816,0.29064248102627005,0.04348206666816374,0.20990246518429292,0.21171917056987616,0.13272391618341048,31.322454073251116,0.7038573155723339,319.0323780100276,319.91779936202,0.6186042652075947,0.43810220366291436,0.0,0.0,0.27,0.34629548650952463,1.1526327,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,8230.0,14.3,575.0,0.0,3.0,0.02492,0.002219999907538295,11.2,0.0,3.0,50.0,4.9,11.2,30.6,0.0,0.0,0.0,0.0,46
813r,41.46736542830021,-5.56451279991233,5000.0,0.016666666666666666,nan,3.2305728538047376,6.350251121896806,11.001414302931032,65.79858550446157,66.13313607609047,13.624559465462855,16.80861414121885,6.879047958619779,7.976793883885185,0.49713033914923904,-1.7817584471516548,-0.2644462173351698,-0.0825053883963334,0.2704618573188782,2.6608449034681865,0.12287894300125936,0.002707369485460657,0.010121457489878543,0.0,0.02260509856159864,0.27770537787215477,0.5349181210041232,0.17107567794378564,6.961435641578277,0.8334443601976272,319.87801496050315,319.86002458146925,0.34499692491511996,0.9713216328417454,0.0,0.0,0.27,0.34629548650952463,1.13147,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1139.0,13.8,82.6,0.0,3.0,0.02302,0.0022499999031424522,10.2,0.0,3.0,50.0,4.4,10.2,35.2,0.0,0.0,0.0,0.0,46
814r,41.45616415422482,-5.573749831190138,5000.0,0.016666666666666666,nan,3.477863520386317,6.877389358314558,11.211414400587124,84.36378774520152,84.59887274084325,13.969111532126975,18.767671909163532,7.092102854510355,9.309246231825513,0.45163601517763596,-1.7708592649934887,-0.4971962542302144,-0.12602978280823537,0.32484692335128784,2.5417393508460613,0.0504378759678306,0.0015840732642933904,0.003527336860670194,0.0,0.016440332758365327,0.07141174341737722,0.16517023706365866,0.21155818381445968,8.440697577011495,0.6711059632255024,320.04228924374945,319.9665828393623,0.46875357981175003,0.8906009234921538,0.0,0.0,0.27,0.34629548650952463,1.2063607,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1102.0,15.7,70.3,0.0,3.0,0.02979,0.002199999988079071,13.5,0.0,3.0,50.0,4.9,13.5,57.9,0.0,0.0,0.0,0.0,46
815r,41.48356523791821,-5.579779291816401,5000.0,0.016666666666666666,nan,6.065940670391906,11.51985534944701,19.285309238520025,40.342069269204636,39.84443467354716,24.571717672747436,32.24345795486383,11.544198555734711,14.963959258577551,0.4946978133275947,-1.5086150085657828,-0.4657756230923189,-0.04694665099632506,0.1256813257932663,2.5116422443989443,0.2341142793276638,0.02106542416241439,0.09352517985611511,0.17370367077798438,0.1669072108050803,0.3466749631878396,0.26676353546831894,0.037213451535690334,13.528039502715673,0.49875194794368677,315.93705100689124,310.81597473806113,0.5102749168848745,1.9295836035341292,1.0,0.0,0.27,0.34629548650952463,1.2656353,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1430.0,17.3,82.9,0.0,3.0,0.01682,0.0021699999924749136,7.8,0.0,3.0,50.0,4.1,7.8,18.1,0.0,0.0,0.0,0.0,46
