GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
357r,124.99520314895496,21.066136042626304,5000.0,0.016666666666666666,nan,9.852577054053494,23.555107882587997,43.70027713371519,689.0177652329193,682.3090540275846,57.139262006230645,87.89365343156472,25.64660972600338,38.45172041882547,0.5683759789822234,-1.9121729959169802,0.17859698213247288,-0.030099827240059218,0.2481640875339508,3.2346717555160476,0.15656212020175844,0.05885655544962452,0.006530612244897959,0.3044507712188572,0.038300165340506544,0.21022394281478446,0.24693877491371755,0.16277671488672402,33.21556436264129,0.8489222222718897,321.0016278531304,318.7594289610481,0.6841882338066458,2.163605663339443,0.0,0.0,0.27,0.34629548650952463,1.5781106,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,9150.0,26.8,341.0,0.0,3.0,0.03307,0.004029999952763319,8.2,0.0,3.0,50.0,4.3,8.2,24.3,0.0,0.0,0.0,0.0,272
358r,125.04507872211951,21.068929978690967,5000.0,0.016666666666666666,nan,9.484615026142544,30.207459651466174,52.22701959843787,1992.924208116926,1995.2680054623345,64.32471250174707,69.07990590774152,32.19778933996766,35.11642840288283,0.483521781871596,-2.377358101027064,0.08094198427615584,-0.17876621198988196,0.32801195979118347,3.7043776755015334,0.06390157099868975,0.01833541670268139,0.01905117669032499,0.1038350708946255,0.0036537251822860188,0.1480720089114021,0.2554782708664981,0.17065586734627822,31.908400637091965,0.8943781511041972,319.831437060482,319.4849242841759,0.18168044834766078,1.7098165295027017,0.0,0.0,0.27,0.34629548650952463,1.2980756,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,19399.0,18.2,1068.6,0.0,3.0,0.05021,0.0040799998678267,12.3,0.0,3.0,50.0,4.7,12.3,30.6,0.0,0.0,0.0,0.0,272
359r,124.99811267200597,21.054461121207307,5000.0,0.016666666666666666,nan,3.878414967669765,7.32508207912896,12.750489728655536,98.99848905212355,98.9970600466317,16.39842032941086,18.153289364404895,8.547604789778667,10.065850928131962,0.48948805893772357,-1.5574616884844654,-0.45771315813853386,-0.058893996350994404,0.2971612513065338,2.5843629577359826,0.1465955229474217,0.024335620369162644,0.010071942446043165,0.002722074096303086,0.15026257320533884,0.13825542647066477,0.7671769463540181,0.18861758345216328,7.24783817068883,0.9565028463342898,320.7559577081224,319.66525639201404,0.2204573621644642,2.6599649021296186,0.0,0.0,0.27,0.34629548650952463,1.5781106,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1271.0,26.8,47.4,0.0,3.0,0.03029,0.003640000009909272,8.3,0.0,3.0,50.0,4.3,8.3,28.5,0.0,0.0,0.0,0.0,272
360r,125.05578760975237,21.08787640448958,5000.0,0.016666666666666666,nan,6.015538561129259,10.922309396245012,17.378675263401746,72.10490409224741,72.23587583209118,22.485352754153404,25.51111427452322,10.917533149197812,12.398811506603785,0.4459540000288308,-1.5482951956083548,-0.6795591293006975,-0.10071857216101887,0.19042813777923584,2.3037107651214934,0.03303405147623019,-0.03485612117110045,0.04054054054054054,0.0,0.055577401607287996,-0.006241334989642993,0.20070731776681702,0.07883826830682915,11.499316682833154,0.4427058150480474,319.2909734930524,320.0766944877315,0.2739649138713634,2.1972923356107925,0.0,0.0,0.27,0.34629548650952463,1.600242,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1286.0,27.6,46.6,0.0,3.0,0.038,0.004339999984949827,8.8,0.0,3.0,50.0,4.2,8.8,18.3,0.0,0.0,0.0,0.0,272
361r,125.00438395972411,21.075958209552322,5000.0,0.016666666666666666,nan,4.968371371390654,10.365184333053103,17.47554088162715,72.2896422501781,72.32957164007158,23.025822355589142,23.368424029871385,10.274789998499983,10.528147444515726,0.47936800062035323,-1.826448157822085,-0.3213998235585467,-0.10630197332312019,0.184843048453331,2.731082878702838,0.12997528637034972,0.029651339460580763,0.020172910662824207,0.08815032257107802,0.007835323705816194,0.18133989675394524,0.145057599708666,0.07988050206332312,8.877303050347805,0.634307287733542,319.9016087563758,320.0031207494823,0.048687996847935934,0.5735634529280629,1.0,0.0,0.27,0.34629548650952463,1.2980756,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1406.0,18.2,77.5,0.0,3.0,0.03123,0.004370000213384628,7.2,0.0,3.0,50.0,4.3,7.2,14.6,0.0,0.0,0.0,0.0,272
362r,125.0217574011151,21.07568922845721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,272
