GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
367r,243.33434378536802,8.528141254336022,5000.0,0.016666666666666666,nan,6.7396702919417555,12.509854340019062,19.825921554476945,106.15073197917036,106.68389272998547,25.628419734462174,28.22821948644557,12.515076786873701,13.853356260123826,0.4488430559245773,-1.453766272409925,-0.730766846393264,-0.08471888649964812,0.20640751719474792,2.3429736615776746,0.20614876710952715,-0.032114695731795165,0.029079159935379646,0.3856910702865589,0.1356673174984216,0.22660764877591955,0.49117072084551516,0.09369177388190646,12.793485116721675,0.3869711893544095,319.6293990408523,318.94295546077893,0.3145271962511184,2.0252726608488683,0.0,0.0,0.27,0.34629548650952463,1.7007104,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1916.0,31.2,61.5,0.0,3.0,0.03576,0.003800000064074993,9.4,0.0,3.0,50.0,4.6,9.4,22.2,0.0,0.0,0.0,0.0,258
368r,243.2825874687397,8.56184585322567,5000.0,0.016666666666666666,nan,5.924005616203919,11.386539889135049,18.874832349015076,211.98822832572716,211.48317882867184,23.683799686881592,26.3695547745949,11.521198216761096,13.190592705386086,0.4580561408603999,-1.5308696068380292,-0.631729465202266,-0.08631529589869019,0.3089451193809509,2.516338206137304,0.2669534442997892,0.02653383007017166,0.0045841519318926,0.0,0.02035745425045225,0.3327232818292429,0.35117589284475687,0.19826609812505572,11.662139816137438,0.5781561391399315,319.0310025971569,318.9327656554167,0.283548823312764,1.1984213542511337,0.0,0.0,0.27,0.34629548650952463,2.003511,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2082.0,43.2,48.1,0.0,3.0,0.05212,0.005270000081509352,9.9,0.0,3.0,50.0,4.4,9.9,29.5,0.0,0.0,0.0,0.0,258
369r,243.30330455219487,8.549501402769248,5000.0,0.016666666666666666,nan,4.533617741329204,9.237575434818188,16.721706597265776,248.0830778738959,248.22199473056065,20.990036489722293,23.2372379668413,9.424327892125817,10.44006414867643,0.5070001680414205,-1.8238588166263283,-0.186415008272923,-0.07858620915005338,0.3557646572589874,2.8341784989176095,0.0559728781881602,0.004785828131890853,0.019184652278177457,0.007735499154618903,0.023226363985896413,0.09621934346502012,0.13822244190310004,0.29059525800202046,9.191845356614056,0.952089534678539,320.16151515031896,320.4432677117141,0.1826339659969101,1.582951084159863,0.0,0.0,0.27,0.34629548650952463,1.7007104,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2212.0,31.2,71.0,0.0,3.0,0.04564,0.004339999984949827,10.5,0.0,3.0,50.0,4.9,10.5,33.0,0.0,0.0,0.0,0.0,258
370r,243.31318583915677,8.53464126695516,5000.0,0.016666666666666666,nan,8.375871679653132,18.40929334979916,33.92228248913565,194.15880691557877,178.60824728364017,42.97335006639342,51.77437610322852,19.422516193513484,31.948613195506837,0.4835897843895823,-1.5609895132734624,-0.4844648345730582,-0.06522365579932482,0.22755201160907745,3.0372752560407057,0.1300571719591891,0.031603146404026,0.024200913242009132,0.44284203961706625,0.10108854397293336,0.2273582147670901,0.565139957196238,0.12408540174385524,26.501910989228634,0.4566583208918166,334.2764656528176,326.96745364112246,0.7957630124382287,0.32299518745227856,0.0,0.0,0.27,0.34629548650952463,1.7007104,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2764.0,31.2,88.7,0.0,3.0,0.03528,0.003759999992325902,9.4,0.0,3.0,50.0,4.2,9.4,27.0,0.0,0.0,0.0,0.0,258
371r,243.27710951931275,8.565131166306983,5000.0,0.016666666666666666,nan,9.838635599410502,17.900661178956938,30.50484951129887,122.75159509283299,115.74548304820661,36.97256677532714,40.238035024492696,17.898602927124838,21.96221939172976,0.4802975839506753,-1.1056599375401748,-0.8163046227288162,-0.005192123206915811,0.18193654716014862,2.4571700562421976,0.481027740669041,0.19965288103951495,0.3129251700680272,0.35073120707215394,0.29659952236710485,0.46474305670020083,0.4971182935896772,0.0729534438531302,22.383461886376747,0.13991483272334543,325.96157390515464,312.2223402772199,0.6931919737019332,2.3067348087069988,0.0,0.0,0.27,0.34629548650952463,2.003511,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2016.0,43.2,46.6,0.0,3.0,0.04013,0.005249999929219484,7.6,0.0,3.0,50.0,4.4,7.6,13.1,0.0,0.0,0.0,0.0,258
