GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
599r,4.658733882664886,-35.94581013806873,5000.0,0.016666666666666666,nan,5.0108096473490535,11.311476727520455,23.667939333465945,725.4384023476607,826.1872626469491,29.09061474824672,77.85951447528086,15.728473164106566,24.09759230821265,0.6675251881025368,-1.90589550362717,0.6650352651211859,0.06893046121733476,0.25797876715660095,3.371262712521437,0.0521118210994686,-0.0014294799087515146,0.18617614269788182,0.04693190680382152,0.15133358768586497,0.24468845891346114,0.3707277776765991,0.3177935295136086,16.02041611773265,1.7163272776630791,320.164403444747,320.1462435147413,0.41935556326709533,1.0488014766108142,0.0,0.0,0.27,0.34629548650952463,1.1701744,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,10920.0,14.8,740.2,0.0,3.0,0.02292,0.0021899999119341373,10.5,0.0,3.0,50.0,4.7,10.5,31.8,0.0,0.0,0.0,0.0,8
600r,4.653752757098771,-35.93919097903824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
601r,4.669228642111027,-35.95487562586677,5000.0,0.016666666666666666,nan,3.7827151164536357,7.61042027356229,13.456935595185495,36.807868260728775,36.76823522524075,17.592033329537667,21.86048442270304,7.6274204762801165,10.817241621813373,0.4606386577513236,-1.6150091388606556,-0.5606373109005136,-0.09545399912782077,0.2099730670452118,2.7557126945568333,0.1451170444902945,0.02763366500401543,0.016574585635359115,0.0,0.051002476796489504,0.1949697498945826,0.18178663116969337,0.10951439513606245,9.938557002485151,0.5239106095179114,320.4199559311173,320.446328657962,0.6650652100401716,0.6938611885419825,0.0,0.0,0.27,0.34629548650952463,1.3598028,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,787.0,19.9,39.5,0.0,3.0,0.02479,0.0022700000554323196,10.9,0.0,3.0,50.0,4.5,10.9,31.2,0.0,0.0,0.0,0.0,8
602r,4.66853487343448,-35.97068081740919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
