GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
424r,53.81342234282801,-33.46747452729964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57
425r,53.83976000151101,-33.47551290579683,5000.0,0.016666666666666666,nan,4.858728298358257,10.319022400794868,20.163301202491482,50.387581390009856,46.84410726686922,25.99662040197069,32.191780318646295,10.30535267606908,16.446080497176737,0.48155102144443046,-1.6453531208447074,-0.4360927311046865,-0.07896857256742823,0.19148455560207367,3.090195119355141,0.04662313957973648,0.01488667412559853,0.013636363636363636,0.0,0.06274115199141508,0.05106538444422296,0.2275800970094892,0.08975837223574445,15.224645110527664,0.42760973669828795,320.5602738765002,319.573677735694,0.7640501542422972,2.332838845091803,0.0,0.0,0.27,0.34629548650952463,1.1786308,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1049.0,15.0,70.1,0.0,3.0,0.0286,0.002090000081807375,13.7,0.0,3.0,50.0,5.0,13.7,31.8,0.0,0.0,0.0,0.0,57
426r,53.79123235681299,-33.48000089408686,5000.0,0.016666666666666666,nan,2.7775350024219616,5.564476743101833,10.038385744213391,134.12971654903043,134.07266978927123,12.56196048622276,14.945730467587214,5.8433700054412645,7.097731991568561,0.49371972681939635,-1.7675245838816274,-0.29119281561402044,-0.08390338760834384,0.4555554986000061,2.79002169824869,0.04804484253010721,0.001312989773208237,0.0,0.0,0.04554990646242674,-0.03446931154718917,0.19774384245662927,0.4344387702630195,6.345030385900122,1.1159726912920318,320.424307004069,320.1325431120607,0.4040949430805993,2.7675369546241266,2.0,0.0,0.27,0.34629548650952463,1.1961161,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1356.0,15.4,88.0,0.0,3.0,0.02499,0.00215000007301569,11.6,0.0,3.0,50.0,4.6,11.6,53.1,0.0,0.0,0.0,0.0,57
427r,53.782366575021655,-33.48321313025187,5000.0,0.016666666666666666,nan,2.5641368187411135,5.0445263345307465,9.357090337703246,93.3308624243084,92.12479765426315,11.765678383946684,14.232835878393768,5.869843854967578,7.31413935281916,0.5133345956591239,-1.6565247388810171,-0.27102210744279187,-0.04905568900192875,0.4129968285560608,2.810998137845379,0.1343727710157946,0.07826098606354782,0.0027100271002710027,0.0,0.03963680060814938,0.3281150694496504,0.6450528270881396,0.32102022192173285,5.157664279259928,1.4957811006936945,311.8888438610696,307.58304031002996,0.2984980781421625,2.2612715126543876,0.0,0.0,0.27,0.34629548650952463,1.1962285,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1560.0,15.4,101.2,0.0,3.0,0.02185,0.0021699999924749136,10.1,0.0,3.0,50.0,4.7,10.1,25.0,0.0,0.0,0.0,0.0,57
