GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
489r,176.2285046906798,19.77645962194311,5000.0,0.016666666666666666,nan,8.413907699309991,26.504316503958034,61.80593380095447,1701.8425637169883,1699.7280023677088,79.15480759419499,87.93904290029225,27.211070629586487,31.668283611477957,0.6202328518438899,-2.3837375814425337,0.7620827605669307,-0.04430900049506126,0.23587332665920258,4.330162144505557,0.1653648237028011,0.0265892153955319,0.028961175236096537,0.07036182483191407,0.042130192501168895,0.14033477310584797,0.3456122227836081,0.28072585726807203,20.293784682314865,2.204891005530271,319.795712883861,321.2961414287275,0.18426540556385823,2.9373842704117927,0.0,0.0,0.27,0.34629548650952463,1.2372189,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,18402.0,16.5,1115.9,0.0,3.0,0.0347,0.005439999978989363,6.4,0.0,3.0,50.0,4.0,6.4,13.7,0.0,0.0,0.0,0.0,245
490r,176.19884753345713,19.773284042661004,5000.0,0.016666666666666666,nan,7.6413779664096335,17.080374692481865,30.601711728689963,749.1520812969823,749.8833611737248,37.20269397168158,41.09366436256797,17.422677925597792,19.537500114075737,0.5286343946273864,-1.6293726329611486,-0.21410451195236124,-0.030134745300487265,0.3526259660720825,3.0128701897941927,0.43563187292260536,0.038016463249201875,0.03888752153581098,0.0748377999877026,0.1282290003869247,0.45818855680444615,0.31226946708441056,0.2518327772772243,18.096601750270636,0.7898474549263771,322.11012611466333,319.93760122768424,0.24451951954425255,1.7500558913465027,0.0,0.0,0.27,0.34629548650952463,1.2372189,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,6425.0,16.5,389.6,0.0,3.0,0.04783,0.005169999785721302,9.3,0.0,3.0,50.0,4.7,9.3,30.1,0.0,0.0,0.0,0.0,245
491r,176.2268926539444,19.79331097716374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,245
492r,176.2134050918669,19.78576977062439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,245
493r,176.20380312551225,19.807883136284055,5000.0,0.016666666666666666,nan,6.666307257263617,12.406056030021922,20.174954875164687,360.0661952743908,359.4555969079156,25.27206377336012,29.717032301647485,12.498690717465962,15.43797617507329,0.44065363456688394,-1.5776005106940698,-0.6854873549829343,-0.11003937276526063,0.39606717228889465,2.404636225670483,0.2741295857788308,0.06203842400664013,0.044444444444444446,0.11528834725539044,0.061233064573940205,0.32334065459940375,0.275797054471949,0.2801105658527952,14.78133794723341,0.4074251161099353,321.6374899668265,318.99529708331374,0.36981048057951826,2.0746087569116947,2.0,0.0,0.27,0.34629548650952463,0.9823927,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2235.0,10.4,215.0,0.0,3.0,0.09211,0.007120000198483467,12.9,0.0,3.0,50.0,4.9,12.9,36.2,0.0,0.0,0.0,0.0,245
