Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1683,1683,2741,156.885827049,-1.077054598,SER,0.640410341011274,343.6586,0.0032,343.8198,0.0025,24.3690,0.2400,18.0449,0.0053,4.4258,0.0307,0.4485,0.0005,-53.8335,0.0617,343.6586,0.0032,343.8198,0.0025,21.8569,0.1363,16.9222,0.0032,4.2526,0.0171,0.4485,0.0005,-53.8335,0.0617,343.6586,0.0032,343.8198,0.0025,19.4599,0.0764,16.5592,0.0020,4.0873,0.0109,0.4485,0.0005,-53.8335,0.0617,343.6586,0.0032,343.8198,0.0025,16.8651,0.1378,16.2794,0.0042,3.9084,0.0204,0.4485,0.0005,-53.8335,0.0617
1684,1684,3332,15.563416953,-8.705061595,SER,0.723680370134145,343.7902,0.0027,344.0997,0.0037,11.1163,0.0917,18.3631,0.0049,3.2751,0.0319,0.4181,0.0008,34.2555,0.0791,343.7902,0.0027,344.0997,0.0037,10.5782,0.0605,17.1935,0.0032,3.7027,0.0215,0.4181,0.0008,34.2555,0.0791,343.7902,0.0027,344.0997,0.0037,10.0648,0.0585,16.7027,0.0031,4.1108,0.0245,0.4181,0.0008,34.2555,0.0791,343.7902,0.0027,344.0997,0.0037,9.5090,0.0888,16.4283,0.0047,4.5525,0.0385,0.4181,0.0008,34.2555,0.0791
1685,1685,11640,192.731452134,3.082153816,SER,0.484812856768441,344.4892,0.0011,344.4448,0.0010,9.7235,0.0459,17.9765,0.0026,4.9709,0.0216,0.7075,0.0004,88.3015,0.0590,344.4892,0.0011,344.4448,0.0010,9.4310,0.0161,16.8986,0.0008,5.2032,0.0076,0.7075,0.0004,88.3015,0.0590,344.4892,0.0011,344.4448,0.0010,9.1520,0.0304,16.5305,0.0016,5.4249,0.0142,0.7075,0.0004,88.3015,0.0590,344.4892,0.0011,344.4448,0.0010,8.8500,0.0657,16.2566,0.0035,5.6649,0.0307,0.7075,0.0004,88.3015,0.0590
1686,1686,10645,25.701132581,0.735860451,SER,1.16789424209338,345.1937,0.0007,343.7034,0.0024,23.3461,0.0158,16.9809,0.0005,1.2424,0.0017,0.1459,0.0001,-14.1375,0.0041,345.1937,0.0007,343.7034,0.0024,22.7062,0.0101,15.9376,0.0003,1.5416,0.0011,0.1459,0.0001,-14.1375,0.0041,345.1937,0.0007,343.7034,0.0024,22.0957,0.0115,15.4790,0.0004,1.8271,0.0012,0.1459,0.0001,-14.1375,0.0041,345.1937,0.0007,343.7034,0.0024,21.4348,0.0187,15.1331,0.0005,2.1361,0.0020,0.1459,0.0001,-14.1375,0.0041
1687,1687,4669,250.662764646,21.351156821,REX,0.485477164289459,343.7714,0.0060,344.5393,0.0068,21.2388,0.0459,17.5017,0.0019,1.1556,0.0037,0.8706,0.0009,-21.9642,0.2966,343.7714,0.0060,344.5393,0.0068,22.1368,0.0473,16.5394,0.0017,1.7794,0.0040,0.8706,0.0009,-21.9642,0.2966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.7714,0.0060,344.5393,0.0068,23.9211,0.1353,15.8725,0.0036,3.0187,0.0117,0.8706,0.0009,-21.9642,0.2966
1688,1688,5562,241.003428321,27.614997253,SER,0.335965184472583,344.4681,0.0021,343.5085,0.0022,7.2071,0.0325,18.2673,0.0026,3.4768,0.0182,0.9616,0.0013,-18.1786,1.1027,344.4681,0.0021,343.5085,0.0022,7.4449,0.0195,17.0926,0.0015,4.0145,0.0109,0.9616,0.0013,-18.1786,1.1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.4681,0.0021,343.5085,0.0022,7.9174,0.0465,16.2750,0.0029,5.0829,0.0244,0.9616,0.0013,-18.1786,1.1027
1689,1689,3926,197.961513689,4.408439984,SER,0.751220461616062,346.3601,0.0059,344.2451,0.0033,19.5418,0.0663,17.8194,0.0027,1.5726,0.0069,0.4524,0.0004,-78.2845,0.0503,346.3601,0.0059,344.2451,0.0033,17.7192,0.0403,16.8187,0.0018,1.7523,0.0043,0.4524,0.0004,-78.2845,0.0503,346.3601,0.0059,344.2451,0.0033,15.9801,0.0335,16.3830,0.0015,1.9239,0.0044,0.4524,0.0004,-78.2845,0.0503,346.3601,0.0059,344.2451,0.0033,14.0976,0.0540,16.1030,0.0026,2.1095,0.0072,0.4524,0.0004,-78.2845,0.0503
1690,1690,3604,2.292684602,13.813047251,SER,0.665073772249706,344.6034,0.0052,344.3596,0.0044,34.4232,0.1797,16.8688,0.0035,2.8168,0.0116,0.7401,0.0010,89.3240,0.1479,344.6034,0.0052,344.3596,0.0044,34.0687,0.1178,15.9011,0.0023,3.3798,0.0072,0.7401,0.0010,89.3240,0.1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.6034,0.0052,344.3596,0.0044,33.3642,0.2399,15.2222,0.0040,4.4987,0.0177,0.7401,0.0010,89.3240,0.1479
1691,1691,4896,154.464431479,7.707065202,SER,0.40193266072776,343.6209,0.0020,344.1212,0.0017,29.9420,0.3465,17.4236,0.0051,6.9562,0.0411,0.6159,0.0006,83.0970,0.0726,343.6209,0.0020,344.1212,0.0017,26.8398,0.2041,16.3875,0.0033,6.9591,0.0241,0.6159,0.0006,83.0970,0.0726,343.6209,0.0020,344.1212,0.0017,23.8799,0.1189,16.0252,0.0021,6.9618,0.0169,0.6159,0.0006,83.0970,0.0726,343.6209,0.0020,344.1212,0.0017,20.6758,0.1906,15.7808,0.0039,6.9647,0.0284,0.6159,0.0006,83.0970,0.0726
1692,1692,5888,155.537805334,11.235128105,SER,0.591503183154342,344.2441,0.0015,343.5962,0.0016,58.6192,1.3495,17.2173,0.0064,*14.4892*,*0.1076*,0.6723,0.0011,40.3044,0.1141,344.2441,0.0015,343.5962,0.0016,48.8458,0.8747,16.2621,0.0055,*13.3928*,*0.0736*,0.6723,0.0011,40.3044,0.1141,344.2441,0.0015,343.5962,0.0016,39.5207,0.5631,15.9969,0.0045,*12.3467*,*0.0606*,0.6723,0.0011,40.3044,0.1141,344.2441,0.0015,343.5962,0.0016,29.4262,0.6692,15.8377,0.0074,*11.2143*,*0.0794*,0.6723,0.0011,40.3044,0.1141
1693,1693,13795,187.221338681,2.476061293,DUP,0.709930690525027,344.0300,0.0006,343.5828,0.0005,19.8025,0.0451,16.0288,0.0013,4.2796,0.0077,0.7501,0.0002,-57.2960,0.0262,344.0300,0.0006,343.5828,0.0005,19.6521,0.0140,15.0632,0.0004,4.7809,0.0024,0.7501,0.0002,-57.2960,0.0262,344.0300,0.0006,343.5828,0.0005,19.5087,0.0339,14.6555,0.0009,5.2591,0.0059,0.7501,0.0002,-57.2960,0.0262,344.0300,0.0006,343.5828,0.0005,19.3534,0.0718,14.4064,0.0018,5.7768,0.0124,0.7501,0.0002,-57.2960,0.0262
