Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1464,1464,3127,179.870734913,0.938839282,SER,0.677069805623797,344.5313,0.0029,344.6460,0.0028,3.9887,0.0188,18.3064,0.0028,2.7773,0.0222,0.9237,0.0020,88.4270,0.9008,344.5313,0.0029,344.6460,0.0028,4.4545,0.0102,17.5537,0.0016,2.9220,0.0140,0.9237,0.0020,88.4270,0.9008,344.5313,0.0029,344.6460,0.0028,4.8989,0.0164,17.1687,0.0023,3.0600,0.0151,0.9237,0.0020,88.4270,0.9008,344.5313,0.0029,344.6460,0.0028,5.3800,0.0298,16.9487,0.0034,3.2095,0.0247,0.9237,0.0020,88.4270,0.9008
1465,1465,3197,145.34749162,0.054394124,SER,0.785309118820748,344.5200,0.0013,343.9091,0.0013,5.2778,0.0334,17.7564,0.0030,6.0959,0.0409,0.9480,0.0012,18.7382,0.8003,344.5200,0.0013,343.9091,0.0013,5.1997,0.0207,16.7364,0.0018,6.3155,0.0256,0.9480,0.0012,18.7382,0.8003,344.5200,0.0013,343.9091,0.0013,5.1251,0.0240,16.2817,0.0025,6.5251,0.0285,0.9480,0.0012,18.7382,0.8003,344.5200,0.0013,343.9091,0.0013,5.0444,0.0402,16.0055,0.0035,6.7519,0.0472,0.9480,0.0012,18.7382,0.8003
1468,1468,8050,149.73928613,5.82836217,SER,1.04461641326228,343.4998,0.0012,344.4757,0.0014,12.4764,0.0703,18.3430,0.0027,5.7056,0.0248,0.4406,0.0005,-2.0574,0.0384,343.4998,0.0012,344.4757,0.0014,10.9821,0.0431,17.3192,0.0017,6.1076,0.0167,0.4406,0.0005,-2.0574,0.0384,343.4998,0.0012,344.4757,0.0014,9.5563,0.0458,16.8653,0.0021,6.4912,0.0231,0.4406,0.0005,-2.0574,0.0384,343.4998,0.0012,344.4757,0.0014,8.0129,0.0767,16.6521,0.0042,6.9064,0.0380,0.4406,0.0005,-2.0574,0.0384
1469,1469,4907,216.961412387,3.65853723,SER,0.783755533044854,344.1038,0.0017,343.9640,0.0017,9.6593,0.0202,18.0789,0.0015,1.9562,0.0057,0.5798,0.0004,-42.6665,0.0482,344.1038,0.0017,343.9640,0.0017,9.6373,0.0133,17.0594,0.0009,2.0487,0.0036,0.5798,0.0004,-42.6665,0.0482,344.1038,0.0017,343.9640,0.0017,9.6163,0.0131,16.6394,0.0010,2.1370,0.0033,0.5798,0.0004,-42.6665,0.0482,344.1038,0.0017,343.9640,0.0017,9.5936,0.0200,16.3685,0.0013,2.2326,0.0052,0.5798,0.0004,-42.6665,0.0482
1470,1470,13280,191.914412217,4.181910567,DUP,0.709105285393581,343.9417,0.0016,344.5315,0.0014,15.4436,0.0243,16.8363,0.0016,1.3626,0.0032,0.5456,0.0002,50.1836,0.0194,343.9417,0.0016,344.5315,0.0014,15.5947,0.0069,15.9397,0.0003,1.6195,0.0009,0.5456,0.0002,50.1836,0.0194,343.9417,0.0016,344.5315,0.0014,15.7388,0.0193,15.5529,0.0011,1.8647,0.0026,0.5456,0.0002,50.1836,0.0194,343.9417,0.0016,344.5315,0.0014,15.8948,0.0407,15.2703,0.0017,2.1301,0.0054,0.5456,0.0002,50.1836,0.0194
1471,1471,9693,350.108676513,0.999008402,DUP,10.5972238673933,343.4618,0.0326,343.2412,0.1034,0.8308,0.0308,17.9849,0.0110,4.4427,0.2761,*0.0458*,*0.0095*,-38.9007,0.3760,343.4618,0.0326,343.2412,0.1034,3.3414,0.1035,18.9658,0.0134,4.8482,0.2728,*0.0458*,*0.0095*,-38.9007,0.3760,343.4618,0.0326,343.2412,0.1034,5.7368,0.2057,19.1460,0.0293,5.2350,0.3959,*0.0458*,*0.0095*,-38.9007,0.3760,343.4618,0.0326,343.2412,0.1034,8.3299,0.3178,19.0818,0.0279,5.6538,0.5816,*0.0458*,*0.0095*,-38.9007,0.3760
1472,1472,4301,163.883210133,3.435833517,SER,0.687826632959477,344.0354,0.0034,344.3048,0.0027,11.0741,0.0548,18.2459,0.0036,1.8891,0.0135,0.6352,0.0009,67.8023,0.1162,344.0354,0.0034,344.3048,0.0027,11.4563,0.0317,17.1973,0.0020,2.5667,0.0072,0.6352,0.0009,67.8023,0.1162,344.0354,0.0034,344.3048,0.0027,11.8211,0.0441,16.7366,0.0023,3.2132,0.0100,0.6352,0.0009,67.8023,0.1162,344.0354,0.0034,344.3048,0.0027,12.2159,0.0780,16.4287,0.0036,3.9131,0.0185,0.6352,0.0009,67.8023,0.1162
1473,1473,16169,339.738883064,0.996324453,SER,0.736076635480722,343.6403,0.0010,344.0518,0.0013,13.2215,0.0241,17.7562,0.0012,2.7225,0.0054,0.6478,0.0003,-16.2111,0.0378,343.6403,0.0010,344.0518,0.0013,12.7934,0.0136,16.7432,0.0006,3.0450,0.0028,0.6478,0.0003,-16.2111,0.0378,343.6403,0.0010,344.0518,0.0013,12.3850,0.0178,16.3271,0.0010,3.3527,0.0040,0.6478,0.0003,-16.2111,0.0378,343.6403,0.0010,344.0518,0.0013,11.9428,0.0320,16.0603,0.0015,3.6858,0.0076,0.6478,0.0003,-16.2111,0.0378
1475,1475,769,120.78421424,28.312300326,SER,0.412489797172216,344.4920,0.0018,343.4873,0.0025,7.4247,0.0043,17.6928,0.0006,0.6185,0.0016,0.6218,0.0003,1.9813,0.0450,344.4920,0.0018,343.4873,0.0025,7.0383,0.0029,16.9992,0.0005,0.7583,0.0009,0.6218,0.0003,1.9813,0.0450,344.4920,0.0018,343.4873,0.0025,6.6695,0.0035,16.5723,0.0008,0.8917,0.0014,0.6218,0.0003,1.9813,0.0450,344.4920,0.0018,343.4873,0.0025,6.2704,0.0054,16.4222,0.0007,1.0360,0.0026,0.6218,0.0003,1.9813,0.0450
1476,1476,5121,155.831345965,13.14086854,SER,0.375511305091629,344.4487,0.0020,344.5325,0.0020,10.1664,0.0844,18.0358,0.0044,4.0837,0.0332,0.9201,0.0015,-83.6305,0.5930,344.4487,0.0020,344.5325,0.0020,10.2757,0.0428,16.9928,0.0022,5.3890,0.0170,0.9201,0.0015,-83.6305,0.5930,344.4487,0.0020,344.5325,0.0020,10.3799,0.0692,16.5602,0.0031,6.6345,0.0292,0.9201,0.0015,-83.6305,0.5930,344.4487,0.0020,344.5325,0.0020,10.4928,0.1296,16.2442,0.0053,7.9827,0.0542,0.9201,0.0015,-83.6305,0.5930
