Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1091,1091,12302,216.496641282,-0.598215777,SER,0.792044410149346,344.1075,0.0036,346.3573,0.0034,16.3219,0.0063,17.0090,0.0005,0.4205,0.0006,0.6249,0.0002,46.7208,0.0311,344.1075,0.0036,346.3573,0.0034,16.2057,0.0049,16.5661,0.0004,0.5147,0.0004,0.6249,0.0002,46.7208,0.0311,344.1075,0.0036,346.3573,0.0034,16.0948,0.0062,16.3786,0.0007,0.6046,0.0006,0.6249,0.0002,46.7208,0.0311,344.1075,0.0036,346.3573,0.0034,15.9748,0.0092,16.2442,0.0006,0.7019,0.0010,0.6249,0.0002,46.7208,0.0311
1092,1092,4805,238.976315907,2.654019987,SER,0.483500813296847,343.8134,0.0020,343.5086,0.0024,6.8172,0.0162,17.8867,0.0020,1.9670,0.0080,0.6990,0.0008,-22.7351,0.1039,343.8134,0.0020,343.5086,0.0024,6.8286,0.0111,16.9864,0.0013,2.0035,0.0052,0.6990,0.0008,-22.7351,0.1039,343.8134,0.0020,343.5086,0.0024,6.8395,0.0114,16.1671,0.9574,2.0383,0.0047,0.6990,0.0008,-22.7351,0.1039,343.8134,0.0020,343.5086,0.0024,6.8512,0.0169,16.3270,0.0018,2.0760,0.0071,0.6990,0.0008,-22.7351,0.1039
1093,1093,3353,176.163947127,2.918464036,REX,0.411208482239175,344.2104,0.0041,344.3159,0.0039,8.8689,0.0197,18.1328,0.0019,1.2101,0.0045,0.9348,0.0009,87.0700,0.5804,344.2104,0.0041,344.3159,0.0039,8.8577,0.0122,17.5185,0.0011,1.3386,0.0026,0.9348,0.0009,87.0700,0.5804,344.2104,0.0041,344.3159,0.0039,8.8469,0.0156,17.1495,0.0013,1.4613,0.0032,0.9348,0.0009,87.0700,0.5804,344.2104,0.0041,344.3159,0.0039,8.8353,0.0264,16.9776,0.0024,1.5940,0.0055,0.9348,0.0009,87.0700,0.5804
1094,1094,7490,221.389344836,-2.324210871,SER,0.946685688831015,344.5976,0.0018,343.3105,0.0020,12.9179,0.0042,17.1925,0.0004,0.5493,0.0006,0.7515,0.0002,42.4116,0.0401,344.5976,0.0018,343.3105,0.0020,12.5929,0.0030,16.5857,0.0003,0.6571,0.0004,0.7515,0.0002,42.4116,0.0401,344.5976,0.0018,343.3105,0.0020,12.2828,0.0036,16.3215,0.0006,0.7599,0.0005,0.7515,0.0002,42.4116,0.0401,344.5976,0.0018,343.3105,0.0020,11.9471,0.0055,16.1464,0.0004,0.8712,0.0008,0.7515,0.0002,42.4116,0.0401
1095,1095,3575,209.125732162,11.067617585,SER,0.468641896594273,343.2370,0.0049,343.8928,0.0063,10.1760,0.0145,18.0445,0.0015,0.5935,0.0027,0.7398,0.0008,-38.3417,0.1602,343.2370,0.0049,343.8928,0.0063,9.7133,0.0096,17.5413,0.0013,0.7340,0.0016,0.7398,0.0008,-38.3417,0.1602,343.2370,0.0049,343.8928,0.0063,9.2718,0.0125,17.2849,0.0014,0.8680,0.0026,0.7398,0.0008,-38.3417,0.1602,343.2370,0.0049,343.8928,0.0063,8.7939,0.0204,17.1953,0.0022,1.0131,0.0045,0.7398,0.0008,-38.3417,0.1602
1096,1096,2151,352.012327569,-9.034257696,SER,0.589207478976801,343.4481,0.0037,343.4700,0.0059,8.4304,0.0151,18.2427,0.0016,0.9459,0.0043,0.5158,0.0007,-29.6282,0.0809,343.4481,0.0037,343.4700,0.0059,8.5305,0.0105,17.7687,0.0014,1.0366,0.0028,0.5158,0.0007,-29.6282,0.0809,343.4481,0.0037,343.4700,0.0059,8.6259,0.0136,17.3611,0.0019,1.1232,0.0039,0.5158,0.0007,-29.6282,0.0809,343.4481,0.0037,343.4700,0.0059,8.7292,0.0218,17.3219,0.0019,1.2170,0.0064,0.5158,0.0007,-29.6282,0.0809
1097,1097,1763,155.424950866,6.673663328,SER,0.429304163811892,344.1824,0.0061,344.6729,0.0044,13.0976,0.0190,17.7800,0.0014,0.6960,0.0022,0.6233,0.0006,-62.4127,0.0830,344.1824,0.0061,344.6729,0.0044,13.1362,0.0129,17.3544,0.0012,0.9822,0.0014,0.6233,0.0006,-62.4127,0.0830,344.1824,0.0061,344.6729,0.0044,13.1731,0.0192,16.9884,0.0012,1.2552,0.0024,0.6233,0.0006,-62.4127,0.0830,344.1824,0.0061,344.6729,0.0044,13.2130,0.0320,16.8721,0.0019,1.5508,0.0041,0.6233,0.0006,-62.4127,0.0830
1098,1098,5702,180.466856809,2.391482865,SER,0.358086414050773,344.1639,0.0012,343.7899,0.0013,26.1174,0.2387,17.6422,0.0042,6.9526,0.0323,0.7985,0.0009,-33.5285,0.1477,344.1639,0.0012,343.7899,0.0013,24.2035,0.1437,16.8493,0.0028,6.9537,0.0197,0.7985,0.0009,-33.5285,0.1477,344.1639,0.0012,343.7899,0.0013,22.3775,0.1021,16.5281,0.0023,6.9547,0.0161,0.7985,0.0009,-33.5285,0.1477,344.1639,0.0012,343.7899,0.0013,20.4008,0.1620,16.3553,0.0035,6.9558,0.0257,0.7985,0.0009,-33.5285,0.1477
1100,1100,109,238.229053566,9.332412783,SER,0.570546408383916,344.6075,0.0042,344.1712,0.0024,13.0094,0.0317,17.9988,0.0019,1.4567,0.0057,0.4283,0.0004,63.6837,0.0435,344.6075,0.0042,344.1712,0.0024,12.8103,0.0203,17.0923,0.0011,1.7022,0.0033,0.4283,0.0004,63.6837,0.0435,344.6075,0.0042,344.1712,0.0024,12.6204,0.0239,16.7102,0.0015,1.9365,0.0040,0.4283,0.0004,63.6837,0.0435,344.6075,0.0042,344.1712,0.0024,12.4147,0.0393,16.4179,0.0020,2.1901,0.0071,0.4283,0.0004,63.6837,0.0435
1101,1101,3037,127.175844216,8.007663978,SER,0.855724660085105,345.3871,0.0063,344.1906,0.0072,11.9487,0.0216,17.5105,0.0017,0.6929,0.0031,0.8382,0.0007,-3.8657,0.2339,345.3871,0.0063,344.1906,0.0072,11.7217,0.0142,16.9344,0.0013,0.8615,0.0020,0.8382,0.0007,-3.8657,0.2339,345.3871,0.0063,344.1906,0.0072,11.5051,0.0163,16.6451,0.0010,1.0223,0.0025,0.8382,0.0007,-3.8657,0.2339,345.3871,0.0063,344.1906,0.0072,11.2707,0.0261,16.4874,0.0020,1.1963,0.0043,0.8382,0.0007,-3.8657,0.2339
