GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group,brickid,brickname,objid,type,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Gal,zmemb,gmemb,FUV,NUV
821r,326.1719617463169,-20.08129263589422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,192,218644,3261m200,2822,PSF,0.033583023,77.93992,0.0,38.51524,0.0,1.9265738,0.0,1.6839142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7706,Infinity,18.53592,Infinity,21.105753,20.647907,17.902119,,Infinity,Infinity,,Infinity,326.172,-20.0813056,3,0.0,,16.7661,17.0661
822r,326.1570554223741,-20.08604928511306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,192,218644,3261m200,2563,SER,0.033544462,134.04836,0.0,375.59973,0.0,1.9265738,0.0,1.6839142,0.0,1.9292576,49626.664,3.6190736,61896.53,-0.18629281,1455355.1,0.028744182,778042.1,17.181847,Infinity,16.063187,Infinity,16.157316,16.61042,15.266254,,Infinity,Infinity,,Infinity,326.157,-20.086,1,0.0,,19.783,19.1745
595r,161.0694625061107,2.7877717271560147,5000.0,0.0166666666666666,,4.675190050706634,10.742024572996844,21.63923495804655,805.4668571130298,806.5722604193738,26.62740333285482,28.158411497184613,12.354402825018855,12.978943516542175,0.5584270227834055,-2.003769082163916,0.1928257367174506,-0.0526811498652128,0.4698568880558014,3.327213162291592,0.0249883544264035,0.0170773390878869,5.151983513652E-4,0.0,0.009544013821813,-0.0231019923468806,0.2716498856168066,0.4148265800987183,12.093914852706735,1.714092510887682,319.9990145718597,320.0020277977641,0.1306363981676015,2.3896776467576117,0.0,0.0,0.27,0.3462954865095246,1.261455,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,9024.0,17.1,526.4,0.0,3.0,0.02304,0.0032899999059736,7.0,0.0,3.0,50.0,4.0,7.0,23.5,0.0,0.0,0.0,0.0,91,346852,1611p027,1461,SER,0.037806675,503.0313,902.6676,1186.0015,1396.8788,1.6405295,1.261455,1.5940684,1.1883435,2.802125,432608.16,3.511116,1096679.5,-0.013046716,1.958946E7,0.098543614,3.1935888E7,15.746013,15.11118,14.814787,14.637103,15.103173,15.645315,14.774739,14.010119,0.6348324,0.2963934,0.47407722,0.17768383,161.0696667,2.7880833,1,0.022068,,18.7937,18.1974
596r,161.08898876317193,2.793169623465147,5000.0,0.0166666666666666,,9.963605693845992,23.320532712316563,48.29372522516864,867.4688066261267,865.7184859484333,62.84087782990887,78.03927685635641,23.53921011676673,40.07671035554068,0.5600074775253869,-1.802014415437754,0.0608330036490292,-0.0230726009957148,0.3443697392940521,3.4273708731997807,0.1697770476712146,0.1147672414045565,0.2229199372056514,0.1550287867774731,0.0773607372082551,0.2748836997765547,0.3966465013088235,0.2829626508736557,36.15763169257767,0.5194073915306916,315.60896985950376,317.2944830278068,0.7455436434057634,0.6077689159626964,0.0,0.0,0.27,0.3462954865095246,1.2663321,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,7608.0,17.3,440.4,0.0,3.0,0.05001,0.003220000071451,15.5,0.0,3.0,50.0,5.2,15.5,53.4,0.0,0.0,0.0,0.0,91,346852,1611p027,1951,SER,0.037751343,512.48267,1050.6989,1549.0005,1994.16,1.6405295,1.2663321,1.5940684,1.1883435,0.9159134,3012363.8,11.263324,277985.47,-0.22520585,8.8946944E7,-0.6440371,1.4639254E8,15.725802,14.946304,14.524871,14.2506,14.079074,14.443084,12.443726,11.845937,0.7794981,0.42143345,0.69570446,0.274271,161.0893333,2.7936389,4,0.021862,,18.4175,18.0141
597r,161.08378434082783,2.805498769072313,5000.0,0.0166666666666666,,1.8962358222619256,3.564474099747468,6.198642070300432,164.30099697735102,164.20093128968432,7.62083188340818,8.578538875376019,4.245920826566754,4.76641869591787,0.4434810685415785,-1.6223715531665623,-0.6404652243747586,-0.1134633880339894,0.8757542371749878,2.5720210641042422,0.0243951784037145,0.0,0.0,0.0,0.0584802798100041,0.0487195169715564,0.2646484158952625,0.4158533918755847,5.187349768392813,2.5291106495048736,320.0025484374857,319.9956874681657,0.0158913820418061,0.014134289673533,1.0,0.0,0.27,0.3462954865095246,1.2663321,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1527.0,17.3,88.4,0.0,3.0,0.02359,0.003169999923557,7.4,0.0,3.0,50.0,4.1,7.4,24.7,0.0,0.0,0.0,0.0,91,346852,1611p027,1837,SER,0.037757788,163.69461,238.5676,306.96606,353.33636,1.6405295,1.2663321,1.5940684,1.1883435,6.0,5228.1323,0.8918033,1583280.4,0.0033641332,2479337.8,0.014383497,3326212.5,16.964914,16.555971,16.282274,16.12953,14.146346,13.663984,12.132102,10.447442,0.40894318,0.2736969,0.4264412,0.1527443,161.0840833,2.8059167,3,0.101,,18.9757,18.346
598r,161.07442122211097,2.8014196243949083,5000.0,0.0166666666666666,,4.369899657963926,8.591219795738214,15.4544126070239,192.88398122216364,206.3202772153213,18.74430027958658,33.71652998936622,10.56250919565142,18.77294938673249,0.5525403370592412,-1.824387322904253,0.0393750832158916,-0.0335749041950423,0.3067130744457245,2.7429051911319573,0.1290871787456782,0.0309244824575591,0.0081521739130434,0.0148464015468289,0.0304608578732244,0.2009048356407857,0.8073546789935074,0.2461910079542087,8.98807528106896,0.9056511854787972,320.11703926946814,319.6152067730323,0.2679697423171744,1.2783395999941016,0.0,0.0,0.27,0.3462954865095246,1.2663321,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,3041.0,17.3,176.0,0.0,3.0,0.02465,0.0031900000758469,7.7,0.0,3.0,50.0,4.2,7.7,23.1,0.0,0.0,0.0,0.0,91,346852,1611p027,5456,DUP,0.037762705,0.0,0.0,0.0,0.0,1.6405295,1.2663321,1.5940684,1.1883435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,161.0745417,2.8017222,2,0.02192,,19.1449,18.6069
710r,356.1180250548215,-26.03973882423549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,222,186878,3562m260,106,SER,0.022598801,330.1182,0.0,628.61505,761.50824,1.6931508,0.0,1.7312654,1.1587522,0.5,760460.0,6.547456,2222983.2,0.3251217,1.3465583E7,-0.015285232,7693912.5,16.203327,Infinity,15.504038,15.295814,15.811991,16.33653,14.647898,14.177402,Infinity,Infinity,Infinity,0.2082243,356.118,-26.0396111,4,0.0473,,18.217,17.6603
711r,356.097101122869,-26.03414898592299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,222,186877,3559m260,3546,SER,0.022182597,40.89665,0.0,67.719696,76.64525,1.7421136,0.0,1.6247891,1.0047828,0.5585989,17587.746,1.9838734,53509.168,0.29573774,231111.05,-0.40322205,254853.03,18.470781,Infinity,17.923212,17.788788,18.191296,18.698053,17.186281,15.443565,Infinity,Infinity,Infinity,0.13442421,356.097,-26.034,3,0.0656,,19.9911,20.0298
712r,356.0772525732302,-26.03991579791621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,222,186877,3559m260,3286,SER,0.021982241,71.12358,0.0,117.44204,130.0016,1.6992716,0.0,1.6342014,1.1492904,0.751534,43052.863,2.4388328,104395.21,0.34889305,896512.5,0.32776898,896309.56,17.869967,Infinity,17.325441,17.215128,17.579746,18.125463,17.157858,13.972567,Infinity,Infinity,Infinity,0.11031342,356.077,-26.0398889,1,0.0653,,19.9799,19.2916
713r,356.079974460215,-26.01726180005255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,222,186877,3559m260,3714,DUP,0.021779247,0.0,0.0,0.0,0.0,1.6992716,0.0,1.6342014,1.1492904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,356.08,-26.017,2,0.064852,,18.6487,18.0912
