GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
241r,137.16146566994553,30.88933194571617,5000.0,0.0166666666666666,,3.996778976458047,7.305655020801906,11.416229766096462,112.86707157152053,113.14066414638869,14.380123341132045,16.584933974042126,7.376021564182502,8.396705995281662,0.4187673255457206,-1.600572982387554,-0.7779046617541079,-0.1348999922616065,0.3705504238605499,2.279062843315661,0.1288053951913459,0.0080262776226319,0.0,0.0,0.0765475150745714,0.1152774091805,0.1650280992424043,0.2687639167161787,7.87327436774499,0.4865467336079379,320.02914113380825,319.57010956262604,0.2889366997567229,1.410830982816157,0.0,0.0,0.27,0.3462954865095246,1.2871678,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,909.0,17.8,50.9,0.0,3.0,0.06584,0.0047200000844895,13.9,0.0,3.0,50.0,4.8,13.9,43.2,0.0,0.0,0.0,0.0,77
242r,137.1679763095279,30.88975518020542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77
243r,137.16239209924888,30.878272435185465,5000.0,0.0166666666666666,,4.981666552679899,9.710502792643702,17.05229609633588,151.0964820462815,144.3880948722086,21.023296755419587,27.516984089958196,10.104877027777556,14.362410065871051,0.444665153063571,-1.6932834226920674,-0.5854620804097208,-0.1221478942212621,0.3215885162353515,2.672041052091508,0.130490288631146,0.0168275397077085,0.001727115716753,0.0,0.0712896271890921,0.2545453201747554,0.4704550953791864,0.2201612828269067,13.030861862151555,0.473028052366193,319.9046029146178,319.9877340107965,0.596912666703884,0.9023948112422217,0.0,0.0,0.27,0.3462954865095246,1.2871678,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1328.0,17.8,74.4,0.0,3.0,0.06345,0.004860000219196,13.0,0.0,3.0,50.0,5.0,13.0,35.9,0.0,0.0,0.0,0.0,77
97r,21.146052594477595,-8.19860331635958,5000.0,0.0166666666666666,,3.727525705914641,7.100394149363286,11.881179132793768,166.49044367431063,166.81534319067396,14.952778448612658,15.530028219809656,7.4695244616754595,7.773918001563863,0.458563803181961,-1.688946180718481,-0.5196694710113858,-0.1077853539697274,0.4182751476764679,2.51719448331605,0.1122632571358884,0.0023934582994825,0.0,0.0,0.0145896169319477,0.2316935691222947,0.4567390644718408,0.3445245795373563,6.809331541412657,0.7759292408218005,319.82818959488486,320.00927877726207,0.0885941195701242,0.8619711675054269,0.0,0.0,0.27,0.3462954865095246,1.2447195,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1224.0,16.7,73.3,0.0,3.0,0.05584,0.0054600001312792,10.2,0.0,3.0,50.0,4.0,10.2,36.0,0.0,0.0,0.0,0.0,30
98r,21.16581000715501,-8.195985636078218,5000.0,0.0166666666666666,,3.937287927693039,11.227156108647678,20.53755703027186,308.2737674801164,308.1992777847266,25.96143612880504,27.72857398080781,11.412620070797423,12.20684927376422,0.4800032654793984,-2.19106084917783,-0.0655786673967417,-0.156354225211114,0.3265471458435058,3.586758036005535,0.056981381015061,0.02197036405567,0.035450516986706,0.0732676682208875,0.0148658218894915,0.0677548052689882,0.2569490512038994,0.2556655693494256,9.34620422248996,1.2627962384943483,319.87233929066707,319.8656421645156,0.1689711211167947,0.1854593240057158,0.0,0.0,0.27,0.3462954865095246,1.2447195,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2781.0,16.7,166.6,0.0,3.0,0.07252,0.004240000154823,17.1,0.0,3.0,50.0,5.4,17.1,27.2,0.0,0.0,0.0,0.0,30
99r,21.15684458781643,-8.174046923720779,5000.0,0.0166666666666666,,7.545210540389896,15.058720831658295,24.729966412384805,139.3696900340704,139.2362241137353,32.06867422677205,35.552455203731014,15.052292787046689,16.913870582462202,0.4560131056212578,-1.780320006120779,-0.4689733629330739,-0.1230115062857429,0.1853941679000854,2.577760818735291,-0.044818889150089,-0.0186698130386055,0.006372809346787,0.0195949634457101,0.0185388513587058,-0.0647304983081375,0.2450173364649605,0.0729491906919602,15.080909623011898,0.5418726255239668,319.92137283882084,319.34641600182107,0.2348212857385931,2.685411309112002,0.0,0.0,0.27,0.3462954865095246,1.2686931,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2650.0,17.3,152.8,0.0,3.0,0.03247,0.004420000128448,7.3,0.0,3.0,50.0,4.2,7.3,15.7,0.0,0.0,0.0,0.0,30
100r,21.174607458997688,-8.181449904053954,5000.0,0.0166666666666666,,7.043234422073193,14.936652380257804,26.211696284520603,446.439775423282,447.34248878056894,34.11682750824762,37.861700057769056,15.929298187235377,17.349587589191852,0.5080517721199577,-1.8846848248039272,-0.1390571444170878,-0.0859999362489877,0.2902962565422058,2.8536149187408446,0.1237342733805467,0.0236303989232242,0.0074906367041198,0.0223794706789602,0.0055516853835656,0.3225043544010081,0.3958637768580008,0.2000162998301156,15.038684449667958,0.7520944167050838,320.22361540511184,319.7864220002767,0.1795481013758875,0.8548760567822093,1.0,0.0,0.27,0.3462954865095246,1.2686931,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,4814.0,17.3,277.6,0.0,3.0,0.04096,0.0041200001724064,9.9,0.0,3.0,50.0,4.7,9.9,29.7,0.0,0.0,0.0,0.0,30
518r,330.6317340690339,-22.89040133693549,5000.0,0.0166666666666666,,4.883687096013884,14.781451895207391,26.457723377408243,368.8137728139744,367.0177709296897,31.494639850186974,35.823586852787955,16.04028192220031,18.598262791053088,0.5271715600095341,-1.9042260415389507,-0.0308721311663129,-0.0697875753644753,0.2974370419979095,3.6690232055416327,0.0680306729055657,0.0282058926917531,0.0408163265306122,0.2481120423467137,0.0849655990642559,0.2434529756728109,0.2743408132449472,0.1385179109419814,16.79171915869851,1.0442243690889894,320.1570150026017,319.8145649867112,0.332087512187518,2.939866450723188,2.0,0.0,0.27,0.3462954865095246,1.2787747,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,8790.0,17.6,498.9,0.0,3.0,0.00993,0.0012600000482052,7.9,0.0,3.0,50.0,4.6,7.9,42.7,0.0,0.0,0.0,0.0,195
519r,330.6068915055159,-22.886430118370463,5000.0,0.0166666666666666,,4.327684481668764,9.362124437706736,17.479266337315032,482.2471765143682,482.27571997081634,21.989838086842088,24.258607183728408,10.317015091070209,11.177471630499834,0.5283831639366932,-1.906243381687332,-0.0234766750040478,-0.0688684977572129,0.4614685177803039,3.031338048712142,0.0474299686188796,0.003842845720648,0.0,0.0,0.0187099072611568,0.0967496304705375,0.4019433722146509,0.4141412597015816,10.556222926776991,1.36878564752136,319.9104775958273,320.30090481157407,0.2459271877178483,2.199638339154634,0.0,0.0,0.27,0.3462954865095246,1.2787747,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,6332.0,17.6,359.4,0.0,3.0,0.013,0.0012600000482052,10.3,0.0,3.0,50.0,4.5,10.3,57.0,0.0,0.0,0.0,0.0,195
520r,330.61049712790646,-22.89917473112445,5000.0,0.0166666666666666,,1.5,1.5,1.5,0.0810397962653412,0.0,1.0,1.0,8.815797894659413,10.86212670408899,0.1060116741524486,-0.9654747904199794,-2.766168183184334,-0.356249438457453,0.7235338687896729,0.0,-0.0262365327884144,-99.0,1.0,0.0,0.1437186475767489,-0.0641155143651511,1.0219538915768709,0.5720729406649252,7.002869575643127,1.0986959432467738,325.4447474116858,327.9843348852633,0.3544352354943022,0.8977587946893784,2.0,0.0,0.27,0.3462954865095246,1.2787747,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1009.0,17.6,57.3,0.0,3.0,0.01293,0.0012799999676644,10.1,0.0,3.0,50.0,4.6,10.1,42.3,0.0,0.0,0.0,0.0,195
