GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
649r,330.1993615954723,-42.8156728788711,5000.0,0.0166666666666666,,5.902552200088969,10.86863257817513,17.723694569138704,29.68091513994389,29.40661005211075,21.85101307842781,24.400438413112724,11.230263147751726,12.632952741847024,0.4841771403465761,-1.2857566105746978,-0.6722938241561822,-0.0263847999267726,0.1253259629011154,2.3875721037537465,0.1876173499589113,-0.0028146163452021,0.7692307692307693,0.8174811829618729,0.3846852378543158,0.1263551363323512,0.1852022027658527,0.0267171361596023,12.193108202110384,0.6634102207756561,321.18859607895774,313.4286080431306,0.4045013490377892,1.7812028427421815,0.0,0.0,0.27,0.3462954865095246,1.2575363,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1119.0,17.0,65.7,0.0,3.0,0.01462,0.0022499999031424,6.5,0.0,3.0,50.0,4.0,6.5,14.8,0.0,0.0,0.0,0.0,194
650r,330.16832295066064,-42.81858602182859,5000.0,0.0166666666666666,,4.0368362000690965,8.993597756840833,18.171388116556056,148.00397051161875,158.92902192620946,21.158198705535003,37.76431004132487,10.176809128541388,18.53379469074406,0.6703543649580903,-1.7527699610881824,0.5729236895766574,0.0930157967172519,0.2635188698768616,3.266734883663629,0.0938267081791272,0.0688970359436686,0.1268115942028985,0.1079606080540482,0.1641372339790953,0.4724937576388271,0.4627994200744083,0.2201592769862765,15.334347216443868,0.7893320728936787,319.2801073605367,319.40364642722807,0.6541723271387183,0.561025118335187,0.0,0.0,0.27,0.3462954865095246,1.359375,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2362.0,19.9,118.6,0.0,3.0,0.02088,0.0021599999163299,9.7,0.0,3.0,50.0,4.3,9.7,33.1,0.0,0.0,0.0,0.0,194
651r,330.1806471721393,-42.821443778346016,5000.0,0.0166666666666666,,3.53836248345728,7.76281687622844,13.598224991784155,456.0578356510944,456.0580258084592,17.416090288751292,19.385611710716827,7.922015808829689,8.804747128935492,0.4912187290947217,-1.880099276912529,-0.2255584920807445,-0.102027257687067,0.5933412313461304,2.923399504713683,0.1086810501204656,0.0328013783440808,0.0,0.0,0.0263395072954457,0.1251993212245955,0.1978026337027451,0.728214608685794,8.143592215511145,0.8933409880647356,319.59314101796303,319.7081357527661,0.2159444271880169,1.219315226194983,0.0,0.0,0.27,0.3462954865095246,1.3723443,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2486.0,20.3,122.5,0.0,3.0,0.04774,0.0021899999119341,21.8,0.0,3.0,50.0,5.6,21.8,112.5,0.0,0.0,0.0,0.0,194
652r,330.21142131600124,-42.82836480810965,5000.0,0.0166666666666666,,8.297392380113497,15.555658430635,24.787836739422502,280.52864603384245,285.0040337119341,32.126862162297414,37.80707920328968,15.630931169541116,19.242172586017958,0.4103270371311373,-1.6502999186381204,-0.785223322584653,-0.1501679219308728,0.2780326902866363,2.376484994547111,0.1578019097110987,0.0270611145295725,0.0178438661710037,0.0383062119267746,0.0261133936193892,0.2406685306933721,0.1413010762342575,0.137385367684951,18.379645947346948,0.44664250584129,320.3122085454778,319.6468809734546,0.3492267314767034,2.232775070630014,0.0,0.0,0.27,0.3462954865095246,1.377093,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,4051.0,20.4,198.3,0.0,3.0,0.04068,0.0022299999836832,18.2,0.0,3.0,50.0,5.7,18.2,50.1,0.0,0.0,0.0,0.0,194
888r,12.86369912406534,-23.20874737135991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19
889r,12.87242054718038,-23.213493513441747,5000.0,0.0166666666666666,,6.724925638238626,15.06202450083778,28.83538057379172,110.39498695872716,109.59463707767613,35.53334115960296,57.98979484395962,16.04812627072714,26.99168060581723,0.5759799525276997,-1.715965258381253,0.0802646890703222,0.0047009820874284,0.1700747013092041,3.1611910061913906,0.1144594711773156,0.0370809338192388,0.0064888248017303,0.013661870944015,0.0960920638494901,0.1560393904011129,0.272149947607362,0.0851900497002411,24.476009005603945,0.624325500485658,320.23466953876425,320.163820107957,0.8020472840289405,2.1206031693689003,0.0,0.0,0.27,0.3462954865095246,1.2218797,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2638.0,16.1,164.0,0.0,3.0,0.02146,0.0021800000686198,9.9,0.0,3.0,50.0,4.6,9.9,27.9,0.0,0.0,0.0,0.0,19
890r,12.859205339406332,-23.213482161515227,5000.0,0.0166666666666666,,3.60270635729055,7.924495282342949,14.96952528306425,161.26981995896216,160.2146434174965,19.35417551219751,25.468607852797355,8.223567085383456,12.209874913012724,0.5063132308908299,-1.7920893530286583,-0.2118315854415318,-0.0748503214890619,0.4014069437980652,3.092895811109561,0.093318984223287,0.0683441589386735,0.0,0.0,0.0626840196735113,0.1140538967173277,0.2150715269547978,0.385801711046444,11.71489870664704,0.7637021683817696,319.51316309197944,320.19698419709533,0.7298330232765592,2.773630729859148,0.0,0.0,0.27,0.3462954865095246,1.2218797,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1567.0,16.1,97.4,0.0,3.0,0.03152,0.002199999988079,14.4,0.0,3.0,50.0,4.8,14.4,65.9,0.0,0.0,0.0,0.0,19
891r,12.852057440864668,-23.226582853621668,5000.0,0.0166666666666666,,5.324716914070994,11.079763665162714,17.8447290832337,69.1458238683226,68.33282128879395,22.30678062185506,25.04781991144033,11.156255966837891,13.28819816988191,0.4385278884442377,-1.7003559890601216,-0.6109402517823592,-0.1292068729195616,0.1969723105430603,2.6260671762761585,0.1230605370553844,0.0178952337233077,0.1414473684210526,0.1514508531824878,0.0337411087246979,0.0797428296341156,0.2562340759815251,0.0710358993823457,11.034933899172296,0.5493289947360623,319.5172326663369,319.7311617844207,0.2926110306031463,2.604550895645432,0.0,0.0,0.27,0.3462954865095246,1.162323,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1642.0,14.6,112.8,0.0,3.0,0.02295,0.0022599999792873,10.2,0.0,3.0,50.0,4.2,10.2,27.6,0.0,0.0,0.0,0.0,19
599r,4.658733882664886,-35.94581013806873,5000.0,0.0166666666666666,,5.0108096473490535,11.311476727520455,23.667939333465945,725.4384023476607,826.1872626469491,29.09061474824672,77.85951447528086,15.728473164106566,24.09759230821265,0.6675251881025368,-1.90589550362717,0.6650352651211859,0.0689304612173347,0.2579787671566009,3.371262712521437,0.0521118210994686,-0.0014294799087515,0.1861761426978818,0.0469319068038215,0.1513335876858649,0.2446884589134611,0.3707277776765991,0.3177935295136086,16.02041611773265,1.7163272776630791,320.164403444747,320.1462435147413,0.4193555632670953,1.0488014766108142,0.0,0.0,0.27,0.3462954865095246,1.1701744,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,10920.0,14.8,740.2,0.0,3.0,0.02292,0.0021899999119341,10.5,0.0,3.0,50.0,4.7,10.5,31.8,0.0,0.0,0.0,0.0,8
600r,4.653752757098771,-35.93919097903824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
601r,4.669228642111027,-35.95487562586677,5000.0,0.0166666666666666,,3.782715116453636,7.61042027356229,13.456935595185495,36.807868260728775,36.76823522524075,17.592033329537667,21.86048442270304,7.627420476280115,10.817241621813372,0.4606386577513236,-1.6150091388606556,-0.5606373109005136,-0.0954539991278207,0.2099730670452118,2.7557126945568333,0.1451170444902945,0.0276336650040154,0.0165745856353591,0.0,0.0510024767964895,0.1949697498945826,0.1817866311696933,0.1095143951360624,9.938557002485153,0.5239106095179114,320.4199559311173,320.446328657962,0.6650652100401716,0.6938611885419825,0.0,0.0,0.27,0.3462954865095246,1.3598028,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,787.0,19.9,39.5,0.0,3.0,0.02479,0.0022700000554323,10.9,0.0,3.0,50.0,4.5,10.9,31.2,0.0,0.0,0.0,0.0,8
602r,4.66853487343448,-35.97068081740919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
718r,79.12807820467394,-48.5423746168907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70
719r,79.1496247044427,-48.551522266250814,5000.0,0.0166666666666666,,6.493635250892776,14.673577278429772,26.74114564818239,260.8621043690921,261.1806557825772,33.07857566906736,46.51739014618867,14.968497439934636,18.3664166755484,0.5558624525479164,-1.982473398566656,0.165373205318879,-0.0522599743783279,0.2088454067707061,3.073460594440119,0.1974710906263299,0.0213700705926149,0.0356176735798016,0.0389441181411675,0.0194381801766634,0.3068266180405652,0.3170611257790343,0.1282826730510542,16.92992250677881,0.9140950481793152,319.87131665285926,320.1836578409609,0.4577585045125014,1.6956187427683334,1.0,0.0,0.27,0.3462954865095246,1.3459843,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,5214.0,19.5,267.1,0.0,3.0,0.02204,0.0019900000188499,11.1,0.0,3.0,50.0,5.4,11.1,31.3,0.0,0.0,0.0,0.0,70
720r,79.10193627971667,-48.56268838680912,5000.0,0.0166666666666666,,5.078329754444066,11.276153906040244,20.757972873197907,226.3065940827537,227.49108473727097,26.393151439216297,36.11647331781316,11.647003179216158,16.997769227152055,0.4858663934758794,-1.7185500525378266,-0.3640061658856828,-0.0848707277616372,0.3184326291084289,3.057320211491554,0.2395636161783008,0.0317667473019951,0.0,0.0,0.1499953609464531,0.3477778310184199,0.2615447884038294,0.2105557186890327,15.573781539039087,0.5851805713541576,317.8642697850338,320.93854448715814,0.588836240514074,2.8589452937112605,0.0,0.0,0.27,0.3462954865095246,1.3351278,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2792.0,19.2,145.4,0.0,3.0,0.0347,0.002030000090599,17.1,0.0,3.0,50.0,5.4,17.1,59.0,0.0,0.0,0.0,0.0,70
721r,79.11567674142303,-48.56399765351082,5000.0,0.0166666666666666,,4.9813632655301,11.650302730413047,20.46516665177904,110.42586945141542,108.92584018149604,26.45502234536353,31.878489550517564,11.687041867669237,16.798159894197948,0.52626879856222,-1.88787428062478,-0.0466725706440387,-0.0684084144302467,0.2401344031095504,3.068335358801573,0.1899405450682225,0.0535963044200723,0.1263940520446096,0.2005648332471669,0.0568107358168086,0.2177017630751868,0.3421715199012768,0.1535481601899677,13.79610586869497,0.5277994021071185,320.18688369101415,320.22519083099,0.5606900775941637,0.121425132621223,0.0,0.0,0.27,0.3462954865095246,1.3351278,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1885.0,19.2,98.2,0.0,3.0,0.02981,0.0020399999339133,14.6,0.0,3.0,50.0,5.3,14.6,39.7,0.0,0.0,0.0,0.0,70
157r,43.45404572700763,-41.95604395423285,5000.0,0.0166666666666666,,7.66922610937964,13.20296627269962,20.133218425258605,52.53570239762889,52.56629788129168,25.28185885819632,30.097759460519494,13.263673929765734,14.923018942770058,0.4629400653983858,-1.3235435180586583,-0.7512310182633404,-0.0526618842657516,0.1359358131885528,2.095808315479156,0.1974163160112296,-0.0089403949069002,0.1289198606271777,0.2385739844214975,0.3235397062789909,0.0429449882379704,0.4431591702748028,0.0382954215261176,13.567870879073476,0.2814018609620663,322.6157632567697,319.00909883841103,0.2075727932921313,1.1815710112547309,0.0,0.0,0.27,0.3462954865095246,1.252606,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1853.0,16.9,109.6,0.0,3.0,0.01995,0.0021500000730156,9.3,0.0,3.0,50.0,4.4,9.3,19.6,0.0,0.0,0.0,0.0,47
158r,43.45329246541127,-41.9665135282431,5000.0,0.0166666666666666,,4.615991839599909,8.584754190272642,12.94118246393449,31.13981820843956,31.33169423258552,16.173848932045463,17.536126396526697,8.572157691374043,9.086769427499284,0.4227606375743105,-1.5403047017769342,-0.7999036856757478,-0.1225693223484265,0.1696337610483169,2.2385446409811616,0.1584784361558515,0.0428402722357276,0.0769230769230769,0.2019105193816575,0.0413839435570878,0.1892189005536785,0.2269560840349299,0.0546671959822309,8.307683192964449,0.4092885861408308,319.9607763410191,319.6960179176182,0.1487952150622667,0.6273786113668839,0.0,0.0,0.27,0.3462954865095246,1.1813755,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,912.0,15.0,60.7,0.0,3.0,0.0217,0.0021500000730156,10.1,0.0,3.0,50.0,4.6,10.1,24.5,0.0,0.0,0.0,0.0,47
159r,43.43167726594009,-41.97725626244232,5000.0,0.0166666666666666,,4.720894887055785,8.464737451374198,13.24916317617332,88.13227522210026,88.05336830372121,16.93829055344318,19.924077650515127,8.564520742064044,10.361230704424877,0.4138563538540935,-1.4883129434394105,-0.8800101786187255,-0.1241577088225254,0.2872991859912872,2.240820590562548,0.2127636559203161,0.0269588832407283,0.008130081300813,0.0,0.156411420768084,0.1601275621151953,0.1921041491414453,0.1508397105484898,9.889713363276131,0.4577708031293919,319.92289465398113,319.5784509706385,0.3569824003132855,0.7038344016832973,0.0,0.0,0.27,0.3462954865095246,1.2533303,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1300.0,16.9,76.8,0.0,3.0,0.0329,0.0021500000730156,15.3,0.0,3.0,50.0,5.0,15.3,56.1,0.0,0.0,0.0,0.0,47
160r,43.46525833118452,-41.97950524525128,5000.0,0.0166666666666666,,5.929001988911889,12.028461188787904,19.194271247555868,194.8409537786041,194.1498821439716,23.897212293430016,25.11415116380832,12.274150561270003,13.162732989972609,0.5592066482993693,-1.7379293017394466,0.0124579151873143,-0.0149575911254075,0.2947545349597931,2.550950158982172,0.2039843634266084,0.0283621272659923,0.0008795074758135,0.0677787841767579,0.1365321924091802,0.2022242592653083,0.3006357189252592,0.1918991138985814,11.227508220651284,0.6963370430370243,318.4986570287215,319.83844346219826,0.1808797564433008,1.6485983613528628,0.0,0.0,0.27,0.3462954865095246,1.2747599,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2898.0,17.5,165.5,0.0,3.0,0.0229,0.002210000064224,10.4,0.0,3.0,50.0,4.7,10.4,42.0,0.0,0.0,0.0,0.0,47
352r,69.26531789541139,-46.70666812720732,5000.0,0.0166666666666666,,5.362521280337115,10.495216163127484,17.286885701018036,182.91869028867157,182.98582542849965,22.00268644456797,23.9751944765807,10.568569700794631,11.528224997126774,0.4565465159272047,-1.7562718757560891,-0.482998336261367,-0.1191407399621637,0.3038630485534668,2.541738659358883,0.0961379709717239,0.0026119602004767,0.0043763676148796,0.0,0.0188636150494834,0.1607771333646829,0.2228780712704755,0.178590546985697,10.737590621517066,0.6294460195398981,319.97301125257803,320.14179404703333,0.1453980122002041,1.9321940109018725,0.0,0.0,0.27,0.3462954865095246,1.2157111,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2517.0,15.9,158.1,0.0,3.0,0.03275,0.0022899999748915,14.3,0.0,3.0,50.0,5.3,14.3,49.4,0.0,0.0,0.0,0.0,236
353r,69.31891294968393,-46.68419160802532,5000.0,0.0166666666666666,,9.477023797657758,23.736445225558967,36.78152190975109,577.3295913582439,576.8096604048205,48.0630806499467,61.45882784063548,23.87585727438812,33.817895826461225,0.6005187476593075,-1.625711797087472,0.1391860762951902,0.0415396203875557,0.3202763497829437,2.9447886195324124,0.0111362333097319,0.0912787621176525,0.3376623376623376,0.5129116260439387,0.1449729941203436,0.3310821641675932,0.1506537574024591,0.3685084405583622,25.01457534958294,0.6121125416323329,319.8274901920844,319.85155841270773,0.6193042857438488,0.0838365825651305,1.0,0.0,0.27,0.3462954865095246,1.2901754,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,6036.0,17.9,336.6,0.0,3.0,0.03819,0.0023199999704957,16.5,0.0,3.0,50.0,5.6,16.5,60.4,0.0,0.0,0.0,0.0,236
354r,69.29654182797566,-46.6852071748319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,236
355r,69.27607452565722,-46.69788901818804,5000.0,0.0166666666666666,,6.227926971436387,12.503949834413024,20.54728778151489,95.44778315430882,94.79020370382035,26.35916196665401,34.38357607391023,13.243838727379618,17.99943542416245,0.4462323406921803,-1.7129513263442586,-0.5640746444171363,-0.1233302170765934,0.190709963440895,2.5920549611200947,0.0891496453761103,0.013946951493144,0.0043706293706293,0.0464267326088912,0.0225426730585039,0.2257062470594867,0.4270082032249552,0.0667067786622771,16.321628198411155,0.432382408016348,319.6269940987059,319.5998425282079,0.4864337469567029,1.0082491140086909,0.0,0.0,0.27,0.3462954865095246,1.2157111,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2186.0,15.9,137.3,0.0,3.0,0.02701,0.0022199999075382,12.2,0.0,3.0,50.0,5.4,12.2,27.1,0.0,0.0,0.0,0.0,236
356r,69.3140319425446,-46.67005486859868,5000.0,0.0166666666666666,,4.40692012951879,8.796162808837295,15.49189806171227,109.955073468742,110.01021967146228,19.823640792675008,23.560865357583705,8.97113916292993,10.584874933263864,0.4923937521217874,-1.7921122668015808,-0.2807171261036565,-0.0886337904848502,0.2566955685615539,2.729847255698752,0.1124967688760961,0.0357693931197354,0.0039138943248532,0.0,0.0238786482595742,0.1942316602779388,0.2224283841220731,0.1542651807750802,9.52080989505456,0.7610320943075188,320.2977822046944,319.99129032949287,0.3207043347236795,2.2262681622757903,0.0,0.0,0.27,0.3462954865095246,1.3362054,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1743.0,19.2,90.6,0.0,3.0,0.02994,0.0023399998899549,12.8,0.0,3.0,50.0,4.8,12.8,35.9,0.0,0.0,0.0,0.0,236
332r,353.16590573434524,-13.224148884648942,5000.0,0.0166666666666666,,4.519347990909107,9.251358586797108,17.328584711988018,47.07084194627774,43.842655704594605,22.65856851071728,26.05777987468537,9.21072025581318,12.103649974532486,0.4962923171214802,-1.751901491438892,-0.2892852966815207,-0.0791849133597406,0.1815242320299148,2.918436551823791,0.1396085895821506,-0.0399441119502696,0.0061475409836065,0.0,0.0680395335732003,0.1364311355839242,0.2759633638436223,0.0834363887097373,10.796549901258803,0.6026272359158017,317.3543087166211,311.8677266198739,0.6066367402752564,1.44593346207322,0.0,0.0,0.27,0.3462954865095246,1.2417219,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,779.0,16.6,46.9,0.0,3.0,0.0303,0.0043700002133846,6.9,0.0,3.0,50.0,3.8,6.9,18.2,0.0,0.0,0.0,0.0,217
333r,353.1807853975876,-13.18971886242569,5000.0,0.0166666666666666,,4.14178252344994,9.357318226188031,16.395123872445403,67.0325027828718,66.34028263702069,21.61570561949307,25.36429254587436,9.331999276221168,11.795112360034532,0.5043695597043993,-1.805032839643927,-0.2124829215899817,-0.0785737006031505,0.2011869251728058,2.9876370553331224,0.1475093672348081,0.0301592374463992,0.0089955022488755,0.0,0.0188229649840729,0.2265426413277831,0.23292672337829,0.0966937277956603,9.986022650363886,0.7756382652009851,319.89263944956025,319.861076459659,0.4793879823032674,0.3750502766912221,1.0,0.0,0.27,0.3462954865095246,1.1351678,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1145.0,13.9,82.5,0.0,3.0,0.03089,0.0041000000201165,7.5,0.0,3.0,50.0,4.1,7.5,17.1,0.0,0.0,0.0,0.0,217
334r,353.1755321664247,-13.200692420931096,5000.0,0.0166666666666666,,1.5,1.5,1.5,0.0,0.0,1.0,1.0,12.843554491615476,13.828223494472166,0.1692635706886992,-1.431236475603569,-2.130298447497666,-0.3583709351270839,0.3558894991874695,0.0,-0.0154063056688779,-99.0,0.0985915492957746,0.1700313731832178,0.3296971715036231,-0.2808369766424377,0.4746346295726872,0.1091905574707473,9.307426835316068,0.5722365715891348,329.5955193635134,318.62302993964363,0.1540364186767244,1.0895112718115434,2.0,0.0,0.27,0.3462954865095246,1.0574812,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1383.0,12.0,114.8,0.0,3.0,0.02867,0.004139999859035,6.9,0.0,3.0,50.0,3.9,6.9,17.2,0.0,0.0,0.0,0.0,217
