Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
60,4,8577,55.63225419210978,-41.14952251705099,SER,1.24389571993059,543.1362,0.0172,761.8956,0.0042,23.4074,0.0219,17.9773,0.0011,0.3215,0.0018,0.1948,0.0002,-76.1876,0.0159,543.1362,0.0172,761.8956,0.0042,23.2410,0.0168,17.5627,0.0008,0.4136,0.0011,0.1948,0.0002,-76.1876,0.0159,543.1362,0.0172,761.8956,0.0042,23.0822,0.0271,17.4021,0.0015,0.5014,0.0021,0.1948,0.0002,-76.1876,0.0159,543.1362,0.0172,761.8956,0.0042,22.9104,0.0439,17.2894,0.0023,0.5965,0.0037,0.1948,0.0002,-76.1876,0.0159
60,1,7924,55.61115773427836,-41.1554598853192,REX,1.24389571993059,760.2231,0.0070,679.8684,0.0077,8.0804,0.0216,18.7131,0.0023,0.8793,0.0046,0.8892,0.0016,28.5375,0.6319,760.2231,0.0070,679.8684,0.0077,8.0385,0.0191,18.3802,0.0022,1.0846,0.0041,0.8892,0.0016,28.5375,0.6319,760.2231,0.0070,679.8684,0.0077,7.9986,0.0338,18.2773,0.0041,1.2804,0.0077,0.8892,0.0016,28.5375,0.6319,760.2231,0.0070,679.8684,0.0077,7.9554,0.0543,18.2072,0.0059,1.4924,0.0125,0.8892,0.0016,28.5375,0.6319
60,3,8183,55.61951174555693,-41.16989996658953,PSF,1.24389571993059,673.5880,0.0085,481.5341,0.0158,*0.0562*,*0.0162*,18.3328,0.0577,5.5915,1.0371,0.4656,0.0324,-75.7137,2.1179,673.5880,0.0085,481.5341,0.0158,*0.0452*,*0.0136*,18.0490,0.0689,8.0125,1.2246,0.4656,0.0324,-75.7137,2.1179,673.5880,0.0085,481.5341,0.0158,*0.0348*,*0.0115*,18.0167,0.0789,*10.3225*,*1.4564*,0.4656,0.0324,-75.7137,2.1179,673.5880,0.0085,481.5341,0.0158,*0.0236*,*0.0098*,17.9231,0.0958,*12.8230*,*1.7415*,0.4656,0.0324,-75.7137,2.1179
62,1,10483,57.72755090099398,-38.08460802995427,SER,1.22813698033942,739.7170,0.0017,488.3648,0.0012,17.8373,0.0073,16.6968,0.0003,1.0490,0.0007,0.7076,0.0002,64.7030,0.0244,739.7170,0.0017,488.3648,0.0012,17.5046,0.0045,16.0116,0.0004,1.2238,0.0004,0.7076,0.0002,64.7030,0.0244,739.7170,0.0017,488.3648,0.0012,17.1872,0.0060,15.6648,0.0003,1.3906,0.0006,0.7076,0.0002,64.7030,0.0244,739.7170,0.0017,488.3648,0.0012,16.8436,0.0103,15.4792,0.0007,1.5711,0.0010,0.7076,0.0002,64.7030,0.0244
62,4,11409,57.74170209790228,-38.09319043677665,PSF,1.22813698033942,586.4160,0.0009,370.2726,0.0009,*0.1999*,*0.0030*,17.3121,0.0004,3.1066,0.0635,0.9574,0.0051,-58.0074,3.1423,586.4160,0.0009,370.2726,0.0009,*0.1777*,*0.0021*,16.9696,0.0006,3.9614,0.0517,0.9574,0.0051,-58.0074,3.1423,586.4160,0.0009,370.2726,0.0009,*0.1565*,*0.0022*,17.2215,0.0010,4.7770,0.0714,0.9574,0.0051,-58.0074,3.1423,586.4160,0.0009,370.2726,0.0009,*0.1336*,*0.0032*,17.0782,0.0019,5.6598,0.1087,0.9574,0.0051,-58.0074,3.1423
62,2,10649,57.73011576466543,-38.06117170321892,EXP,1.22813698033942,711.9082,0.0040,810.1617,0.0077,11.0159,0.0217,18.8671,0.0015,1.0370,0.0032,0.4421,0.0005,15.1165,0.0585,711.9082,0.0040,810.1617,0.0077,11.5858,0.0238,18.7122,0.0025,1.1008,0.0032,0.4421,0.0005,15.1165,0.0585,711.9082,0.0040,810.1617,0.0077,12.1295,0.0392,18.6628,0.0024,1.1616,0.0053,0.4421,0.0005,15.1165,0.0585,711.9082,0.0040,810.1617,0.0077,12.7182,0.0596,18.6043,0.0081,1.2275,0.0081,0.4421,0.0005,15.1165,0.0585
62,3,10694,57.73095681634258,-38.04195678843559,SER,1.22813698033942,702.9158,0.0011,1074.2269,0.0018,9.1046,0.0032,17.7656,0.0004,0.4001,0.0008,0.4929,0.0001,-31.8752,0.0178,702.9158,0.0011,1074.2269,0.0018,8.6544,0.0020,17.2021,0.0006,0.5704,0.0005,0.4929,0.0001,-31.8752,0.0178,702.9158,0.0011,1074.2269,0.0018,8.2247,0.0026,16.9857,0.0003,0.7328,0.0008,0.4929,0.0001,-31.8752,0.0178,702.9158,0.0011,1074.2269,0.0018,7.7597,0.0044,16.8276,0.0012,0.9087,0.0014,0.4929,0.0001,-31.8752,0.0178
68,4,12694,73.38137624380975,-36.24073564478677,DUP,0.603717416037275,485.7218,0.0016,861.6214,0.0019,74.3136,0.5860,16.6556,0.0041,5.8999,0.0218,0.6635,0.0006,8.8054,0.0620,485.7218,0.0016,861.6214,0.0019,70.7885,0.3250,15.7823,0.0023,6.8348,0.0116,0.6635,0.0006,8.8054,0.0620,485.7218,0.0016,861.6214,0.0019,67.4251,0.3934,15.4696,0.0028,7.7268,0.0166,0.6635,0.0006,8.8054,0.0620,485.7218,0.0016,861.6214,0.0019,63.7842,0.7155,15.2893,0.0053,8.6924,0.0308,0.6635,0.0006,8.8054,0.0620
68,1,1826,73.34498265667271,-36.24702057351266,SER,0.603717416037275,889.0855,0.0070,775.5761,0.0050,16.2410,0.0928,18.6180,0.0043,1.9818,0.0132,0.6173,0.0013,-55.0050,0.1629,889.0855,0.0070,775.5761,0.0050,14.9553,0.0514,18.2496,0.0027,2.1998,0.0076,0.6173,0.0013,-55.0050,0.1629,889.0855,0.0070,775.5761,0.0050,13.7286,0.0844,18.1498,0.0047,2.4078,0.0143,0.6173,0.0013,-55.0050,0.1629,889.0855,0.0070,775.5761,0.0050,12.4007,0.1522,18.1442,0.0089,2.6329,0.0255,0.6173,0.0013,-55.0050,0.1629
68,3,2667,73.36776031033033,-36.25887232763502,SER,0.603717416037275,636.7284,0.0032,611.9177,0.0036,21.9344,0.5266,18.0686,0.0093,9.5647,0.0984,0.5235,0.0014,1.4535,0.1247,636.7284,0.0032,611.9177,0.0036,23.5083,0.3238,17.6152,0.0054,9.3538,0.0572,0.5235,0.0014,1.4535,0.1247,636.7284,0.0032,611.9177,0.0036,25.0100,0.5302,17.4010,0.0086,9.1526,0.0774,0.5235,0.0014,1.4535,0.1247,636.7284,0.0032,611.9177,0.0036,26.6355,0.9203,17.3126,0.0139,8.9347,0.1365,0.5235,0.0014,1.4535,0.1247
