Group,Gal,ID,ra,dec,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
26,4,7828,16.84741713183292,-32.8290673708472,0.793479330916477,430.8808,0.0004,765.8698,0.0008,13.6116,0.0037,15.9679,0.0002,1.2265,0.0009,0.3725,0.0001,16.5187,0.0053,430.8808,0.0004,765.8698,0.0008,12.2773,0.0024,15.0434,0.0001,1.3947,0.0006,0.3725,0.0001,16.5187,0.0053,430.8808,0.0004,765.8698,0.0008,11.0043,0.0021,14.7278,0.0001,1.5551,0.0006,0.3725,0.0001,16.5187,0.0053,430.8808,0.0004,765.8698,0.0008,9.6262,0.0033,14.4175,0.0002,1.7287,0.0010,0.3725,0.0001,16.5187,0.0053
26,3,9564,16.83293887916162,-32.8317691155815,0.793479330916477,597.5450,0.0023,728.8289,0.0020,19.4817,0.0051,16.4851,0.0003,0.5078,0.0006,0.2544,0.0001,49.8399,0.0051,597.5450,0.0023,728.8289,0.0020,19.1042,0.0032,15.7766,0.0002,0.6747,0.0004,0.2544,0.0001,49.8399,0.0051,597.5450,0.0023,728.8289,0.0020,18.7440,0.0043,15.4747,0.0003,0.8339,0.0005,0.2544,0.0001,49.8399,0.0051,597.5450,0.0023,728.8289,0.0020,18.3540,0.0073,15.1926,0.0004,1.0063,0.0009,0.2544,0.0001,49.8399,0.0051
26,1,6445,16.80270840320432,-32.83567747715625,0.793479330916477,946.9052,0.0086,674.7874,0.0092,16.5053,0.0287,17.7552,0.0016,0.9076,0.0025,0.9179,0.0007,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,16.3148,0.0209,17.2521,0.0013,1.0749,0.0018,0.9179,0.0007,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,16.1330,0.0340,17.0554,0.0020,1.2345,0.0030,0.9179,0.0007,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,15.9363,0.0559,16.9425,0.0032,1.4073,0.0051,0.9179,0.0007,6.0452,0.4959
26,2,6928,16.81804207117206,-32.8427817921172,0.793479330916477,771.6877,0.0227,576.8618,0.0145,16.8836,0.0594,18.7241,0.0031,0.9028,0.0049,0.6097,0.0012,75.4510,0.1868,771.6877,0.0227,576.8618,0.0145,16.5453,0.0470,18.4686,0.0030,0.9463,0.0036,0.6097,0.0012,75.4510,0.1868,771.6877,0.0227,576.8618,0.0145,16.2226,0.0774,18.3982,0.0052,0.9877,0.0065,0.6097,0.0012,75.4510,0.1868,771.6877,0.0227,576.8618,0.0145,15.8732,0.1251,18.3596,0.0083,1.0326,0.0108,0.6097,0.0012,75.4510,0.1868
28,4,10387,20.29108124601455,-32.04061563232854,0.617147559289692,401.5528,0.0027,856.7382,0.0040,17.4979,0.0183,17.0480,0.0009,1.2767,0.0019,0.6056,0.0003,13.1909,0.0406,401.5528,0.0027,856.7382,0.0040,17.0540,0.0110,16.5993,0.0006,1.3601,0.0011,0.6056,0.0003,13.1909,0.0406,401.5528,0.0027,856.7382,0.0040,16.6306,0.0151,16.4486,0.0008,1.4396,0.0016,0.6056,0.0003,13.1909,0.0406,401.5528,0.0027,856.7382,0.0040,16.1721,0.0262,16.3509,0.0013,1.5256,0.0028,0.6056,0.0003,13.1909,0.0406
28,3,9981,20.27815691689498,-32.0500743178396,0.617147559289692,546.6294,0.0067,726.4680,0.0029,10.0835,0.0103,18.3549,0.0009,0.5430,0.0024,0.3559,0.0003,77.5412,0.0319,546.6294,0.0067,726.4680,0.0029,10.3687,0.0077,18.0226,0.0008,0.6275,0.0013,0.3559,0.0003,77.5412,0.0319,546.6294,0.0067,726.4680,0.0029,10.6408,0.0122,17.8654,0.0014,0.7082,0.0023,0.3559,0.0003,77.5412,0.0319,546.6294,0.0067,726.4680,0.0029,10.9353,0.0198,17.8132,0.0017,0.7955,0.0042,0.3559,0.0003,77.5412,0.0319
28,2,9141,20.2526136443005,-32.05851136884929,0.617147559289692,849.7222,0.0033,610.7536,0.0021,21.0406,0.0133,16.9935,0.0006,0.8906,0.0011,0.4160,0.0001,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,20.6192,0.0080,16.3403,0.0004,1.1242,0.0006,0.4160,0.0001,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,20.2171,0.0114,16.0329,0.0006,1.3470,0.0010,0.4160,0.0001,57.5414,0.0156,849.7222,0.0033,610.7536,0.0021,19.7818,0.0198,15.8518,0.0008,1.5883,0.0017,0.4160,0.0001,57.5414,0.0156
28,1,8846,20.24462727220963,-32.06282642816967,0.617147559289692,942.5316,0.0025,551.4504,0.0057,7.8737,0.0101,18.6756,0.0011,0.6432,0.0036,0.3225,0.0004,16.7330,0.0384,942.5316,0.0025,551.4504,0.0057,8.0469,0.0083,18.4354,0.0010,0.7986,0.0021,0.3225,0.0004,16.7330,0.0384,942.5316,0.0025,551.4504,0.0057,8.2121,0.0145,18.3355,0.0017,0.9469,0.0042,0.3225,0.0004,16.7330,0.0384,942.5316,0.0025,551.4504,0.0057,8.3910,0.0234,18.3314,0.0024,1.1074,0.0074,0.3225,0.0004,16.7330,0.0384
36,1,682,26.88918569427224,-30.2617488125907,0.65056318019576,824.3058,0.0013,639.5767,0.0012,12.7935,0.0067,16.0208,0.0004,1.6745,0.0012,0.9222,0.0002,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,12.2872,0.0038,15.6788,0.0003,1.7504,0.0007,0.9222,0.0002,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,11.8041,0.0060,15.6437,0.0004,1.8229,0.0010,0.9222,0.0002,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,11.2811,0.0106,15.5605,0.0007,1.9013,0.0018,0.9222,0.0002,76.3119,0.1208
36,4,1575,26.91354851874674,-30.24911880652262,0.65056318019576,534.4253,0.0024,812.6782,0.0022,3.9111,0.0232,18.6966,0.0030,3.6666,0.0286,0.6099,0.0017,50.0805,0.1714,534.4253,0.0024,812.6782,0.0022,4.5501,0.0180,18.3956,0.0022,3.4877,0.0178,0.6099,0.0017,50.0805,0.1714,534.4253,0.0024,812.6782,0.0022,5.1599,0.0319,18.3529,0.0034,3.3170,0.0208,0.6099,0.0017,50.0805,0.1714,534.4253,0.0024,812.6782,0.0022,5.8199,0.0525,18.2158,0.0054,3.1321,0.0347,0.6099,0.0017,50.0805,0.1714
36,3,1259,26.90490354802899,-30.25425529877529,0.65056318019576,637.0379,0.0018,741.5740,0.0011,9.6617,0.0048,16.8548,0.0004,1.1510,0.0013,0.5500,0.0001,-78.1637,0.0203,637.0379,0.0018,741.5740,0.0011,9.6903,0.0029,16.3701,0.0003,1.1760,0.0008,0.5500,0.0001,-78.1637,0.0203,637.0379,0.0018,741.5740,0.0011,9.7175,0.0040,16.1937,0.0004,1.2000,0.0010,0.5500,0.0001,-78.1637,0.0203,637.0379,0.0018,741.5740,0.0011,9.7470,0.0071,16.0471,0.0006,1.2259,0.0018,0.5500,0.0001,-78.1637,0.0203
36,2,896,26.8952270149351,-30.26768591844592,0.65056318019576,751.9881,0.0022,559.5413,0.0074,11.3676,0.0119,18.4654,0.0010,0.5438,0.0030,0.1853,0.0003,-4.6428,0.0199,751.9881,0.0022,559.5413,0.0074,10.9358,0.0069,18.2479,0.0009,0.5376,0.0015,0.1853,0.0003,-4.6428,0.0199,751.9881,0.0022,559.5413,0.0074,10.5239,0.0109,18.2675,0.0013,0.5316,0.0025,0.1853,0.0003,-4.6428,0.0199,751.9881,0.0022,559.5413,0.0074,10.0779,0.0193,18.2238,0.0022,0.5251,0.0047,0.1853,0.0003,-4.6428,0.0199
39,1,10434,29.6593525435057,-33.77359425372538,0.649151824885837,787.4148,0.0026,464.8951,0.0031,9.9630,0.0148,18.2177,0.0015,0.8404,0.0029,0.7871,0.0007,26.5189,0.1394,787.4148,0.0026,464.8951,0.0031,9.7964,0.0100,17.3866,0.0009,1.4029,0.0022,0.7871,0.0007,26.5189,0.1394,787.4148,0.0026,464.8951,0.0031,9.6375,0.0167,17.0436,0.0013,1.9397,0.0040,0.7871,0.0007,26.5189,0.1394,787.4148,0.0026,464.8951,0.0031,9.4655,0.0281,16.8390,0.0020,2.5207,0.0066,0.7871,0.0007,26.5189,0.1394
39,2,10524,29.66166257692671,-33.74332914844585,0.649151824885837,760.3503,0.0013,880.6953,0.0009,8.0183,0.0027,16.5751,0.0003,0.8596,0.0009,0.6796,0.0001,-72.3657,0.0254,760.3503,0.0013,880.6953,0.0009,7.7929,0.0018,16.0864,0.0002,0.9298,0.0006,0.6796,0.0001,-72.3657,0.0254,760.3503,0.0013,880.6953,0.0009,7.5778,0.0022,15.9041,0.0003,0.9969,0.0008,0.6796,0.0001,-72.3657,0.0254,760.3503,0.0013,880.6953,0.0009,7.3450,0.0036,15.7632,0.0004,1.0694,0.0013,0.6796,0.0001,-72.3657,0.0254
39,3,10652,29.6653533612545,-33.7557267984171,0.649151824885837,719.3446,0.0049,710.8913,0.0046,14.6342,0.0105,17.7210,0.0007,0.5795,0.0017,0.2277,0.0002,-46.5804,0.0142,719.3446,0.0049,710.8913,0.0046,14.7095,0.0080,17.4986,0.0007,0.6601,0.0010,0.2277,0.0002,-46.5804,0.0142,719.3446,0.0049,710.8913,0.0046,14.7814,0.0131,17.4124,0.0010,0.7370,0.0017,0.2277,0.0002,-46.5804,0.0142,719.3446,0.0049,710.8913,0.0046,14.8592,0.0213,17.3466,0.0015,0.8203,0.0031,0.2277,0.0002,-46.5804,0.0142
39,4,11421,29.68659056847958,-33.75728046432995,0.649151824885837,476.4481,0.0011,689.1457,0.0017,5.3664,0.0052,17.8526,0.0007,1.4028,0.0034,0.4971,0.0004,22.3795,0.0381,476.4481,0.0011,689.1457,0.0017,5.4623,0.0036,17.4385,0.0005,1.6308,0.0023,0.4971,0.0004,22.3795,0.0381,476.4481,0.0011,689.1457,0.0017,5.5537,0.0057,17.2848,0.0008,1.8484,0.0034,0.4971,0.0004,22.3795,0.0381,476.4481,0.0011,689.1457,0.0017,5.6527,0.0095,17.1332,0.0012,2.0839,0.0056,0.4971,0.0004,22.3795,0.0381
40,3,1498,30.96466705372731,-31.14377393611345,0.658835898058,663.5278,0.0014,795.6321,0.0025,14.8916,0.0038,16.3151,0.0003,0.5343,0.0005,0.5162,0.0001,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,14.5148,0.0028,16.0008,0.0003,0.6172,0.0003,0.5162,0.0001,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,14.1552,0.0038,15.9150,0.0003,0.6963,0.0005,0.5162,0.0001,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,13.7660,0.0059,15.8152,0.0004,0.7820,0.0008,0.5162,0.0001,22.5412,0.0138
40,2,1257,30.95856931662525,-31.14696311824521,0.658835898058,735.8091,0.0021,751.5716,0.0052,12.0249,0.0073,17.8509,0.0006,0.4039,0.0014,0.3061,0.0002,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.0586,0.0052,17.5579,0.0006,0.4513,0.0008,0.3061,0.0002,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.0907,0.0074,17.4767,0.0008,0.4966,0.0012,0.3061,0.0002,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.1254,0.0121,17.3814,0.0011,0.5456,0.0022,0.3061,0.0002,10.3583,0.0178
40,4,1972,30.97886528617959,-31.15557516968853,0.658835898058,496.9629,0.0046,633.5986,0.0018,10.1025,0.0086,18.0682,0.0007,0.7328,0.0025,0.3051,0.0002,88.1010,0.0202,496.9629,0.0046,633.5986,0.0018,10.2225,0.0052,17.5576,0.0006,0.7903,0.0015,0.3051,0.0002,88.1010,0.0202,496.9629,0.0046,633.5986,0.0018,10.3370,0.0073,17.3656,0.0008,0.8452,0.0019,0.3051,0.0002,88.1010,0.0202,496.9629,0.0046,633.5986,0.0018,10.4609,0.0127,17.2074,0.0010,0.9047,0.0033,0.3051,0.0002,88.1010,0.0202
40,1,878,30.9478588830863,-31.16082085071439,0.658835898058,861.2564,0.0019,561.6997,0.0012,13.7588,0.0430,17.5545,0.0017,3.8465,0.0116,0.4013,0.0003,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,12.3900,0.0265,16.9423,0.0012,3.6282,0.0072,0.4013,0.0003,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,11.0841,0.0220,16.7127,0.0012,3.4199,0.0067,0.4013,0.0003,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,9.6704,0.0346,16.5946,0.0021,3.1945,0.0109,0.4013,0.0003,71.8525,0.0289
51,3,1777,47.55903036149267,-35.03027873839472,0.539473610727695,564.8054,0.0030,490.7216,0.0034,10.3129,0.0116,17.8373,0.0011,0.8383,0.0020,0.8336,0.0004,-14.3270,0.1408,564.8054,0.0030,490.7216,0.0034,10.1070,0.0065,17.2492,0.0006,1.0347,0.0011,0.8336,0.0004,-14.3270,0.1408,564.8054,0.0030,490.7216,0.0034,9.9104,0.0096,16.9524,0.0008,1.2221,0.0018,0.8336,0.0004,-14.3270,0.1408,564.8054,0.0030,490.7216,0.0034,9.6977,0.0172,16.8143,0.0016,1.4249,0.0031,0.8336,0.0004,-14.3270,0.1408
51,2,1216,47.54303848651573,-35.00839954500856,0.539473610727695,744.7097,0.0017,791.2707,0.0016,16.6344,0.0103,16.5328,0.0006,1.0685,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5831,0.0061,15.9053,0.0003,1.4907,0.0007,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5342,0.0100,15.6439,0.0005,1.8935,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.4813,0.0177,15.4584,0.0008,2.3295,0.0020,0.9310,0.0002,64.4449,0.1594
51,1,673,47.52743081502302,-35.00661751239641,0.539473610727695,920.3764,0.0058,815.7897,0.0050,3.7358,0.0271,19.7087,0.0044,2.5242,0.0388,0.6912,0.0030,-84.1167,0.4050,920.3764,0.0058,815.7897,0.0050,4.0957,0.0204,19.5214,0.0032,2.6317,0.0237,0.6912,0.0030,-84.1167,0.4050,920.3764,0.0058,815.7897,0.0050,4.4391,0.0367,19.3108,0.0050,2.7343,0.0365,0.6912,0.0030,-84.1167,0.4050,920.3764,0.0058,815.7897,0.0050,4.8108,0.0610,19.2808,0.0085,2.8454,0.0633,0.6912,0.0030,-84.1167,0.4050
51,4,1927,47.56346908968972,-35.01856114450278,0.539473610727695,514.8458,0.0039,651.5823,0.0057,9.9494,0.0113,18.4005,0.0011,0.5473,0.0023,0.6308,0.0004,-12.7634,0.0730,514.8458,0.0039,651.5823,0.0057,9.8403,0.0068,17.8257,0.0007,0.6847,0.0013,0.6308,0.0004,-12.7634,0.0730,514.8458,0.0039,651.5823,0.0057,9.7361,0.0095,17.5506,0.0009,0.8159,0.0020,0.6308,0.0004,-12.7634,0.0730,514.8458,0.0039,651.5823,0.0057,9.6234,0.0165,17.4103,0.0016,0.9579,0.0035,0.6308,0.0004,-12.7634,0.0730
52,2,3891,50.09687788879909,-40.2083288182827,0.658575574621795,695.3307,0.0010,479.0964,0.0008,19.3314,0.0791,16.7956,0.0017,5.6537,0.0143,0.5440,0.0004,54.4176,0.0307,695.3307,0.0010,479.0964,0.0008,24.2285,0.0705,15.9977,0.0012,7.2599,0.0110,0.5440,0.0004,54.4176,0.0307,695.3307,0.0010,479.0964,0.0008,28.9010,0.1251,15.5916,0.0016,8.7925,0.0164,0.5440,0.0004,54.4176,0.0307,695.3307,0.0010,479.0964,0.0008,33.9590,0.2008,15.3726,0.0020,*10.4516*,*0.0260*,0.5440,0.0004,54.4176,0.0307
52,1,3032,50.07005825693662,-40.17808928771583,0.658575574621795,976.8179,0.0030,894.7165,0.0034,0.9185,0.0097,20.1046,0.0016,0.8998,0.0732,0.5567,0.0039,88.4950,0.3678,976.8179,0.0030,894.7165,0.0034,0.7485,0.0055,19.0807,0.0016,7.2226,0.1516,0.5567,0.0039,88.4950,0.3678,976.8179,0.0030,894.7165,0.0034,0.5863,0.0035,18.1138,0.0013,*13.2555*,*0.2804*,0.5567,0.0039,88.4950,0.3678,976.8179,0.0030,894.7165,0.0034,*0.4107*,*0.0062*,17.6167,0.0027,*19.7860*,*0.4261*,0.5567,0.0039,88.4950,0.3678
52,3,10419,50.09750815067493,-40.18539789203456,0.658575574621795,689.1659,0.0021,793.1704,0.0035,14.4075,0.0133,17.5449,0.0008,0.9574,0.0017,0.4885,0.0002,-28.6083,0.0291,689.1659,0.0021,793.1704,0.0035,14.4459,0.0093,17.0193,0.0006,1.2006,0.0011,0.4885,0.0002,-28.6083,0.0291,689.1659,0.0021,793.1704,0.0035,14.4827,0.0153,16.7522,0.0009,1.4327,0.0019,0.4885,0.0002,-28.6083,0.0291,689.1659,0.0021,793.1704,0.0035,14.5224,0.0255,16.6247,0.0014,1.6839,0.0032,0.4885,0.0002,-28.6083,0.0291
52,4,4863,50.12638129450011,-40.20079277915492,0.658575574621795,385.6446,0.0234,584.0292,0.0228,12.5860,0.0668,19.2305,0.0046,0.8373,0.0073,0.9557,0.0026,-89.7191,2.8741,385.6446,0.0234,584.0292,0.0228,12.9124,0.0534,18.8750,0.0040,1.0031,0.0055,0.9557,0.0026,-89.7191,2.8741,385.6446,0.0234,584.0292,0.0228,13.2238,0.0885,18.6762,0.0059,1.1614,0.0097,0.9557,0.0026,-89.7191,2.8741,385.6446,0.0234,584.0292,0.0228,13.5608,0.1429,18.5755,0.0103,1.3327,0.0160,0.9557,0.0026,-89.7191,2.8741
55,2,8260,53.26270992841383,-47.67381086448842,0.551987423672432,700.3046,0.0070,547.0180,0.0066,12.7095,0.0143,17.7354,0.0013,0.5138,0.0019,0.9449,0.0007,65.2521,0.5808,700.3046,0.0070,547.0180,0.0066,12.4351,0.0091,17.0471,0.0008,0.6053,0.0011,0.9449,0.0007,65.2521,0.5808,700.3046,0.0070,547.0180,0.0066,12.1733,0.0116,16.7170,0.0010,0.6926,0.0015,0.9449,0.0007,65.2521,0.5808,700.3046,0.0070,547.0180,0.0066,11.8898,0.0193,16.5553,0.0017,0.7871,0.0027,0.9449,0.0007,65.2521,0.5808
55,4,8599,53.27460303614701,-47.65381446480341,0.551987423672432,590.2397,0.0048,822.0083,0.0046,1.3837,0.0179,19.8201,0.0058,4.1710,0.1639,0.6520,0.0068,26.0574,0.7076,590.2397,0.0048,822.0083,0.0046,1.8475,0.0133,19.3670,0.0042,4.5552,0.1017,0.6520,0.0068,26.0574,0.7076,590.2397,0.0048,822.0083,0.0046,2.2900,0.0280,19.1032,0.0070,4.9217,0.1320,0.6520,0.0068,26.0574,0.7076,590.2397,0.0048,822.0083,0.0046,2.7691,0.0475,18.9572,0.0097,5.3184,0.2240,0.6520,0.0068,26.0574,0.7076
55,3,8367,53.26621212288526,-47.66102872075055,0.551987423672432,667.8858,0.0020,722.7148,0.0029,13.6451,0.0110,17.0840,0.0007,0.9186,0.0018,0.4605,0.0002,-34.2764,0.0223,667.8858,0.0020,722.7148,0.0029,13.3496,0.0066,16.3285,0.0004,1.0837,0.0011,0.4605,0.0002,-34.2764,0.0223,667.8858,0.0020,722.7148,0.0029,13.0676,0.0088,15.9865,0.0006,1.2413,0.0015,0.4605,0.0002,-34.2764,0.0223,667.8858,0.0020,722.7148,0.0029,12.7623,0.0153,15.7380,0.0009,1.4118,0.0025,0.4605,0.0002,-34.2764,0.0223
55,1,8017,53.2536851230029,-47.66581926330934,0.551987423672432,783.6249,0.0116,657.1605,0.0124,10.5615,0.0457,18.6758,0.0038,0.9883,0.0075,0.9019,0.0022,15.7635,0.9851,783.6249,0.0116,657.1605,0.0124,10.1001,0.0328,18.3505,0.0030,1.2328,0.0057,0.9019,0.0022,15.7635,0.9851,783.6249,0.0116,657.1605,0.0124,9.6597,0.0559,18.2355,0.0050,1.4662,0.0107,0.9019,0.0022,15.7635,0.9851,783.6249,0.0116,657.1605,0.0124,9.1831,0.0931,18.2053,0.0087,1.7188,0.0179,0.9019,0.0022,15.7635,0.9851
56,3,10501,53.44363247558491,-30.33458516543448,0.556192157674747,651.9734,0.0034,417.1922,0.0025,21.3170,0.0258,16.9622,0.0010,1.1995,0.0020,0.5307,0.0002,-53.8162,0.0297,651.9734,0.0034,417.1922,0.0025,20.1592,0.0167,16.3106,0.0006,1.4842,0.0013,0.5307,0.0002,-53.8162,0.0297,651.9734,0.0034,417.1922,0.0025,19.0545,0.0273,15.9901,0.0010,1.7559,0.0024,0.5307,0.0002,-53.8162,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2,10337,53.43844343605756,-30.3025939673689,0.556192157674747,713.4595,0.0030,856.7115,0.0040,7.5607,0.0129,18.6755,0.0015,0.9351,0.0040,0.6823,0.0008,30.3664,0.1124,713.4595,0.0030,856.7115,0.0040,7.4569,0.0089,18.1885,0.0010,1.0463,0.0027,0.6823,0.0008,30.3664,0.1124,713.4595,0.0030,856.7115,0.0040,7.3578,0.0152,17.9341,0.0017,1.1523,0.0047,0.6823,0.0008,30.3664,0.1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4,10561,53.44537476493722,-30.30588441877911,0.556192157674747,631.2318,0.0015,811.4690,0.0016,6.4792,0.0275,18.0827,0.0024,3.8080,0.0194,0.7543,0.0008,4.7571,0.1229,631.2318,0.0015,811.4690,0.0016,6.5357,0.0148,17.2794,0.0012,3.9744,0.0097,0.7543,0.0008,4.7571,0.1229,631.2318,0.0015,811.4690,0.0016,6.5896,0.0233,16.8342,0.0019,4.1331,0.0152,0.7543,0.0008,4.7571,0.1229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,10222,53.43533681994836,-30.31760628997305,0.556192157674747,750.1791,0.0009,650.8336,0.0016,10.5565,0.0072,17.1767,0.0005,0.9380,0.0017,0.4811,0.0001,-31.4559,0.0188,750.1791,0.0009,650.8336,0.0016,9.7433,0.0045,16.4299,0.0003,1.3097,0.0011,0.4811,0.0001,-31.4559,0.0188,750.1791,0.0009,650.8336,0.0016,8.9675,0.0068,16.0058,0.0004,1.6643,0.0020,0.4811,0.0001,-31.4559,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,3,8686,54.54555348227841,-47.41201930354791,0.514797866886711,623.1254,0.0031,500.9246,0.0028,12.7928,0.0196,17.8930,0.0014,1.1330,0.0027,0.8218,0.0005,-48.3031,0.1448,623.1254,0.0031,500.9246,0.0028,12.5481,0.0120,17.2358,0.0008,1.2838,0.0016,0.8218,0.0005,-48.3031,0.1448,623.1254,0.0031,500.9246,0.0028,12.3146,0.0154,16.9170,0.0010,1.4277,0.0021,0.8218,0.0005,-48.3031,0.1448,623.1254,0.0031,500.9246,0.0028,12.0618,0.0262,16.7671,0.0017,1.5834,0.0037,0.8218,0.0005,-48.3031,0.1448
58,4,8794,54.54934174827138,-47.38559464123681,0.514797866886711,583.7546,0.0044,852.2288,0.0030,13.6483,0.0125,17.6410,0.0009,0.8404,0.0016,0.6272,0.0003,75.3871,0.0503,583.7546,0.0044,852.2288,0.0030,12.9498,0.0078,17.2002,0.0006,0.9488,0.0010,0.6272,0.0003,75.3871,0.0503,583.7546,0.0044,852.2288,0.0030,12.2834,0.0103,17.0330,0.0008,1.0522,0.0014,0.6272,0.0003,75.3871,0.0503,583.7546,0.0044,852.2288,0.0030,11.5620,0.0174,16.9394,0.0013,1.1642,0.0025,0.6272,0.0003,75.3871,0.0503
58,2,8390,54.53527578198323,-47.3867555551081,0.514797866886711,708.5748,0.0067,824.0987,0.0041,6.9458,0.0116,19.0061,0.0015,0.6513,0.0042,0.5200,0.0007,-78.2427,0.0877,708.5748,0.0067,824.0987,0.0041,7.0305,0.0084,18.7465,0.0013,0.7126,0.0023,0.5200,0.0007,-78.2427,0.0877,708.5748,0.0067,824.0987,0.0041,7.1114,0.0130,18.6302,0.0020,0.7711,0.0038,0.5200,0.0007,-78.2427,0.0877,708.5748,0.0067,824.0987,0.0041,7.1989,0.0212,18.5713,0.0030,0.8344,0.0068,0.5200,0.0007,-78.2427,0.0877
58,1,8010,54.52236933614189,-47.4059597702231,0.514797866886711,834.3067,0.0023,572.3656,0.0014,13.4267,0.0103,17.3900,0.0007,0.8739,0.0015,0.5037,0.0002,66.1839,0.0221,834.3067,0.0023,572.3656,0.0014,13.0749,0.0064,16.5885,0.0004,1.1655,0.0010,0.5037,0.0002,66.1839,0.0221,834.3067,0.0023,572.3656,0.0014,12.7393,0.0080,16.2420,0.0005,1.4438,0.0013,0.5037,0.0002,66.1839,0.0221,834.3067,0.0023,572.3656,0.0014,12.3760,0.0135,16.0172,0.0008,1.7450,0.0022,0.5037,0.0002,66.1839,0.0221
59,3,8588,55.13591683083962,-48.62590921258528,0.777872150011182,683.3837,0.0021,751.3934,0.0022,5.2749,0.0085,17.9393,0.0012,1.5065,0.0041,0.9441,0.0008,27.4947,0.6710,683.3837,0.0021,751.3934,0.0022,5.5392,0.0060,17.5539,0.0009,1.5080,0.0025,0.9441,0.0008,27.4947,0.6710,683.3837,0.0021,751.3934,0.0022,5.7913,0.0096,17.3913,0.0014,1.5095,0.0035,0.9441,0.0008,27.4947,0.6710,683.3837,0.0021,751.3934,0.0022,6.0642,0.0160,17.2731,0.0021,1.5111,0.0060,0.9441,0.0008,27.4947,0.6710
