Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
47,2,6610,43.45328850894474,-41.96649072958697,SER,0.583651388201831,654.1645,0.0111,876.6087,0.0150,14.7746,0.0198,18.5048,0.0013,0.3857,0.0021,0.7257,0.0008,-22.7984,0.1572,654.1645,0.0111,876.6087,0.0150,14.9171,0.0168,18.1937,0.0013,0.4442,0.0014,0.7257,0.0008,-22.7984,0.1572,654.1645,0.0111,876.6087,0.0150,15.0531,0.0247,18.0569,0.0019,0.5001,0.0024,0.7257,0.0008,-22.7984,0.1572,654.1645,0.0111,876.6087,0.0150,15.2003,0.0381,17.9714,0.0032,0.5605,0.0042,0.7257,0.0008,-22.7984,0.1572
47,3,6651,43.45430953410411,-41.95596963694773,SER,0.583651388201831,663.1170,0.0085,732.2668,0.0088,9.2386,0.0182,19.0215,0.0018,0.5126,0.0038,0.7221,0.0011,-44.0403,0.2143,663.1170,0.0085,732.2668,0.0088,9.2759,0.0146,18.7254,0.0018,0.5939,0.0023,0.7221,0.0011,-44.0403,0.2143,663.1170,0.0085,732.2668,0.0088,9.3115,0.0223,18.6283,0.0026,0.6715,0.0041,0.7221,0.0011,-44.0403,0.2143,663.1170,0.0085,732.2668,0.0088,9.3501,0.0353,18.5674,0.0043,0.7556,0.0072,0.7221,0.0011,-44.0403,0.2143
47,4,6990,43.46510686074172,-41.97949312861047,SER,0.583651388201831,883.7509,0.0036,584.4421,0.0031,9.7277,0.0077,18.1156,0.0007,0.5217,0.0018,0.6468,0.0003,-49.9323,0.0577,883.7509,0.0036,584.4421,0.0031,9.7946,0.0049,17.5931,0.0005,0.5695,0.0010,0.6468,0.0003,-49.9323,0.0577,883.7509,0.0036,584.4421,0.0031,9.8584,0.0063,17.2845,0.0006,0.6150,0.0013,0.6468,0.0003,-49.9323,0.0577,883.7509,0.0036,584.4421,0.0031,9.9274,0.0105,17.1459,0.0011,0.6643,0.0023,0.6468,0.0003,-49.9323,0.0577
47,1,5871,43.43166948705896,-41.97722464626543,SER,0.583651388201831,541.0773,0.0019,553.9981,0.0027,12.3535,0.0057,17.1457,0.0004,0.6736,0.0009,0.6505,0.0002,20.1410,0.0305,541.0773,0.0019,553.9981,0.0027,12.7015,0.0036,16.5650,0.0003,0.8016,0.0006,0.6505,0.0002,20.1410,0.0305,541.0773,0.0019,553.9981,0.0027,13.0336,0.0054,16.2951,0.0004,0.9237,0.0008,0.6505,0.0002,20.1410,0.0305,541.0773,0.0019,553.9981,0.0027,13.3931,0.0092,16.1015,0.0006,1.0558,0.0014,0.6505,0.0002,20.1410,0.0305
48,1,1193,45.03859046574656,-36.38120277446424,SER,0.52791442785483,756.6401,0.0042,422.3918,0.0031,22.8317,0.0607,17.6307,0.0021,1.6369,0.0049,0.6867,0.0004,53.6555,0.0876,756.6401,0.0042,422.3918,0.0031,22.2581,0.0355,17.0253,0.0012,1.9212,0.0026,0.6867,0.0004,53.6555,0.0876,756.6401,0.0042,422.3918,0.0031,21.7107,0.0476,16.7680,0.0015,2.1925,0.0038,0.6867,0.0004,53.6555,0.0876,756.6401,0.0042,422.3918,0.0031,21.1183,0.0837,16.6341,0.0029,2.4861,0.0071,0.6867,0.0004,53.6555,0.0876
48,2,6568,45.04357933448144,-36.35840573048463,SER,0.52791442785483,646.4430,0.0023,827.1642,0.0017,*0.3424*,*0.0241*,18.1355,0.0006,0.8026,0.2133,0.7728,0.0168,-25.6968,2.6331,646.4430,0.0023,827.1642,0.0017,*0.2449*,*0.0184*,17.9980,0.0006,1.9497,0.2447,0.7728,0.0168,-25.6968,2.6331,646.4430,0.0023,827.1642,0.0017,*0.1519*,*0.0133*,17.7829,0.0021,3.0442,0.2797,0.7728,0.0168,-25.6968,2.6331,646.4430,0.0023,827.1642,0.0017,*0.0512*,*0.0086*,17.6671,0.0146,4.2291,0.3211,0.7728,0.0168,-25.6968,2.6331
48,3,6696,45.04855677433579,-36.35173681597946,PSF,0.52791442785483,701.6651,0.0020,735.6829,0.0037,20.8823,0.0124,16.9392,0.0006,0.7446,0.0010,0.5186,0.0001,-0.4251,0.0178,701.6651,0.0020,735.6829,0.0037,20.2916,0.0079,16.2211,0.0004,0.8835,0.0006,0.5186,0.0001,-0.4251,0.0178,701.6651,0.0020,735.6829,0.0037,19.7280,0.0090,15.8773,0.0003,1.0160,0.0007,0.5186,0.0001,-0.4251,0.0178,701.6651,0.0020,735.6829,0.0037,19.1180,0.0147,15.6745,0.0007,1.1595,0.0012,0.5186,0.0001,-0.4251,0.0178
48,4,6718,45.04940344608852,-36.35633565552046,PSF,0.52791442785483,637.0180,0.0007,763.9362,0.0006,*0.2381*,*0.0060*,15.4754,0.0002,1.6248,0.0812,0.9876,0.0056,-67.2214,14.3048,637.0180,0.0007,763.9362,0.0006,*0.1718*,*0.0046*,15.7387,0.0003,2.5636,0.0855,0.9876,0.0056,-67.2214,14.3048,637.0180,0.0007,763.9362,0.0006,*0.1085*,*0.0034*,15.9481,0.0012,3.4594,0.0932,0.9876,0.0056,-67.2214,14.3048,637.0180,0.0007,763.9362,0.0006,*0.0401*,*0.0024*,15.9591,0.0053,4.4291,0.1043,0.9876,0.0056,-67.2214,14.3048
49,4,10355,46.57625185602237,-42.67441466667247,DUP,0.57079260192457,835.6430,0.0021,869.8579,0.0027,7.4188,0.0075,17.6650,0.0008,1.1028,0.0024,0.6595,0.0004,-15.0686,0.0645,835.6430,0.0021,869.8579,0.0027,7.5613,0.0048,17.1976,0.0006,1.1662,0.0016,0.6595,0.0004,-15.0686,0.0645,835.6430,0.0021,869.8579,0.0027,7.6973,0.0074,17.0499,0.0009,1.2266,0.0023,0.6595,0.0004,-15.0686,0.0645,835.6430,0.0021,869.8579,0.0027,7.8445,0.0126,16.9331,0.0014,1.2920,0.0037,0.6595,0.0004,-15.0686,0.0645
49,3,1343,46.56819829550949,-42.67527868870915,SER,0.57079260192457,824.7223,0.0030,693.6626,0.0030,4.1707,0.0227,18.7822,0.0034,3.1255,0.0300,0.9526,0.0021,17.9436,1.5293,824.7223,0.0030,693.6626,0.0030,4.3039,0.0128,18.1768,0.0019,3.2221,0.0176,0.9526,0.0021,17.9436,1.5293,824.7223,0.0030,693.6626,0.0030,4.4310,0.0180,17.6876,0.0026,3.3142,0.0205,0.9526,0.0021,17.9436,1.5293,824.7223,0.0030,693.6626,0.0030,4.5686,0.0323,17.6451,0.0043,3.4140,0.0359,0.9526,0.0021,17.9436,1.5293
