Group,Gal,ID,ra,dec,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
4,2,17512,3.317294205529374,-41.59553902475118,1.30684526430725,698.7430,0.0003,776.2057,0.0003,0.6682,0.0015,16.6221,0.0001,0.0990,0.0079,0.7806,0.0009,89.8981,0.1060,698.7430,0.0003,776.2057,0.0003,1.0573,0.0019,15.4314,0.0002,0.6232,0.0052,0.7806,0.0009,89.8981,0.1060,698.7430,0.0003,776.2057,0.0003,1.4286,0.0030,15.0463,0.0006,1.1234,0.0047,0.7806,0.0009,89.8981,0.1060,698.7430,0.0003,776.2057,0.0003,1.8305,0.0045,15.2528,0.0010,1.6649,0.0070,0.7806,0.0009,89.8981,0.1060
4,3,18027,3.326564792257373,-41.57320966202985,1.30684526430725,428.5307,0.0027,704.5942,0.0012,12.9505,0.0059,17.5684,0.0004,0.9273,0.0010,0.3653,0.0001,85.1644,0.0135,428.5307,0.0027,704.5942,0.0012,11.9111,0.0042,16.9613,0.0005,1.0067,0.0007,0.3653,0.0001,85.1644,0.0135,428.5307,0.0027,704.5942,0.0012,10.9193,0.0059,16.7129,0.0005,1.0825,0.0012,0.3653,0.0001,85.1644,0.0135,428.5307,0.0027,704.5942,0.0012,9.8457,0.0095,16.5513,0.0009,1.1646,0.0020,0.3653,0.0001,85.1644,0.0135
7,2,11924,4.610389049343783,-42.13770635682764,0.960038034720501,675.0575,0.0018,771.5282,0.0021,3.7822,0.0039,19.3749,0.0007,0.4301,0.0034,0.6719,0.0007,-39.8110,0.1122,675.0575,0.0018,771.5282,0.0021,3.7529,0.0033,19.0758,0.0012,0.4597,0.0027,0.6719,0.0007,-39.8110,0.1122,675.0575,0.0018,771.5282,0.0021,3.7248,0.0052,18.8919,0.0012,0.4880,0.0047,0.6719,0.0007,-39.8110,0.1122,675.0575,0.0018,771.5282,0.0021,3.6945,0.0082,18.9998,0.0030,0.5186,0.0076,0.6719,0.0007,-39.8110,0.1122
7,1,11590,4.603962405541649,-42.12646779696828,0.960038034720501,439.0340,0.0014,734.1857,0.0017,7.0737,0.0351,18.3472,0.0021,5.5808,0.0238,0.5913,0.0008,7.8310,0.0835,439.0340,0.0014,734.1857,0.0017,8.6976,0.0516,17.8109,0.0027,6.1182,0.0235,0.5913,0.0008,7.8310,0.0835,439.0340,0.0014,734.1857,0.0017,10.2469,0.0952,17.4679,0.0039,6.6309,0.0376,0.5913,0.0008,7.8310,0.0835,439.0340,0.0014,734.1857,0.0017,11.9241,0.1468,17.3599,0.0054,7.1859,0.0575,0.5913,0.0008,7.8310,0.0835
7,3,13210,4.621183576315307,-42.12141800602803,0.960038034720501,850.0173,0.0015,702.5313,0.0011,3.6283,0.0027,18.8775,0.0005,0.9888,0.0037,0.5907,0.0006,54.6508,0.0665,850.0173,0.0015,702.5313,0.0011,3.6389,0.0022,18.5080,0.0009,1.0508,0.0030,0.5907,0.0006,54.6508,0.0665,850.0173,0.0015,702.5313,0.0011,3.6491,0.0036,18.2244,0.0009,1.1099,0.0050,0.5907,0.0006,54.6508,0.0665,850.0173,0.0015,702.5313,0.0011,3.6601,0.0058,18.2035,0.0019,1.1739,0.0080,0.5907,0.0006,54.6508,0.0665
7,4,14413,4.644333991399656,-42.12415053156158,0.960038034720501,784.9752,0.0011,547.6851,0.0013,11.3781,0.0067,17.3503,0.0004,1.5895,0.0014,0.7784,0.0002,9.9849,0.0494,784.9752,0.0011,547.6851,0.0013,10.8279,0.0057,16.6355,0.0005,1.9252,0.0013,0.7784,0.0002,9.9849,0.0494,784.9752,0.0011,547.6851,0.0013,10.3030,0.0095,16.3289,0.0006,2.2456,0.0023,0.7784,0.0002,9.9849,0.0494,784.9752,0.0011,547.6851,0.0013,9.7347,0.0150,16.1695,0.0011,2.5923,0.0036,0.7784,0.0002,9.9849,0.0494
10,3,1197,5.674201525891037,-20.58429908579907,0.525723884676834,461.7714,0.0060,531.2494,0.0038,24.9659,0.0200,16.0163,0.0007,0.8662,0.0012,0.5881,0.0002,-63.4368,0.0361,461.7714,0.0060,531.2494,0.0038,24.0913,0.0136,15.5266,0.0006,1.0386,0.0008,0.5881,0.0002,-63.4368,0.0361,461.7714,0.0060,531.2494,0.0038,23.2569,0.0221,15.3482,0.0008,1.2031,0.0014,0.5881,0.0002,-63.4368,0.0361,461.7714,0.0060,531.2494,0.0038,22.3536,0.0371,15.2098,0.0017,1.3812,0.0024,0.5881,0.0002,-63.4368,0.0361
10,2,1075,5.664910633864245,-20.56507807547415,0.525723884676834,752.8277,0.0154,853.8283,0.0101,*0.1570*,*0.0263*,18.9209,0.0227,7.7130,1.0338,0.6349,0.0328,-2.5125,3.2439,752.8277,0.0154,853.8283,0.0101,*0.1360*,*0.0292*,19.0558,0.0207,5.1661,0.9901,0.6349,0.0328,-2.5125,3.2439,752.8277,0.0154,853.8283,0.0101,*0.1160*,*0.0585*,18.4895,0.0217,2.7360,1.9078,0.6349,0.0328,-2.5125,3.2439,752.8277,0.0154,853.8283,0.0101,*0.0943*,*0.0941*,18.9029,1.3161,0.1055,3.0885,0.6349,0.0328,-2.5125,3.2439
10,4,1405,5.687584604767833,-20.58857817827894,0.525723884676834,900.6646,0.0056,773.6568,0.0049,5.1648,0.0106,18.4135,0.0018,0.7873,0.0055,0.8313,0.0013,85.1689,0.4060,900.6646,0.0056,773.6568,0.0049,4.7051,0.0068,17.9617,0.0014,0.9068,0.0037,0.8313,0.0013,85.1689,0.4060,900.6646,0.0056,773.6568,0.0049,4.2665,0.0103,17.6614,0.0022,1.0208,0.0075,0.8313,0.0013,85.1689,0.4060,900.6646,0.0056,773.6568,0.0049,3.7916,0.0175,17.7215,0.0045,1.1443,0.0128,0.8313,0.0013,85.1689,0.4060
10,1,867,5.653417994681938,-20.57092018426899,0.525723884676834,633.1362,0.0119,589.5133,0.0102,18.3102,0.1213,17.7928,0.0048,1.7285,0.0120,0.8187,0.0023,46.6907,0.5245,633.1362,0.0119,589.5133,0.0102,18.1247,0.0925,17.4931,0.0041,1.8452,0.0092,0.8187,0.0023,46.6907,0.5245,633.1362,0.0119,589.5133,0.0102,17.9478,0.1664,17.4308,0.0069,1.9566,0.0173,0.8187,0.0023,46.6907,0.5245,633.1362,0.0119,589.5133,0.0102,17.7562,0.2757,17.3298,0.0133,2.0773,0.0288,0.8187,0.0023,46.6907,0.5245
